Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,,21,21,21,21,21,21,22,22,23,23,24,25,25,26,26,27,27,28,29,29,30,31,31,32,32
Albania,78,78,78,78,79,79,80,81,82,83,83,84,85,86,87,87,88,89,90,90,91,92,92,93,93,93
Algeria,80,81,81,81,81,82,82,83,83,83,84,84,84,85,85,85,86,86,86,86,87,87,87,87,87,88
"American Samoa",61,61,61,61,61,61,61,61,61,62,62,62,62,62,62,62,62,62,62,62,62,62,63,63,63,63
Andorra,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Angola,22,23,23,24,24,26,27,28,29,31,32,34,35,36,38,39,40,42,43,45,46,48,49,51,51,52
Anguilla,,,,,,92,92,92,92,92,92,93,93,94,94,95,95,96,96,97,97,98,98,98,98,98
"Antigua and Barbuda",75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,90,91,91,91,91,91,,,,
Argentina,87,88,88,89,89,90,90,90,91,91,91,92,92,93,93,93,94,94,94,95,95,95,96,96,96,96
Armenia,,,90,90,90,89,89,89,89,89,89,89,89,89,89,89,90,90,90,90,90,90,90,90,90,90
Aruba,99,99,99,99,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
Australia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Austria,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Azerbaijan,,,,,63,63,63,63,62,64,66,67,69,71,72,74,75,77,78,80,82,83,85,86,88,89
Bahamas,,,,,88,88,88,88,88,88,89,89,89,89,90,90,90,91,91,91,91,92,92,92,92,92
Bahrain,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Bangladesh,34,36,37,38,39,40,41,42,43,44,45,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
Barbados,80,81,81,82,83,83,84,85,85,86,87,87,88,89,90,90,91,92,92,93,94,94,95,96,96,96
Belarus,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,94,94,94,94,94
Belgium,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Belize,76,77,77,78,79,79,80,81,81,82,83,83,84,85,85,86,87,87,88,89,89,90,90,91,91,91
Benin,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,15,15,16,16,17,17,18,18,19,20,20
Bhutan,19,19,19,21,22,24,25,26,28,29,31,33,34,36,37,39,41,42,44,45,47,48,49,50,50,50
Bolivia,28,29,30,31,32,33,34,35,36,37,38,39,40,40,41,42,43,44,45,46,47,48,48,49,50,50
"Bosnia and Herzegovina",,,,,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
Botswana,39,41,43,44,45,46,47,48,49,51,52,53,54,55,55,56,57,58,59,60,61,62,62,63,63,63
Brazil,67,68,68,69,70,71,72,72,73,74,75,75,76,77,77,78,78,79,79,80,81,81,82,82,83,83
"British Virgin Islands",98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
Bulgaria,85,85,85,85,85,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86
"Burkina Faso",8,8,8,9,9,9,10,10,11,11,12,12,13,13,14,14,15,16,16,17,17,18,19,19,19,20
Burundi,42,42,42,43,43,43,43,44,44,44,44,45,45,45,45,46,46,46,46,47,47,47,48,48,48,48
Cambodia,3,3,3,4,6,8,9,11,13,15,16,18,20,22,23,25,27,28,30,32,34,35,37,39,41,42
Cameroon,40,40,40,41,41,41,41,42,42,42,42,42,43,43,43,43,44,44,44,44,45,45,45,45,46,46
Canada,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Cape Verde",,,34,34,34,35,35,37,39,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,72
"Cayman Islands",96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96
"Central African Republic",15,15,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20,21,21,22,22,22,22
Chad,8,8,8,8,9,9,9,9,9,10,10,10,10,10,11,11,11,11,11,11,12,12,12,12,12,12
Chile,85,86,86,87,88,88,89,90,90,91,92,92,93,94,94,95,95,96,97,97,98,98,99,99,99,99
China,48,49,50,51,52,53,54,55,57,58,59,60,61,62,64,65,66,67,68,70,71,72,73,74,75,77
Colombia,69,70,70,71,72,72,73,73,74,74,75,75,76,76,77,77,78,78,78,79,79,80,80,81,81,81
Comoros,18,19,20,20,21,21,22,23,24,24,25,26,27,27,28,29,30,30,31,32,33,34,34,35,36,36
"Congo (Brazzaville)",,,,,,,,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,15,15,15,15
"Cook Islands",,,,,,92,92,92,92,92,92,93,93,93,94,94,95,95,96,96,96,97,97,98,98,98
"Costa Rica",88,89,89,89,90,90,90,91,91,91,91,92,92,92,93,93,93,93,94,94,94,94,94,95,95,95
"Ivory Coast",15,15,15,16,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20,21,21,21,22,22,22,23
Croatia,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97
Cuba,82,82,83,83,84,84,85,85,86,86,87,87,88,88,89,89,90,90,91,91,92,92,93,93,93,93
Cyprus,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Czech Republic",99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Congo (Kinshasa)",19,19,19,19,20,20,21,21,22,22,23,23,24,24,24,25,25,26,26,26,27,27,28,28,28,29
Denmark,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
