Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,6.581093018,6.267612665,5.926444093,5.860345034,6.065342753,6.271907286,6.226651218,6.281136382,6.44358683,6.843479969,6.974857743,6.594309296,6.134489856,6.312662648,6.218759979,6.111156509,5.805519069,6.56831134,6.826563086,6.25218652,5.457025835,5.11224959,5.201869274,5.267735892,4.926678553,5.145500768,5.435587081,5.790926921,5.112804737,5.04938666
Albania,4.790420115,4.360864517,4.068174623,3.900953978,3.66889411,3.420271472,3.079413739,3.02388418,2.600203729,2.203728795,1.803959487,1.69706401,1.993635132,2.25852015,2.291714716,2.076434079,1.803195623,1.702674245,1.559090603,1.396496555,1.140015152,1.083144645,1.087075431,1.084128613,1.055868644,0.871049562,0.781784491,0.690930207,0.643659172,0.5717822
Algeria,3.046946558,3.001524398,2.838426272,2.881709147,2.83276913,2.962691098,2.811178752,2.742018739,2.548589691,3.120599125,3.175529115,3.08963643,2.806194432,2.696805332,2.702806023,2.376439414,2.307316377,2.269894989,2.267299722,2.448377928,2.524018833,2.53285373,2.37706366,2.529797416,2.581386182,2.597036643,2.413805272,2.387409379,2.560516191,2.588340113
"American Samoa",1.374521262,1.757124993,2.158809364,2.492734652,2.075286821,1.608474279,1.566851175,1.937140475,2.291946511,2.243890725,1.784678343,1.611270639,1.547934252,1.40255644,1.377774717,1.310563005,1.507843206,1.433137481,1.398258717,1.24049418,1.132213901,1.045957132,0.964443848,1.114593771,1.064392151,1.078884888,0.900232507,0.642568329,0.904515649,0.876219872
Andorra,2.281517877,2.241604067,2.132038641,2.217816954,2.427170873,2.743053133,2.649336067,2.438242532,2.28826509,2.370860968,2.444416605,2.37986201,2.543962825,2.461921207,2.555232025,2.564120717,2.594219943,2.396932046,2.290696802,2.335075401,2.386170143,2.384851912,2.378892071,2.405589977,2.333616099,2.211724281,2.004127001,1.872452143,2.031587228,1.979085576
Angola,4.705557719,4.894209127,4.486696582,4.460891782,4.081080425,4.004518432,3.702784007,3.734977861,3.74529126,3.833307769,2.95559817,2.757888222,2.410059191,2.751296726,3.616254242,4.441099617,5.141974562,4.473579691,3.756431669,3.270893116,3.115585302,2.982843926,2.689544777,2.600311525,2.456670444,2.258421028,2.258776099,2.251409163,2.136680046,2.072263799
"Antigua and Barbuda",0.186173123,0.203366113,0.209558894,0.239606652,0.230845456,0.247195363,0.219159259,0.231675317,0.164531396,0.138584584,0.072911585,0.116582954,0.098213669,0.097630988,0.027870028,0.009362448,0.010872566,0.027426302,0.037912659,0.035100732,0.02314869,0.013381993,0.010316259,0.009597718,0.009855025,0.005392249,0.002805514,0.000222293,0.001714445,0.001071275
Argentina,0.679189136,0.670106423,0.668129728,0.66942095,0.701204066,0.722334301,0.719327681,0.67576405,0.762589115,0.762545725,0.701805655,0.668971084,0.697117508,0.707543141,0.705176045,0.826515362,0.867521275,0.917492954,0.74216843,0.742138927,0.757462624,0.851519631,0.957725827,0.867394011,0.824639302,0.726644259,0.904635503,0.754055698,0.93301732,0.950714872
Armenia,4.188172642,4.068156964,4.115819482,4.170547922,4.054758469,4.071128473,3.783235646,3.359195721,3.172155641,3.31816795,3.304892589,3.001566916,3.036210671,3.055782898,3.0927427,3.124716247,3.346972393,3.720683416,3.776936877,3.612328586,3.312624226,3.525530393,3.625891985,3.718810014,3.668701946,3.697104562,3.777964438,3.774980821,3.838953667,3.885792616
Australia,0.276686165,0.240772979,0.198006223,0.191847216,0.182563963,0.193373579,0.203659909,0.215947736,0.214240768,0.207228893,0.1913532,0.250185931,0.242801393,0.229432493,0.161954236,0.166769436,0.177300898,0.173722264,0.161807286,0.128673494,0.120664464,0.120527934,0.154758398,0.180834746,0.18653873,0.188521666,0.206049956,0.144172732,0.228127646,0.246562649
