Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,30.82269327,29.82618393,29.20203007,29.42970167,29.81325866,29.78790058,29.84173921,29.981738,30.1054353,30.25074644,30.2521756,30.16678976,29.55401111,29.67531712,29.73235031,29.65839479,30.27334722,31.67028401,33.66889197,35.86002732,38.09073653,41.25617207,45.56430469,49.77596117,52.99404901,54.27253393,53.67419963,53.32235623,54.43239826,56.89574057
Albania,46.45321089,46.05150509,43.29269094,40.6417749,37.54657721,37.76818514,38.58567931,39.24379553,40.05726584,41.24146813,41.53555985,40.00224733,41.59932559,44.20072849,44.43116395,43.64578616,41.61302239,40.09003822,40.89493988,40.44777802,40.04958894,40.04022629,39.40758572,38.89166472,38.8297925,38.83486147,38.31610978,37.8349009,37.36405815,36.92826337
Algeria,103.24321,102.2719801,102.8790989,103.6805753,104.8083001,105.459483,106.1233697,107.0353415,107.1253827,107.9136913,106.315368,103.8204771,101.2484792,98.43533656,95.97390555,93.6029594,91.21319621,88.6554857,86.19382713,84.02711799,82.29347338,81.7090121,81.21081939,80.68600882,80.73576536,80.49099513,78.48458684,76.96171478,76.65507297,76.53040582
"American Samoa",20.25450205,20.58446343,20.72593145,20.69742998,20.73317727,20.69068654,20.33076336,19.60152075,18.75839681,18.13043421,17.74050248,17.71899496,17.77364338,17.81706109,17.77397303,17.63529584,17.36856914,16.97302066,16.66938294,16.41237466,16.15088233,16.11446442,16.2164395,16.42868508,16.63618421,16.86342873,17.39817762,17.78275291,17.65873096,17.32043618
Andorra,19.70265516,18.82065092,18.13772154,17.29031463,16.68135753,16.12293369,15.86069267,15.67619088,15.58996954,15.46982741,15.25491836,14.79454793,14.11305572,13.3748956,12.79826284,12.21481344,11.79702494,11.33626554,10.9836298,10.73541705,10.45213285,10.20768621,9.943585322,9.710314397,9.390732486,8.977569046,8.089936551,7.346393554,7.240308702,7.169167031
Angola,17.72920807,17.74226432,17.95144185,18.40095738,18.85907759,19.17104421,19.49539606,20.25543555,21.39602167,22.45606437,23.18169131,23.42783615,23.47326393,23.84033267,24.64064386,24.79441471,25.51882615,26.0683801,27.11574192,28.20946566,29.41233998,30.98729106,33.03956189,34.94178031,36.26385992,38.00167501,39.21125031,40.70428046,42.71933597,45.03542767
"Antigua and Barbuda",42.01613189,42.66131205,43.17613864,45.9816214,46.13564038,46.32234734,43.20308471,42.06854313,41.21707232,40.4273522,39.27172086,38.07212906,36.40452438,34.94713864,33.75729296,32.92874839,32.82933831,36.0693046,35.88375213,33.42872409,33.37707022,33.52255199,33.54247598,33.88996846,34.71127331,34.78484128,33.63737969,32.49095572,32.35403722,32.804919
Argentina,36.85091323,36.40395054,36.47937994,35.70938838,34.41376994,34.07560644,33.47389558,32.67279887,32.1343866,31.37668583,29.49195449,28.75268007,28.41309936,27.88012157,26.46305607,25.34530536,24.91348314,25.3354337,24.54462044,24.47473061,24.68363888,24.80023215,24.87134622,25.10312489,25.0693601,25.36556763,25.25727694,24.21903071,23.50267797,23.23763859
Armenia,87.40572185,91.07635246,99.96683057,104.4722167,99.53453184,97.60676587,97.26557412,92.51766031,90.64288041,90.67409139,88.53085688,89.28848264,90.50939676,92.77778474,92.64648366,93.23982764,94.17622442,92.85888145,94.30431136,94.06442371,92.87310705,91.3980194,89.11163165,86.18906039,85.68966579,86.02474928,82.59886897,80.11599584,78.76234262,77.52240966
Australia,12.42302711,11.75484452,11.41908008,10.91813132,10.6789465,10.21976517,9.89617448,9.450929606,8.972277588,8.5146627,8.093932904,7.634852265,7.221616216,6.713427594,6.202488754,5.783301259,5.486813484,5.325788721,5.164682036,4.938618531,4.753632779,4.633405904,4.45973581,4.348971207,4.320199368,4.28289104,4.04233525,3.916478875,3.981941248,4.061292798
