Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,25.86459768,27.30551629,31.30599024,34.70884455,35.22265654,35.25469522,35.02096773,34.3811396,33.40920093,31.6749012,30.14954163,28.96826004,28.81641748,28.78539076,28.18665125,28.11105521,27.55649449,27.16542624,27.42447606,27.57999638,27.98450684,28.57952834,29.15669005,29.88911699,30.40473672,30.62788298,30.92612642,31.34501356
Albania,79.96267154,78.35876867,76.94554159,75.70524231,74.66222884,73.83716296,73.2561581,73.17712726,77.04633758,76.64293049,71.96940408,72.11345303,72.42820578,72.9612301,73.5964203,74.23437522,74.72881727,75.07527813,75.37541176,75.7046682,76.11904916,76.55081567,76.70454082,76.94655183,76.71349339,76.3535121,76.36631925,75.98973123
Algeria,31.54576749,31.76724436,31.99913524,32.24311589,32.50054659,32.78270756,33.09302044,33.44416332,33.84299989,34.28977912,34.76510276,35.28084884,35.84496573,36.41358496,36.93609591,37.35617244,37.64482069,37.81747272,37.87598034,37.82248575,37.67207814,37.42932037,37.08237186,36.6282337,36.08371706,35.48376383,34.85761922,34.21687964
"American Samoa",146.1342353,144.8379414,143.5454532,142.2138752,140.8823015,139.624919,138.6975923,138.1138207,137.6385399,137.0283238,135.969156,134.3056197,132.3478602,130.3389896,128.4959446,126.9967996,126.0703078,125.766507,125.9646457,126.5226379,127.3915832,128.7410518,130.6245054,132.935981,135.5351083,138.2851014,141.0483148,143.7083728
Andorra,93.33591638,97.17667128,96.84601279,93.90101422,91.41384027,88.9530416,87.32657735,86.08155755,84.60649472,82.17494072,79.51369469,77.37210414,76.03734427,78.4995094,80.53310587,81.03593271,80.717633,79.38481991,77.42282641,74.59783029,72.59374197,71.71144023,70.99720482,69.66863624,69.04180781,68.5211953,67.89242509,67.64336636
Angola,24.37749827,24.30761322,24.24668397,24.18614716,24.13938856,24.1096375,24.09323314,24.08260864,24.06431989,24.04395652,24.02260487,24.01051651,24.0096067,24.01146078,24.00975875,23.99282019,23.97208845,23.95787824,23.93913018,23.91209691,23.86706006,23.81260887,23.76425211,23.72327292,23.69244979,23.67631149,23.67948125,23.70098653
"Antigua and Barbuda",30.05304525,30.1583303,30.25330781,30.32514382,30.37687547,30.4143424,30.51243904,30.68537504,30.86339429,30.97901714,30.95868611,30.76439762,30.46250637,30.1404626,29.87470753,29.73163302,29.71828109,29.77499813,29.8709633,29.97304457,30.04263136,30.08094184,30.11543507,30.14581724,30.17099113,30.18973888,30.19882137,30.18933231
Argentina,62.22957642,62.52413104,62.85966176,63.25204525,63.56858541,63.86969027,64.22538391,64.56331545,64.82220449,64.87273217,64.8224827,65.03332665,65.48263554,65.96317848,66.29393901,66.4237487,66.59691059,66.84605068,66.99692348,67.0799337,67.06800065,66.91522546,66.7032435,66.44342142,66.10972848,65.69913492,65.19843685,64.69204417
Armenia,85.58836601,83.92750647,82.42517923,81.1585697,80.11792349,79.3871333,78.85701974,78.40478268,78.15312541,78.27326993,78.81513764,79.77950525,81.03982534,82.48593104,84.05014929,85.58203358,86.94912891,88.11393948,88.90343298,89.3078179,89.48620369,89.43835818,89.12639516,88.43188753,87.40477924,86.18621154,84.88148703,83.63906547
Australia,509.1338436,528.3368878,544.3149445,555.8443173,562.1994738,562.9719096,559.277661,554.1059358,548.0212036,541.1312521,534.629436,522.64427,503.5776072,482.7545407,464.8756394,454.9808388,451.7087027,451.3412284,453.6740741,458.2452523,464.8189256,474.3307301,488.7497891,507.6699128,530.6428445,557.002376,585.3764612,615.3512712
Austria,79.66022624,78.0967718,76.44621103,74.8149271,73.33814185,72.07902502,72.19487689,73.8170376,75.97684709,77.74720707,78.20746652,77.54022296,76.54651262,75.50983679,74.433941,73.3734087,71.92008999,69.84970929,67.75402847,66.04069295,65.16846961,64.98642528,64.97261575,65.07997167,65.39360338,65.98410718,66.7495775,67.72950992
Azerbaijan,89.61907114,88.37830962,87.15246162,86.00405734,84.93132612,84.10415611,83.31010753,82.66745951,82.21051993,82.01049023,82.36165294,83.13612147,84.43889211,86.01595617,87.68169411,89.3217245,90.88969652,92.5499591,94.08363361,95.26863167,96.01737378,96.27774536,96.31587245,96.04422322,95.48729178,94.71103164,93.61637325,92.39100476
Bahamas,32.13211197,32.13161902,32.06564329,31.91613107,31.70891683,31.49508852,31.37763381,31.36289754,31.36439514,31.32735597,31.20414645,30.92194562,30.51783597,30.09562122,29.74476877,29.53759248,29.4738552,29.49058931,29.57370875,29.67675807,29.74486929,29.79026208,29.87635692,29.98708638,30.0787989,30.13608093,30.16954731,30.19510695
Bahrain,40.50611949,40.0687303,39.17233927,38.24214006,37.58814242,37.46249226,37.98319123,38.35352869,38.52368911,38.51950096,38.46800988,38.74162142,39.56729219,41.10525108,43.26727389,44.49787844,44.40168746,45.01192977,46.18263142,47.23710883,46.88660401,44.33160163,42.13596812,40.80830693,39.68915998,38.45791811,36.43532366,34.7357327
Bangladesh,6.504257656,6.504367149,6.512355047,6.527193641,6.548606419,6.578060427,6.610682542,6.642118536,6.673344738,6.707526414,6.748400921,6.793253215,6.836014264,6.875336509,6.910200098,6.940576675,6.958448995,6.960216241,6.953383489,6.945257345,6.94201668,6.942108864,6.940639413,6.937228742,6.931303759,6.92298666,6.912615604,6.900760678
Barbados,27.19958559,27.20808332,27.16774417,27.08571967,26.95747519,26.78884378,26.25789801,25.2633093,24.12405143,23.13925511,22.6072528,22.40295062,22.21534349,22.04978138,21.90486236,21.77418618,21.64311566,21.50306406,21.36171958,21.23867615,21.14851424,21.16912999,21.34832374,21.64720187,22.04030173,22.51636076,23.07113276,23.69126006
Belarus,120.0164485,119.2942415,118.7193249,118.4053792,118.3036196,118.4178991,118.8223411,119.4987208,120.5281614,121.7559513,122.9206223,123.9526328,124.9487798,125.9945814,126.9653081,127.7870405,128.49678,128.9694154,129.1159156,128.792156,127.9187457,126.5771048,124.8564456,122.8364594,120.6198619,118.2861644,115.8896768,113.490295
Belgium,62.85402563,61.98437932,61.22985441,60.58917762,60.03735639,59.56387782,59.70252876,60.61640299,61.79423799,62.7645462,63.09405558,62.98803334,62.9720407,62.98507214,62.99859017,62.96061453,62.45128854,61.28352969,59.83288329,58.50101685,57.71023881,57.37534643,57.05048305,56.73895662,56.39171994,56.03659644,55.73019405,55.38401414
Belize,25.90099929,26.05754683,26.24083791,26.45359261,26.69092951,26.9381741,27.26583785,27.69405633,28.13283368,28.50421358,28.73152901,28.76688487,28.66814168,28.51534324,28.39364585,28.38945248,28.53331704,28.76548209,29.04060126,29.31587823,29.54451542,29.74107042,29.94481764,30.14608382,30.34113487,30.52848639,30.70549917,30.87059615
Benin,18.92374237,19.02229132,19.11512746,19.20307251,19.29244603,19.38677999,19.4722365,19.55344722,19.63899237,19.73187263,19.83546392,19.9474491,20.05867839,20.15730461,20.24476291,20.32066098,20.41597354,20.55201053,20.70638555,20.86103301,20.99255129,21.11530877,21.26204349,21.43273855,21.62227939,21.82032127,22.02176042,22.22310287
