Country,2010,2011,2012,2013,2014,2015,2016
Afghanistan,37.3,37.3,37.3,37.4,37.5,37.8,38.2
Albania,21.8,21.8,21.9,22.1,22.4,22.7,23.2
Algeria,36.9,37.1,37.4,37.7,38,38.4,38.9
"American Samoa",..,..,..,..,..,..,..
Andorra,20,20.2,20.4,20.6,20.9,21.2,21.6
Angola,51.3,51.2,51,50.9,50.8,50.7,50.8
"Antigua and Barbuda",24.9,24.7,24.6,24.6,24.6,24.7,25
Argentina,27.2,27.2,27.3,27.5,27.7,28,28.5
Armenia,29.8,30.7,31.6,32.6,33.5,34.4,35.5
Aruba,..,..,..,..,..,..,..
Australia,19.5,19.4,19.4,19.5,19.6,19.8,20.1
Austria,23.4,23.5,23.6,23.8,23.9,24.2,24.5
Azerbaijan,36.2,36.8,37.3,37.9,38.4,39.2,40.1
Bahamas,27,26.9,26.8,26.9,27,27.2,27.5
Bahrain,41.7,41.9,42.1,42.3,42.5,42.6,42.8
Bangladesh,47.9,47.5,47,46.6,46.1,45.8,45.7
Barbados,25.4,25.3,25.2,25.2,25.2,25.4,25.7
Belarus,23.1,23.1,23.1,23.3,23.4,23.7,24.1
Belgium,22,22.1,22.3,22.5,22.8,23.1,23.5
Belize,22.1,21.7,21.4,21.2,21,21.1,21.3
Benin,61.2,60.4,59.5,58.6,57.5,56.5,55.5
Bermuda,..,..,..,..,..,..,..
Bhutan,38.2,37.2,36.2,35.2,34.2,33.4,32.8
Bolivia,36.3,36.3,36.3,36.3,36.3,36.5,36.8
"Bosnia and Herzegovina",29.1,29.1,29.1,29.2,29.3,29.5,29.8
Botswana,34.2,34,33.8,33.7,33.7,33.7,34
Brazil,38.1,37.8,37.6,37.4,37.2,37.2,37.3
"British Virgin Islands",..,..,..,..,..,..,..
Brunei,25,25.3,25.5,25.9,26.2,26.6,27.1
Bulgaria,27.1,27.1,27.2,27.2,27.4,27.6,28
"Burkina Faso",58.6,58.4,58.3,58.1,57.9,57.7,57.5
Burundi,35.3,34.1,33.2,32.4,31.7,31.2,30.9
"Cape Verde",43.4,43.1,43,42.9,42.8,42.8,42.9
Cambodia,54.4,54.5,54.7,54.9,55.1,55.4,55.8
Cameroon,50.7,50.4,50.1,49.8,49.6,49.4,49.3
Canada,16.6,16.6,16.7,16.8,17,17.2,17.4
"Cayman Islands",..,..,..,..,..,..,..
"Central African Republic",53.8,53.5,53.2,53,52.7,52.5,52.3
Chad,54.1,53.8,53.4,53,52.7,52.4,52.1
"Channel Islands",..,..,..,..,..,..,..
Chile,23.6,24,24.5,25,25.6,26.2,27
China,25.5,26.5,27.5,28.6,29.8,31.1,32.4
Colombia,29.5,28.8,28.3,27.8,27.5,27.3,27.2
Comoros,34.6,34.2,33.9,33.7,33.7,33.8,34.2
"Congo (Kinshasa)",50.6,49.5,48.4,47.2,46,45,44.1
"Congo (Brazzaville)",59.7,59.4,59,58.6,58.1,57.6,57.2
"Costa Rica",23.1,23.1,23.2,23.5,23.7,24.2,24.7
"Ivory Coast",58.9,59.1,59.2,59.3,59.3,59.3,59.3
Croatia,28.2,28.1,28.1,28.1,28.2,28.4,28.7
Cuba,28,27.9,27.9,27.9,28,28.2,28.5
Curacao,..,..,..,..,..,..,..
Cyprus,28.4,28.4,28.4,28.4,28.5,28.7,29
"Czech Republic",25.4,25.4,25.6,25.7,25.9,26.2,26.6
Denmark,21.3,21.5,21.6,21.8,22.1,22.4,22.8
Djibouti,37.9,37.7,37.5,37.4,37.4,37.4,37.6
Dominica,29.2,29,28.9,28.8,28.8,28.9,29.2
"Dominican Republic",32.8,32.6,32.5,32.3,32.3,32.4,32.6
Ecuador,27.2,26.8,26.5,26.2,26.1,26.2,26.4
Egypt,26.2,25.5,24.7,24,23.4,22.9,22.6
"El Salvador",25.3,25.8,26.3,26.8,27.4,28.1,29
"Equatorial Guinea",54.2,53.8,53.5,53.1,52.8,52.4,52.1
Eritrea,41.4,41,40.8,40.7,40.6,40.6,40.7
Estonia,24.5,24.5,24.6,24.7,24.8,25.1,25.5
Swaziland,31.4,31,30.6,30.4,30.1,30.1,30.2
Ethiopia,26.4,25.6,25.1,24.6,24.4,24.3,24.3
"Faroe Islands",..,..,..,..,..,..,..
Fiji,39.6,39.3,39.1,38.9,38.8,38.8,39
Finland,20.6,20.7,20.9,21.1,21.3,21.6,21.9
France,23.8,23.9,24,24.2,24.4,24.7,25.1
"French Polynesia",..,..,..,..,..,..,..
Gabon,60.6,60.7,60.8,60.8,60.7,60.6,60.6
Gambia,62.3,62.2,62.2,62.1,62,61.9,61.8
Georgia,27.2,27.5,27.9,28.3,28.7,29.3,30.1
Germany,21.9,22,22.2,22.4,22.6,22.9,23.3
Ghana,57.8,57.3,56.7,56.1,55.4,54.8,54.3
Gibraltar,..,..,..,..,..,..,..
Greece,22.3,22.4,22.5,22.7,22.9,23.3,23.7
Greenland,..,..,..,..,..,..,..
Grenada,27.3,27.1,27,27,27,27.2,27.5
Guam,..,..,..,..,..,..,..
Guatemala,24.9,24.7,24.6,24.5,24.5,24.7,25
Guinea,62.5,62.4,62.3,62.1,61.9,61.7,61.4
"Guinea Bissau",52.3,52,51.7,51.3,51,50.7,50.5
Guyana,31,30.5,30,29.5,29.2,29,29.1
Haiti,50.3,50.3,50.2,50.2,50.2,50.3,50.4
Honduras,20.6,20.5,20.5,20.5,20.6,20.9,21.3
"Hong Kong",..,..,..,..,..,..,..
Hungary,26.3,26.3,26.4,26.5,26.7,26.9,27.3
Iceland,20.7,20.8,21,21.2,21.4,21.7,22.1
India,51.4,51.1,50.9,50.6,50.4,50.2,50.1
Indonesia,35.3,36.1,37,38.1,39.2,40.5,42
Iran,30,30.5,31.1,31.8,32.4,33.2,34.1
Iraq,34.6,34.2,33.8,33.5,33.3,33.3,33.5
Ireland,20.1,20.2,20.3,20.5,20.7,21,21.5
"Isle of Man",..,..,..,..,..,..,..
Israel,22.1,22.3,22.5,22.7,23,23.4,23.8
Italy,23.4,23.5,23.6,23.7,23.9,24.2,24.6
Jamaica,26.7,26.5,26.4,26.4,26.4,26.7,27
Japan,35.1,34.8,34.6,34.4,34.2,34.1,34.1
Jordan,32.5,33.3,34,34.8,35.5,36.2,37.1
Kazakhstan,30.3,30.2,30.1,30.1,30,30.1,30.4
Kenya,43,41.9,41,40.1,39.2,38.6,38.2
Kiribati,35.3,35.2,35.2,35.3,35.4,35.6,36
"North Korea",34.3,34.8,35.3,35.9,36.6,37.3,38.1
"South Korea",24.6,24.7,24.8,24.9,25.1,25.4,25.8
Kosovo,..,..,..,..,..,..,..
Kuwait,27.9,28.3,28.8,29.3,29.8,30.5,31.2
Kyrgyzstan,34.9,35.6,36.4,37.1,37.8,38.7,39.8
Laos,43,43.3,43.6,44,44.5,45,45.7
Latvia,24.4,24.4,24.4,24.5,24.7,25,25.4
Lebanon,31.7,32.2,32.7,33.3,33.8,34.5,35.2
Lesotho,32.6,32.5,32.6,32.6,32.6,32.8,33.2
