Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Argentina,14237,14490,14747,15008,15274,15545,15785,16028,16275,16526,16781,16938,17097,17257,17419,17582,17739,17898,18058,18219,18382,18527,18673,18820,19474,19569,19552,20050,20201,20521,20549,20463,20652,21153,21506,21521,22014,22327,22621,22672,23143,23719,23945,24097,25364,24338,24890,26894,28091,28122,27790,26421,23557,24797,26855,28664,30269,31521,32112,31578,32387,33193,33415,33479,33593,34283,34735,35189
Australia,7732,7785,7839,7893,7947,8002,8057,8087,8083,8107,8281,8289,8473,8699,8994,9249,9565,9846,10068,10330,10702,10850,10993,11151,11309,11272,11482,11597,11683,11983,12206,12149,11766,11987,12507,13036,13200,13622,14168,14678,14746,14521,14430,14600,15110,15602,15803,15951,16159,16533,16809,16799,17002,17383,17757,18121,18507,18994,19256,19313,19574,19953,20176,20291,20442,20848,20984,21378
Austria,7031,7018,7005,6991,6978,6965,6951,7009,7020,7043,7094,7089,7012,6921,6867,6779,6682,6532,6407,6356,6179,6231,6345,6417,6767,6463,6465,6561,6378,6523,6590,6333,6317,6281,6259,6257,6259,6242,6276,6403,6536,6654,6570,6525,6517,6400,6543,6623,6610,6724,6789,6790,6774,6786,6840,6833,6882,6968,7070,6814,6845,6982,6960,6918,6941,6899,6960,7001
Bangladesh,,,,,,,,,,,,,,,,,,,,,44204,43853,43436,43037,45000,43556,45737,45213,46998,51290,52436,53394,54617,56070,57615,59188,62322,63398,65305,65676,68891,71756,73960,77646,81383,85131,88821,92063,95263,98447,101536,104360,107407,110436,112151,113704,114877,117421,120513,123566,126642,128512,131241,133850,136450,139479,142393,145323
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167,157,158,178,186,199,204,211,217,226,231,,,,,,,,,,,,,,,,
Belgium,7106,7098,7091,7084,7076,7069,7062,7077,6967,6876,7000,7010,7076,7084,7142,7127,7110,7037,6988,7065,7029,7044,6931,6891,6879,6741,6711,6586,6522,6517,6433,6231,6097,6039,6124,6174,6141,6131,6204,6266,6387,6266,6169,5960,5935,6131,6046,6138,6290,6374,6553,6616,6580,6554,6598,6661,6765,6896,6991,6882,6916,7073,7105,7074,7092,7136,7221,7277
Brazil,39980,41276,42622,44022,45477,46990,48564,50202,51907,53681,55529,56875,58278,59742,61269,62863,64528,66269,68088,69990,71980,75616,79191,88181,89648,91259,93024,101281,103749,101054,99081,102658,107620,108236,111511,119122,121771,125415,129033,130981,133465,133032,132380,133588,135007,136050,132823,134586,133537,138614,144727,145060,149893,151723,158571,161443,165509,168462,170829,171811,174606,176538,178374,180018,183467,183891,180546,180481
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6019,6175,5981,5722,5540,5313,5310,5321,5442,5662,5797,5975,6166,6460,6172,5928,5793,5651,5628,5646,5667,5692,5719
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9561,9640,10073,10455,10995,11717,12308,12840,13651,14435,14929,15634,16344,17041,17775,18454,19008,19400,19890,20256,20705,20230,20621,21016,21381
Canada,14113,14377,14411,14477,14311,14361,14890,14940,14394,14609,14460,14328,14675,14890,15321,15833,16164,16379,16197,16545,16379,16538,16932,17676,18428,18363,18344,18462,19002,19904,20393,20815,19877,19931,20550,21332,21977,22767,23546,24033,24100,23392,23129,23274,23846,24193,24639,25063,25580,26250,26799,26931,27322,27795,28465,28692,29114,29668,29987,28894,29459,29866,30422,30739,30862,31153,31334,31709
