Country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,1,1,1,1,1,1,1,1,1,2,3,2.5,2
Albania,4,4,4,4,4,4,4,4,4,4.5,5,5,5
Algeria,2,3,4,3.5,3,4,5,5,5,5,5,5,5
Angola,1,1.5,2,2,2,2,2,2,2,2,2,2,2
Argentina,5,5,5,5,5,5,5,5,5,4.5,4,5,6
Armenia,5,4.5,4,3.5,3,4,5,5,5,4,3,3,3
Azerbaijan,3,3,3,3,3,3,3,3,3,2.5,2,2,2
Bahrain,6,6,6,5.5,5,5,5,5,5,5,5,4.5,4
Bangladesh,1,1,1,2.5,4,3.5,3,3,3,3,3,3,3
Belarus,6,5.5,5,5,5,4.5,4,4,4,3.5,3,3.5,4
Benin,5,5,5,5,5,5,5,4.5,4,4,4,4,4
Bhutan,,,6,6,6,6,6,6.5,7,7.5,8,8.5,9
Bolivia,4,4,4,4,4,4,4,4,4,4,4,4,4
"Bosnia and Herzegovina",4,4.5,5,5,5,4.5,4,4,4,4,4,4,4
Botswana,8,8,8,8,8,8,8,8,8,7.5,7,7.5,8
Brazil,6,6,6,6.5,7,7,7,7,7,7,7,6.5,6
Bulgaria,6,6.5,7,7,7,7,7,6.5,6,6,6,6,6
"Burkina Faso",3,3,3,3,3,3,3,3.5,4,4,4,4,4
"Burma (Myanmar)",1,1,1,1,1,1,1,2,3,3,3,3,3
Burundi,2,3,4,3.5,3,3,3,2.5,2,2,2,2,2
Cambodia,2,2,2,2,2,2,2,2,2,2,2,1.5,1
Cameroon,2,2.5,3,3,3,3,3,3,3,3,3,3,3
"Central African Republic",3,3.5,4,3.5,3,3.5,4,4,4,4,4,4,4
Chad,2,2,2,2,2,2.5,3,3,3,2.5,2,2,2
Chile,9,9,9,9,9,9,9,9,9,9,9,9,9
China,3,3.5,4,4,4,4,4,4,4,4.5,5,5,5
Colombia,5,4.5,4,4,4,4,4,4.5,5,5,5,4.5,4
"Congo (Brazzaville)",,,3,2.5,2,2,2,2,2,2,2,2,2
"Costa Rica",7,7,7,7,7,7.5,8,8,8,8,8,8,8
Croatia,7,7,7,7,7,7,7,7.5,8,8,8,7.5,7
Cuba,4,4,4,4.5,5,4.5,4,4,4,4.5,5,5,5
"Czech Republic",7,6.5,6,6,6,6.5,7,7,7,7.5,8,8,8
"Dominican Republic",2,2.5,3,3,3,3,3,2.5,2,2.5,3,3,3
Ecuador,3,3,3,3.5,4,4,4,4,4,4,4,4,4
Egypt,4,4,4,4,4,4,4,4,4,4,4,4,4
"El Salvador",5,5,5,5,5,5,5,5,5,5,5,5,5
Eritrea,5,4.5,4,3.5,3,3,3,2,1,1,1,1,1
Estonia,8,8.5,9,9,9,9,9,9,9,9,9,9,9
Ethiopia,3,3,3,3,3,3,3,3,3,2.5,2,2,2
Georgia,7,7.5,8,7.5,7,6.5,6,6,6,6.5,7,7,7
Ghana,5,4.5,4,4.5,5,5.5,6,6,6,6,6,5.5,5
Guatemala,4,4,4,4.5,5,5,5,4.5,4,4,4,4,4
Guinea,3,2,1,1,1,2.5,4,4.5,5,5,5,5,5
Haiti,1,2,3,3,3,3,3,3,3,2.5,2,2,2
Honduras,2,2,2,2.5,3,3,3,3,3,3.5,4,3.5,3
Hungary,7,7,7,7,7,7,7,6.5,6,6,6,5.5,5
India,5,5,5,5,5,5,5,5,5,5,5,5,5
Indonesia,2,2.5,3,4,5,4.5,4,4,4,4,4,4,4
Iran,3,3,3,2.5,2,2,2,1.5,1,2,3,3,3
Iraq,,,1,1,1,2,3,3,3,3,3,3,3
"Ivory Coast",2,2,2,2,2,2,2,2,2,3,4,4,4
Jamaica,4,4,4,4,4,4,4,4,4,4,4,4,4
Jordan,4,4,4,4.5,5,5,5,5,5,5,5,5,5
Kazakhstan,3,2.5,2,3,4,4,4,4,4,3,2,2.5,3
Kenya,2,2.5,3,3,3,3.5,4,3.5,3,3,3,3,3
Kosovo,,,,,4,4,4,4,4,4,4,4,4
Kuwait,,,3,3,3,3,3,3,3,4,5,4.5,4
Kyrgyzstan,2,2,2,2,2,2.5,3,3,3,3.5,4,4,4
Laos,2,2,2,2,2,2,2,2,2,2,2,2,2
Latvia,5,5.5,6,6,6,6,6,6,6,6.5,7,7,7
Lebanon,2,2,2,2,2,2,2,2,2,2,2,2,2
Lesotho,,,,,5,5,5,4.5,4,4,4,4,4
Liberia,2,3,4,4.5,5,5.5,6,6,6,6,6,5.5,5
Libya,3,3,3,3,3,3,3,2.5,2,1.5,1,1,1
Lithuania,7,7,7,7,7,7.5,8,8,8,8,8,8,8
"Macedonia (F.Y.R.O.M.)",5,5.5,6,6,6,6,6,6,6,5.5,5,5,5
Madagascar,3,4,5,5,5,4.5,4,3.5,3,3.5,4,4,4
Malawi,4,4,4,4.5,5,5,5,5,5,4.5,4,4,4
Malaysia,7,6.5,6,6,6,6.5,7,6.5,6,6,6,5.5,5
Mali,5,5,5,5,5,5,5,4.5,4,4,4,4,4
Mauritania,,,3,3,3,3.5,4,3.5,3,3.5,4,3.5,3
Mauritius,5,5.5,6,6.5,7,6.5,6,5.5,5,5,5,5,5
