Country,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,,,,,,,,,,,,,,,,,,,,,,,,9.97,9.52,9.69,9.855,10.02,10.16,10.3,10.15
Afghanistan,,,,,,,,,,,,,,,,,4.01,5.9,7.79,7.8,5,5.1175,5.235,5.3525,5.47,5.47,5.502,5.534,5.566,5.598,5.63
Angola,,,,,,,,,,,,,,,8.44,7.3,6.16,7.08,7.08,8.125,9.17,9.15,9.23,8.36,7.61,7.52,10.3,9.38,9.38,8.53,7.68
Albania,,,,,,,,,,14.41,13.49,12.57,11.65,11.28,8.35,8.17,7.34,7.11,6.61,5.72,2.08,4.9,4.87,1.24,1.1,1.17,1.14,1.11,1.06,0.85,1.02
"United Arab Emirates",,,,,,,,,,,,,,,,,,4.2,3.945,3.69,3.62,3.62,3.745,3.87,3.53,3.61,3.21,2.99,2.82,4.75,4.4
Argentina,,,,,12.66,12.53,10.435,8.34,13.33,13.93,15.67,11.29,10.52,9.25,12.01,12.87,5.96,5.22,5.49,5.83,5.39,5.93,5.99,5.68,6.02,6.27,6.63,7.35,7.53,7.93,7.42
Armenia,,,,,,,,,,,,,,2.43,2.35,2.27,2.41,2.28,1.94,2.42,2.27,2.69,2.8,3.08,2.41,2.23,2.39,2.93,2.13,2.22,
"Antigua and Barbuda",,,,,,,,,22.64,21.86,21.08,20.3,15.39,12.8,12.8,12.36,12.11,12.18,11.73,13.57,12.83,14.8,11.56,11.56,12,14.51,9.95,12.03,11.88,12.72,14.89
Australia,,,,18.56,14.155,9.75,8.77,7.79,6.81,6.82,6.49,6.1,5.83,4.8,3.69,3.74,3.69,3.07,3.38,3.45,3.15,3.67,2.8,1.77,1.81,1.84,1.91,1.9,1.18,0.89,0.86
Austria,3.59,3.77,4.8,4.5,4.18,3.79,4.16,6.28,4.4,3.66,3.47,3.48,2.27,3.27,2.22,2.31,2.1,2.26,2.15,2.06,1.56,1.7,1.89,1.43,1.31,1.38,1.84,1.89,1.96,1.79,1.69
Azerbaijan,,,,,,,,,,,,,,,6.75,6.53,6.31,6.09,5.065,4.04,3.86,4.4,4.23,4.06,4.76,4.74,5.23,5.19,,,
Burundi,,,,,,,,,,,,,,,13.34,13.8,17.45,21.1,17.49,12.28,10.72,13.84,8,6.83,6.99,5.39,5.99,6.13,5.91,6.9,7.89
Belgium,3.59,3.77,4.8,4.5,4.18,3.79,4.16,6.28,4.4,3.66,3.47,3.48,2.27,3.27,2.22,2.31,2.1,2.26,2.15,2.06,1.56,1.7,1.89,1.43,1.31,1.38,1.84,1.89,1.96,1.79,1.69
Benin,,,,,,,,,,,,,,12.62,12.7,12.69,12.7,12.68,11.57,11.03,11.03,11.03,11.03,11.15,11.15,11.15,10.64,11.81,11.2,17.84,15.25
"Burkina Faso",,,,,,5,5.77,6.54,7.31,8.08,8.85,9.62,10.39,11.16,11.45,11.3,11.38,11.03,8.73,8.77,8.77,8.77,8.7,8.48,8.42,8.42,7.92,6.86,6.93,9.08,7.79
Bangladesh,,88.43,86.182,83.934,81.686,79.438,77.19,63.4275,49.665,35.9025,22.14,18.51,18.1,17.88,18.31,19.06,15.8,22.7,21.62,9.23,7.71,10.71,9.94,9.63,12.84,12.09,11.955,11.82,10.72,,
Bulgaria,3.59,3.77,4.8,4.5,4.18,3.79,4.16,6.28,4.4,3.66,3.47,3.48,2.27,3.27,2.22,2.31,2.1,2.26,2.15,2.06,1.56,1.7,1.89,1.43,1.31,1.38,1.84,1.89,1.96,1.79,1.69
Bahrain,,,,,,,,,,,,10.72,10.36,8.51,5.79,5.76,5.77,5.14,4.96,4.48,4.23,4.61,5.15,3.15,3.15,3.76,2.93,3.3,3.13,7.83,4.28
Bahamas,,,,,,,,,,,,28.58,27.3933,26.2067,25.02,24.735,24.45,24.165,23.88,22.965,22.05,21.135,20.22,19.46,19.62,19.78,19.71,18.66,18.56,17.805,17.05
"Bosnia and Herzegovina",,,,,,,,,,,,,,5.07,5.832,6.594,7.356,8.118,8.88,6.36,5.96,3.65,3.04,2.56,2.42,2.39,2.58,1.22,1.23,2.53,2.76
Belarus,,,,,,,,,8.85,9.5,8.8767,8.2533,7.63,7.91,8.8,7.7917,6.7833,5.775,4.7667,3.7583,2.75,2.79,2.63,2.34,2.47,2.96,2.39,1.97,1.82,1.51,1.65
Belize,,,,,,,,,15.63,14.15,12.67,11.19,10.955,10.72,11.65,11.35,10.7567,10.1633,9.57,9.27,8.96,11.68,11.73,8.47,8.16,10.05,10.05,10.04,10.52,10.39,11.08
Bermuda,,,,,,,,,,,,,,,,,,,,18.75,18.98,18.68,18.61,17.06,17.44,17.23,15.27,18.67,18.73,20.85,27.59
Bolivia,,,,,,9.44,9.95,9.49,9.31,9.31,9.04,9.06,8.46,8.71,9.25,8.56,5.48,5.57,4.17,4.33,4.04,3.79,5.57,4.05,3.86,4.23,4.49,4.75,4.75,6.1,4.73
Brazil,,31.92,18.95,16.54,15.71,13.02,13.26,10.97,14.83,14,15.94,12.31,12.69,10.47,10.01,9.53,7.67,7.17,6.7,6.77,6.74,7.59,7.76,7.84,7.76,10.08,7.79,8.27,8.01,8.59,7.95
Barbados,,,,,,,,,22.93,22.8767,22.8233,22.77,21.01,20.34,20.78,21.45,15.48,14.07,12.66,14.79,15.1167,15.4433,15.77,13.15,8.42,14.21,,,,,
Brunei,,,,,4.43,6.175,7.92,9.665,11.41,11.25,11.26,6.35,7.85,10.88,10.74,11.9,6.12,5.85,5.46,5.24,1.52,1.42,2.51,0.95,0.7867,0.6233,0.46,0.48,0.5,0.03,0.03
Bhutan,,,,,,,,,14.55,14.715,14.88,15.045,15.21,15.375,15.54,18.515,21.49,21.51,15.74,9.97,9.0763,8.1825,7.2888,6.395,5.5013,4.6075,3.7138,2.82,,,
Botswana,,,,,,,,,,,,,,1.63,0.99,0.955,0.92,0.85,0.88,0.83,0.84,0.82,0.83,1.1,3.91,0.5,0.61,0.56,0.59,1.12,0.33
"Central African Republic",,,,,,,,13.36,13.4,13.44,14.655,15.87,17.085,18.3,16.86,29.86,29.86,29.49,29.87,15.23,15.23,15.23,15.23,15.51,17.44,16.61,16.525,16.44,16.44,16.44,
Canada,,7.02,6.1625,5.305,4.4475,3.59,5.14,6.69,5.43,1.99,1.44,1.01,1.31,1.6,1.49,2.46,1.51,1.46,1.45,1.54,1.54,1.7,1.46,1.38,1.4,1.45,1.43,1.65,1.56,1.52,1.47
Switzerland,,,7.35,7.8467,8.3433,8.84,12.805,16.77,7.91,3.04,2.7,2.6,2.34,2.35,2.19,2.65,2.11,2.32,2.71,1.89,1.79,1.77,1.49,1.91,1.36,1.97,1.87,1.3,1.31,1.68,1.7
Chile,,,,,10.95,10.94,10.93,10.63,10.97,10.97,10.94,9.96,9,8,6.96,5.77,3.95,3.99,2.36,2.95,2.27,1.92,2.08,1.98,1.78,5.89,3.265,0.64,5.89,0.49,0.49
China,,,,,32.17,30.29,27.93,23.845,19.76,15.82,15.5,14.46,14.67,14.11,7.72,6.48,5.96,4.87,4.25,5.07,4.47,3.94,4.65,5.99,5.5733,5.1567,4.74,4.52,3.54,3.83,3.39
"Ivory Coast",,,,,,4.89,4.6267,4.3633,4.1,4.724,5.348,5.972,6.596,7.22,9.69,9.61,8.54,7.61,7.29,6.56,6.56,7.48,7.14,6.95,6.59,6.59,6.33,8,8.16,10.28,10.17
Cameroon,,,,,,,13.7,14.49,14.3233,14.1567,13.99,13.8233,13.6567,13.49,13.9,14.27,14.27,14.45,13.81,13.01,13,11.58,13,12.65,11.7,12.99,12.7,,,,
"Congo (Kinshasa)",,,,,,,,,,,,,,,,12.65,12.1867,11.7233,11.26,11.57,11.07,12.04,11.03,10.82,10.61,10.4,10.19,,,,
"Congo (Brazzaville)",,,,,,,16.35,15.9633,15.5767,15.19,14.365,13.54,12.715,11.89,11.89,11.79,11.79,11.93,11.79,15.43,15.4,15.4,15.4,15.4,15.625,15.85,15.78,11.55,,,
Colombia,,,,6.45,10.55,11.095,11.64,11.91,11.19,11.31,11.18,10.68,10.96,10.83,11.28,11.06,9.77,9.62,8.75,8.82,8.72,8.23,9.02,5.51,4.43,4.51,4.21,6.54,6.98,4.4,3.28
Comoros,,,,,,,,,,,,,,,,,,,,,4.58,5.32,6.06,6.06,6.19,6.48,7.41,5.04,7.735,10.43,7.04
"Cape Verde",,,,,,,,,,,,,,,,,,13.75,13.19,12.23,12.23,11.93,11.05,10.3,10.6,10.89,10.89,10.89,,,
"Costa Rica",,,,,,,,8.56,9.04,7.53,6.32,4.07,3.7,4.44,4.23,3.44,4.04,4.14,3.32,3.76,3.31,2.18,2.07,2.13,1.76,1.8,1.73,1.755,1.78,1.79,1.8
Cuba,,,,,,10.75,10.1267,9.5033,8.88,8.82,8.88,8.78,8.45,9.15,8.79,9.01,7.78,7.26,9.25,9.23,9.13,9.15,8.88,8.07,8.18,7.74,7.7,7.66,8.02,7.15,
"Cayman Islands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.72,,
Cyprus,3.59,3.77,4.8,4.5,4.18,3.79,4.16,6.28,4.4,3.66,3.47,3.48,2.27,3.27,2.22,2.31,2.1,2.26,2.15,2.06,1.56,1.7,1.89,1.43,1.31,1.38,1.84,1.89,1.96,1.79,1.69
"Czech Republic",3.59,3.77,4.8,4.5,4.18,3.79,4.16,6.28,4.4,3.66,3.47,3.48,2.27,3.27,2.22,2.31,2.1,2.26,2.15,2.06,1.56,1.7,1.89,1.43,1.31,1.38,1.84,1.89,1.96,1.79,1.69
Germany,3.59,3.77,4.8,4.5,4.18,3.79,4.16,6.28,4.4,3.66,3.47,3.48,2.27,3.27,2.22,2.31,2.1,2.26,2.15,2.06,1.56,1.7,1.89,1.43,1.31,1.38,1.84,1.89,1.96,1.79,1.69
Djibouti,,,,,,,,,,,56.72,217.78,154.6833,91.5867,28.49,27.7633,27.0367,26.31,27.16,23.8633,20.5667,17.27,17.485,17.7,17.7,17.63,17.56,,,,
Dominica,,,,,,,,,18.61,15.98,16,15.96,13.82,13.51,14.82,14.2,12.06,9.92,7.78,7.85,8.9367,10.0233,11.11,8.18,8.15,8.7,11.21,13.72,8.41,8.3,
Denmark,3.59,3.77,4.8,4.5,4.18,3.79,4.16,6.28,4.4,3.66,3.47,3.48,2.27,3.27,2.22,2.31,2.1,2.26,2.15,2.06,1.56,1.7,1.89,1.43,1.31,1.38,1.84,1.89,1.96,1.79,1.69
"Dominican Republic",,,,,,,,,7.87,12.29,7.87,7.87,15.86,8.11,9.2,8.91,8.92,9.18,8.33,4.46,5.71,5.02,4.33,6.29,6.2,6.37,6.205,6.04,4.6,4.2,4.2
Algeria,,,,,,15.44,15.8125,16.185,16.5575,16.93,17.26,16.56,15.86,15.16,12.99,11.97,11.1,10.23,9.93,9.63,9.2,9.36,9.158,8.956,8.754,8.552,8.35,8.27,8.85,9.38,9.98
Ecuador,,,,,,8.15,11.47,11.05,10.95,10.39,10.7,11.11,9.58,11.16,10.67,9.9,8.95,8.69,6.16,5.9,5.14,4.5,6.11,4.2,4.34,4.715,5.09,6.38,6.81,7.03,7.35
Egypt,,,,,,,,17.05,16.09,15.13,14.17,16.68,16.82,16.72,19.89,15.04,10.63,8.76,10.05,8.92,8.02,8.26,9.71,7.71,7.47,8.55,7.43,7.08,6.63,7.41,8.19
Eritrea,,,,,,,,,,,,,,,5.8,5.7075,5.615,5.5225,5.43,,,,,,,,,,,,
Spain,3.59,3.77,4.8,4.5,4.18,3.79,4.16,6.28,4.4,3.66,3.47,3.48,2.27,3.27,2.22,2.31,2.1,2.26,2.15,2.06,1.56,1.7,1.89,1.43,1.31,1.38,1.84,1.89,1.96,1.79,1.69
Estonia,3.59,3.77,4.8,4.5,4.18,3.79,4.16,6.28,4.4,3.66,3.47,3.48,2.27,3.27,2.22,2.31,2.1,2.26,2.15,2.06,1.56,1.7,1.89,1.43,1.31,1.38,1.84,1.89,1.96,1.79,1.69
Ethiopia,,,,,,,,18.15,17.1433,16.1367,15.13,14.1233,13.1167,12.11,13.48,13.1175,12.755,12.3925,12.03,11.04,10.05,10.36,10.24,10.48,9.96,10.6867,11.4133,12.14,12.1367,12.1333,12.13
Finland,3.59,3.77,4.8,4.5,4.18,3.79,4.16,6.28,4.4,3.66,3.47,3.48,2.27,3.27,2.22,2.31,2.1,2.26,2.15,2.06,1.56,1.7,1.89,1.43,1.31,1.38,1.84,1.89,1.96,1.79,1.69
Fiji,,,,,,,,,,,,,,,,9.51,10.44,9.68,8.92,9.07,9.97,12.15,11.28,19.88,11.75,12.02,11.57,11.12,13.585,16.05,16.34
France,3.59,3.77,4.8,4.5,4.18,3.79,4.16,6.28,4.4,3.66,3.47,3.48,2.27,3.27,2.22,2.31,2.1,2.26,2.15,2.06,1.56,1.7,1.89,1.43,1.31,1.38,1.84,1.89,1.96,1.79,1.69
Gabon,,,,,,,,16.38,16.0633,15.7467,15.43,15.01,14.59,16.15,14.72,16.78,16.78,16.29,15.27,14.25,14.45,14.75,14.99,15.11,15.17,14.36,14.45,14.54,16.93,,
"United Kingdom",3.59,3.77,4.8,4.5,4.18,3.79,4.16,6.28,4.4,3.66,3.47,3.48,2.27,3.27,2.22,2.31,2.1,2.26,2.15,2.06,1.56,1.7,1.89,1.43,1.31,1.38,1.84,1.89,1.96,1.79,1.69
Georgia,,,,,,,,,,,,10.12,9.895,9.67,10.7,9.44,9.43,8.21,4.32,0.55,0.57,0.5,0.48,0.81,0.7,0.66,0.48,0.3,0.67,,
Ghana,,,,,,10,10.8857,11.7714,12.6571,13.5429,14.4286,15.3143,16.2,9.05,9.05,9.05,9.0275,9.005,8.9825,8.96,8.58,9.92,10.06,10.0267,9.9933,9.96,10.2367,10.5133,10.79,10.61,10.34
Guinea,,,,,,,,,,,5.97,5.9933,6.0167,6.04,6.0633,6.0867,6.11,12.53,12.3233,12.1167,11.91,11.75,11.91,11.91,11.91,11.978,12.046,12.114,12.182,12.25,11.29
Gambia,,,,,,,,,,,,,,,,11.09,11.9975,12.905,13.8125,14.72,14.77,13.46,12.02,12.5,12.5,12.66,13.744,14.828,15.912,16.996,18.08
"Guinea Bissau",,,,,,,,,,,,,,12.8,12.8,13.28,13.94,11.62,11.54,13.36,12.42,9.84,11.69,11.21,9.66,12.79,9.9,11.7667,13.6333,15.5,14.39
"Equatorial Guinea",,,,,,,,,,,15.16,14.9167,14.6733,14.43,15.8,15.6133,15.4267,15.24,15.435,15.63,,,,,,,,,,,
Greece,3.59,3.77,4.8,4.5,4.18,3.79,4.16,6.28,4.4,3.66,3.47,3.48,2.27,3.27,2.22,2.31,2.1,2.26,2.15,2.06,1.56,1.7,1.89,1.43,1.31,1.38,1.84,1.89,1.96,1.79,1.69
Grenada,,,,,,,,,18.58,17.7867,16.9933,16.2,11.31,15.81,12.04,11.43,10.5367,9.6433,8.75,9.5,9.36,8.59,7.82,11.24,12.05,11.19,11.555,11.92,12.41,,
Guatemala,,,,,,,,8.66,7.73,6.8,6.98,5.94,5.81,6.44,6.11,6.18,4.9,5.82,5.39,4.53,2.74,2.84,2.35,2.21,2.46,1.75,1.48,1.39,,,
Guyana,,,,,,,,,18.71,17.54,16.37,15.2,15.54,11.61,11.84,11.5,9.7367,7.9733,6.21,11.08,6.31,11.58,6.6,6.84,7.13,8.01,7.37,6.73,6.58,6.61,3.74
Honduras,,,,,,,,8.97,7.8,9.76,8.05,7.7,8.35,8.76,7.18,7.18,4.94,6.01,5.92,4.47,3.5,6.71,6.65,6.35,6.31,5.77,4.28,2.79,2.9967,3.2033,3.41
Croatia,3.59,3.77,4.8,4.5,4.18,3.79,4.16,6.28,4.4,3.66,3.47,3.48,2.27,3.27,2.22,2.31,2.1,2.26,2.15,2.06,1.56,1.7,1.89,1.43,1.31,1.38,1.84,1.89,1.96,1.79,1.69
Haiti,,,,,,,,,,,,,,3.59,3.8,3.99,4.18,4.37,4.56,4.75,4.81,3.5,6.97,6.58,4.44,6.52,7.18,6.55,6.52,,
Hungary,3.59,3.77,4.8,4.5,4.18,3.79,4.16,6.28,4.4,3.66,3.47,3.48,2.27,3.27,2.22,2.31,2.1,2.26,2.15,2.06,1.56,1.7,1.89,1.43,1.31,1.38,1.84,1.89,1.96,1.79,1.69
Indonesia,,14.54,15.09,14.23,13.37,12.51,11.675,10.84,7.73,15.06,5.48,6.05,5.16,4.14,4.38,4.04,4.02,3.97,3.53,2.9,4.38,1.71,2.56,2.62,2.54,2.37,2.46,2.55,2.64,2.06,2
India,,,56.36,41.685,27.01,26.1875,25.365,24.5425,23.72,20.13,24.32,28.51,23.36,26.51,23.08,21.45,22.96,13.9,8.99,11.99,5.98,6.84,6.1,7.33,6.32,6.34,6.83,7.32,6.35,5.78,4.88
