Country,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,,,,,,,,,,,,,,,,,3.11,3.985,4.86,4.89,6.79,7.0975,7.405,7.7125,8.02,7.16,,
Albania,,,,,,,,,,12.8,12.1433,11.4867,10.83,10.6,7.68,7.57,6.97,6.51,6.36,5.21,3.24,5.29,4.95,1.76,1.68,1.87,2.02,1.95
Algeria,,,,,,8.94,9.8725,10.805,11.7375,12.67,14.64,13.2533,11.8667,10.48,12.87,10.55,9.855,9.16,9.39,8.66,8.03,8.89,9.106,9.322,9.538,9.754,9.97,9.85
Angola,,,,,,,,,,,,,,,14.3,13.555,12.81,12.59,13.1,13.37,13.64,14.54,14,13.84,13.69,13.29,16.83,16.73
"Antigua and Barbuda",,,,,,,,,19.15,18.6433,18.1367,17.63,15.52,13.22,13.22,11.07,10.59,10.71,11.93,13.08,12.57,16.29,9.28,9.28,10.48,14.81,7.08,9.53
Argentina,,,,,5.83,4.94,4.68,4.42,6.66,6.74,9.13,5.63,5.05,4.52,6.45,5.69,2.26,1.73,1.44,1.39,1.12,1.52,1.36,1.13,1.16,1.03,1.15,1.46
Armenia,,,,,,,,,,,,,,3.4,3.525,3.65,3.16,3.09,1.51,2.78,2.17,3.4,3.21,3.33,1.89,1.76,1.98,1.4
Aruba,,,,,,,,,,,,,,,,,,,,,,,,4.73,4.42,4.42,4.245,4.07
Australia,,,,68.06,38.295,8.53,10.3733,12.2167,14.06,12.68,9.2,17.3,0.78,0.82,0.73,0.74,0.69,0.61,0.38,0.47,0.36,0.54,0.41,0.29,0.27,0.28,0.34,0.47
Austria,2.73,2.71,3.7,3.73,4.06,3.62,3.54,8.79,6.23,5.58,4.8,3.31,0.91,1.64,1.04,0.99,0.73,0.75,0.59,0.61,0.46,0.58,0.57,0.46,0.43,0.43,0.69,0.75
Azerbaijan,,,,,,,,,,,,,,,4.78,4.9967,5.2133,5.43,4.535,3.64,3.21,3.78,3.825,3.87,3.44,3.44,3.31,3.13
