Country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Albania,8,8,8,8,8,8,8,8,8,8,8,8,8
Argentina,8,8.5,9,9,9,9,9,9,9,9,9,9,9
Armenia,,,7,,,,,,,,,,
Bangladesh,6,6,6,6.5,7,7.5,8,8,8,7.5,7,,
Benin,,,9,9,9,9,9,9,9,9,9,9,9
Bolivia,5,5,5,5.5,6,6.5,7,7,7,7,7,7,7
"Bosnia and Herzegovina",6,6,6,6,6,6,6,6,6,6,6,6,6
Botswana,9,9,9,9,9,9,9,8.5,8,8,8,8,8
Brazil,6,6.5,7,7.5,8,8,8,8,8,7.5,7,6,5
Bulgaria,8,8,8,8.5,9,8.5,8,7.5,7,7,7,7,7
"Burkina Faso",,,9,8.9,8.8,8.7,8.6,8.5,8.4,8.3,8.2,8.1,8
Burundi,,,6,,,,,,,,,,
Chile,8,8,8,7.5,7,7,7,7,7,7,7,7,7
Colombia,5,5.5,6,6.5,7,6.5,6,6.5,7,6.5,6,6,6
"Congo (Brazzaville)",,,7,,,,,,,,,,
"Congo (Kinshasa)",,,3,,,,,,,,,,
"Costa Rica",10,10,10,10,10,10,10,9.5,9,8.5,8,8,8
Croatia,9,9,9,9,9,8.5,8,7.5,7,7,7,7,7
"Czech Republic",10,10,10,10,10,9.5,9,8.5,8,8.5,9,9,9
"Dominican Republic",8,8.5,9,9,9,8.5,8,8,8,8,8,8,8
Ecuador,4,4,4,4.5,5,5,5,5,5,5,5,5,5
"El Salvador",7,6.5,6,6,6,6.5,7,7,7,7,7,6.5,6
Estonia,10,10,10,10,10,9.5,9,9.5,10,10,10,10,10
Georgia,7,7.5,8,7.5,7,6.5,6,6.5,7,7,7,6.5,6
Ghana,9,9,9,9,9,9,9,9,9,9,9,8.5,8
Guatemala,4,4.5,5,5,5,5,5,4.5,4,4,4,4,4
Guinea,,,,,,,,,,,7,7,7
Haiti,,,,,6,,,,,,,,
Honduras,6,6,6,6,6,6,6,5.5,5,5,5,5,5
Hungary,9,9,9,9,9,8.5,8,7.5,7,7.5,8,7.5,7
India,9,9,9,9,9,9,9,9,9,9,9,9,9
Indonesia,6,6,6,6.5,7,7,7,7,7,7,7,7,7
Iraq,,,,,,,,,4,,,,
"Ivory Coast",,,,,,,,,,,6,6,6
Jamaica,8,8,8,8,8,7.5,7,7,7,7,7,7,7
Kenya,9,9,9,8.5,8,8,8,8,8,8,8,8,8
Kosovo,,,,,7,7,7,7,7,7,7,6.5,6
Kyrgyzstan,,,7,7,7,7,7,7,7,6.5,6,6,6
Latvia,8,8,8,8.5,9,8.5,8,8,8,8,8,8,8
Lebanon,8,8,8,7.5,7,7,7,7,7,6.5,6,,
Lesotho,,,,,6,6,6,6,6,6,6,6,6
Liberia,,,,,,,7,7,7,7,7,6.5,6
Lithuania,9,9,9,9,9,9,9,9,9,9,9,9,9
"Macedonia (F.Y.R.O.M.)",6,7,8,8,8,8,8,7.5,7,7,7,7,7
Madagascar,7,7.5,8,7,6,5.6667,5.3333,5,4.6667,4.3333,4,4,4
Malawi,7,7,7,7,7,7,7,6.5,6,6,6,6,6
Mali,9,8.5,8,8,8,8,8,7.5,7,6.5,6,6.5,7
Mauritius,,,7,7.5,8,8,8,8,8,8.5,9,9,9
Mexico,7,7,7,6.5,6,6,6,6,6,5.5,5,5,5
Moldova,6,6.5,7,7,7,6.5,6,6,6,6,6,5.5,5
Mongolia,7,7,7,7,7,7,7,7,7,7,7,7,7
Montenegro,,,8,8,8,8,8,8,8,8,8,8,8
Mozambique,6,6,6,6.5,7,7,7,7,7,5.5,4,,
Namibia,6,6.5,7,7,7,6.5,6,6.5,7,7,7,7,7
Nepal,,,,,,,,,,,5,4.5,4
Nicaragua,7,7,7,7,7,6.5,6,6,6,6,6,,
Niger,,,,,,,,,,,7,7,7
Nigeria,8,7,6,6,6,6,6,6,6,6,6,6,6
Panama,8,7.5,7,7.5,8,8,8,7.5,7,7,7,6.5,6
"Papua New Guinea",7,7,7,7,7,7,7,7,7,7,7,7,7
