Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18000000,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,3000000,3384615.3846,3769230.7692,4153846.1538,4538461.5385,4923076.9231,5307692.3077,5692307.6923,6076923.0769,6461538.4615,6846153.8462,7230769.2308,7615384.6154,8000000,7400000,6800000,6200000,5600000,5000000,4400000,3800000,3200000,2600000,2000000,,,,,,,,,,,,,,,,,
"United Arab Emirates",,,,,,,,,,,,,,,8000000,8666666.6667,9333333.3333,10000000,10666666.6667,11333333.3333,12000000,12666666.6667,13333333.3333,14000000,16666666.6667,19333333.3333,22000000,1000000,1333333.3333,1666666.6667,2000000,7200000,12400000,17600000,22800000,28000000,6000000,32000000,27857142.8571,23714285.7143,19571428.5714,15428571.4286,11285714.2857,7142857.1429,3000000,11000000,17000000,3000000,18500000,34000000,39000000,3000000,69000000,106000000,73000000,131000000,92000000,97000000,113000000,104000000
Argentina,,,6000000,5000000,4000000,5000000,6000000,7000000,8000000,8750000,9500000,10250000,11000000,8500000,6000000,3500000,1000000,3333333.3333,5666666.6667,8000000,1000000,24000000,3000000,1000000,1750000,2500000,3250000,4000000,1000000,3500000,6000000,7666666.6667,9333333.3333,11000000,4000000,5000000,4400000,3800000,3200000,2600000,2000000,6000000,2000000,2000000,2000000,2000000,2000000,1800000,1600000,1400000,1200000,1000000,,,,,,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000000,,,,,,,,,,,,,
Australia,,2000000,4000000,7142857.1429,10285714.2857,13428571.4286,16571428.5714,19714285.7143,22857142.8571,26000000,17000000,36000000,6000000,72000000,92000000,131000000,113000000,62000000,21000000,22000000,15000000,15000000,24000000,31000000,62000000,10000000,57000000,89000000,18000000,18000000,158000000,85000000,57500000,30000000,36000000,36000000,16000000,20000000,4000000,17000000,30000000,43000000,47000000,44000000,2000000,49000000,14000000,18000000,26000000,80000000,115000000,143000000,45000000,54000000,97000000,87000000,134000000,98000000,38000000,148000000
Austria,,,,,,,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,8200000,15400000,22600000,29800000,37000000,126000000,54000000,70000000,60000000,56000000,58000000,248000000,40000000,30000000,12000000,12000000,30000000,20000000,20000000,10000000,17000000,17500000,18000000,1000000,29000000,23000000,24000000,17000000,83000000,3000000,3000000,4000000,63000000,100000000,15000000,44000000,49000000,53000000,25000000,29000000,15000000,10000000,16000000,22000000,6000000,3000000
Belgium,3000000,2500000,2000000,1500000,1000000,6500000,12000000,9666666.6667,7333333.3333,5000000,4666666.6667,4333333.3333,4000000,3666666.6667,3333333.3333,3000000,2666666.6667,2333333.3333,2000000,3000000,1000000,19000000,41000000,89000000,115000000,3000000,19000000,18500000,18000000,36000000,1000000,1000000,11666666.6667,22333333.3333,33000000,167000000,59000000,93000000,46000000,45000000,26000000,37000000,35000000,15000000,47000000,159000000,59000000,19000000,217000000,243000000,9000000,116000000,22000000,55000000,10000000,12000000,7000000,12000000,16000000,42000000
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,2000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,4000000,38000000,72000000,106000000,72333333.3333,38666666.6667,5000000,6000000,42000000,16000000,28000000,55000000,1000000,21000000,6000000,39000000,167000000,2000000,10000000,37000000,44000000,19000000,86000000,5000000,9000000,4000000,16000000,4000000,2000000,13000000,21000000,14000000,70000000,61000000,30000000,14000000,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000000,,,,,,,,,,,,,,,,,,
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000000,5111111.1111,6222222.2222,7333333.3333,8444444.4444,9555555.5556,10666666.6667,11777777.7778,12888888.8889,14000000,8500000,3000000,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000000,7500000,7000000,129000000,341000000,63000000,452000000,293000000,49000000,63000000,57000000,19000000,53000000,43000000,6000000,224000000,41000000,159000000,96000000,65000000,268000000,68000000,142000000,152000000,50000000,45000000,115000000
Brazil,2000000,12000000,10875000,9750000,8625000,7500000,6375000,5250000,4125000,3000000,8800000,14600000,20400000,26200000,32000000,59000000,104000000,145000000,179000000,70000000,156000000,62000000,122000000,196000000,267000000,197000000,126000000,191000000,183000000,47000000,96000000,114000000,90000000,36000000,54000000,33000000,23000000,23000000,16000000,16750000,17500000,18250000,19000000,32500000,46000000,1000000,44000000,53000000,92000000,43000000,143000000,31000000,33000000,31000000,42000000,41000000,111000000,37000000,100000000,10000000
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24000000,21600000,19200000,16800000,14400000,12000000,,,
Canada,52000000,314000000,188000000,214000000,253000000,111000000,102000000,53000000,197000000,166000000,196000000,293000000,327000000,130000000,121000000,148000000,329000000,169000000,190000000,195000000,161000000,130000000,259000000,120000000,108000000,100000000,261000000,279000000,153000000,49000000,101000000,121000000,143000000,146000000,167000000,263000000,160000000,95000000,40000000,79000000,74000000,129000000,183000000,288000000,286000000,242000000,244000000,342000000,247000000,192000000,250000000,330000000,277000000,191000000,203000000,346000000,120000000,72000000,111000000,188000000
Switzerland,442000000,500000000,530000000,337000000,379000000,484000000,367000000,261000000,91000000,104000000,18000000,42000000,34000000,54000000,89000000,395000000,480000000,260000000,196000000,446000000,482000000,513000000,398000000,314000000,512000000,344000000,337000000,303000000,352000000,311000000,454000000,482000000,446000000,234000000,173000000,139000000,186000000,118000000,211000000,280000000,182000000,209000000,166000000,185000000,255000000,253000000,296000000,302000000,459000000,229000000,251000000,327000000,230000000,175000000,330000000,471000000,212000000,173000000,237000000,254000000
Chile,,,,,,,,,,,,,,,,,,,,,,,,1000000,1666666.6667,2333333.3333,3000000,3000000,4000000,4000000,3500000,3000000,8000000,13250000,18500000,23750000,29000000,15500000,2000000,1000000,1000000,1000000,1000000,17500000,34000000,50500000,67000000,83500000,100000000,86666666.6667,73333333.3333,60000000,46666666.6667,33333333.3333,20000000,,,,,
China,285000000,35000000,51000000,11000000,67000000,386000000,619000000,410000000,730000000,657000000,893000000,1292000000,1238000000,674000000,511000000,668000000,586000000,224000000,617000000,560000000,949000000,642000000,1504000000,1770000000,1929000000,1263000000,1861000000,2605000000,1411000000,1041000000,941000000,1312000000,700000000,1436000000,1105000000,1010000000,768000000,429000000,353000000,332000000,299000000,515000000,525000000,700000000,413000000,286000000,668000000,510000000,652000000,1140000000,1478000000,1277000000,1540000000,2080000000,1226000000,1799000000,2372000000,1346000000,1140000000,1423000000
"Ivory Coast",,,,,,,,,,,,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,
"Congo (Kinshasa)",,,,,,,,,,,,,,,,,,,,1000000,2166666.6667,3333333.3333,4500000,5666666.6667,6833333.3333,8000000,9166666.6667,10333333.3333,11500000,12666666.6667,13833333.3333,15000000,16166666.6667,17333333.3333,18500000,19666666.6667,20833333.3333,22000000,,,,,,,,,,,,,,,,,,,,,,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000000,5333333.3333,5666666.6667,6000000,6333333.3333,6666666.6667,7000000,7333333.3333,7666666.6667,8000000,8333333.3333,8666666.6667,9000000,9333333.3333,9666666.6667,10000000,10000000,10000000
Cuba,,,,,,,,,,,,,,,,1000000,4666666.6667,8333333.3333,12000000,10000000,8000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36000000,,,,,,,,,,,,,,,,,,,,,,,
"Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202000000,319000000,143000000,126000000,24000000,21000000,57000000,81000000,88000000,60000000,64000000,1000000,70000000,44000000,32000000,32000000,23000000,4000000,10000000,8000000,40000000,26000000,150000000,148000000,88000000,88000000,13000000
