Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,40000000,56000000,64000000,40000000,56000000,91000000,198000000,230000000,145000000,92000000,9000000,149000000,124000000,112666666.667,101333333.333,90000000,230000000,75000000,283000000,360000000,352000000,382000000,294000000,236000000,368000000,153000000,287000000,563000000,1048000000,2154000000,1873000000,1411000000,1285818181.82,1160636363.64,1035454545.45,910272727.273,785090909.091,659909090.909,534727272.727,409545454.545,284363636.364,159181818.182,34000000,34333333.3333,34666666.6667,35000000,3000000,41000000,150000000,344000000,377000000,660000000,521000000,235000000,288000000,116000000,176000000,252000000,361000000,391000000
Angola,,,,,,,,,,,,,,,1000000,242000000,184000000,105000000,146000000,111000000,155000000,241000000,379000000,576000000,482000000,531000000,705000000,1186000000,965000000,152000000,140000000,134000000,128000000,122000000,111000000,1000000,44000000,7000000,149000000,358000000,147000000,156000000,148000000,48000000,8000000,39000000,7000000,31000000,29000000,20000000,22750000,25500000,28250000,31000000,2000000,47000000,142000000,108000000,270000000,166000000
Albania,62000000,74000000,46000000,11000000,7000000,140000000,74000000,161000000,265000000,297000000,250000000,330000000,134000000,104000000,134000000,53000000,5000000,7000000,5000000,6235294.1176,7470588.2353,8705882.3529,9941176.4706,11176470.5882,12411764.7059,13647058.8235,14882352.9412,16117647.0588,17352941.1765,18588235.2941,19823529.4118,21058823.5294,22294117.6471,23529411.7647,24764705.8824,26000000,23000000,20000000,17000000,14000000,11000000,8000000,5000000,2000000,4500000,7000000,6000000,5000000,7000000,9000000,11000000,13000000,15000000,7000000,7000000,7000000,5500000,4000000,1000000,5000000
"United Arab Emirates",,,,,,,,,13000000,13000000,69000000,24000000,26000000,93000000,106000000,144000000,270000000,294000000,207000000,18000000,203000000,430000000,159000000,164000000,312000000,144000000,137000000,199000000,42000000,652000000,559000000,235000000,201000000,579000000,566000000,419000000,480000000,688000000,758000000,437000000,247000000,186000000,222000000,685000000,1211000000,2171000000,2023000000,919000000,753000000,597000000,643000000,1236000000,1155000000,2311000000,767000000,1222000000,955000000,965000000,1197000000,644000000
Argentina,111000000,205000000,48000000,19000000,19000000,7000000,93000000,146000000,430000000,223000000,248000000,369000000,396000000,236000000,450000000,260000000,494000000,198000000,447000000,451000000,445000000,867000000,421000000,1322000000,685000000,450000000,229000000,224000000,71000000,14000000,169000000,98000000,27000000,14000000,209000000,43000000,28000000,105000000,172000000,276000000,213000000,6000000,15000000,11000000,169000000,3000000,9000000,24000000,23000000,11000000,11000000,15000000,3000000,12000000,7000000,21000000,17000000,43000000,25000000,53000000
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000000,181000000,47000000,70000000,47333333.3333,24666666.6667,2000000,25200000,48400000,71600000,94800000,118000000,79000000,40000000,1000000,23500000,46000000,52000000,5000000,10500000,16000000,47333333.3333,78666666.6667,110000000,18000000,133000000,248000000
Australia,113000000,40000000,571000000,383000000,528000000,900000000,694000000,764000000,450000000,828000000,240000000,319000000,60000000,701000000,884000000,96000000,81000000,268000000,1019000000,191000000,404000000,449000000,131000000,633000000,626000000,515000000,819000000,592000000,743000000,693000000,352000000,213000000,365000000,449000000,262000000,64000000,597000000,35000000,542000000,673000000,338000000,1236000000,663000000,801000000,472000000,459000000,727000000,677000000,445000000,777000000,1511000000,1559000000,868000000,236000000,919000000,1464000000,1025000000,1671000000,1575000000,1399000000
Austria,16000000,27000000,56000000,201000000,73000000,78000000,61000000,47000000,1000000,12000000,102000000,135000000,103000000,22000000,22000000,6000000,12000000,10000000,8000000,72000000,195000000,73000000,97000000,145000000,13000000,28000000,19000000,7000000,117000000,84000000,5000000,6000000,5000000,9000000,40000000,24000000,10000000,182000000,228000000,48000000,25000000,15000000,69000000,42000000,56000000,24000000,4000000,269000000,190000000,286000000,7000000,8000000,8000000,6000000,2000000,1000000,13000000,8000000,4000000,14000000
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50000000,25000000,21333333.3333,17666666.6667,14000000,10333333.3333,6666666.6667,3000000,46000000,89000000,46500000,4000000,53000000,159000000,213000000,33000000,145000000,155000000,557000000,339000000,404000000,612000000,335000000,274000000,275000000,322000000,25000000
Burundi,,,,,,,5000000,2000000,2500000,3000000,2818181.8182,2636363.6364,2454545.4545,2272727.2727,2090909.0909,1909090.9091,1727272.7273,1545454.5455,1363636.3636,1181818.1818,1000000,5000000,3000000,9000000,2000000,2800000,3600000,4400000,5200000,6000000,6000000,5545454.5455,5090909.0909,4636363.6364,4181818.1818,3727272.7273,3272727.2727,2818181.8182,2363636.3636,1909090.9091,1454545.4545,1000000,3000000,2714285.7143,2428571.4286,2142857.1429,1857142.8571,1571428.5714,1285714.2857,1000000,2000000,3500000,5000000,3666666.6667,2333333.3333,1000000,2000000,,,
