Country,2010,2011,2012,2013,2014,2015
Angola,3.266015,2.803950884,2.5932,2.382353,2.349348187,
Albania,3.323856,3.808818382,3.815519981,3.54935305,3.735358722,3.735358722
"United Arab Emirates",5.388012,5.481302731,5.474949734,5.421448,5.542431524,5.542431524
Argentina,3.366384,3.566858211,3.436614973,3.126619729,3.054536909,3.054536909
Armenia,3.53756,3.974200508,4.47411619,4.577411995,4.301787534,4.301787534
Australia,6.032637,5.749494923,5.7589794,5.592048264,5.593650588,5.593650588
Austria,5.858264,5.818415873,5.861674164,5.718032434,5.441037804,5.441037804
Azerbaijan,4.012272,3.99805624,3.699188001,3.808146608,4.087762934,4.087762934
Burundi,2.875297,2.807728322,2.494292056,2.526993978,2.758902695,2.758902695
Belgium,6.076574,6.136687067,5.978633354,5.753940296,5.85314006,5.85314006
Benin,4.266404,4.067593807,3.541702308,3.34267258,3.34267258,3.34267258
"Burkina Faso",3.10734,3.416739872,3.545375701,3.207103088,3.379557886,
Bangladesh,4.053594,4.128859582,3.952629581,3.883094814,4.058515253,4.058515253
Bulgaria,4.104299,3.922699452,3.812498807,3.808491534,4.172199206,4.172199206
Bahrain,5.849529,6.085683124,5.905304338,5.65390538,5.70840701,5.70840701
"Bosnia and Herzegovina",3.565568,3.565568,3.6908481,3.79335,3.79335,3.79335
Belize,,3.476881,,,,
Bolivia,4.085701,3.715840065,3.549281609,3.737810318,3.845037446,3.845037446
Brazil,5.571288,5.619595309,5.53710316,5.288585761,5.22370364,5.22370364
Barbados,4.859904,5.055361141,5.1154338,4.920360112,4.86939877,
Brunei,4.64959,4.709816457,4.818970593,4.789936323,,
Bhutan,,,,3.752237,3.90623943,3.90623943
Botswana,4.504085,4.505788494,4.561982429,4.417083649,4.353485058,4.353485058
Canada,6.406627,6.312331002,6.246074335,6.069974482,6.148537636,6.148537636
Switzerland,6.585033,6.647110971,6.502437383,6.417732603,6.491312693,6.491312693
Chile,5.838193,5.865252306,5.816137014,5.61234385,5.544986015,5.544986015
China,4.638976,4.735815241,4.620824766,4.502422714,4.517345109,4.517345109
"Ivory Coast",3.874525,3.651741788,3.435904307,3.605425918,3.749284453,3.749284453
Cameroon,3.34149,3.63053838,3.909645593,3.85119114,3.805395772,3.805395772
Colombia,4.923622,4.630634839,4.655111813,4.86118018,4.761795647,4.761795647
"Cape Verde",3.682797,3.737768737,3.723128543,3.666958245,3.717801335,3.717801335
"Costa Rica",4.734907,4.483337238,4.471296896,4.444335239,4.382909872,4.382909872
Cyprus,5.23764,5.304885881,5.226846781,5.018173758,4.681641159,4.681641159
"Czech Republic",5.079334,5.201110452,5.030868762,4.740887392,5.139940086,5.139940086
Germany,6.105438,5.799546015,5.784948055,5.703815911,5.6207904,5.6207904
Denmark,5.567267,5.655785759,5.292810911,5.144757766,5.27589536,5.27589536
"Dominican Republic",4.678302,4.621100242,4.963701455,5.186615895,4.846121437,4.846121437
Algeria,3.227992,2.715585904,2.564964204,3.015244856,3.046974063,3.046974063
Ecuador,3.771213,3.978359388,4.093953,4.164930998,4.164930998,4.164930998
