Country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Albania,2.453553524,2.501615051,2.827006748,3.208843936,3.553886914,3.52998269,3.305309556,3.57327925,3.812080155,4.181996935
Algeria,3.040908855,3.146689459,3.155086755,3.199356429,3.38104111,3.0016514,2.776155821,3.066817073,3.14744899,3.245029145
Angola,,,,,2.689028,2.227996209,2.3867,2.545455,2.455032429,
Argentina,4.369519598,4.259515217,4.034319521,4.159412284,4.534873117,4.455191579,4.312602595,4.362772356,4.207218459,4.384828444
Armenia,3.054437634,2.921520105,2.817619058,3.046098117,3.03340665,3.183854265,3.548104937,3.471536985,3.278508826,3.63116398
Australia,5.307996032,5.197679149,5.272855817,5.278427347,5.255797872,5.389447754,5.322434657,5.067739656,5.212798871,5.653279427
Austria,5.31856095,5.320012807,5.233386816,5.549055134,5.885720362,5.961084454,6.091206314,6.092645462,5.932423318,5.89280956
Azerbaijan,3.799773081,3.744820797,3.927372669,4.1098186,4.099775039,4.262241678,4.449374696,4.238253233,3.975579277,3.975579277
Bahrain,3.058569501,3.425327687,3.816785151,3.37753713,3.916640161,4.718771919,4.602709786,4.424264606,4.520391626,4.888178146
Bangladesh,2.493735337,2.432656506,2.758168332,3.047998134,2.9981353,2.690378967,2.778719758,3.157158121,3.107248408,3.081080088
Barbados,3.509803922,3.667997537,4.121957971,4.077694625,4.078221419,4.403752012,4.601402364,4.688177844,4.666560076,
Belgium,5.630056491,5.732136019,5.612776404,5.630311121,5.793616422,5.802006436,5.896617176,5.93952527,6.000514694,6.07687026
Belize,,,,,,2.571749,,,,
Benin,3.261102261,3.396870785,3.688911286,3.861025426,3.910664163,4.091946675,4.059277969,3.831116262,3.8398,3.848484755
Bhutan,,,,,,,,3.321626,3.135880471,3.288777568
Bolivia,2.935245603,2.952040359,3.003563389,3.192819803,3.323144184,3.348575398,3.540388691,3.599785422,3.670246224,3.64985706
"Bosnia and Herzegovina",3.442610144,3.310971144,2.810733092,2.750009552,2.956226014,3.037476,3.4214112,3.73554,3.4399,3.144230843
Botswana,3.145163128,3.139907894,3.250910255,3.19198708,3.358151417,3.393003334,3.717951122,3.621878247,3.393377728,3.702243957
Brazil,4.690514531,4.67484522,4.863489484,4.786021165,4.671273937,4.698295788,4.751574331,4.706124645,4.454553823,3.681978536
Brunei,,,3.2271,3.283583746,3.222555974,3.155380994,3.527928,3.911455426,,
Bulgaria,3.737134288,3.754114307,3.838540682,3.912112629,3.922110987,3.867228937,3.80563898,3.61153477,3.412392248,3.449989042
"Burkina Faso",3.282608696,3.473795647,3.746949156,3.712563434,3.6983372,3.829863496,3.740576032,3.575269119,3.544166988,
Burundi,2.195121951,2.228239525,3.134359158,3.040059287,2.15257119,2.21003427,2.239839673,2.541751206,2.779074444,2.779074444
"Cape Verde",,,,,2.948792,2.981033294,3.282774792,3.35063096,3.470631447,3.922608852
Cambodia,3.02620043,3.132257513,3.095849475,3.310865398,3.327138616,3.596893518,4.021859292,3.874128471,3.559543699,3.456808474
Cameroon,3.252410546,3.237609971,3.510479711,3.307041911,3.522889929,3.99585477,4.130121772,4.146368435,4.037293126,4.035477374
Canada,5.630664971,5.684195111,5.629287583,5.615055199,5.685833084,5.480023749,5.476900469,5.376874039,5.286732428,5.540642397
Chad,2.503296339,2.868119903,2.798571459,2.905480127,2.876600277,2.9769065,3.318071253,2.970986716,2.679302855,2.917659781
Chile,4.489719152,4.630316861,4.31933124,4.583191285,4.863136522,4.761718581,4.738355049,4.58679985,4.458798953,4.713490183
China,4.29347871,4.379923809,4.489327929,4.351010654,4.407851961,4.510363972,4.357753549,4.355947786,4.351062494,4.204798681
Colombia,3.743910623,3.785944453,4.015133589,4.139564637,4.115997363,4.078838501,4.090645805,4.248773973,4.141082336,3.936956537
"Costa Rica",4.248726722,4.485420867,4.435190774,4.598033274,4.85992105,4.773295677,4.943398038,5.016078326,4.861058789,5.081106927
"Ivory Coast",,,3.71454,3.961936828,4.160605037,4.112937249,4.125624159,4.406589999,4.29967481,4.715165594
Croatia,4.302447782,4.3876067,4.260507459,4.202492585,4.211245473,4.23340295,4.100280363,4.173205314,4.141640508,4.050477004
Cyprus,3.960515545,3.866139057,4.251326917,4.59570393,4.468826259,4.067942251,4.390727666,4.869611525,4.717786014,4.643624386
"Czech Republic",4.941944486,4.821702417,4.91834626,5.289270183,5.364560384,5.213268686,5.064039308,4.999063234,4.87201311,5.058837805
Denmark,5.696243399,5.648174685,5.765771928,5.888575521,5.795303575,5.652029484,5.274069746,5.247717716,5.318759311,5.618993631
"Dominican Republic",3.352027099,3.327753878,3.619691105,4.06297825,3.930770089,3.720344238,3.932965883,4.124312205,4.075849369,3.87350093
Ecuador,3.2296791,3.263068761,3.18260915,3.327720707,3.435239365,3.48565984,3.552381,3.917757507,3.9891,4.060344696
Egypt,3.645886018,3.618810967,3.566906726,3.860630283,4.1492127,3.860255128,3.676048095,3.665090953,3.238549967,2.745947448
"El Salvador",3.545765385,3.60630155,3.745304429,3.961211678,3.909179032,3.851227136,3.946559011,4.278614979,4.500670179,4.047809531
Estonia,4.833948254,4.800347395,4.944150747,4.893055364,4.771703425,4.682291983,4.6382773,4.721520972,4.829875981,5.023510399
Ethiopia,2.560855455,2.876036786,3.103112557,3.223379179,3.065989416,2.635340863,2.855817238,3.163066605,3.268253794,3.564375497
Finland,5.815241379,5.708420647,5.82061134,5.935252492,5.811886968,5.63637269,5.668612957,5.868658821,5.896036609,5.970607895
France,5.757208295,5.589651294,5.69339258,5.751143174,5.88995205,5.730389235,5.408393585,5.415289344,5.286006803,5.377852085
Gabon,,,,,,,2.624391,2.822027404,3.022526243,2.973620694
Gambia,2.657220163,3.018194217,3.544175527,3.818026661,4.008740283,4.069417262,4.422108153,4.221047282,3.991740501,4.201783305
Georgia,2.957880965,2.849537139,3.00547818,3.025736538,3.013786691,3.181433453,3.288754,3.310102982,3.371156793,3.465650742
Germany,6.065908789,5.98003183,5.806670935,6.028453536,6.214501003,5.984667123,6.087904661,6.10375171,6.032922789,5.898314354
Ghana,,,3.350755,3.374850128,3.510090308,3.592102844,3.714631849,3.819987543,3.782939177,4.119591094
Greece,3.819514922,3.760128377,3.673779455,3.784284763,3.736811677,3.778304439,3.789904585,3.83440791,3.829404911,3.768198271
Guatemala,3.692334019,4.101088085,4.252568141,4.192031139,4.361599459,4.390823238,4.393001435,4.397644193,4.402045023,4.768257486
Guinea,,,,,,,3.12356,3.070787969,2.763066982,2.763066982
Guyana,2.585211268,2.536205808,2.894365443,3.062671798,3.37564213,3.636064671,3.667117319,4.095430424,4.047768715,4.176376073
Haiti,,,,,,2.280461,2.431272782,2.804460274,2.749553455,2.679511662
Honduras,3.297779862,3.783065939,3.718085358,3.6229272,3.734930097,3.721287546,3.72049267,3.719066112,3.960105895,4.241043707
"Hong Kong",4.929578735,5.083416478,4.88015505,5.0548686,5.421919278,5.270293439,5.532560475,5.750051298,5.41596349,5.543452329
Hungary,4.19526307,3.970555268,3.800792679,4.329752471,4.428210088,4.03327181,3.9402758,3.94145146,3.908755272,4.012970088
Iceland,4.843809524,4.97431694,5.128641506,5.2657774,5.373181343,5.121069839,4.886636253,4.719101454,4.607808235,5.040917504
India,4.711129185,4.709390295,4.66362879,4.683384515,4.391311684,4.26417128,4.317395865,4.482750924,4.213602053,4.174990513
Indonesia,4.506400077,4.737959318,4.405769009,4.349338628,4.391100065,4.2079769,4.341896261,4.460944497,4.43595824,4.517143479
Iran,,,,,3.99235,3.972261302,4.104056508,4.044578563,3.857917423,4.054670152
Ireland,4.820870266,4.962299465,4.932002663,4.867857493,5.049414529,5.115277359,5.000607955,5.041694279,5.025245923,5.331315743
Israel,5.592608408,5.505203136,5.348469062,4.794594168,4.882927793,5.186070798,4.922272022,4.772825892,4.614326425,4.526486369
Italy,4.722820513,4.775852876,4.608242834,4.543717203,4.667699431,4.791151824,4.811018696,4.792883992,4.822870763,4.901836136
Jamaica,3.83899877,3.972972349,4.075840482,3.816987946,3.498905182,3.478348824,3.946518363,4.085846021,3.882806455,4.342417773
Japan,6.000755906,5.818749446,5.525672959,5.514529789,5.553887011,5.503383372,5.482594383,5.51728641,5.638455574,5.359863161
Jordan,3.902211452,3.974647449,4.137800153,4.45072079,4.417262038,4.334007378,4.52172,4.579776,4.55711562,4.469393121
