Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,,,0.450662315,0.55230844,0.539075196,0.521103561,0.520636737,0.48355186,0.525568426,0.528597236,0.559071779,0.490880072
Albania,,,0.821371615,0.8272,0.833046615,0.73315227,0.759433806,0.784501791,0.759476721,0.625586927,0.639356136,0.638411462,0.637698293
Algeria,,,,,,,0.810234487,0.839396894,0.8288,0.818189442,0.7834,0.748588264,0.806753874
Angola,,,,,,,0.723094344,0.752592862,0.721590757,0.754615486,,,
Argentina,,0.938462794,0.862205565,0.89219451,0.918693185,0.926798582,0.889073491,0.901776373,0.909874201,0.917870402,0.926492274,0.882819116,0.906699121
Armenia,,0.681876779,0.75964433,0.709485531,0.680006921,0.660342336,0.705108464,0.676446438,0.723260045,0.738763511,0.722551048,0.709218323,0.697924912
Australia,0.96789217,0.9666,0.965276182,0.946635187,0.9506,0.95451957,0.967029214,0.944599032,0.928205192,0.92379874,0.95186156,0.942334235,0.949957848
Austria,,0.936350405,0.9355,0.934592783,0.9244,0.914193332,0.944156826,0.945142388,0.949809194,0.898920476,0.928110301,0.926318586,0.906217813
Azerbaijan,,0.85441488,0.753246784,0.684267223,0.735970318,0.68700099,0.725193918,0.761873245,0.769690156,0.799433351,0.785702765,0.777271032,0.787039399
Bahrain,,,,,0.904143453,0.877115071,0.90786773,0.911349595,0.883780539,0.8682,0.852550745,0.862700105,0.875747144
Bangladesh,,0.672002196,0.514170706,0.466553479,0.527813554,0.549398482,0.606459022,0.581765294,0.530139685,0.577065051,0.601468265,0.649116933,0.712552786
Belarus,,0.917898655,0.857527673,0.903700352,0.907777846,0.918000162,0.909887791,0.901961505,0.922505975,0.880258858,0.924072623,0.926551104,0.900255799
Belgium,0.934874713,0.9282,0.921602786,0.92297703,0.9268,0.930570185,0.936955452,0.92711705,0.909186184,0.943549156,0.885208845,0.928964078,0.921639085
Belize,,,0.87226665,0.8558,0.8393,0.8228,0.8064,0.7899,0.7734,0.756932497,,,
Benin,,0.444781214,0.4136,0.382373512,0.4141,0.4458,0.477494389,0.523027301,0.576823056,0.506091297,0.434388518,0.492815852,0.435878992
Bhutan,,,,,,,,,0.818948984,0.880341947,0.847574413,,
Bolivia,,0.834279954,0.796136498,0.785262346,0.831319928,0.80718559,0.816782832,0.780819416,0.80273807,0.821344614,0.828705788,0.795958757,0.778661788
"Bosnia and Herzegovina",,,0.76560384,0.7504,0.735232174,0.772753716,0.725242853,0.778859854,0.766827762,0.787651718,0.655723631,0.807705104,0.775295258
Botswana,,0.883035779,0.8575,0.831905305,0.8488,0.865624785,0.860028088,0.836743116,0.855570793,0.859477818,0.815656066,0.768302798,0.768258631
Brazil,0.882922947,0.8847,0.886402428,0.878107548,0.912818074,0.905528128,0.916252911,0.890314102,0.910421729,0.898316443,0.906693101,0.912455142,0.904694259
Bulgaria,,,0.831507623,0.8354,0.8394,0.84327203,0.860272288,0.837966621,0.829132318,0.885949194,0.907517016,0.92603606,0.94175458
"Burkina Faso",,0.796405017,0.770785034,0.726650596,0.7499,0.773103535,0.709528148,0.743765771,0.745216608,0.742262065,0.705393493,0.764401138,0.784761369
Burundi,,,,0.290933818,0.325692534,0.374,0.422240019,0.4697,0.5172,0.564678133,,,
Cambodia,,0.793081462,0.675132096,0.619264305,0.818258047,0.69716382,0.715518951,0.605528593,0.650589585,0.693434179,0.728610277,0.745901227,0.765094936
Cameroon,,0.689600766,0.717394173,0.696715772,0.728693902,0.758640707,0.737992823,0.74283731,0.760194361,0.777777076,0.646312475,0.659299791,0.69459641
Canada,0.961552441,0.9539,0.9463,0.938707411,0.94284451,0.953765452,0.921669245,0.948128343,0.936239362,0.917836308,0.939067066,0.924392521,
"Central African Republic",,,0.532296896,0.516,0.4997,0.483333886,0.387390912,0.3679,0.3485,0.3291,0.3096,0.29018417,0.319589138
Chad,,0.724308193,0.478950858,0.570834816,0.645713627,0.733713627,0.81884402,0.672866464,0.714144647,0.733066797,0.751252234,0.616204858,0.660615563
Chile,,0.835543633,0.814620972,0.803758562,0.831581831,0.85695523,0.819078863,0.855235577,0.862404704,0.861552179,0.827141881,0.841388166,0.879840791
China,,0.747011304,0.810852408,0.74828732,0.79803437,0.767752588,0.787171185,0.787818193,0.777895868,0.820366025,0.793733716,0.741703033,0.772033215
Colombia,,0.910293102,0.893706799,0.880066812,0.885926604,0.892992675,0.904147327,0.914372623,0.900777876,0.907402635,0.889900029,0.88190037,0.909249961
Comoros,,,,,0.629426777,0.721342921,0.721832752,0.719217896,,,,,
"Congo (Brazzaville)",,,,0.5547719,0.5822,0.6097,0.637117505,0.622330368,0.67993468,0.685934663,0.642136157,0.615449011,0.655440509
"Congo (Kinshasa)",,,,,0.733060241,0.7385,0.743946671,0.769545972,0.829852045,0.822286069,0.767235577,0.864154518,0.669688404
"Costa Rica",,0.936938047,0.917678237,0.915759027,0.899781644,0.915141284,0.89204818,0.902206898,0.902069271,0.914211214,0.878272951,0.900701284,0.92169714
Croatia,,,0.909822166,0.8852,0.860663235,0.796391606,0.789738715,0.775817871,0.751262069,0.645697773,0.768363416,0.798332155,0.770309687
Cuba,,0.969595134,,,,,,,,,,,
Cyprus,,0.878201067,0.856,0.8339,0.811736107,0.822123706,0.843654513,0.767177105,0.744032085,0.770175993,0.769556105,0.786438465,0.818671048
"Czech Republic",0.918759465,0.9093,0.899779022,0.9112,0.9227,0.934161127,0.91351074,0.91242677,0.888043344,0.877915204,0.911362588,0.930592895,0.900968969
Denmark,0.972371519,0.9633,0.954201102,0.953911722,0.93889159,0.974977076,0.961736143,0.951437175,0.964707971,0.956344306,0.9597013,0.954451501,0.952100098
Djibouti,,,,0.690439582,0.900565028,0.7668,0.632973254,,,,,,
"Dominican Republic",,0.91889888,0.847544849,0.850137472,0.87816149,0.859969318,0.872086227,0.879158199,0.878449142,0.890588045,0.893197775,0.894753456,0.894368112
