Country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Algeria,,,,,,3.067,,,,,,
Andorra,1.171,1.1737,1.1765,1.1792,1.1819,1.1846,1.1874,1.1901,1.1928,1.1955,1.1983,1.201
Argentina,1.144,1.204,1.264,1.324,1.384,1.444,1.4542,1.4643,1.4745,1.4847,1.4948,1.505
Armenia,,,,,,1.565,,,,,,
Australia,1.355,1.3338,1.3126,1.2914,1.2702,1.249,1.2605,1.272,1.2835,1.295,1.3065,1.318
Azerbaijan,,,,,,1.853,,,,,,
Bangladesh,,,,,,,,,,,,1.918
Belarus,,,,,,1.762,,,,,,
Bolivia,,,,,,,,,,,,1.736
Brazil,1.562,1.5266,1.4912,1.4558,1.4204,1.385,1.3828,1.3807,1.3785,1.3763,1.3742,1.372
Bulgaria,1.701,,,,,,,,,,,
"Burkina Faso",3.485,,,,,,,,,,,
"Burma (Myanmar)",,,,,,,,,,,,1.528
Canada,1.144,,,,,,,,,,,
Chile,1.359,1.3412,1.3234,1.3056,1.2878,1.27,1.3815,1.493,1.6045,1.716,1.8275,1.939
China,1.584,1.6668,1.7496,1.8324,1.9152,1.998,1.9223,1.8467,1.771,1.6953,1.6197,1.544
Colombia,1.242,1.2714,1.3008,1.3302,1.3596,1.389,1.4163,1.4437,1.471,1.4983,1.5257,1.553
Cyprus,1.703,1.6346,1.5662,1.4978,1.4294,1.361,1.3415,1.322,1.3025,1.283,1.2635,1.244
Ecuador,,,,,,1.666,1.699,1.732,1.765,1.798,1.831,1.864
Estonia,,,,,,1.419,,,,,,
Ethiopia,1.565,1.578,1.591,1.604,1.617,1.63,1.643,1.656,1.669,1.682,1.695,1.708
Finland,1.258,,,,,,,,,,,
France,1.282,,,,,,,,,,,
Georgia,1.142,1.1474,1.1528,1.1582,1.1636,1.169,,,,,,
Germany,1.716,1.7008,1.6856,1.6704,1.6552,1.64,1.5518,1.4637,1.3755,1.2873,1.1992,1.111
Ghana,2.395,2.3378,2.2806,2.2234,2.1662,2.109,,,,,,
Greece,,,,,,,,,,,,1.133
Guatemala,,,,,,,,,,,,1.845
Haiti,,,,,,4.618,,,,,,
"Hong Kong",,,,,,1.938,1.9488,1.9597,1.9705,1.9813,1.9922,2.003
Hungary,1.237,,,,,,,,,,,
India,2.75,2.5532,2.3564,2.1596,1.9628,1.766,,,,,,
Indonesia,1.327,1.3571,1.3872,1.4173,1.4474,1.4775,1.5075,1.5376,1.5677,1.5978,1.6279,1.658
Iran,1.791,1.7648,1.7386,1.7125,1.6863,1.6601,1.6339,1.6077,1.5815,1.5554,1.5292,1.503
Iraq,,,,,,2.791,2.7612,2.7313,2.7015,2.6717,2.6418,2.612
Italy,1.166,,,,,,,,,,,
