Country,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,,,,8,26,15,4,47,323,5801,436,156,498,11,14,53,116,196,113,108,158,188,135,83,65,242,179,348
Algeria,,,,,26,12,9.5,7,355,129,125,247,32,535,44,90,15,37,23,6,36,16,9,8,26,,,
Angola,63,51,28.5,6,344,35,47,1,45,104,393,258,1029,67,59,12,3,2,1,1.6667,2.3333,3,2.6667,2.3333,2,1.6667,1.3333,1
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,7,
Azerbaijan,,,,161,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,26,,,,,
Bangladesh,54,47,70,200,7,23,1,33,1,5,1,4,4,11,18,25,18,4,3.5,3,1,1,4,7,10,11,12,36
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,32
"Bosnia and Herzegovina",,,,3657,517,309,8410,,,,,,,,,,,,,,,,,,,,,
Botswana,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,,,,,29,1,11,8,1,2.5,4,9,14,19,24,29,34,19,4,7,,,,,,,,
"Burkina Faso",,,,,,,,,,,,,,,,,,,,,,,,,,,,25
Burundi,,,6,5.5,5,640.5,1276,2142,720,777,488,623,71,406,230,236,92,44,22,19,17,15,13,11,9,1,70,6
Cambodia,,103,102,75,210,108,29,58,29,28,16,4,3,2,1,1.25,1.5,1.75,2,1.8,1.6,1.4,1.2,1,,,,
Cameroon,,6,18.25,30.5,42.75,55,46.1667,37.3333,28.5,19.6667,10.8333,2,3.75,5.5,7.25,9,8.1111,7.2222,6.3333,5.4444,4.5556,3.6667,2.7778,1.8889,1,78,305,306
"Central African Republic",,,,3,4,4.1667,4.3333,4.5,4.6667,4.8333,5,6,21,21,4,6,8,119,121,6,93,65,23,37,2491,1753,164,199
Chad,170,34,27,298,193,354,49,4,38,161,83,5,4,3,15.5,28,167,492,205,3,3.5,4,4.5,5,5.5,6,119,4
China,2600,2275.5,1951,1626.5,1302,977.5,653,328.5,4,5,6,7,8,9,10,11,12,25,38,51,,,,,,,,
Colombia,146,170,141,21,71,79,120,206,266,517,571,688,772,578,345,286,109,75,33,33,31,23,25,16,15.5,15,4,3
"Congo (Brazzaville)",,,,2,82,4,2.5,1,412,491,326,239.6667,153.3333,67,11,7.5,4,,,,,,,,,,,
Croatia,,,,,28,82.5,137,,,,,,,,,,,,,,,,,,,,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
"Congo (Kinshasa)",28,147,32,65,106,182,58,33014,9140,4329,2564,530,282,4818,2932,748,283,210,237,883,3173,495,158,724,507,379,397,285
Egypt,,4,3,2,5,17,40,64,77,2,7.3333,12.6667,18,23.3333,28.6667,34,124,134,144,154,164,174,184,194,204,214,224,32
Ethiopia,1020,158,37,31.5,26,27,28,29,30,31,32,33,34,35,511,244,24,20,235,1,22.75,44.5,66.25,88,11,9,258,266
France,,,,,,,8,7.7647,7.5294,7.2941,7.0588,6.8235,6.5882,6.3529,6.1176,5.8824,5.6471,5.4118,5.1765,4.9412,4.7059,4.4706,4.2353,4,46,88,130,87
Georgia,,,,,74,63,52,,,,,,,,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
Guatemala,409,598,354,326,160,250,95,7,2,1,1.25,1.5,1.75,2,1.5,1,2,3.5,5,10.5,16,21.5,27,,,,,
Guinea,,,,,,,,27,19.5,12,13,8,7,6,5,4,3,15,45,102.5,160,1,4.5,8,6.3333,4.6667,3,
Guyana,,,,,,,,,,,,,,,,,,,,29,,,,,,,,
Haiti,,2,70,53.5,37,44,1,3.5,6,8.5,11,13.6,16.2,18.8,21.4,24,40,,,,,,,,,,,
Honduras,,,,,,,,,,,,,,,23,28,,,,,,,,,,,,
India,259,523,464,583,343,175,111,279,303,533,460,1022,434,1015,586,346,517,620,488,556,383,556,254,225,188,235,89,119
Indonesia,,128,368,6,9,5,38,15,29,56,916,137,48,270,200,98,29,3,2,1,1.3333,1.6667,2,2.5,3,3.5,4,
Iran,,,,,,,,,,,,,,,,,,,,,25,,,,,,,
Iraq,,23,941,158,133,44,103,108,75.5,43,37,28.75,20.5,12.25,4,135,903,668,2124,526,671,706,322,769,2115,2797,1087,2112
Israel,80,23,18,11,15,57,20,57,24,1,4,7,102,261,156,91,68,51,17,12,15,10,1,1.6667,2.3333,3,6,3
"Ivory Coast",,,,,1,4,5,5,29,53,77,101,216,331,188,43,9,9,4,4,1,22,378,3,2,6,10,14
Jordan,,,,1,5.4615,9.9231,14.3846,18.8462,23.3077,27.7692,32.2308,36.6923,41.1538,45.6154,50.0769,54.5385,59,,,,,,,,,,,
Kenya,3,7,5,3,1,6,4,3,10,7,4,1,1,2.5,4,5.5,7,24,134,300,40,24.5,9,33,63,146,174,36
Kuwait,,271,14,11.4,8.8,6.2,3.6,1,2.3158,3.6316,4.9474,6.2632,7.5789,8.8947,10.2105,11.5263,12.8421,14.1579,15.4737,16.7895,18.1053,19.4211,20.7368,22.0526,23.3684,24.6842,26,
Laos,,6,5,4,3,2.75,2.5,2.25,2,2,2,2,3,4,5,4,38.5,73,,,,,,,,,,
Lebanon,,,,,,1,51.5,102,107.4,112.8,118.2,123.6,129,134.4,139.8,145.2,150.6,156,125.6,95.2,64.8,34.4,4,25.5,47,33,19,5
Liberia,18,3345,272,398,2560,3678,2267,1091,13,13,70,44,140,1767,1494,,,,,,,,,,,,,
Libya,,,,,,,,,,,,,,,,,,,,,,,152,142,132,122,112,16
"Macedonia (F.Y.R.O.M.)",,,,,,,,,,,6,,,,,,,,,,,,,,,,,
Madagascar,,,,,,,,,,,,,,,,,,,,,31,25.6667,20.3333,15,,,,
Mali,,125,176,77,335,593,2,1.9231,1.8462,1.7692,1.6923,1.6154,1.5385,1.4615,1.3846,1.3077,1.2308,1.1538,1.0769,1,1,1,1,23,23,3,2,7
Mauritania,25,19,18.0526,17.1053,16.1579,15.2105,14.2632,13.3158,12.3684,11.4211,10.4737,9.5263,8.5789,7.6316,6.6842,5.7368,4.7895,3.8421,2.8947,1.9474,1,1,1,1,,,,
Mexico,3,4,2.5,1,2,3,17,32.5,48,1,1,1,1,1,1,1,2.3333,3.6667,5,6,3,88,241,13,21,33,13,2
Morocco,,,,,,,,,,,,,,,46,,,,,,,,,,,,,
Mozambique,403,182,525,212,202.0952,192.1905,182.2857,172.381,162.4762,152.5714,142.6667,132.7619,122.8571,112.9524,103.0476,93.1429,83.2381,73.3333,63.4286,53.5238,43.619,33.7143,23.8095,13.9048,4,3,3,4
"Burma (Myanmar)",9,9,229,132,2,75,126,293,458,430,297,453,106,249,195,115,198,192,292,54,17,25,88,109,27,40,32,21
Namibia,,,,,,,,2,3.75,5.5,7.25,9,,,,,,,,,,,,,,,,
Nepal,,14,2,2.5,3,13,23,33,8,107,139,97,140,486,391,576,295,109,1,,,,,,,,,
Niger,170,200,166.2,132.4,98.6,64.8,31,69.6667,108.3333,147,132.5556,118.1111,103.6667,89.2222,74.7778,60.3333,45.8889,31.4444,17,9,30.4286,51.8571,73.2857,94.7143,116.1429,137.5714,159,25
Nigeria,,80,40.5,1,3,56,1,5,4,43,2504,42,386,112,96,38,47,10,5,146,15,93,120,666,839,5094,3653,619
Pakistan,,,,,,,,12,2,25,25,15.5,6,22,66,71,16,8,68,322,248,746,284,285,825,303,243,289
"Papua New Guinea",2,6,11,27,6,5,4,28,23.2,18.4,13.6,8.8,4,,,,,,,,,,,,,,,
Peru,107,123,165,152,107,96,8,9,6,8,14,9.6667,5.3333,1,1.5,2,2.5,3,3.3333,3.6667,4,1,3,4.6667,6.3333,8,4.5,1
Philippines,47,46,34,15,22,25,36,8,20,9,8,190,43,78,63,131,17,23,44,62,92,38,33,9,21,12,39,14
Romania,199,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,21,27,33,1,6.5,12,156,43,2,172.5,343,1426,201,220,59,166,6,1,6,6,1,63,40,9,44,2,2,1
Rwanda,,1518,949,856,606,500907,4141,219,4163,642,29,26.3,23.6,20.9,18.2,15.5,12.8,10.1,7.4,4.7,2,2.25,2.5,2.75,3,,,
"Saudi Arabia",,,,,,,,,,,,,,,26,33,32.9091,32.8182,32.7273,32.6364,32.5455,32.4545,32.3636,32.2727,32.1818,32.0909,32,5
Senegal,2,26,16,59,52,41.5,31,2,47,95,8,9,14,25,22.7143,20.4286,18.1429,15.8571,13.5714,11.2857,9,3,12,4,,,,
Serbia,,,1,3,2.8,2.6,2.4,2.2,2,211,775,,,,,,,,,,,,,,,,,
"Sierra Leone",,,664,312,230,1444,1682,369,485,1868,1440,474,23,1,,,,,,,,,,,,,,
Somalia,688,569,450,90,60.3333,30.6667,1,10,19,28,37,2,5,4.5,4,3,2,1,25,85,33,17,72,106,132,140,42,89
"South Africa",57,216,78,96,239,63,55.375,47.75,40.125,32.5,24.875,17.25,9.625,2,1.875,1.75,1.625,1.5,1.375,1.25,1.125,1,,,,,,
"South Sudan",,,,,,,,,,,,,,,,,,,,,,,,70,685,787,353,151
Spain,,,,,,,,,,,,,,,,191,,,,,,,,,,,,
"Sri Lanka",454,1154,214,353,9,26,216,229,22,68,62,44,18,2,1,7,10,106,59,185,248,125,2,3.5,5,,,
Sudan,1000,270,2250,1990,1090,473,378,271,368,460,115,293,193,582,2913,3508,738,740,185,332,189,82,201,50,27,94,371,440
Swaziland,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,,,,96,53,10,8.5,7,,,,,,,,,,,,,,,,,,,,
Tanzania,,,,1,5,9,13,17,21,25,29,33,37,31.3333,25.6667,20,14.3333,8.6667,3,,,,,,,,,
Thailand,2,1,1,1,1,1.5,2,4,6,3.5,1,30,59,88,117,146,286,329,320,180,120,136,116,111,60,32,27,17
Togo,,,32,5,48,40.2,32.4,24.6,16.8,9,70,131,192,253,314,375,436,,,,,,,,,,,
Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,59,
Turkey,46,61,51,216,404,205,93,17,19,23,26,22.8,19.6,16.4,13.2,10,5,13,7,6,5,4,3,1,50,99,148,153
Uganda,35,183,161,110.6667,60.3333,10,272,609,616,317,304,164,61,580,633,752,221,49,20,1,21,74,57.25,40.5,23.75,7,,
"United Kingdom",6,6,12,22,32,10,7.3333,4.6667,2,2,1.5,1,1,3,1,1,53,,,,,,,,,,,
"United States",,,,,,,,,,,,,2753,2557.3571,2361.7143,2166.0714,1970.4286,1774.7857,1579.1429,1383.5,1187.8571,992.2143,796.5714,600.9286,405.2857,209.6429,14,
Venezuela,61,64,30,79,63,36,28,33,3,10,26,25,27,20,25,31,30,22,17.8,13.6,9.4,5.2,1,,,,,
"North Yemen",,,,,,,,,,,,,,,,,,,,,,,142,115.75,89.5,63.25,37,2
Zambia,14,32,21.6667,11.3333,1,1,1,1,1,1,1,1,7,,,,,,,,,,,,,,,
Zimbabwe,18,14,12,10,8,6,4,3,2,1,1,29,57,85,113,141,169,197,225,253,169,85,1,1,,,,
