Country,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,5174,1478,3302,4287,4071,8937,5499,3177,6396,6256,4629,5235,5055,900,687,715,1595,4750,6906,5552,6341,6864,7405,7729,8056,12295,17273,17983
Albania,,,,,,,,,,,6,,,,,,,,,,,,,,,,,
Algeria,,1,34,274,800,1916,3008,1084,1403,3032,1025,931,642,538,670,410,217,255,472,339,505,236,267,256,169,111,110,89
Angola,2810,2558,526,2322,12054,3974,168,74,50,1096,2272,948,1125,511,22,37,8,16.5,25,4,25,4,1,1.5,2,1.5,1,13
Armenia,,,,85,37,30,8,7.3,6.6,5.9,5.2,4.5,3.8,3.1,2.4,1.7,1,2,3.1667,4.3333,5.5,6.6667,7.8333,9,1,5,9,4
Azerbaijan,,,35,2082,1197,1489,54,5,29,34,18,13,6,6.6667,7.3333,8,24,5,12,30,7,20,21,16,11,46,63,137
Bangladesh,26,45,25,24,5,3,5,5,4,6.3333,8.6667,11,8,5,7,24,77,78,18,10,1,1,1.25,1.5,1.75,2,4,39
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Bhutan,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
"Bosnia and Herzegovina",,,,3972,5295,2831,1345,,,,,,,,,,,,,,,,,,,,,
Burundi,,7,272,61,58.5,56,271,531,639,621,524,1348,1182,1170,972,389,286,141,5,201,153,105,57,9,29,49,143,7
Cambodia,814,274,220,118,274,464,694,788,426,246,221.6,197.2,172.8,148.4,124,99.6,75.2,50.8,26.4,2,2,6,10,,,,,
Cameroon,,,,,,13,34.5,56,28.5,1,61.5,122,182.5,243,303.5,364,424.5,485,545.5,606,666.5,727,787.5,848,908.5,969,924,181
"Central African Republic",,,,,,,,,,,,,234,131,13,23.6667,34.3333,45,11,48.5,86,48,48,59,366,27,5,
Chad,50,652,68,899,120,172,4,50.5,97,34,394,993,226,295,37,50,100,1250,100,991,135,4,58.2,112.4,166.6,220.8,275,18
China,,22,22.7778,23.5556,24.3333,25.1111,25.8889,26.6667,27.4444,28.2222,29,29.7778,30.5556,31.3333,32.1111,32.8889,33.6667,34.4444,35.2222,36,2,2.5,3,3.5,4,4.5,5,
Colombia,238,501,731,1479,186,1132,823,1195,561,940,1375,1040,1072,2268,737,1234,1403,508,329,219,388,419,202,211,140,136,139,35
Comoros,29,32.375,35.75,39.125,42.5,45.875,49.25,52.625,56,,,,,,,,,,,,,,,,,,,
