Country,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,17642,2311,4053,5865,8433,12074,6877,4056,8606,15188,5857,5670,13772,1646,1322,1439,2109,5853,8568,7193,8180,8605,8514,8675,10272,15984,21713
Albania,,,,,,,,,,,9,,,,,,,,,,,,,,,,
Algeria,,1,34,353,861,2176,6155,1514,3428,4440,1235,1236,898,1091,731,524,265,325,541,416,714,293,287,320,240,147,91
Angola,6748,4609,688,3697,25504,12505,1100,325,352,2464,6938,4360,3703,1007,219,64,31,3,111,29,66,18,3,2.5,2,13,
Argentina,,,,29,,,,,,,,,,,,,,,,,,,,,,,
Armenia,,,,226,66,30,8,7.3,6.6,5.9,5.2,4.5,3.8,3.1,2.4,1.7,1,2,3.1667,4.3333,5.5,6.6667,7.8333,9,1,15,29
Azerbaijan,,,35,4170,1826,3919,82,11,36,38,35,16,7,7.3333,7.6667,8,25,8,28,43,13,28,28,18,14,54,84
Bahrain,,,,,,,,,,,,,,,,,,,,,,,30,,,,
Bangladesh,82,109,134,389,51,35,19,57,21,22,20,206,74,7,25,87,87,102,18,14,10,11,11,5,59,2,12
Bhutan,,,,,,,,,4,3.7143,3.4286,3.1429,2.8571,2.5714,2.2857,2,,,,,,,,,,,
Bolivia,,,,,,,,,,2,26,50,,,,,,,,,,,,,,,
"Bosnia and Herzegovina",,,,10218,8747,6732,12301,,,,,,,,,,,,,,,,,,,,
Botswana,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,,,,,42,42,65,31,33,13,59,36,74,66,49,86,74,22,40,20,45,8,31,11,4,1,
Burundi,,7,557,61,131,1910,2147,10068,3308,1826,1648,3116,2684,2152,1549,725,448,219,82,224,181,138,95,52,9,1,199
Cambodia,2434,784,556,212,797,1299,1134,1066,696,451,2,4,3,2,1,1.25,1.5,1.75,2,2,5,11,17,3,,,
Cameroon,,6,100,116,72,155,106,57,62.5,68,284,500,12,11.3333,10.6667,10,4,11.3333,18.6667,26,17,13,9,5,1,800,1073
Canada,,,,,,3,24,2,2,27,11,23,1,,,,,,,,,,,,,,
"Central African Republic",,,20,3,4,4.1667,4.3333,4.5,4.6667,4.8333,5,6,390,340,54,31,8,313,171,6,229,215,170,96,3847,3016,447
Chad,820,7903,100,1869,342,706,54,4,135,198,1230,1122,331,354,189,78,530,4055,1055,1366,328,4,4.5,5,5.5,6,434
China,3138,50,43.4286,36.8571,30.2857,23.7143,17.1429,10.5714,4,4,4,7.1667,10.3333,13.5,16.6667,19.8333,23,21,19,190,687,573.3333,459.6667,346,232.3333,118.6667,5
Colombia,1132,793,894,1533,365,1623,965,1486,1138,2344,2531,2669,3029,4511,1032,1907,1782,614,384,261,482,448,233,326,183,150,150
Comoros,30,36,42,48,54,60,66,72,78,60,,,,,,,,,,,,,,,,,
"Congo (Brazzaville)",,,,8,135,23,2,4,21212,5132,1878,940.5,3,260,33,42,51,33,15,1,1,1,1,2,,,
Croatia,,,,157,507,1436,2365,,,,,,,,,,,,,,,,,,,,
Djibouti,59,60,254,757,107,46,65,38.5,12,19,57,55.5556,54.1111,52.6667,51.2222,49.7778,48.3333,46.8889,45.4444,44,36.8333,29.6667,22.5,15.3333,8.1667,1,
"Congo (Kinshasa)",28,147,210,93,6558,4428,581,49717,42401,17049,13142,4554,2027,10999,5527,1090,330,577,951,2160,5727,861,539,2607,2731,1700,708
Ecuador,,,,,,,41,34.5,28,21.5,15,8.5,2,16.5,31,29.8,28.6,27.4,26.2,25,,,,,,,
Egypt,,4,8.5,13,124,196,262,167,162,31,5,18,22.25,26.5,30.75,35,124,2,2,2,3,1,31,75,134,249,1105
"El Salvador",4952,998,93,4,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,21,18.6667,16.3333,14,117,10,17417,1913,1294.3333,675.6667,57,,,,,,,,,,,,
Ethiopia,25936,52812,14158,1386,136,93,1429,171,12,2851,33603,49973,1372,3013,1449,2272,1023,1450,1509,852,1167,1963,569,912,1017,278,346
