Country,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,5411,1514,3553,4385,4105,9056,5618,3595,6721,12166,5065,5394,5553,1157,944,817,1711,4982,7020,5660,6499,7151,7565,7822,8131,12550,17986,18707
Albania,,,,,,,,,,,6,,,,,,,,,,,,,,,,,
Algeria,,1,34,274,826,1943,3059,1091,2008,3304,1153,1178,674,1073,714,500,232,292,495,345,541,252,276,264,222,111,110,89
Angola,2873,2609,526,2328,12398,4009,215,75,95,1200,2665,1206,2154,578,81,49,11,18.5,26,4,25,7,1,1.5,2,1.5,1,14
Armenia,,,,85,37,30,8,7.3,6.6,5.9,5.2,4.5,3.8,3.1,2.4,1.7,1,2,3.1667,4.3333,5.5,6.6667,7.8333,9,1,8.5,16,4
Azerbaijan,,,35,2243,1197,1489,54,5,29,34,18,13,6,6.6667,7.3333,8,24,5,12,30,7,20,21,16,11,46,63,137
Bahrain,,,,,,,,,,,,,,,,,,,,,,,26,,,,,
Bangladesh,81,94,107,225,43,32,14,46,16,21,14,105,62,6,8,51,95,99,18,13,10,5,3.5,2,54,4,18,75
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,34
Bhutan,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
Bolivia,,,,,,,,,,2,26,50,,,,,,,,,,,,,,,,
"Bosnia and Herzegovina",,,,7629,5812,3140,9755,,,,,,,,,,,,,,,,,,,,,
Botswana,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,,,,,42,29,51,20,33,13,59,33,74,61,43,86,54,22,40,20,40,4,31,11,4,1,,
"Burkina Faso",,,,,,,,,,,,,,,,,,,,,,,,,,,,25
Burundi,,7,278,61,5,56,1547,2673,1573,1398,1012,2071,1253,1576,1245,679,378,185,79,220,167.25,114.5,61.75,9,9,50,213,13
Cambodia,814,377,322,193,484,572,723,846,455,274,139,4,3,2,1,1.25,1.5,1.75,2,2,2,6,10,1,,,,
Cameroon,,6,50,25,47,102,79,56,54,52,27,2,3.75,5.5,7.25,9,8.1111,7.2222,6.3333,5.4444,4.5556,3.6667,2.7778,1.8889,1,1047,1229,487
Canada,,,,,,3,24,2,2,27,11,23,1,,,,,,,,,,,,,,,
"Central African Republic",,,,3,4,4.1667,4.3333,4.5,4.6667,4.8333,5,6,255,152,17,12.5,8,164,136,6,179,113,135,96,3185,2778,427,398
Chad,220,686,95,1197,313,526,53,4,135,195,394,1070,230,298,37,78,267,1956,431,994,135,4,4.5,5,5.5,6,394,26
China,2600,22,19.4286,16.8571,14.2857,11.7143,9.1429,6.5714,4,5,6,7,8,9,10,11,12,37,62,87,189,158.3333,127.6667,97,66.3333,35.6667,5,
Colombia,384,712,872,1500,302,1211,943,1401,891,1646,2093,2028,2357,3427,1190,1781,1702,588,362,252,419,442,227,227,140,151,143,38
Comoros,29,32.375,35.75,39.125,42.5,45.875,49.25,52.625,56,40,,,,,,,,,,,,,,,,,,
"Congo (Brazzaville)",,,,2,135,18,2,1,10412,3763,977,490,3,234,33,24,15,8.5,2,1,1,1,1,2,14.25,26.5,38.75,51
Croatia,,,,142,373,668,963,,,,,,,,,,,,,,,,,,,,,
Djibouti,6,60,74,129,33,39,17,14,11,16,25,26.1111,27.2222,28.3333,29.4444,30.5556,31.6667,32.7778,33.8889,35,29.3333,23.6667,18,12.3333,6.6667,1,,
"Congo (Kinshasa)",28,147,32,65,3314,330,523,34530,13884,8019,7537,2946,1334,7877,3855,815,283,387,903,1737,5161,805,491,1795,2164,1514,650,860
Ecuador,,,,,,,11,9.5,8,6.5,5,3.5,2,14,26,25.8,25.6,25.4,25.2,25,,,,,,,,
Egypt,,4,8.5,13,108,162,233,149,143,29,4,5,12.5,20,27.5,35,124,2,2,2,1,1,31,75,130,249,974,301
"El Salvador",4924,848,88,4,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,21,18.6667,16.3333,14,31,10,17203,1793,1214.3333,635.6667,57,54.5385,52.0769,49.6154,47.1538,44.6923,42.2308,39.7692,37.3077,34.8462,32.3846,29.9231,27.4615,25
Ethiopia,25394,49856,12442,1026,133,76,1043,65,12,1005,30786,48666,388,809,1068,475,290,430,500,286,590,152,66,385,88,39,307,494
France,,,,,,,8,7.5,7,6.5,6,5.5,5,4.5,4,3.5,3,2.5,2,2.4,2.8,3.2,3.6,4,47,90,133,87
Georgia,,,52,771,1837,944.5,52,39,26,38,36.1667,34.3333,32.5,30.6667,28.8333,27,175.5,324,472.5,621,312,3,,,,,,
Germany,3,1,2.5,4,4.3333,4.6667,5,5.3333,5.6667,6,6.3333,6.6667,7,7.3333,7.6667,8,8.3333,8.6667,9,9.3333,9.6667,10,10.3333,10.6667,11,11.3333,11.6667,12
Ghana,,,30,63,2,2004,155,130,105,80,55,30,50,36,39.1667,42.3333,45.5,48.6667,51.8333,55,8,1,,,,,,
Guatemala,491,681,426,393,218,287,122,20,2,1,2.3333,3.6667,5,2,1.5,1,58,31.5,5,41,1,14,27,25.25,23.5,21.75,20,
Guinea,,,,,,,,27,19.5,12,13,256,430,323.25,216.5,109.75,3,15,45,102.5,160,1,25,8,98,50.5,3,
"Guinea Bissau",,,,2,85.8333,169.6667,253.5,337.3333,421.1667,505,199,,,,,,,,,,,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,,,29,,,,,,,,
Haiti,48,2,270,153.5,37,44,1,3.5,6,8.5,11,55,99,143,187,231,40,,,,,,,,,,,
Honduras,,,,,,,,,,,9,6,3.5,1,47,30,27,24,21,18,38,58,18,18,19.5,21,15.5,10
India,1850,4732,3720,4161,2328,1439,1080,1330,1509,1554,2547,3979,1716,2899,2256,1767,2016,2158,1725,1766,1627,1641,789,800,702,731,629,780
Indonesia,6,200,426,53,27,12,62,32,441,95,1805,916,833,762,1063,1062,242,3,2,6,7,8,9,7.75,6.5,5.25,4,
Iran,,31,44,4,153,16,17,34,33,13,19,40,112,57,2,15.5,29,52,72,117,158,96,206,17,11,2,4,18
Iraq,50,117,23678,833,366,894,1437,765,2233,79,307,185,27,111,7999,4365,3521,4609,4489,2732,1718,1851,1394,1407,4011,15010,11251,11128
Israel,93,43,47,72,88,116,77,132,25,6,2,108,355,887,471,514,211,664,538,735,706,64,73,73,8,1682,15,11
"Ivory Coast",,8,5.6667,3.3333,1,4,37,5,35.25,65.5,95.75,126,2,998,482,262,137,11,4,4,1,23,467,5,2,17,32,47
