Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,4.85,5.43,5.3867,5.3433,5.3,4.81,4.82,5.8,6.35,5.45,6.19,8.44,7.39,6.25,6.24,8.13,7.9,7.22,8.01,6.55,8.83,7.38,,,,
Argentina,,,,,,,,,,,,,,,,,17.2,19.72,20.95,19.92,18.77,18.9186,19.0671,19.2157,19.3643,19.5129,19.6614,19.81,19.98,20.03,19.9867,19.9433,19.9,19.83,20.03,20.06,20.01,20.5,21.13,20.26,21.09,21.18,20.63,20.99,20.65,20.85,21.58,20.76,20.51,20.05,20.13,20.1,19.36,20.42,19.29,19.32,18.91,18.77,17.81,17.99,18.02,17.46,17.69,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.61,10.2,10.7033,11.2067,11.71,11.47,12.55,12.17,14.83,17.78,14.73,17.08,16.73,17.41,17.14,19.91,19.17,21.73,22.64,22.95,21.43,22.61,22.17,22.37,22.57,22.77,23.37,23.97,24.02,24.25,23.11,25.62,
Australia,20.08,19.3,20.88,20.83,20.31,20.21,19.56,18.92,18.79,19.66,18.57,19.8,18.09,19.61,19.86,18.56,19.13,19.49,19.21,19.26,19.42,20.36,19.3,19.64,19.39,19.16,19.97,20.23,18.86,18.74,19.02,19.68,20.27,20.48,21.08,20.98,20.07,20.79,20.73,21.12,20.43,20.85,19.42,20.32,20.33,19.3,19.02,18.49,17.35,16.98,16.17,16.21,16.37,16.2,15.59,14.915,14.24,14.26,14.45,14.11,13.68,13.84,,
Austria,,,,,,15.29,14.83,14.78,15.29,16,15.84,16.08,15.42,16.47,16.78,18,18.07,17.61,17.01,18.69,18.42,18.72,18.92,19.57,19.35,18.94,19.9,20.56,18.29,19.46,20.73,20.23,20.09,20.99,21.77,22.42,22.44,22.33,22.23,21.92,22.48,22.06,22.01,21.74,21.56,21.95,20.71,19.75,19.05,18.1,19.09,17.93,17.69,17.87,16.76,16.81,16.53,15.9,14.68,15.34,14.44,14.02,14.07,13.95
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.63,9.13,9.3567,9.5833,9.81,8.94,9.96,10.26,8.63,16.28,11.38,9.7,8.56,9.07,8.97,8.22,9.33,9.94,10.45,8.74,10.2,10.56,11.17,10.56,8.9633,7.3667,5.77,,,,,,
Barbados,,,,,,,,,,,22.41,18.6,12.82,12.91,20.29,17.02,13.75,19.87,21.96,16.02,9,19.77,11.93,20.97,17.6,18.05,19.35,20.28,18.9,21.87,26.53,20.07,15.73,20.86,22.37,18.87,24.93,28.18,28.1,27.1,21.94,28.34,20.65,27.83,20.07,24.29,24.622,24.954,25.286,25.618,25.95,24.19,24.31,29.21,24.36,25.29,20.37,21.02,20.89,22.67,26.92,33.67,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.39,10.04,10.49,10.94,11.39,11.56,11.98,11.34,12.79,13.42,12.83,14.56,14.21,14.41,14.12,14.005,13.89,14.65,15.95,15.36,14.34,13.71,14.85,14.8825,14.915,14.9475,14.98,13.16,13.34,13.17,13,,
Belgium,,,,,20.19,18.91,20.61,21.14,19.84,20.13,20.87,20.67,21.75,20.9,21.28,21.8,21.03,21.79,22.73,21.98,23.07,23.44,23.39,24.05,22.47,24.96,22.75,23.35,25.64,24.28,25.88,25.93,26.78,26.23,25.74,25.87,26.94,25.87,26.42,26.61,25.8,26.27,24.8,24.36,25.48,26.26,25.13,24.19,24.16,23.19,22.505,21.82,21.135,20.45,20.4,20.24,19.29,19.75,19.42,18.91,18.4,18.46,17.08,
Belize,,,,,,,,,,,,,,,5.57,3.785,2,2.35,2.7,8.26,2.92,4.245,5.57,10.31,6.36,7.62,5.275,2.93,3.615,4.3,4.38,4.46,4.54,4.62,1.95,4.74,7.53,3.35,4.3233,5.2967,6.27,2.15,4.93,7.71,7.62,2.97,2.6,2.82,17.66,4.27,7.35,10.24,2.88,8.3,6.12,14.2,10.25,6.81,13.38,12.84,10.26,5.25,12.39,
