Country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Australia,0.9,1.8,3.49,7.65,13.56,18.28,22.72,24.56,23.68,24.7,24.78,25.45,26.22,27.47,28.03,30.12
Austria,3.6,5.6,7.62,10.62,14.37,16.74,19.26,21.26,21.5,23.19,24.46,25.22,26.31,27.55,28.46,28.73
Belgium,4.4,8.7,11.7,15.54,18.17,22.34,25.57,27.67,29.04,31,32.28,33.4,34.48,35.95,36.76,37.84
Canada,8.9,12.1,15.06,17.64,20.76,24.34,27.26,28.23,30.6,31.81,32.84,33.62,34.39,35.36,36.35,36.79
Chile,,,2.02,2.8,4.2,6.01,7.82,8.49,9.78,10.47,11.65,12.41,13.01,13.96,15.07,15.89
Colombia,,,,,,,,,4.93,5.83,7.24,8.37,9.55,10.6,11.39,12.13
"Czech Republic",0.1,0.2,0.48,2.5,6.46,11.07,14.55,16.97,19.41,21.51,23.78,25.28,26.66,28.75,28.17,28.76
Denmark,4.4,8.2,13.1,18.96,24.92,29.78,33.81,36.81,36.6,38.05,38.48,38.96,40.49,41.5,42.33,42.42
Estonia,,,2.09,3.2,3.67,4.39,5.11,5.56,25.37,26.09,27.35,26.37,27.33,28.2,29.25,29.24
Finland,1.3,5.5,9.48,14.92,22.38,27.14,30.58,27.89,29.33,29.07,30.4,31.16,31.62,32.18,31.53,31.16
France,1,2.8,5.89,10.45,15.04,20.06,24.38,27.64,30.56,32.68,34.82,36.56,37.82,39.18,40.35,41.41
Germany,2.3,4.1,5.59,8.37,12.98,18.19,23.74,27.44,31.03,32.59,33.92,34.73,35.49,36.52,37.59,38.64
Greece,,,0.1,0.47,1.41,4.58,9.71,13.47,17.26,20.26,22.19,24.35,26.57,28.98,31.78,33.54
Hungary,0.3,0.6,1.99,3.57,6.34,9.59,13.88,16.4,18.76,20.58,21.98,22.99,24.27,26.16,27.63,28.68
Iceland,3.7,8.4,14.31,18.2,26.37,28.83,31.45,32.47,33.54,34.34,34.98,35.36,36.28,36.63,37.62,38.1
Ireland,,0.3,0.83,3.32,6.59,12.16,17.45,19.94,21.19,22.37,23.39,24.23,25.84,27.28,28.21,29.05
Italy,0.7,1.7,4.17,8.08,11.77,14.24,17.06,18.86,20.28,21.83,22.51,22.81,23.09,23.59,24.69,25.67
Japan,2.2,6.1,10.9,14.96,18.15,20.68,22.46,23.51,24.72,26.57,27.28,27.68,28.1,28.78,29.62,30.56
"South Korea",17.2,21.8,26.16,27.03,28.69,28.97,30.27,31.62,33.24,34.8,35.88,36.5,37.31,38.08,39.56,40.45
Luxembourg,0.3,1.5,3.44,9.63,14.46,20.99,26.89,29.39,29.19,30.72,31.5,32.11,32.51,33.6,35.16,34.8
Mexico,0.1,0.3,0.41,0.98,2.15,2.75,4.06,6.77,8.39,9.85,10.63,11.17,10.53,10.89,12.2,13.31
Netherlands,3.8,7,11.79,18.96,25.22,31,34.3,35.34,37.09,38.1,38.93,39.72,40.44,40.63,41.29,41.9
"New Zealand",0.7,1.6,2.57,4.67,9.02,11.67,17.85,21.37,23.82,25.85,27.56,29.56,30.67,31.36,31.87,32.93
Norway,1.9,4.2,8.18,15.2,22.62,26.84,30.52,33.71,34.59,35.25,36.05,36.92,37.61,38.49,39.44,40.5
Poland,0.1,0.3,0.78,2.14,2.41,7.18,8.65,10.48,14.58,16,17.15,18.26,17.99,17.99,18.62,18.33
Portugal,1,2.5,4.81,7.9,11.05,13.46,14.27,15.94,18.3,20.27,21.34,22.77,24.56,27.48,30.34,32.65
Slovakia,,,0.35,0.96,2.49,4.8,7.66,9.32,14.31,16.15,17.66,19.34,20.49,21.98,23.49,24.61
Slovenia,,,6.45,5.71,9.74,13.33,16.92,20.66,21.63,22.97,24.08,24.76,25.47,26.73,27.35,28.26
Spain,1.2,3,5.25,8.06,11.51,15.11,17.6,20.08,21.24,23.16,24.36,24.51,26.14,27.63,29.18,30.48
Sweden,5.4,8.1,11.15,14.88,20.78,26.41,30.39,31.51,31.66,31.96,32,32.25,32.78,33.84,35.69,37.08
Switzerland,2,5.6,10.56,17.67,23.85,27.31,32,32.73,35.74,37.88,40.06,42.25,45.15,47.6,50.4,50.15
Turkey,,,0.29,0.75,2.23,4,6.26,8.07,8.86,9.74,10.27,10.51,11.08,11.57,12.27,13.42
"United Kingdom",0.6,2.3,5.38,10.35,16.31,21.45,25.59,28.14,29.48,31.25,32.75,34.29,35.58,36.74,37.95,38.51
"United States",4.5,6.9,9.59,12.79,16.38,20.29,23.22,25.48,26.04,27.28,28.29,29.42,30.31,30.64,31.77,32.82
