Country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Albania,2.985507246,3.100531778,3.572883268,4.027442854,4.155265557,3.672917287,3.34891655,3.361800717,3.534114198,3.739809531
Algeria,2.705882353,2.603603985,2.741686757,3.158939992,2.751682983,2.518593179,2.687337562,2.767791245,3.242268339,3.352934207
Angola,,,,2.762616,2.692520373,2.4345,2.176471,1.843422275,,
Argentina,2.869047619,2.764512056,2.807062889,2.738363374,2.704161316,2.303866459,2.064068263,2.007686965,2.055629601,2.444277243
Armenia,2.583333333,2.680395495,2.667135546,2.62111135,2.868106629,3.16407209,3.315315523,3.420400181,3.479620519,3.63383557
Australia,4.88,4.936325795,4.93248613,4.98992613,5.091064362,5.286296343,5.219755552,5.223564715,5.165444157,5.06691999
Austria,5.495327103,5.379502774,5.305344009,5.254300686,5.03779166,5.070849177,5.21241979,5.225476621,5.08408189,5.16624476
Azerbaijan,3.489361702,3.795586783,3.86654425,3.520622844,3.48641748,3.449011586,3.332132564,3.202455707,3.202455707,3.766166782
Bahrain,5.255319149,5.126288509,5.312462107,5.346258349,5.535633767,5.337857152,4.902502396,4.681060593,4.918173113,5.155351008
Bangladesh,2.284210526,2.35260754,2.765404285,3.3597673,3.387391644,3.249525632,3.404384132,3.451660133,3.200498181,3.342904981
Barbados,3.810344828,3.7218771,3.863434826,4.267726583,4.601892487,4.410623508,4.17851738,3.964233525,3.8213,3.678345215
Belgium,5.063829787,4.75333441,4.589401371,4.574209175,4.559017161,4.895129885,5.07777407,5.193706933,5.035027295,5.076570501
Belize,,,,,3.078357,,,,,
Benin,3.058823529,2.74699658,3.411541095,4.151953344,3.664597236,3.133280154,3.012731215,3.1525,3.292307615,3.323205042
Bhutan,,,,,,,4.284169,4.456496683,4.351741503,4.217991863
Bolivia,3.013513514,2.791697704,2.801362131,2.718444967,2.96073719,3.300222599,3.680019655,3.80039219,3.394410817,3.078510846
"Bosnia and Herzegovina",3.376470588,3.310977561,3.547831886,3.557965954,3.38285,3.8922083,4.308956,3.8211,3.333333254,3.345528996
Botswana,3.630136986,3.959918748,4.430656495,4.710962663,4.74034616,4.369378622,4.168673059,4.210146788,4.172958228,4.463885967
Brazil,2.503816794,2.486353907,2.889136466,3.309182366,3.125926734,3.133212663,2.987110266,2.682539234,2.935775729,3.031442529
Brunei,,4.484828,4.623338544,4.460621452,4.335079072,4.507837519,4.657490492,4.3708,4.084,3.797297239
Bulgaria,3.36,3.517263021,3.627978863,3.483039114,3.458724901,3.594234961,3.929402221,4.06529234,3.804278167,3.83125016
"Burkina Faso",3.887096774,3.600743083,3.784478625,4.38423725,4.045900166,3.825158667,3.643883472,3.614984593,,
Burundi,2.739726027,2.899753221,3.033673184,2.996924327,2.947129626,2.635186422,2.73840695,2.906469232,2.906469232,3.258751443
"Cape Verde",,,,3.08555,3.200660663,3.394255972,3.332058155,3.248939966,3.528231079,3.635822368
Cambodia,2.545454545,2.835870976,3.324290141,3.451039586,3.745102696,3.89919815,3.522992485,3.08742455,3.06467625,3.061122188
Cameroon,3.026315789,2.815469823,3.216941848,3.830659143,4.007917302,4.177735469,3.958055551,3.630051665,3.407238092,3.391128742
Canada,4.880597015,4.835913271,4.724813034,4.923949558,4.891327002,4.781382949,4.774368793,4.944167897,4.975144094,4.979960776
Chad,2,1.94105186,2.320755484,2.696615418,2.843340458,2.766544608,2.178482081,2.053976172,2.379714619,2.367743432
Chile,5.45631068,5.631838625,5.817221998,5.688757987,5.459604064,5.046511125,4.917878375,4.979723072,4.895123312,5.011726379
China,4.211956522,4.456089745,4.569181824,4.534363095,4.379353486,4.16531277,4.244827619,4.347706789,4.219262707,4.396969936
Colombia,3.494505495,3.481678023,3.797258785,4.100469781,3.967224793,3.751287306,3.730947673,3.621348125,3.537894809,3.682432055
"Congo (Kinshasa)",,,,,,,,,,3.375
"Costa Rica",3.321428571,3.554169699,3.916821189,3.9714544,3.852899162,4.083351104,4.041564226,3.861572456,3.80135561,3.691237418
"Ivory Coast",,2.81371,3.319305306,3.778515271,3.945858442,3.948800095,3.42001808,3.298729875,4.092537118,4.056921234
Croatia,4.125,3.97500917,3.833090144,4.110470984,4.0812302,3.853681888,4.208515847,4.603966635,4.555732442,4.421617433
Cyprus,4.564102564,4.894145836,5.119736218,5.017986909,4.949163868,4.728824939,4.770820351,4.924406383,4.587384105,4.478298408
"Czech Republic",4.362745098,4.450718275,4.550780786,4.607276034,4.395292327,4.44753853,4.505415845,4.485288054,4.632841733,4.838744738
Denmark,5.811594203,5.899539457,5.789522101,5.593059783,5.664951896,4.964209469,4.930844385,5.173386373,5.050401365,4.956887825
"Dominican Republic",3.703703704,3.854200547,4.45500815,4.655486387,4.355713391,4.278571062,4.366059786,4.42538132,4.272063172,4.374278276
Ecuador,2.245454545,2.375226245,3.105709245,3.501305179,3.53886301,3.635936,3.908744028,3.8842,3.859649181,3.768835076
Egypt,3.722772277,3.536452185,3.966647582,4.46882315,4.051359141,3.691808343,3.763522662,3.808511168,3.798827694,3.798827694
"El Salvador",3.763157895,3.739971053,4.08780892,4.207235461,3.872156393,3.496804616,3.409541846,3.904760791,3.481622788,3.167596789
Estonia,5.217948718,5.374584559,5.464008,5.340006666,5.245047867,5.218232518,5.270761712,5.331259526,5.269772367,5.404609048
Ethiopia,3.411764706,3.2530286,3.266969385,3.627394432,3.455770985,3.241447425,3.119283435,2.936594468,3.21839098,3.622007083
Finland,5.728813559,5.78772998,5.656884042,5.721923462,5.959259279,6.112440804,6.148005047,5.982686368,5.944533876,6.118466529
France,4.788235294,4.720391958,4.764109334,4.94274135,4.852812656,4.579750931,4.651576907,4.71356884,4.759828196,4.940777559
Gabon,,,,,,3.571768,3.557426138,3.481498364,3.531150359,3.643399273
Gambia,4.523076923,4.58814019,5.101590491,5.381100221,5.180560455,4.929305669,4.663192786,4.587066225,4.470407832,4.402888163
Georgia,3.150684932,3.751205022,4.571331558,4.704041296,4.939012438,5.23532,5.332203591,5.556520501,5.455618386,5.42662209
Germany,5.245901639,4.991853137,5.093564665,5.133129801,4.671718647,4.89213275,4.884312652,4.694875895,4.701560705,4.885634329
Ghana,,3.367601,3.443344544,3.775822712,3.582052183,3.39680933,3.437032932,3.361722306,3.566167822,3.799489784
Greece,4.090909091,3.984518667,4.0508158,4.083597538,3.981175604,3.781912996,3.91210486,4.172716249,4.144068554,4.039781297
Guatemala,4.139784946,4.34437195,4.246320713,4.214095153,4.162331937,3.910913491,3.851606324,3.675395368,3.481002967,3.365781859
Guinea,,,,,,3.312196,3.377978459,3.315892045,3.315892045,
Guyana,2.397260274,2.394970752,2.798648818,3.340537535,3.466569782,3.578875201,3.90659722,3.731256092,3.57378668,
Haiti,,,,,2.512502,2.437884912,2.318933732,2.252987633,2.355934992,
Honduras,4.096774194,3.950597768,4.02911865,4.155725711,3.95620796,3.721941087,3.496079654,3.458479022,3.534914721,3.363749247
"Hong Kong",6.071428571,5.943487922,6.1479982,6.469530789,6.217601761,6.097393275,6.136393716,6.114192527,6.21223414,6.21223414
Hungary,4.307692308,4.294858979,4.261620091,4.316192664,4.460210883,4.70654641,4.844554862,4.825743939,4.66866319,4.78481189
Iceland,5.366666667,5.419670961,5.23986745,5.227945196,5.206448942,5.116412452,5.264073461,5.267074499,5.147266337,5.13064145
India,3.61589404,3.655599787,3.91017992,4.038161429,3.803843556,3.793015384,3.788062098,3.909428738,4.264724089,4.646492658
Indonesia,3.013513514,3.261298483,3.697379707,3.863315928,3.89986145,3.990612991,4.009810011,4.029084018,3.897253872,4.012149734
Iran,,,,3.464636,3.504919974,3.552900428,3.494088143,3.318030224,3.286375917,3.382456448
Ireland,5.175,5.029392329,5.123932744,5.166273619,5.160433746,5.26676733,5.381978573,5.539919268,5.662353541,5.709793715
Israel,4.848484848,4.581918722,3.967877785,4.297529313,4.745206993,4.488258846,4.436814116,4.412074768,4.340129148,4.551062593
Italy,4.011235955,3.875689835,3.992969606,4.18117282,3.978893799,4.102044808,4.137879078,3.977631748,4.014636949,4.250462377
Jamaica,2.818181818,2.931463768,3.38061889,3.789734167,3.720027657,3.495060339,3.44595174,3.566218863,3.598039214,3.804703965
Japan,4.361111111,4.341152862,4.398150028,4.627120463,4.727365643,4.754766179,4.957493111,5.132911399,5.034181333,5.001104854
Jordan,4.34502924,4.556098346,4.635760265,4.450536443,4.380974449,4.489192486,4.564021,4.543056053,4.469413267,4.790710061
Kazakhstan,3.025773196,3.034367182,3.266032336,3.524302616,3.548763,3.91965744,3.974165329,3.893290788,4.222222274,4.272416462
