Country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Albania,2.977491236,3.217364909,3.380372264,4.004103514,4.40818443,4.106744347,3.9089166,3.963750739,4.520033792,4.648425528
Algeria,2.867755991,2.522647101,2.402281699,2.274876421,2.261964826,2.277623029,2.504083357,3.050654747,3.3042294,3.248801938
Angola,,,,2.004146,2.054367744,2.4095,2.764706,2.65505669,,
Argentina,2.541438707,2.48795946,2.676647276,2.608687566,2.457607632,2.453222216,2.318696832,2.268886421,2.208736815,2.230598274
Armenia,2.961343189,3.154537042,3.238979019,3.05072685,3.471578383,3.808721867,3.859979021,3.699525749,3.533345357,3.743957337
Australia,3.014975082,2.990548014,3.196126647,3.395656099,3.181971723,3.055787,2.780582568,2.804303675,3.33364346,3.386976984
Austria,3.682088498,3.54898683,3.531185687,3.634736329,3.52806739,3.274353413,3.351332085,3.389893692,3.440034183,3.671546606
Azerbaijan,3.526791667,4.200753279,4.1730251,3.692853927,3.68790097,4.063379536,4.166632694,3.934356227,3.934356227,4.310150464
Bahrain,3.99372128,4.118266375,3.71916109,4.006528087,4.870673991,4.784941683,4.401250668,4.262511173,4.464307672,4.650918243
Bangladesh,2.674172571,2.546348796,2.466529736,2.88902515,3.040411108,3.1951482,3.20210681,2.956266946,3.018110682,3.16058084
Barbados,3.637673269,3.764290948,4.023169472,4.284389563,4.679727349,4.385950919,4.176692717,4.065891441,3.7863,3.506691556
Belgium,2.776822859,2.730354535,2.665396914,2.620666222,2.492519494,2.581572689,2.649112433,2.57212963,2.823644199,3.23669262
Belize,,,,,2.898225,,,,,
Benin,2.716899494,2.75139115,3.178943247,3.660604163,3.471547586,3.002954762,2.837567021,3.1309,3.424242496,3.343216872
Bhutan,,,,,,,3.536645,3.663808975,3.632428097,3.682401222
Bolivia,2.57045458,2.298693807,2.755985217,3.196036551,3.190607131,3.474383162,3.632355501,3.595265305,3.14909091,2.525533524
"Bosnia and Herzegovina",2.210993423,2.209355468,2.586935524,2.83063778,2.78223,3.21839265,3.575253,3.0376,2.5,2.57952773
Botswana,3.080207161,3.551673095,3.595657878,3.588165956,3.825845178,3.787595842,3.793171937,3.505336509,3.246056894,3.486669686
Brazil,1.853138256,1.869415329,1.846619557,1.921573291,2.045303836,2.017657926,1.99511086,1.901003111,1.696662941,1.683469784
Brunei,,3.340533,3.668317968,3.687737768,3.758379283,4.119549907,4.269565231,3.9503,3.631,3.311688423
