Country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Albania,3.938179467,4.582595185,4.921949494,5.157950784,5.300999169,4.687767381,4.25098935,4.347743068,4.753674979,4.767005597
Algeria,4.332592593,4.438016841,4.286551212,4.789013944,3.962222896,3.565106638,4.062133047,3.98885261,4.260074736,4.599993375
Angola,,,,4.246039,4.374988538,3.8845,3.393939,3.574717978,,
Argentina,3.463289702,3.660018427,3.674516936,3.715270637,3.468576632,3.764163568,3.618433579,3.235197398,3.335372281,3.491674812
Armenia,5.416591992,5.691104606,5.821379382,5.6730184,5.693152581,5.930842731,5.733902313,5.537694161,5.485669619,5.419093207
Australia,5.601917484,5.553330646,5.269971287,5.356103735,5.916537546,5.749006486,5.36523188,5.490140668,5.336454811,5.133812307
Austria,6.419903877,6.327123036,6.057729369,5.932195133,5.641330346,5.823555131,5.994091606,6.087545359,5.987295336,5.506619521
Azerbaijan,5.531698718,5.75463072,5.38778475,5.350374326,5.281719075,5.262975553,5.726272081,5.672274393,5.672274393,5.547534911
Bahrain,5.4374392,5.738658928,5.663570592,5.483635099,5.38851535,4.947797441,4.450699493,4.49137749,4.975726249,5.372350094
Bangladesh,3.494172932,3.880217049,3.579155748,3.6049776,4.1935776,4.316733271,3.864741585,3.490033582,3.37003305,3.579128469
Barbados,4.873820421,4.791982356,4.403410254,4.466339829,5.019108859,4.783382019,4.432838073,4.148378891,4.043,3.937585007
Belgium,5.471757272,5.74516929,5.803293196,5.802083397,5.723627358,5.788897819,5.534863306,5.453393681,5.369482948,5.093138355
Belize,,,,,2.815205,,,,,
Benin,3.550104082,4.144150041,4.547712595,4.21845789,4.102993521,4.500592108,4.176433152,4.3793,4.582089424,4.311194062
Bhutan,,,,,,,5.234094,5.617372856,5.836377325,5.657935809
Bolivia,3.78902683,3.918167377,3.645883476,3.956604464,3.863360291,3.846238595,3.77616783,3.610021502,4.123703702,4.594533221
"Bosnia and Herzegovina",4.275926098,4.758020699,5.285747057,4.998090568,4.455296,5.4262429,6.220654,5.1255,4.030303001,4.038547544
Botswana,3.979111248,4.396146387,4.550500052,4.570540335,4.847583706,5.106177442,4.688229738,4.128482329,4.195187283,4.300780518
Brazil,2.82009967,3.092388967,3.281527633,3.337853337,3.381897884,3.480376557,3.402187073,3.23103701,2.869554639,2.659824517
Brunei,,6.111616,6.17613029,6.044523323,6.02878461,6.00022813,6.168210108,5.7881,5.4079,5.027777672
Bulgaria,3.665058332,4.016105876,4.04195975,4.154312197,3.964671717,3.825752861,3.912749746,4.258809712,4.181429271,3.999992027
"Burkina Faso",3.815256892,3.82059543,4.502062711,4.99825415,4.671017768,4.320697244,3.914936304,3.806376027,,
Burundi,3.675572029,3.825895916,3.315709747,3.104369073,3.4055584,3.640546278,3.758819915,3.491805531,3.491805531,3.333196634
"Cape Verde",,,,4.34434,4.21567306,4.00087911,3.894025043,3.809529674,3.976755446,4.052742565
