Country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Albania,5.75584989,6.30267854,,,,,,,,
Algeria,5.959411765,5.296377316,5.355,5.4137,5.4724,5.531035212,5.078625004,4.457818898,4.457818898,4.457818898
Angola,,,,2.083209,1.76700037,1.7973,1.827586,1.43762678,,
Argentina,6.644136461,6.540556603,6.401592686,6.251182719,6.405029474,6.671190946,6.663771008,6.6938235,6.6938235,6.6938235
Armenia,5.803640791,6.231295273,,,,,,,,
Australia,6.457601736,6.75436067,,,,,,,,
Austria,6.837474608,6.865456789,,,,,,,,
Azerbaijan,5.697680302,6.043794701,5.5136425,5.249537022,5.638968619,5.94367637,6.051909578,5.817315292,5.817315292,5.817315292
Bahrain,6.792473208,6.567806837,,,,,,,,
Bangladesh,5.416365915,5.383581737,5.220822553,5.03830825,5.271827422,5.475905145,5.625298599,5.601313018,5.601313018,5.601313018
Barbados,6.01485061,6.272150644,,,,,,,,
Belgium,6.692733418,6.895575085,,,,,,,,
Belize,,,,,4.316658,,,,,
Benin,3.931656126,3.684465166,3.802248389,3.704297887,3.764779621,3.825014169,3.36192433,3.36192433,3.36192433,3.36192433
Bhutan,,,,,,,4.364544,4.483326953,4.483326953,4.483326953
Bolivia,5.50404768,5.25855439,5.077216717,5.010401975,4.489196681,4.108122636,3.925155918,3.918238121,3.918238121,3.918238121
"Bosnia and Herzegovina",6.580722468,6.296290136,,,,,,,,
Botswana,5.123346235,4.823099802,4.933953874,4.796782266,4.566033406,5.065393888,5.18095166,4.781609829,4.781609829,4.781609829
Brazil,6.307841507,6.253619293,6.114129873,6.062995172,6.019692227,5.924344292,6.154250212,6.287020932,6.287020932,6.287020932
Brunei,,5.57197,5.738994629,,,,,,,
Bulgaria,6.08777152,6.207852933,,,,,,,,
"Burkina Faso",3.985214095,4.035019251,3.745038909,3.2958759,3.295834146,3.215432099,3.122259698,3.107110941,,
Burundi,3.528330867,3.84782536,3.97862936,3.344758615,2.717225409,2.657208311,2.835292818,3.281116974,3.281116974,3.281116974
"Cape Verde",,,,5.149797,5.125542639,5.229939145,5.414138398,5.501274888,5.501274888,5.501274888
Cambodia,5.12722986,5.059930269,4.676639417,4.398994916,4.639911442,4.833170313,4.568968647,4.491907125,4.491907125,4.491907125
Cameroon,4.238007472,4.176709173,3.530384318,3.225401804,3.467343541,3.448826062,3.447407113,3.799388427,3.799388427,3.799388427
Canada,6.674623285,6.885003134,,,,,,,,
Chad,2.87627001,2.907146458,3.021763529,2.581527147,2.284173346,2.361542587,2.506374249,2.793215104,2.793215104,2.793215104
Chile,6.751657491,6.7919804,,,,,,,,
China,5.599136937,5.856278488,5.979473119,5.696221856,5.478288289,5.577619715,5.300529929,5.033447826,5.033447826,5.033447826
Colombia,6.193061371,5.6002862,5.491794566,5.375818619,5.220982208,5.089835297,5.1760258,5.341039232,5.341039232,5.341039232
"Costa Rica",6.153609831,6.366138789,6.587265579,6.57718485,6.337821702,6.305110443,6.397758195,6.528459505,6.528459505,6.528459505
"Ivory Coast",,3.655195,3.491814461,3.133438227,3.15755126,3.560119812,4.029828541,4.644030427,4.644030427,4.644030427
Croatia,6.651633889,6.921150183,,,,,,,,
Cyprus,6.659145228,6.743693014,,,,,,,,
"Czech Republic",6.813175385,6.895938866,,,,,,,,
Denmark,6.866525582,6.929962055,,,,,,,,
