Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,3313500,3425500,3426500,3446500,3444500,3446500,3124500,3041500,3081500,3178000,3400000,3923100,3337000,3342000,3404000,3394000,3388000,3392000,3183500,3018500,2909000,2799500,2649000,2562000,2434500,2347000,2496000,2331000,2290000,2253000,2345163,2250000,2632570,2757000,2669888,2691836,2730528,2792203,2532914,2406000,2094000,2238000,3004700,2667000,3030000,2989000,3021000,2714000,3192000,2962000,2820000,3143000,3182922,3344733
Albania,347764,332882,298725,342158,323238,328443,332935,323150,322299,327282,312203,331220,339400,334040,328500,350500,357000,356000,365800,372500,361600,357400,350300,350400,343000,349800,345900,347000,348900,321000,215339,200022,247936,262515,227137,205526,212488,210906,177800,178200,165800,157600,153340,143900,147655,140870,132390,149100,146200,145700,147599,142800,142000,143149
Algeria,2708623,2911300,2891420,2805810,2862350,1921790,2600270,3017870,3012480,3228170,2952400,3517530,3232850,2973050,3171240,3349880,2780260,2624990,2886660,3181380,2836390,2569300,2227560,2670070,3198670,2871100,2719150,1808540,2638170,2365999,3418278,3530507,1959500,1287329,2579512,3663945,1115670,3575735,1888965,1058203,2402769,1845237,2901741,3000751,2350646,2672250,2873890,1485493,3176364,2856586,2584752,3062453,2709432,2509193
Angola,657000,654000,645000,644000,603000,609000,632200,653000,721000,632000,649000,658000,718000,721000,721000,726000,713000,712000,709000,704000,700500,699000,695400,688800,685800,899000,956000,1006000,982000,774281,891200,1011839,1201390,955000,737212,795271,791176,868838,872348,920723,1026812,1170009,1140011,1509886,1568232,1622092,1682171,1156211,1849528,1878155,2132989,923085,2056204,2052623
"Antigua and Barbuda",,,,,,12,8,12,20,25,35,40,14,18,32,28,18,20,50,17,25,33,38,17,20,21,25,28,28,21,30,30,30,30,28,30,30,30,31,30,31,32,35,38,38,40,41,42,42,40,45,44,45,46
Argentina,10287500,8699220,11468110,12281330,9866080,11122075,12185670,12408430,11884800,11221810,12321590,11702050,11688950,11538000,11780050,13051770,10542300,11425900,11131900,9952900,12377000,14052800,13599000,12337485,11508250,10119555,9631373,8835955,8515784,8504919,9374145,8661890,8327985,8557865,9011225,8896900,12252838,10551285,9702535,10968267,10786923,10624301,9725016,9439752,10115019,8677568,9908567,10904474,7966743,8304862,10986263,11444040,10570463,10579215
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162767,181430,158077,133512,166633,186100,182500,164834,156585,191331,184869,194816,197983,202111,157554,172629,170005,164014,155666,156138,170172,176945,185937
Australia,8441623,9154626,9191184,9822032,9846764,11504354,11884253,14121516,12781700,10598124,11689197,11555097,12891607,11744994,12564985,12967979,14599138,15042503,15457828,15587177,16912666,16201605,18873052,17772613,17165159,15771295,13857882,13434992,13347412,13428753,11692782,13319773,13541766,12166478,14638839,16739388,15988962,16784700,16754700,17554290,17516894,17485901,19922757,20275785,19085528,18368064,19838164,20856545,20386200,19447248,19062705,19434851,17861921,17979121
Austria,902089,897794,888269,896099,866741,900828,902756,911199,957929,961847,969719,975268,982257,986019,987058,1024869,1026231,1053361,1067918,1068780,1050430,1051744,1067296,1051447,1053466,1058754,1000352,966344,946951,948437,923443,837703,825036,821503,807670,853027,872696,864247,832722,852234,846324,813416,809801,815770,818560,776783,811150,840987,835102,830332,826868,831410,803124,827685
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626411,701554,627000,603393,633623,654636,589076,512415,640726,752440,813191,765399,806034,792935,773895,728680,882691,1113798,954540,954216,1017719,1061005,980520
Bahamas,150,180,240,280,330,470,480,500,500,520,535,555,580,595,604,612,621,630,630,630,630,635,600,600,610,610,550,500,500,500,450,300,250,174,174,174,200,190,175,126,100,100,100,100,100,100,100,105,100,90,94,94,88,55
Bangladesh,8639332,8855818,9170275,9364054,9492394,9208509,10036709,9931197,10545400,10146201,9531242,9857487,10094822,10012328,10549360,10123512,10278378,10371255,10507816,10817980,11143697,11181582,10423553,10895119,11233180,11304320,11036881,10935858,11153325,11140604,10954903,10860774,10642068,10632902,10683381,10994172,11062180,11020640,11680974,11672247,11485595,11588093,11500907,10978274,11176338,11178034,11152085,11930855,11909888,12093951,12094815,11997756,12041336,12073173
Barbados,380,358,376,284,300,400,430,610,730,660,600,760,760,765,765,765,765,765,765,800,800,800,800,880,800,820,820,840,840,860,800,700,600,500,400,300,250,200,150,115,96,83,100,94,95,100,105,97,93,90,90,100,120,30
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2603000,2633852,2631519,2590382,2515440,2474593,2393041,2288384,2354021,2446853,2314580,2122341,2215357,2145833,2237281,2440545,2460171,2426413,2400772,2470394,2543932,2404759,2428139
Belgium,528292,522291,498118,499021,517591,550260,534118,528850,521931,507091,502217,506973,491124,467671,442933,459560,446311,446037,444496,430392,403244,398492,404149,401084,383992,387092,376564,385381,385422,368230,347798,346774,344213,322923,318535,310909,316305,345751,300668,,,,,,,,,,,,,,,
Belize,8129,5419,5550,7291,7842,8128,8102,8410,8785,11892,13357,14424,13042,15475,15782,16857,16106,13961,12909,13800,15432,14342,12718,14305,16630,13056,16300,17000,17720,14815,18455,18155,20477,19672,24346,22327,24998,21240,22200,19789,18466,23042,18929,19559,19450,19971,23856,24514,25229,29265,29082,26550,30959,26295
Benin,531800,585468,553182,556454,519948,493391,543196,508454,493091,493826,446885,488973,500470,473845,403870,383638,432443,563890,539828,481650,553152,542482,585376,604468,625625,593932,552571,667296,661838,643859,668487,667314,680219,674452,675896,707595,784772,821252,838189,901324,881728,980254,907751,967615,1013628,829234,1006591,1095462,1060035,1110659,1017435,1147742,1169330,1173784
Bhutan,68300,70400,72600,74500,76600,78600,80900,83900,85700,87700,89700,91600,93700,95800,97450,99800,101700,104000,107450,110950,112300,115017,120150,124030,120700,119800,118200,93040,93380,94799,111324,104158,100355,103029,109326,110483,110246,107688,100106,74170,79318,59031,59426,51405,82499,83943,95467,60554,66446,58578,65794,56994,54297,53324
Bolivia,431159,441960,475397,479702,432772,428936,392107,444767,464910,453355,463110,451760,456646,477335,519250,516695,536940,519405,526295,560535,589060,558838,476083,662023,728061,651475,649338,631546,624287,582495,664550,680232,724636,670717,697914,705639,680717,774561,832306,757846,742201,768249,744911,775942,861350,888530,983097,1018121,1014013,941043,972000,1005820,1457127,1543979
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304100,274908,235000,187200,237900,352483,381096,364394,364765,355432,341599,314624,324504,317350,312527,310427,310520,308836,286769,300208,301933,303586,272202
Botswana,181860,49768,48460,41698,35172,80619,206775,99160,161765,182379,215194,83818,125250,160270,150270,191470,177300,127300,73700,193500,196900,67100,63200,63200,103000,118400,127300,288300,267500,204982,137184,77936,109306,247526,136903,276863,158727,60531,91197,161066,41627,96549,29581,97332,83319,117719,48987,101900,152359,135436,163673,102001,88982,164545
Brazil,11168641,11522315,12565288,13107902,14247927,13523268,14493244,15119971,15774034,16821700,17674109,17468377,16803961,18023969,19309530,21558886,21283876,19860058,20861400,21080553,19893608,21903982,18083861,19502145,19702168,22404844,23456712,23082577,21970521,18512400,19821129,20564106,18293749,20063900,19752819,17476034,17794823,15789117,17435421,17249221,18139803,17877180,19925687,20420896,19312005,18423582,19543770,20814672,20077703,18601278,19216441,19611226,20906133,21851934
Brunei,2836,2831,2821,2600,2510,2448,3480,3480,3650,3456,2734,2473,2522,3363,3636,3680,2833,2410,2121,1991,1828,1596,1694,2100,873,721,1016,890,700,600,550,600,350,470,310,270,347,411,380,460,480,510,690,757,975,1095,1355,1300,1731,1848,1604,1797,1280,1448
Bulgaria,2521386,2451390,2425275,2448730,2310600,2328375,2213008,2166840,2154263,2172992,2222151,2202120,2098266,2075355,2246457,2269586,2240961,2141680,2186389,2064114,2080033,2134550,2133798,2056324,1846596,2098370,1969203,2109569,2164286,2055264,2251300,2232260,2268490,2302915,2133732,1783266,2054766,2001016,1771884,1783922,2098008,2145075,1608437,1830123,1723955,1548456,1533406,1710749,1827434,1773959,1769365,1903165,2006986,1960700
"Burkina Faso",1777392,1872821,1940525,1934100,1963000,2018500,2288401,1733214,2140460,2061898,1988087,1908554,1904280,2225750,2247300,1994000,2098896,2029709,2035662,1839110,2202721,2129170,2173976,1846796,2233598,2701884,2551189,2889595,2900530,2528900,2800600,2844000,2699678,2833071,2711913,2707855,2858017,2988490,2957438,2661349,3212574,3308691,3577488,3084961,3237581,3057328,3320950,4191339,3619256,4291496,3684446,4071781,4210656,3646006
Burundi,137397,127800,141460,149900,150750,155802,155124,157700,152102,154623,154613,151723,158398,146930,162468,164370,167100,163700,194000,203668,210102,205500,207500,202000,222126,219195,227400,244250,216150,217500,219000,220000,215129,176374,202000,196702,212557,204200,202000,206576,221000,223400,219388,218800,220900,232500,232604,232800,239700,264019,290208,232291,215813,177930
"Cape Verde",20000,20000,20000,20000,35000,39000,45000,25000,16000,3000,3000,3000,3000,7000,9000,11000,4000,3000,14000,16000,7000,10000,7000,5115,3300,22716,34882,34256,35480,34124,32655,33975,33105,32612,31066,32127,33347,34518,31358,30626,30674,34122,32053,25963,15000,29263,27873,34385,31983,32028,31318,30582,31727,5276
Cambodia,2270080,2387069,2348000,2504000,2480500,2270900,2137000,2437100,2046200,2485200,1974200,1455200,873600,615000,955000,1055000,1062000,1065000,849000,1541000,1402000,1676000,1661000,1021000,1496000,1563000,1410000,1875000,1910000,1900000,1769000,1733400,1866538,1531600,1969035,1925988,1962827,2002423,2139181,1960563,2047508,2066239,2325989,2186354,2484980,2621712,2708000,2776469,2895890,2990507,3142786,3222987,3180281,2975130
Cameroon,814452,909688,903695,887702,875932,884051,830487,838210,939792,923573,992652,948409,998927,975229,1042516,964175,981715,1060681,1066582,1031730,964842,1079632,992687,610628,706454,792237,582102,771621,766751,648236,843688,950472,1028479,991810,1006614,974872,905353,1003037,626070,723039,793656,890775,979737,1077645,1122290,1232784,1412911,1474007,1636978,1833685,1744437,2029131,1907664,1813699
Canada,16985264,18340807,18556188,18664782,18625128,19599536,19802974,19840692,18334919,13531041,18114448,17843070,18757283,17874547,18081682,19646229,18641159,18477650,17688300,19318900,21676900,21480700,21521900,21101600,21709000,22161800,21544800,20231700,21922393,21547874,20868958,20176400,19448200,17965100,18276400,20566100,19177100,18325300,17513800,18209500,17733700,15174800,17824900,16161700,15846800,15946100,16226000,16541300,15027100,13147100,13429000,14285596,15938484,13980884
"Central African Republic",153500,154000,155000,131500,112000,106000,123000,114000,127000,129400,133000,143500,151810,201692,177461,182500,178000,156056,187340,191665,203789,214920,152200,132240,102860,149573,131796,128708,114578,110070,102407,93378,94587,114878,129754,143171,146000,149640,159889,166706,176824,184400,199888,206076,226493,227076,248704,248770,264307,172033,170144,154356,168412,189208
Chad,1275850,1277450,1252300,1212024,1214842,1068544,1084300,1077780,983533,958400,1045708,1005090,912800,919800,1020981,1155128,1183800,1243000,1118000,1048000,556000,581344,860635,704640,1129349,1086801,989599,1100319,1123227,1075428,1312746,1337553,1231725,1573818,1549514,1459652,1693957,1889207,1857717,1759894,2081892,1807131,2047000,1807113,2433082,2552662,2467216,2486704,2642645,4257182,2622188,3393562,3187331,3212184
Chile,1024480,1013290,991550,987443,957810,1009247,968900,1008340,951251,967700,968330,982070,784560,879200,969970,969130,928550,855960,883810,852020,723930,656950,635460,782360,800220,797180,874770,792720,804080,823447,706970,694330,622470,583380,618407,604456,682719,613235,533827,593690,631247,652128,685127,706925,686445,594456,497056,565044,572191,526524,570215,556184,579184,567641
"Hong Kong",14821,11295,7877,8638,8538,9469,6309,9955,8067,6861,4653,3803,3144,1906,1975,1829,733,186,66,33,20,13,9,11,6,5,4,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
China,89712000,88910008,90371008,92086008,91089016,92863000,91965000,89643008,91280008,92886508,96197008,96529000,96185008,96848008,97239491,97788749,96433874,96648324,95472504,94370308,91944016,90301916,92104816,91739562,88145866,89761952,89694400,88790680,90871369,93020205,93608376,92098814,88812850,87436560,89309000,92208130,92122954,92118640,91617160,85264010,82595400,81469165,76810000,79350446,81873900,83143180,85777000,86249000,88401090,89907000,91006790,92538010,93844960,94693480
Taiwan,826020,840209,837689,802621,812933,840524,835607,835314,829052,819064,795650,784534,769900,831919,852955,836526,821009,797155,760588,683987,709135,705613,695712,648795,646463,631499,605540,582309,575958,563070,531033,500440,495122,468887,460969,434634,439241,411590,395160,375703,365214,338445,301152,261663,292832,284929,281144,272642,276129,265845,276644,281971,295699,302778
Colombia,1158170,1196700,1119160,1256100,1439697,1390770,1249700,1276875,1143960,1044713,1115010,1106940,1115860,1194450,1194250,1277850,1187825,1429165,1373100,1335650,1375115,1482110,1344190,1262760,1180900,1229269,1320800,1413400,1611400,1742800,1610900,1440654,1405706,1448674,1299245,1183840,1103336,945227,1084111,1122006,1133832,1087064,1186108,1241344,1127974,1100355,1118239,1182990,1160333,1040259,1136988,1156637,1170495,987542
Comoros,10200,10100,11350,11700,13700,15000,14100,12200,12300,12300,12300,12500,12700,13100,13300,14000,14600,15500,17000,17200,17300,17200,16000,15000,15200,15200,14236,14257,14477,14724,15028,15549,15966,15931,16072,16171,16303,16617,16204,15080,16036,16258,16559,16866,16978,19000,16137,19240,19856,21500,23600,24600,25500,26926
"Congo (Brazzaville)",7000,7100,9600,9650,9800,11000,11000,11500,10500,9000,10500,13084,18000,26099,31883,32180,31900,29500,29000,13855,13700,13100,16600,21200,20900,25885,25890,25946,25979,9633,9800,10079,13400,13616,15150,15651,15991,16987,12952,12957,23257,24860,28420,28370,28666,27900,27907,29750,30200,31618,31829,32779,33847,34927
"Costa Rica",103000,112000,108450,127400,110480,122700,127900,125400,113800,113000,94500,94800,133961,127847,149387,158912,143006,136437,142185,118847,147655,146757,155087,156147,163884,151845,132725,125081,93701,92604,80415,76335,61089,62892,55589,76455,74354,69798,79540,78573,64642,54669,62522,68596,61608,55138,56303,61411,74792,76013,89324,63990,72653,62870
"Ivory Coast",471000,574000,586000,618000,613000,624000,698200,712700,731050,714300,711200,711200,729700,784000,1020700,1041150,1073820,1123650,1166800,927200,943100,984700,1043500,1129200,1097000,1225000,1274000,1300000,1353000,1115596,1163560,1185538,1026144,1140765,1157449,975104,949297,829586,768277,764363,760406,759651,730329,743359,775972,788783,780280,811788,834856,863794,853083,1120978,1250331,1335356
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592672,641899,627109,631755,612087,634028,686829,625607,695050,722673,718190,691730,707307,543553,560116,556418,561332,563446,550331,540931,586878,584817,496472
Cuba,275000,294072,263000,178969,145000,140000,146367,173900,222300,303300,274100,297657,331460,295086,261503,240040,228760,228733,224478,225354,222400,228700,227100,238600,237200,248600,231295,229477,245421,230425,222326,252464,191925,272121,254800,357257,373290,329975,289690,326773,312470,320561,337417,304417,285839,267397,277892,285011,419902,402165,351512,358162,380298,361651
Cyprus,141673,137794,138730,140469,143975,143145,141941,143145,138060,152107,156857,153111,160536,162141,57058,62435,61773,50088,46743,49097,49151,51560,51345,52710,53486,52108,54047,58998,59701,57530,48790,65110,69100,63500,60870,58940,43020,59090,58940,51480,55970,59200,72745,66397,58286,54795,39806,35973,28500,34037,34542,37822,30760,25303
"Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1613589,1661548,1583821,1588882,1693637,1683785,1596798,1655815,1630997,1568203,1466634,1616507,1618545,1538634,1581686,1560918,1543881,1464999,1481615,1456513,1415185,1411610
Czechoslovakia,2480163,2492956,2488089,2525700,2456245,2553170,2578429,2627510,2666740,2625929,2675012,2752489,2760962,2718016,2714611,2633096,2681081,2640946,2592197,2559767,2560856,2548888,2525630,2497454,2506137,2511940,2506202,2479477,2498220,2433186,2436914,2400771,,,,,,,,,,,,,,,,,,,,,,
"North Korea",1432000,1436000,1476000,1479000,1460000,1484000,1490000,1483000,1508000,1510000,1514000,1523000,1558000,1592000,1616000,1618000,1635000,1638000,1635000,1611000,1630000,1588000,1592000,1580000,1573000,1561000,1633000,1615000,1631000,1600714,1569457,1548634,1489049,1522862,1515743,1406494,1446941,1425199,1348569,1238554,1286500,1319747,1351509,1307476,1379090,1318993,1331898,1316083,1318533,1318360,1309000,1324500,1306500,1263138
"Congo (Kinshasa)",719700,701700,660300,662700,693909,766207,797745,920806,908800,916343,926372,939813,961069,988829,1015151,1037000,1055000,1057500,1087400,1113100,1144000,1176800,1212300,1244200,1427330,1510170,1528440,1670030,1764270,1863672,1818202,1920943,2033425,2092101,1931425,1993682,1910655,1999290,2023140,1998412,1965543,1969558,1971819,1972720,1973987,1975198,1976378,1977475,1978827,1980367,1983000,2000761,1997722,1995588
Denmark,1536555,1541998,1569717,1567605,1596967,1604664,1637727,1685196,1704169,1738944,1756753,1776923,1761836,1732993,1719594,1787311,1821271,1845072,1850217,1816317,1787302,1767772,1697885,1674107,1600599,1578349,1498961,1586765,1561598,1570303,1561552,1611927,1444000,1410350,1454400,1523000,1535200,1530166,1496784,1514258,1538062,1527934,1484586,1490600,1508600,1493900,1448300,1513200,1499300,1508400,1496500,1503300,1443760,1450871
Djibouti,,,,,,,,,,,,,,,,,,,,,2,2,2,3,4,6,6,7,3,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,7,7,8,8,8,8,8
Dominica,110,110,115,115,120,120,125,125,130,130,135,135,140,140,150,150,150,150,155,160,165,170,180,170,150,150,130,120,120,110,120,122,120,130,127,127,127,127,128,129,129,130,135,131,140,142,145,132,129,120,100,120,120,117
"Dominican Republic",93320,91000,91400,96600,103000,104000,108625,118736,115600,112928,104000,96800,95700,101332,118506,152460,152851,154449,149753,150747,146215,131252,146607,185795,168012,146304,161772,147962,154952,122179,127332,153138,124110,124115,142473,142408,134724,148118,151326,147422,179057,176390,164259,162322,180108,174845,178542,179965,206348,209185,198098,188794,191727,188610
Ecuador,504534,567973,598034,650732,640901,591684,706492,587030,614933,595413,612063,626234,494759,495507,542225,564825,461054,330304,396097,414747,444800,418234,358299,442254,431368,817236,853392,845168,819720,802193,862490,918400,970500,998960,986190,1048830,963313,759667,869796,854251,865735,845029,785161,892221,810795,805174,867353,767151,822100,879483,954849,899320,940546,875558
Egypt,1723824,1975708,1944683,1907398,1625595,1817474,1894358,2054000,1920028,1911633,1927747,1894562,1880046,2000390,2043762,2077889,1899889,2043952,2034056,1978165,2009210,2027218,2013325,1944845,1886100,1864080,1930870,1941599,2085271,2283426,2470059,2477121,2495725,2561268,2726636,2545317,2735816,2642833,2707099,2761724,2614460,2712234,2751930,2755787,2975160,3002359,2911543,3186032,3179076,2992580,3037938,3268112,3311233,3291950
"El Salvador",297088,302463,277880,267679,317394,334946,323746,340795,318623,342020,350854,346430,329609,350000,395500,372897,389466,414995,433861,427881,405455,368889,364687,374920,385140,389760,415730,417690,411435,425367,446040,486290,457590,451850,438445,409220,445424,415065,380695,361354,397822,328728,320104,330716,339950,334321,328871,357174,362998,355322,370766,392041,384707,403081
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1601200,330365,298432,322179,374255,477043,427060,330175,343832,344627,405859,395213,442581,472402,492281,419412,453744,474699,500947,460114,462897,468874
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453649,375212,319661,304336,288224,326586,353300,321000,329423,274162,260155,263166,260979,282094,280235,292236,309300,316413,275274,296924,290500,311100,332900
Ethiopia,5882000,6093000,6113700,6156100,6228600,6290300,6348600,6424300,6499800,6580200,6670300,6429500,5282000,5351000,4464500,4426300,4230000,4454800,4631000,5079000,4711820,4629430,5029230,4715860,4814680,4991450,4950900,5054810,4891260,4957410,4444010,4356060,,,,,,,,,,,,,,,,,,,,,,
Fiji,13060,12857,12263,10319,8287,8571,9819,10898,10813,11548,9376,9295,8454,9207,10395,9456,9572,9224,9871,9813,8919,10074,9731,11321,12165,12031,12655,14129,13761,13057,12765,10901,10039,8512,7674,9223,8662,8516,6673,5827,6361,5727,7102,6615,6794,6000,5733,5397,4333,3524,3675,2401,3065,2998
Finland,1029808,1059191,1056400,1124700,1131000,1131900,1180800,1191900,1156900,1196900,1212100,1228000,1247500,1306300,1310900,1360200,1192300,1232700,1235500,1170900,1164900,1169500,1219000,1192000,1254000,1196700,1136700,1214400,1193800,1212600,1024300,914500,926200,947700,977700,1079400,1117700,1157000,1134000,1172700,1160200,1195100,1192900,1127100,1185800,1152400,1131500,1193900,1133100,954200,1045700,1036300,1102000,1118743
