Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,100,100,100,100,100,100,100,100,100,100,100,100,200,200,200,200,200,200,500,500,500,500,500,500,500,500,500,500,500,500
Angola,1000,1300,1700,2100,2600,3200,3900,4700,5700,6700,7900,9200,11000,12000,14000,16000,17000,19000,21000,23000,24000,26000,28000,29000,29000,30000,31000,32000,32000,31000
Australia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Azerbaijan,100,100,100,100,100,100,100,100,100,100,100,100,100,100,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
Burundi,11000,14000,16000,18000,20000,22000,23000,24000,25000,26000,26000,26000,25000,25000,24000,23000,21000,20000,19000,18000,17000,16000,15000,14000,13000,12000,12000,11000,10000,9400
Benin,500,500,1000,1100,1500,2000,2600,3100,3700,4300,4900,5400,6000,6500,6900,7300,7700,7800,7900,7900,7900,7900,7800,7700,7500,7100,6700,6300,6000,5600
"Burkina Faso",11000,13000,15000,17000,19000,21000,22000,23000,24000,25000,26000,26000,26000,25000,25000,24000,23000,22000,21000,20000,19000,18000,17000,16000,15000,14000,12000,11000,11000,9800
Belarus,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,200,200,200,200,200,200,200,500,500,500,500
Bolivia,1000,1000,1000,1000,1100,1300,1400,1500,1600,1700,1700,1700,1700,1700,1700,1600,1500,1400,1300,1200,1100,1000,1000,1000,1000,1000,1000,1000,1000,500
"Central African Republic",2400,3400,4400,5400,6500,7600,8600,9700,11000,11000,12000,13000,13000,14000,14000,14000,14000,14000,13000,13000,12000,12000,11000,11000,10000,9400,8600,8100,7600,6900
Chile,100,100,100,100,100,100,100,100,200,200,200,200,200,200,200,200,200,200,200,500,500,500,500,500,500,500,500,500,500,500
"Ivory Coast",16000,21000,26000,32000,37000,43000,48000,53000,58000,62000,66000,69000,71000,72000,73000,72000,71000,69000,67000,64000,61000,59000,55000,52000,48000,45000,41000,37000,34000,32000
Cameroon,2500,3500,4900,6800,9000,12000,15000,18000,22000,26000,29000,33000,36000,39000,42000,45000,47000,49000,50000,50000,49000,49000,48000,46000,44000,41000,38000,36000,33000,31000
"Congo (Kinshasa)",30000,36000,42000,48000,54000,59000,65000,69000,73000,77000,80000,82000,85000,86000,87000,88000,88000,88000,87000,86000,85000,83000,82000,80000,77000,74000,73000,71000,70000,68000
"Congo (Brazzaville)",2300,2900,3500,4000,4600,5100,5600,6100,6600,7000,7400,7700,7900,8100,8100,8200,8200,8200,8100,8200,8200,8000,8000,8000,7900,7900,7900,7900,7900,8000
"Costa Rica",100,100,100,100,100,100,100,100,100,100,100,100,200,200,200,200,200,200,200,200,200,200,200,200,200,200,500,500,500,500
Cuba,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,200,200,200,200,200,100
Djibouti,100,100,100,200,500,500,1000,1000,1000,1100,1200,1300,1500,1500,1600,1600,1700,1700,1600,1600,1500,1400,1300,1200,1100,1000,1000,1000,1000,1000
"Dominican Republic",1000,1200,1500,1800,2100,2400,2700,3000,3200,3400,3600,3700,3800,3900,3800,3700,3500,3300,3100,3000,2800,2600,2500,2300,2100,1900,1800,1600,1500,1300
Algeria,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,200,200,200,200,200,200,500,500,500,500,500,1000,1000,1000,1000
Ecuador,500,500,500,500,500,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
Egypt,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,200,200,200,200,200,200,500,500,500,500,500,500,1000
Eritrea,1000,1000,1000,1100,1300,1500,1600,1700,1900,2000,2100,2200,2300,2400,2400,2400,2400,2400,2300,2300,2200,2100,2000,1800,1700,1600,1500,1400,1300,1200
Spain,200,500,500,500,200,200,200,200,200,200,200,200,200,200,200,200,200,100,100,100,100,100,100,100,100,100,100,100,100,100
Ethiopia,32000,42000,52000,62000,73000,83000,92000,100000,110000,110000,120000,120000,120000,120000,120000,120000,110000,110000,100000,96000,89000,83000,76000,70000,65000,59000,55000,51000,47000,44000
France,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,500,500,500,500,500,500,500,500,500
Gabon,500,500,500,1000,1000,1000,1300,1500,1700,2000,2200,2400,2600,2800,2900,3100,3200,3200,3300,3300,3300,3300,3300,3200,3100,3000,3000,2900,2900,2800
Ghana,9400,12000,14000,16000,19000,21000,23000,26000,28000,30000,32000,33000,35000,36000,36000,37000,37000,36000,36000,35000,34000,33000,32000,32000,31000,31000,30000,28000,27000,26000
Guinea,2000,2500,3100,3900,4600,5400,6300,7200,8000,8800,9600,10000,11000,11000,12000,12000,13000,13000,13000,13000,12000,12000,12000,11000,11000,11000,10000,10000,9700,9000
Gambia,100,100,100,200,200,500,500,500,1000,1000,1000,1000,1000,1100,1300,1400,1500,1600,1700,1700,1800,1800,1800,1900,2000,2000,2000,2000,2100,2100
"Guinea Bissau",100,200,200,500,500,1000,1000,1000,1200,1500,1800,2000,2300,2600,2800,3000,3200,3400,3500,3600,3700,3800,3800,3700,3700,3600,3500,3300,3300,3200
"Equatorial Guinea",200,200,200,500,500,500,500,1000,1000,1000,1000,1000,1000,1200,1300,1400,1600,1700,1800,2000,2100,2300,2400,2400,2500,2500,2600,2600,2700,2800
Guatemala,500,500,500,1000,1000,1000,1000,1000,1200,1300,1400,1500,1600,1700,1800,1900,1900,1900,1900,1900,1900,1800,1800,1700,1600,1600,1500,1400,1300,1200
Guyana,100,100,100,100,100,100,100,100,100,100,100,200,200,200,200,200,500,500,500,500,500,500,500,500,500,500,500,500,500,500
Honduras,1000,1000,1000,1000,1100,1200,1300,1500,1500,1600,1700,1700,1700,1600,1600,1500,1500,1400,1300,1200,1200,1100,1000,1000,1000,1000,1000,1000,1000,1000
Haiti,4600,5600,6700,7800,8800,9800,11000,12000,12000,13000,14000,14000,14000,14000,14000,14000,14000,13000,13000,12000,12000,12000,11000,11000,10000,9900,9500,9100,8700,8300
Iran,500,500,500,500,500,500,500,500,500,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
Italy,200,200,200,500,500,500,500,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,500,500,500,500,500
Jamaica,500,500,500,500,1000,1000,1000,1000,1000,1000,1000,1000,1100,1100,1100,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
Kazakhstan,100,100,100,100,100,100,100,100,100,100,100,100,100,100,200,100,200,200,200,200,200,500,500,500,500,500,500,500,500,500
Kenya,42000,58000,76000,95000,110000,130000,150000,170000,190000,200000,210000,220000,230000,240000,240000,240000,240000,240000,230000,220000,200000,190000,180000,170000,160000,150000,140000,130000,120000,110000
Kyrgyzstan,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,200,200,200,500,500,500,500,500,500,500,500,500
