Country,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,,,,,,,,,,,,199,170.2,141.4,112.6,83.8,55,86.2857,117.5714,148.8571,180.1429,211.4286,242.7143,274,305.2857,336.5714,367.8571,399.1429,430.4286,461.7143,493,524.2857,555.5714,586.8571,618.1429,649.4286,680.7143,712,743.2857,774.5714,805.8571,837.1429,868.4286,899.7143,931,118,624,374.5,125,138.5,152,198,114,60.5,7,10,13,16,19,22,11,10,44,29,14,4,8,5
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,
Algeria,,,,,,,,,,,,,,,,,,,,,,,110,71,74,50,118,30,9,13,94,18,15,12,9,13.2,17.4,21.6,25.8,30,25,20,16,12,8,4,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,24,9,34,4,17.5,31,168.2,305.4,442.6,579.8,717,854.2,991.4,1128.6,1265.8,1403,1542,925,809,582,184,185.5,187,248,42,310,578,846,1114,1382,1650,1918,2186,2454,2722,513,243,88,30,110,98,86,3,3,3
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,34,15,1,5,12,,,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,4,3.6667,3.3333,3,2.6667,2.3333,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,,12947,12372,12884,16904,9443,9802,15310,5134,10119,11056,6272,1703,1304,1248,2419,683,1234,369,614,1556,1889,386,201,369,173,117,62,354,81,21,21.25,21.5,21.75,22,22.25,22.5,22.75,23,43,2,4,16.5,29,35,41,61,78,95,26,63,16,,,,,,,,,,,,,,,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Benin,,,,,,,,,,,,,,,,,,,,,,37,274,29,2,4,1,14,13.9,13.8,13.7,13.6,13.5,13.4,13.3,13.2,13.1,13,62.2,111.4,160.6,209.8,259,17,2,20,12,203,16,1,25,11,71,13,11,9,11,1,3,5,1,8,4,3,6,12,12.5,13
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,6,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,395,254,46,54,68,18,7,,,,,,,,,,,,,,,,,,
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,363,644,452,85,33,37,27,83,17,,,,,,,,,,,,,,,,
Brunei,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Burkina Faso",,,,,,,,,,,,,,,,,,,,,,1,495,372,249,66,3,15.6667,28.3333,41,53.6667,66.3333,79,91.6667,104.3333,117,156,140.1667,124.3333,108.5,92.6667,76.8333,61,74,87,100,113,58,55,52,7,14,7,9.25,11.5,13.75,16,13.6667,11.3333,9,6.6667,4.3333,2,7,,,,
"Burma (Myanmar)",,2785,4685,245,9,19,12,6,3,3,2,200,394.3333,588.6667,783,171,8,17,22.6667,28.3333,34,76,42,7,24,203,172,173,272.5,372,75,50,3,16,29,26,23,20,17,14,11,25,39,50,52,4,6,5.6154,5.2308,4.8462,4.4615,4.0769,3.6923,3.3077,2.9231,2.5385,2.1538,1.7692,1.3846,1,2.5714,4.1429,5.7143,7.2857,8.8571,10.4286,12,11
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248,31,28,11,9,35,10,15,17,19,21,23,25,27,29,35,41,59,77,95,26,63,16,20,8,18,14,18,7,2,4,2.5,1,1,1,17,9,7,5
Cambodia,,1,40,10,8,2,1.5,1,1,3,5,7,9,11,13,27,16,5,3,1,3.6,6.2,8.8,11.4,14,1,5.1538,9.3077,13.4615,17.6154,21.7692,25.9231,30.0769,34.2308,38.3846,42.5385,46.6923,50.8462,55,28.5,2,49.5,97,120,104,211,123,20,43,66,130,104.2,78.4,52.6,26.8,1,1,1,1,1,1,1,,,,,,
