Country,2013,2014,2015,2016
Afghanistan,,0.34067497,0.318166956,0.34067497
Albania,0.507478465,0.480297501,0.504178717,0.480297501
"Antigua and Barbuda",,,,0.718206207
Argentina,0.536658439,0.718206207,0.548259167,0.567443528
Australia,0.723283097,0.567443528,0.736893998,0.766777436
Austria,0.743924,0.766777436,0.789708199,0.80275848
Bahamas,,,,0.619588303
Bangladesh,0.322476743,0.80275848,0.390289537,0.393048297
Barbados,,,,0.677794712
Belarus,0.629618273,0.619588303,0.619736137,0.647562856
Belgium,0.678150291,0.393048297,0.720394327,0.761364443
Belize,,,0.493561166,0.469724086
Bolivia,0.378945263,0.677794712,0.369004226,0.346488457
"Bosnia and Herzegovina",0.499497023,0.647562856,0.517975628,0.50002772
Botswana,0.654271719,0.761364443,0.610126843,0.620393777
Brazil,0.554628051,0.469724086,0.525751535,0.528276257
Bulgaria,0.566129063,0.346488457,0.538950343,0.570432904
"Burkina Faso",0.588990626,0.50002772,0.470901763,0.465675782
Cambodia,0.374377095,0.620393777,0.292441541,0.189266559
Cameroon,0.345949801,0.528276257,0.365204883,0.34627771
Canada,0.723139555,0.570432904,0.70214536,0.721987242
Chile,0.660108284,0.465675782,0.61202412,0.642070034
China,0.43065421,0.189266559,0.484861578,0.522654989
Colombia,0.534527835,0.34627771,0.511543252,0.4976449
"Costa Rica",,,0.633397722,0.615765297
"Ivory Coast",0.509227965,0.721987242,0.544715702,0.508369373
Croatia,0.512039306,0.642070034,0.537210609,0.526326314
"Czech Republic",0.647194732,0.522654989,0.688280009,0.72743273
Denmark,0.78600795,0.4976449,0.828637341,0.842292685
Dominica,,,,0.611574973
"Dominican Republic",0.5113724,0.615765297,0.507734563,0.456380581
Ecuador,0.424497277,0.508369373,0.411431828,0.437566602
Egypt,0.465276397,0.526326314,0.39412029,0.382330407
"El Salvador",0.492083377,0.72743273,0.505840431,0.477388755
Estonia,0.707211403,0.842292685,0.752100798,0.770405002
Ethiopia,0.455031863,0.611574973,0.357658163,0.37303774
Finland,0.788443867,0.456380581,0.776013385,0.800019365
France,0.683579065,0.437566602,0.697927009,0.711259485
Georgia,0.614010696,0.382330407,0.633884445,0.61167474
Germany,0.799979985,0.477388755,0.824823971,0.859966226
Ghana,0.605085902,0.770405002,0.60771339,0.610939242
Greece,0.614117924,0.37303774,0.591384521,0.571738086
Grenada,,,,0.719470346
Guatemala,0.40830938,0.800019365,0.364421345,0.331831375
Guyana,,,,0.48186162
Honduras,,,0.450930758,0.425480509
"Hong Kong",0.705541872,0.711259485,0.758219638,0.772468753
Hungary,0.550820676,0.61167474,0.53209525,0.524216265
