Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,131.18,138.00,160.00,160.00,163.00,166.00,176.00,184.00,152.00,140.00,116.00,104.00,8.80,7.70,6.60,5.50,3.30,2.20,2.20,1.10,1.10,29.00,23.00,39.00,37.00,36.00,39.00,268.00,383.00,551.00,799.00,1631.00,1367.00,1485.00,1673.00
Albania,1741.65,1863.00,2083.00,2260.00,2447.00,2612.00,2568.00,2679.00,2690.00,2682.00,2364.00,1330.00,348.00,227.00,186.00,88.00,125.00,43.00,54.00,126.00,76.00,89.00,68.00,71.00,71.00,60.00,60.00,60.00,77.00,177.00,195.00,239.00,134.00,116.00,144.00
Algeria,102.51,301.00,1536.00,1311.00,1351.00,1351.00,1646.00,1780.00,1781.00,1608.00,1108.00,1235.00,1141.00,887.00,901.00,529.00,351.00,597.00,692.00,697.00,443.00,603.00,808.00,666.00,659.00,718.00,764.00,603.00,615.00,150.00,3.10,2.20,13.00,43.00,42.00
Argentina,1555.36,1422.00,1479.00,1410.00,1079.00,1367.00,1590.00,1673.00,1832.00,1766.00,1513.00,1334.00,1332.00,1237.00,1795.00,1592.00,1474.00,1356.00,1378.00,1463.00,1310.00,1030.00,841.00,1017.00,1230.00,1579.00,1422.00,1559.00,1641.00,1345.00,1658.00,1961.00,1782.00,1880.00,2233.00
Armenia,--,--,--,--,--,--,--,--,--,--,--,--,155.00,3.30,40.00,3.30,5.50,5.50,5.50,3.30,8.8667,14.4333,20.00,30.00,20.3667,10.7333,1.10,3.30,2.20,1.65,1.10,1.65,2.20,1.10,0.90
Aruba,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,74246.09,75302.00,80194.00,77352.00,78117.00,86516.00,85694.00,93734.00,96962.00,105714.00,105038.00,108998.00,111975.00,109760.00,110536.00,112977.00,121146.00,127234.00,138596.00,141012.00,141231.00,141285.00,143589.00,144162.00,149889.00,152305.00,155194.00,156107.00,155093.00,154848.00,148601.00,145301.00,139312.00,134602.00,130504.00
Austria,6777.00,7113.00,6736.00,6995.00,7985.00,7767.00,6547.00,6715.00,6092.00,6199.00,7345.00,7554.00,5448.00,4836.00,4798.00,5660.00,5969.00,5938.00,5064.00,5583.00,5627.00,6129.00,5955.00,6575.00,6110.00,5870.00,5504.00,4813.00,4527.00,3661.00,4235.00,4334.00,3945.00,3935.00,3554.00
Azerbaijan,--,--,--,--,--,--,--,--,--,--,--,--,30.00,4.40,1.10,6.60,6.60,6.60,1.10,1.6,2.1,2.60,6.20,3.80,4.90,5.30,18.00,13.00,12.00,7.00,8.20,6.20,6.50,6.00,2.20
Bangladesh,25.90,27.00,33.00,18.00,68.00,108.00,163.00,138.00,112.00,24.00,62.00,198.00,186.00,694.00,584.00,708.00,388.00,712.00,205.00,101.00,728.00,772.00,783.00,795.00,843.00,1060.00,1039.00,1364.00,1414.00,1707.00,1784.00,1608.00,1990.00,2141.00,1228.00
Belarus,--,--,--,--,--,--,--,--,--,--,--,--,2050.00,1773.00,1322.00,1240.00,1230.00,893.00,834.00,572.00,556.00,477.00,368.00,324.00,258.00,185.00,146.00,91.00,84.00,87.00,87.00,99.00,395.00,652.00,845.00
Belgium,18848.40,18643.00,18326.00,16594.00,18420.00,17357.00,15565.00,16023.00,16616.00,17468.00,18320.00,17440.00,15968.00,14892.00,15245.00,14560.00,14134.00,13100.00,12549.00,10959.00,11563.00,10933.00,9890.00,9247.00,8630.00,8219.00,7954.00,7238.00,6407.00,4982.00,6161.00,5753.00,5738.00,5578.00,4982.00
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04
Bhutan,1.16,1.20,1.20,1.30,1.00,1.10,1.40,21.00,22.00,20.00,20.00,20.00,21.00,12.00,50.00,57.00,65.00,78.00,75.00,73.00,73.00,60.00,70.00,46.00,10.00,76.00,86.00,30.00,78.00,107.00,144.00,115.00,152.00,110.00,111.00
"Bosnia and Herzegovina",--,--,--,--,--,--,--,--,--,--,--,--,1653.00,1433.00,1543.00,1808.00,1863.00,6011.00,7755.00,7465.00,8198.00,8077.00,8633.00,7349.00,6312.00,5243.00,5586.00,5920.00,6709.00,8320.00,8662.00,10065.00,9057.00,8865.00,9401.00
Botswana,408.96,444.00,480.00,468.00,463.00,514.00,575.00,586.00,694.00,748.00,898.00,881.00,1003.00,992.00,1004.00,1005.00,858.00,879.00,1125.00,1121.00,1148.00,995.00,1025.00,928.00,991.00,1123.00,948.00,976.00,879.00,820.00,1108.00,884.00,769.00,1185.00,1188.00
