Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,12559,12556,12701,12728,12798,12738,12943,14509,14612,13313,12400,13480,13906,13823,14171,14868,13145,13681,13636,13916,14054,14043,14145,14082,14102,14239,14154,14200,14000,14213,13697,10947,13313,13033,13147,12894,13403,13876,13042,8543,13866,18366,8653,12106,12765,19091,19481,18571,19305,18825,16429,19460,19741,17848
Albania,8774,8481,10690,10391,9606,13372,15016,16335,15991,16995,16281,16298,16420,17890,20851,22875,26536,28158,27776,21648,24399,27413,29829,27219,25669,31055,27868,24296,30066,24087,20673,18291,21612,24360,27940,28781,28006,30099,32776,33943,33480,34813,36542,39264,38451,41992,39308,41629,46972,55557,52105,56934,57750,57466
Algeria,2382,8251,7422,5177,6018,3208,6193,7422,6392,6683,5182,6740,4922,5014,8768,6471,3599,5987,5733,8168,5996,5866,6054,5111,9407,8689,7369,5381,7320,7434,11485,8872,6192,6331,7110,13850,7174,7469,10666,7531,10953,10105,15239,13155,14904,14973,12175,8871,17325,12692,12861,15270,16427,11648
Angola,8062,8104,7743,8607,9075,7937,7712,7921,8944,9005,7869,7673,7438,6926,7576,7648,5882,6618,5000,6132,4412,4412,4779,4593,4444,3753,3789,3300,2738,3164,4135,3934,2640,2813,3778,6384,5519,6900,6126,5578,5799,6229,6391,4851,5813,4443,4627,6536,5701,6270,6588,5430,8075,8807
"Antigua and Barbuda",,,,,,25000,22500,25000,22500,24000,22857,23000,20000,20556,18750,18214,16667,17500,19200,17059,18000,17879,17895,17059,19000,19048,19200,20357,21429,23810,18333,17184,16955,16742,16071,16440,16377,16336,16316,16000,16126,15625,15714,15789,15957,16250,15998,16190,15903,15871,15966,15954,15942,15931
Argentina,14841,16483,14309,15383,14426,18604,19071,15805,16821,19672,20438,15991,22263,23985,22004,21072,26249,29279,26875,21886,33779,28583,28573,28172,31579,33256,28624,32916,24448,28104,32732,37771,38092,37048,38821,36085,40473,53103,45412,47637,47154,51866,54700,53554,63885,52717,64056,55212,47081,63028,53447,46918,56394,58640
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16292,10596,10323,12905,13722,9024,12217,14194,7829,14281,18724,12897,21779,17906,10815,26039,23764,22653,20044,26986,27109,30019,30444
Australia,9355,10737,10981,11069,8995,12121,7595,11933,10537,11679,13154,10085,12061,13656,13722,13287,9922,14238,15409,11780,13377,9778,14548,16684,15069,15884,14849,15979,17322,17184,16747,19115,18618,12956,18432,19443,19748,19411,21623,21285,22259,12483,22116,17776,21780,11705,14773,18805,19382,18864,21592,23100,24270,23256
Austria,24947,25496,25099,26076,22990,29847,32219,33055,36574,32917,36952,35031,39777,40623,38452,41387,42260,44752,39268,45318,42920,49691,48490,52318,54365,50300,51676,56336,54511,57971,56250,50630,54591,54790,57101,57230,63940,61525,63309,61056,64448,63295,61884,73965,70646,62246,64816,74575,69051,72429,81233,75030,65246,80652
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19999,14616,16387,15317,13692,15241,15041,24174,22962,25052,26609,27151,26144,26151,25751,26545,27768,26393,22013,25897,27567,27328,23677
