Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,0.027406178,0.027324178,0.025671725,0.024814158,0.025308027,0.025534385,0.025747559,0.026296939,0.026974869,0.028688679,0.03071658,0.032400328,0.032856827,0.033171211,0.033819119,0.033797049,0.034245186,0.034624546,0.034720104,0.034872573,0.034988875,0.03496595,0.035061794,0.035178886,0.035446021,0.035949138,0.03644407,0.036672685
Albania,0.000535035,0.000703168,0.000798507,0.001098237,0.001684293,0.001895978,0.002002131,0.001971494,0.002577696,0.002497165,0.002931768,0.003709468,0.004095291,0.004313686,0.004314498,0.003693761,0.003846071,0.004599021,0.00453142,0.003717733,0.00411524,0.00419245,0.004249789,0.00432406,0.004418205,0.004475659,0.004548819,0.004584767
Algeria,0.018649147,0.019303494,0.020148666,0.021134356,0.022472133,0.023601831,0.024879036,0.026297403,0.027671213,0.029926521,0.032287435,0.034415715,0.03637286,0.037715229,0.039275048,0.040675915,0.041892403,0.043017711,0.04411286,0.045174306,0.046238676,0.047344805,0.048207132,0.049244587,0.050274606,0.051182783,0.051828515,0.052915118
"American Samoa",0.002214928,0.002244496,0.002270945,0.002288291,0.002307253,0.00238065,0.002446491,0.002567826,0.002419275,0.00208354,0.002688399,0.002589436,0.003148612,0.003658272,0.003695634,0.003696647,0.003726135,0.003527916,0.003666898,0.003700039,0.003954796,0.003961781,0.004240408,0.004468026,0.004591153,0.004679117,0.004783016,0.004877886
Andorra,0.036875118,0.039133026,0.040257885,0.040397889,0.040066419,0.039866008,0.040337047,0.040753249,0.04148925,0.04220577,0.042932464,0.043634687,0.04423458,0.046246361,0.048142782,0.048729479,0.049184179,0.04924667,0.049027732,0.048378469,0.04783638,0.046996453,0.046946035,0.046440415,0.046491194,0.04620655,0.0463201,0.046662921
Angola,0.023342572,0.023783585,0.024506344,0.025497025,0.026239062,0.026054551,0.024787872,0.024686613,0.027887348,0.027874334,0.029076371,0.030054435,0.030671863,0.031987193,0.033759899,0.034120121,0.035354678,0.036076521,0.036899172,0.038013568,0.038986115,0.040251085,0.041803973,0.042897078,0.043309599,0.044851782,0.045821527,0.047327261
"Antigua and Barbuda",0.04501884,0.049526894,0.054456892,0.059828435,0.079681819,0.095823111,0.104256497,0.115525864,0.13028034,0.138677788,0.139984109,0.142402234,0.142357556,0.139822517,0.136020723,0.136175786,0.132218636,0.129591365,0.121766673,0.110808661,0.103265267,0.093523025,0.081404372,0.076683457,0.073171204,0.070816625,0.081101997,0.086442778
Argentina,0.067908575,0.070310435,0.076309828,0.079249753,0.083331512,0.088672557,0.097785328,0.112564424,0.102261066,0.103631938,0.094151531,0.094455534,0.093340686,0.088936276,0.083839999,0.083157056,0.08487772,0.087850138,0.085203724,0.081832491,0.080702861,0.081528664,0.07835783,0.077104371,0.072684403,0.074303297,0.081943993,0.086425288
Armenia,0.001036637,0.001154003,0.001301332,0.001287674,0.001242109,0.00120986,0.001082374,0.001039428,0.000985746,0.001022764,0.001141839,0.001299779,0.00152307,0.001673097,0.00212864,0.002738539,0.00358888,0.004016638,0.004779061,0.005275996,0.005695028,0.00613783,0.006071774,0.007888676,0.009633608,0.011509467,0.011292757,0.010834873
Australia,0.006778949,0.006582847,0.006563085,0.007143952,0.00730573,0.007878482,0.009333906,0.012744526,0.021314684,0.027761859,0.029934865,0.029265613,0.028506402,0.029235958,0.030049877,0.030440258,0.030514704,0.032157242,0.03404738,0.03556126,0.035907705,0.036008953,0.035100793,0.036284984,0.039116299,0.0410644,0.040933674,0.041392357
Austria,0.002249304,0.002035712,0.001807731,0.002017113,0.001937948,0.001734187,0.001914592,0.001716543,0.001881205,0.00192094,0.002369783,0.003440684,0.003862195,0.003751479,0.003923796,0.004009838,0.003958056,0.004233357,0.00443688,0.005087638,0.006253593,0.006559988,0.006248784,0.006315068,0.006798332,0.007867324,0.008068675,0.007747184
Azerbaijan,0.010359786,0.01099114,0.011386539,0.011732373,0.01267063,0.014124652,0.013785118,0.013291151,0.013095442,0.013593819,0.015117377,0.01944244,0.022116508,0.024921872,0.02713992,0.028593855,0.031076699,0.036710811,0.034709777,0.034760812,0.035395724,0.035834525,0.036188927,0.036562935,0.036851325,0.036921139,0.037110304,0.037770217
Bahamas,0.016736365,0.017778015,0.01893918,0.018896441,0.025496972,0.030530323,0.031832188,0.035824356,0.038137447,0.037744102,0.037382785,0.037290829,0.037545014,0.037073979,0.035448983,0.036313453,0.035662823,0.035431172,0.033401813,0.030633356,0.028536972,0.02586287,0.02404267,0.02450052,0.026819058,0.028567963,0.030057979,0.031197932
Bahrain,0.002608446,0.002891881,0.00321386,0.003380193,0.003494397,0.003663652,0.003794232,0.003832003,0.003862617,0.003866795,0.004337543,0.005093056,0.004877112,0.005134689,0.005131836,0.00546185,0.005274451,0.005542453,0.005727953,0.005705184,0.005984376,0.006456811,0.00691883,0.007482327,0.008883479,0.008430325,0.008549936,0.008752679
Bangladesh,0.039966386,0.03753606,0.037860146,0.037758415,0.03778551,0.038845132,0.038747249,0.038574642,0.038563498,0.038686741,0.039773464,0.03993372,0.040160725,0.040986603,0.041591933,0.04292827,0.044178441,0.045465141,0.046205202,0.046078078,0.046168413,0.045334611,0.044746185,0.044860482,0.045723806,0.046682863,0.047769458,0.049913374
Barbados,0.009943704,0.011122362,0.012331274,0.014140305,0.018829359,0.022834374,0.024048452,0.025917974,0.028798044,0.031123822,0.032468919,0.033213569,0.034648128,0.03552889,0.034932356,0.035013246,0.034345673,0.033516639,0.031150745,0.028025714,0.02534106,0.022630656,0.021194676,0.02117354,0.022682665,0.02371356,0.024729097,0.025595658
Belarus,0.131255408,0.144845895,0.160769251,0.185998942,0.193209765,0.206559819,0.208737178,0.217570002,0.236785435,0.253931989,0.241676445,0.270755902,0.318316951,0.30667512,0.276810032,0.278806771,0.262993266,0.251033734,0.234864487,0.236537764,0.270124455,0.268913987,0.236475143,0.235784566,0.230787581,0.2230865,0.223075763,0.233229816
Belgium,0.007642028,0.008669016,0.009965537,0.008544129,0.010917107,0.013461659,0.019595707,0.018708771,0.025424835,0.030847747,0.035189425,0.038414165,0.038713802,0.038768819,0.037775302,0.038664019,0.036896651,0.034356538,0.036621516,0.033490688,0.033872269,0.033056401,0.031577159,0.029339311,0.030280778,0.029591928,0.030648123,0.03168294
Belize,0.012301493,0.014631807,0.017140621,0.017108341,0.023341111,0.030392512,0.035040692,0.039198307,0.044614561,0.047040447,0.050825114,0.054645052,0.053259844,0.050311623,0.048459536,0.048045467,0.045587196,0.044070926,0.040879414,0.036922676,0.034752356,0.0326793,0.030917267,0.029482355,0.029012742,0.029021305,0.034881599,0.037637274
Benin,0.012922928,0.013142264,0.013305124,0.013496862,0.013841194,0.014164261,0.014616835,0.014912073,0.015280994,0.015876717,0.016934244,0.018044491,0.019126051,0.020073814,0.02095032,0.021678093,0.022474827,0.023273951,0.024106848,0.025106203,0.026020939,0.027071464,0.028121756,0.029090092,0.02992147,0.030656913,0.031458051,0.032327209
Bermuda,0.094776142,0.102131866,0.108921275,0.11363952,0.147338128,0.17276715,0.173583037,0.188537696,0.20909431,0.215431229,0.212388154,0.217017796,0.210256288,0.206439117,0.203135431,0.205431817,0.196379569,0.190217271,0.173829486,0.156697449,0.143250193,0.124282074,0.114735343,0.109380069,0.102147957,0.097653308,0.109199925,0.113805627
Bhutan,0.009437599,0.009669582,0.010049953,0.010275113,0.010486989,0.010608786,0.010535779,0.010718431,0.010803028,0.01060629,0.010564242,0.010453384,0.01038555,0.010499903,0.010560999,0.010713155,0.01083357,0.011007462,0.011136013,0.011321571,0.011444116,0.011571975,0.011729131,0.011921958,0.012146507,0.01239878,0.012691696,0.012996057
Bolivia,0.040873154,0.041811774,0.042284463,0.043209355,0.043724966,0.044743476,0.045344466,0.046820209,0.047940386,0.049218116,0.050451405,0.051477331,0.05290868,0.054041448,0.05483603,0.055958252,0.057035712,0.058451385,0.059574118,0.060752468,0.061935126,0.063162877,0.064415825,0.06577819,0.067294844,0.069125512,0.071000006,0.072601973
