Country,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18,1.42,1.49,1.4167,1.3433,1.27,1.18,0.7,1.74,1.01,1.37,1.76,1.57,1.6,1.57,1.85,2.46,1.7,1.75,1.94,1.31,1.58,1.25,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,8.01,7.99,7.97,7.95,7.21,6.93,7.55,7.49,7.3,7.39,7.07,7.23,7.6,6.93,6.99,7.62,7.33,7.59,7.32,7.44,7.66,7.61,7.61,7.55,7.83,7.42,7.97,7.58,7.46,7.81,7.42,7.57,7.3,7.35,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,2.96,3.54,3.8033,4.0667,4.33,4.73,4.94,4.54,3.26,4.64,5.35,4.66,3,3.63,4.96,4.81,4.15,4.42,4.56,5.65,5.32,5.99,6.29,6.6029,6.9157,7.2286,7.5414,7.8543,8.1671,8.48,10.44,8.31,
Australia,13.98,13.71,13.16,13.82,12.62,13.24,13.25,13.18,13.04,12.53,12.51,12.99,13.08,12.62,13.12,13.74,12.94,12.72,13.03,13.01,13.12,12.95,12.5,12.76,12.18,12.74,12.1,12.18,12.47,12.02,12.42,12.42,12.34,11.54,11.41,11.21,10.37,10.47,10.59,11.05,9.92,10.34,9.92,9.46,8.44,8.71,8.13,8.11,6.99,6.11,5.425,4.74,5.18,5.09,4.43,3.83,3.55,,
Austria,10.03,9.37,9.17,8.23,7.79,7.67,7.81,8.78,8.48,9.16,8.86,9.06,9.15,9.5,9.6467,9.7933,9.94,10.69,10.48,10.81,11.3,10.81,10.39,9.72,10.16,9.72,10.52,10.04,10.4,10.06,9.8,9.71,9.53,9.46,9.65,9.47,9.49,8.72,9.25,8.99,9.06,8.23,7.64,7.69,8.07,7.56,7.54,7.02,6.99,6.22,6.28,6.19,5.36,5.07,5.04,5.27,4.92,4.81,4.75
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,2.43,2.65,2.7133,2.7767,2.84,3.46,3.72,2.73,2.49,2.59,1.71,3.6,2.5,2.33,2.38,2.54,2.2,1.94,2.04,2.32,3.64,4.15,4.31,5.21,3.9567,2.7033,1.45,,,,,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,8.41,8.15,5.53,5.89,7.38,4.27,9.28,7.17,6.7,5.19,7.63,5.96,9.27,6.35,7.97,9.98,5.8,5.582,5.364,5.146,4.928,4.71,5.41,9.32,9.53,14.46,10.89,14.4,8.77,10.86,9.97,13.21,11.36,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,2.27,2.86,3.02,3.18,3.34,3.92,3.76,4.17,4.63,4.85,4.84,5.14,4.95,4.99,5.55,5.455,5.36,5.97,6.09,5.47,6.03,,,,,,,,,,,,
Belgium,10.01,10.1,10.42,11.16,11.32,11,11.23,10.92,11.36,10.53,11,11.66,10.63,10.97,12.74,13.04,12.17,12.07,12.16,11.54,11.36,12.25,11.06,12.22,11.83,11.41,10.92,10.9,10.57,11.39,10.47,10.34,8.95,10.29,10.52,9.72,9.99,9.85,9.2,10.17,9.2,9.48,9.15,8.97,8.23,7.53,7.44,7.8,7.17,7.23,7.24,6.93,7.03,6.81,7.08,5.95,6.2,6.27,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.38,3.2538,3.1275,3.0013,2.875,2.7488,2.6225,2.4963,2.37,2.1,1.925,1.75,1.6,1.45,2.41,3.21,1.36,6.23,1.19,2.01,3.13,2.78,4.32,4.13,5.25,4.14,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,2.85,2.74,2.85,3,2.88,2.97,2.92,2.89,3.08,3.06,3.09,3.16,3.09,3.09,2.99,3.25,3.12,3.39,3.4,3.35,3.34,3.43,3.35,3.59,3.61,3.6,3.7,3.62,3.75,3.74,3.81,3.82,3.83,3.92,
Bulgaria,,,,,,,,,,,,2.59,2.63,2.8,2.45,3.03,3.18,3.12,3.07,3.49,3.61,3.14,2.95,3.88,3.4,3.76,3.37,3.89,3.54,4.35,3.78,3.92,3.94,4.23,4.84,4.76,5.35,4.83,4.69,4.68,4.13,4.87,4.82,4.67,5.07,5.05,5.38,5.85,5.54,5.74,6.81,6.33,7.41,7.62,7,7.21,6.67,6.93,
Canada,15.88,15.1,14.8,15.37,16.23,15.95,13.86,14.72,14.45,15.18,14.51,13.64,14.6,13.74,14.39,14.56,14,13.9,14.02,14.46,12.89,12.67,13.26,12.87,11.62,11.17,11.13,10.42,10.39,10.6,10.02,10.13,10.22,9.82,9.06,9.21,8.76,8.84,8.51,8.37,8.39,8.22,8.01,8.14,7.85,7.96,7.6,7.8,7.47,7.56,7.21,6.87,7.22,6.94,6.62,6.38,6.52,,
Chile,2.13,2.74,3.49,3.8,4.68,4.43,4.07,4.05,3.9,4.41,4.79,4.36,4.47,4.4138,4.3577,4.3015,4.2454,4.1892,4.1331,4.0769,4.0208,3.9646,3.9085,3.8523,3.7962,3.74,3.71,4.37,4.06,3.75,4,4.66,4.64,4.76,4.02,4.39,4.2,4.29,4.19,4.72,4.72,5.12,4.9,4.77,5.03,5.38,4.78,4.78,5.01,5.04,4.86,5.11,4.65,5.09,5.35,5.04,5.42,5.7,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.79,3.17,3.14,3.12,3.28,3.17,3.07,3.11,3.31,3.81,3.72,3.89,4.29,3.95,4.15,4.56,4.48,4.5,4.83,4.84,4.91,4.55,4.61,4.77,4.89,4.91,4.94,4.49,,
"Costa Rica",,,,,,,,,,,,2.6,2.39,2.4646,2.5392,2.6138,2.6885,2.7631,2.8377,2.9123,2.9869,3.0615,3.1362,3.2108,3.2854,3.36,3.33,3.94,3.33,3.19,3.05,4.35,4.11,4.71,3.51,4.04,5.12,5.67,4.56,5.24,4.97,5.93,5.8,5.65,6.39,6.31,4.91,5.42,6.02,6.24,6.1,5.36,6.5,5.36,5.31,5.44,5.79,5.92,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4.6,4.85,5.79,6.2,5.18,5.68,6.09,5.24,5.39,5.74,5.58,6.72,6.6,6.74,7.34,7.01,7.04,6.84,6.87,7.84,7.7,7.92,7.75,7.3,7.67,8.97,8.33,8.13
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,7.09,8.07,7.25,7.71,6.81,7.72,8.14,7.24,8.07,8.01,8.38,8.54,8.89,9.14,9.01,8.9,8.92,9.53,9.22,9.8,9.62,9.93,9.92,9.74,10.36,9.06,9.38,9.84,9.52,10.47,10.1,10.41,10.07,9.66,
"Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.15,9.54,11.44,10.24,10.24,11.27,10.39,10.63,10.34,10.29,10.35,10.38,9.91,10.01,9.92,9.77,9.42,10.34,8.95,8.48,8.41,7.51,7.3,7.07,7.2,6.68,6.43,6.3
Czechoslovakia,4.97,4.66,4.81,4.89,4.72,5.16,4.8,4.51,5.01,5.41,5.29,5.26,5.97,6.17,5.64,6.37,6.19,6.6,7.26,6.68,7.05,7.25,7.72,7.44,7.17,8.15,8.38,8.02,8.24,8.59,9.15,8.95,8.48,10.1,9.2,9.22,9.9,,,,,,,,,,,,,,,,,,,,,,
Denmark,12.38,12.18,13.14,13.15,14.4,12.93,12.84,12.64,12.98,13.37,13.15,12,11.8,12.65,12.68,12.62,11.91,11.28,11.35,11.11,11.92,12.14,12.06,12.58,12.83,12.83,11.4,11.35,12.25,12.43,12.29,11.8,11.47,11.84,12.31,11.13,12.23,12.24,11.43,11.51,10.77,11.1,11.99,10.88,12.03,11.61,10.34,10.35,9.87,9.55,10.29,10.2,8.61,9.79,9.44,9.12,9.28,8.75,
"Dominican Republic",,,,,,,,,,,,,,,,,,,,,,,,,,1.85,2.31,2.59,2.36,2.82,2.29,1.63,2.1,2.98,2.75,2.63,3.07,2.03,2.08,2.13,2.85,2.36,2.71,2.64,2.17,2.07,2.68,2.795,2.91,3.16,2.67,2.14,2.02,2.415,2.81,2.34,2.99,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,1.43,1.43,1.34,1.88,1.44,1.56,1.62,1.96,1.98,2.68,2.33,1.8,1.91,2.27,2.38,2.5,2.22,2.42,2.43,2.41,2.54,3.02,2.77,2.69,2.76,2.77,2.76,3.14,3.17,3,2.97,3.6,3.92,3.52,
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,1,1.11,1.17,1.17,1.23,1.2,1.33,1.31,1.19,1.37,1.58,,
