Country,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,1065,724,2274,187,556,479,1995,904,1992,2382,1039,2185,1730,688,717,612,1471,4243,6186,4575,5137,5471,5713,6438,6988,11405,16106,17168
Albania,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
Algeria,,1,32,260,763,1897,2966,1063,1397,3009,1003,919,640,528,622,395,206,240,394,273,491,225,254,239,168,106,109,89
Angola,2434,1419,228,39,1671,995,80,4,29,186,782,177,507,380,22,37,8,6.3333,4.6667,3,1,1,1,1.5,2,1.5,1,13
Armenia,,,,26,10,30,7,6.4,5.8,5.2,4.6,4,3.4,2.8,2.2,1.6,1,2,3.1667,4.3333,5.5,6.6667,7.8333,9,1,2.5,4,4
Azerbaijan,,,,706,487,1440,43,5,29,34,18,13,6,5.6667,5.3333,5,24,5,12,16,7,20,18,16,11,46,61,86
Bangladesh,26,45,31,20,28,3,12,9,9,12,9,99,9,6,8,26,69,88,18,10,5,3,2,1,39,3,6,38
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Bhutan,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
Bolivia,,,,,,,,,,2,23,44,,,,,,,,,,,,,,,,
"Bosnia and Herzegovina",,,,2077,2183,1324,711,,,,,,,,,,,,,,,,,,,,,
Brazil,,,,,5,9,3,3,3,4,1,7,8,17,12,2,1,1,1,1,1,1,1,1,,,,
Burundi,,7,63,60,42.5,25,115,264,547,560,312,1099,723,738,434,409,253,135,29,161,140,119,98,77,56,35,139,7
Cambodia,417,15,31,16,180,236,117,256,129,22,20,18,16,14,12,10,8,6,4,2,2,2.5,3,,,,,
Cameroon,,,,,1,13,33.5,54,27.5,1,60.5,120,179.5,239,298.5,358,417.5,477,536.5,596,655.5,715,774.5,834,893.5,953,769,177
Canada,,,,,,3,9,2,5,8,1,5,1,,,,,,,,,,,,,,,
"Central African Republic",,,,,,,,,,,,,44,19,21.75,24.5,27.25,30,11,45,79,42,12,58,191,216,23,9
Chad,50,47,4,311,1,43,4,3,2,31,11,56,17,83,2,50,14,1074,211,2,123,4,58,112,166,220,274,17
China,,22,22.7222,23.4444,24.1667,24.8889,25.6111,26.3333,27.0556,27.7778,28.5,29.2222,29.9444,30.6667,31.3889,32.1111,32.8333,33.5556,34.2778,35,146,,,,,,,
Colombia,218,461,694,1438,218,1076,786,1169,543,868,1347,1068,1408,2464,764,1311,1428,485,310,210,371,393,194,189,130,134,138,35
Comoros,29,30.375,31.75,33.125,34.5,35.875,37.25,38.625,40,7,,,,,,,,,,,,,,,,,,
"Congo (Brazzaville)",,,,,13,7,2,34.5,67,104,482,241.5,1,142,16,12,8,5,2,1,1,1,1,2,5.75,9.5,13.25,17
Croatia,,,,57,155,417,679,,,,,,,,,,,,,,,,,,,,,
Djibouti,6,60,59,44,7,3,7,9,11,15,16,18,20,22,24,26,28,30,32,34,,,,,,,,
"Congo (Kinshasa)",,,,,148,131.5,115,638,3765,2169,2130,1120,66,922,72,63,114.5,166,595,520,1935,275,250,664,1217,920,225,367
Ecuador,,,,,,,11,12.875,14.75,16.625,18.5,20.375,22.25,24.125,26,25.8,25.6,25.4,25.2,25,,,,,,,,
Egypt,,,,11,96,141,174,73,62,24,4,2,1.75,1.5,1.25,1,1.5,2,2,2,1,1,20,1,12,211,743,264
"El Salvador",4801,335,69,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,21,14.6667,8.3333,2,31,9,17066,1792,1213.6667,635.3333,57,,,,,,,,,,,,,
Ethiopia,24031,48845,11198,920,107,7,17,32,9,163,720,311,108,155,340,94,79,77,220,35,561,127,3,231,52,5,1,19
France,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
Georgia,,,1,488,1426,1076,726,376,26,18,19,20,21,22,23,24,63.5,103,142.5,182,,,,,,,,
Germany,2,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,,,,,2,432,6,5.6667,5.3333,5,4.6667,4.3333,4,3.8571,3.7143,3.5714,3.4286,3.2857,3.1429,3,2,,,,,,,
Guatemala,81,76,68,67,58,35,26,12,11.9167,11.8333,11.75,11.6667,11.5833,11.5,11.4167,11.3333,11.25,11.1667,11.0833,11,1,,,,,,,
Guinea,,,,,,,,,,,,86,425,,,,,,,,,,,,,,,
"Guinea Bissau",,,,,,,,,,264,,,,,,,,,,,,,,,,,,
Haiti,43,45.4,47.8,50.2,52.6,55,57.4,59.8,62.2,64.6,67,69.4,71.8,74.2,76.6,79,,,,,,,,,,,,
Honduras,,,,,,,,,,,9,6,4.6667,3.3333,2,2,3,4,5,6,7,8,11.5,15,14,13,,
India,1034,2113,2958,2997,1392,1051,749,796,990,838,2011,2293,1144,1797,1467,1305,1377,1362,1139,1149,1185,997,511,441,423,436,499,619
Indonesia,6,47,53,47,16,7,22,15,241,33,110,133,314,370,787,939,74,49.6667,25.3333,1,1,1,1,,,,,
Iran,,13,44,39.5,35,15,2,8,32,10,19,21,42,22,2,15,28,43,71,75,106,30,204,17,11,2,4,16
Iraq,,,11322,124,41,137,695,517,2146,34,268,185,21,111,856,1287,1609,3048,1584,787,378,676,460,357,840,10058,8694,6993
Israel,13,17,27,54,63,55,50,33,1,5,2,80,204,444,182,326,101,467,332,429,61,52,47,47,8,170,6,3
"Ivory Coast",,8,7.4545,6.9091,6.3636,5.8182,5.2727,4.7273,4.1818,3.6364,3.0909,2.5455,2,247,27,75,70,2,1.75,1.5,1.25,1,43,,,,,
Jamaica,,,,,,,,,,,,,9,,,,,,,,,,,,,,,
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,31
