Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,1259.290705,1256.287179,1269.379023,1278.16789,1279.87558,1282.81521,1289.576067,1294.818966,1299.519074,1297.440314,1297.373206,1296.956684,1297.944953,1299.652645,1298.088034,1299.608035,1298.463877,1301.26038,1303.617446,1304.586975,1302.613132,1301.911971,1298.747837,1295.963625,1293.134761,1287.166071,1280.733666,1274.176129
Albania,1974.267664,1952.765684,1931.975279,1916.980122,1908.08347,1902.123616,1898.890785,1895.817947,1897.167031,1892.922938,1886.282256,1882.801739,1880.57538,1879.143403,1875.603269,1872.686023,1870.389956,1870.048011,1867.505,1866.560494,1867.366516,1867.972904,1868.746286,1871.664617,1873.376002,1875.857464,1876.792916,1879.225746
Algeria,1183.762611,1178.342356,1172.151826,1167.766712,1162.979715,1159.614722,1157.513529,1155.467002,1153.214679,1150.621729,1147.130621,1144.626367,1142.483059,1138.284842,1135.396736,1133.56973,1133.368384,1132.441795,1131.686621,1131.728332,1131.328435,1132.007657,1132.861838,1135.283261,1134.92234,1136.4491,1137.973783,1137.192668
"American Samoa",1284.844164,1284.530184,1284.650735,1282.577568,1280.484864,1277.741567,1275.620809,1273.921266,1272.625906,1270.31456,1267.830293,1264.500631,1261.104158,1258.733477,1255.840893,1252.9538,1250.856553,1251.491251,1251.305292,1250.149633,1249.380757,1248.131378,1245.561322,1243.200423,1241.822848,1239.26953,1238.411259,1237.575641
Andorra,1682.326357,1669.233279,1655.399876,1641.188093,1628.983063,1621.954887,1615.546522,1612.85131,1610.18908,1608.530954,1602.89402,1594.300465,1591.562104,1591.568906,1595.223642,1596.63859,1597.48208,1601.067065,1607.599761,1612.276498,1618.307316,1628.436821,1632.964176,1638.300885,1640.03116,1643.978573,1646.203593,1647.969154
Angola,1422.214558,1420.535409,1418.877731,1417.37798,1415.382399,1414.291494,1412.799079,1412.293974,1410.765148,1408.722651,1407.580837,1405.41952,1403.307569,1402.397237,1401.298476,1401.152878,1398.756078,1397.657687,1394.410804,1392.122859,1388.645895,1386.980513,1385.204317,1381.639663,1378.167469,1372.942118,1366.11525,1360.07358
"Antigua and Barbuda",968.4712344,966.7480659,963.8038139,962.7669246,961.1360829,960.3738796,958.4696608,957.9479047,957.4299349,955.3408741,952.2927716,949.6016622,946.2570329,943.1011309,940.4171754,938.7560909,936.5495327,936.7289157,937.5668564,939.9221355,943.1865303,944.1411655,944.1144067,946.0841693,946.9360525,947.6152023,949.1279985,949.8763151
Argentina,1083.419675,1079.374315,1077.729478,1076.220279,1074.627756,1073.282213,1070.484332,1066.073337,1063.030757,1064.24783,1062.996657,1061.421787,1057.988892,1052.908263,1046.570483,1043.074739,1043.532843,1046.784614,1053.039895,1057.446317,1061.991724,1061.906364,1061.633943,1059.300869,1057.05934,1054.733936,1049.741744,1046.260108
Armenia,1780.833338,1773.745762,1767.164097,1761.389313,1754.340144,1747.349499,1739.460373,1730.222676,1721.180789,1713.25613,1705.427106,1694.944076,1683.563398,1674.112759,1664.852269,1661.041509,1660.202477,1659.742048,1658.440768,1663.859751,1664.912217,1663.150028,1663.633488,1661.945299,1661.905876,1659.906103,1657.527976,1655.19062
Australia,1072.248298,1070.196584,1072.092282,1071.924104,1069.652824,1067.488942,1067.319357,1069.326095,1073.106133,1076.390575,1078.308127,1078.901208,1080.656901,1079.852138,1079.703265,1079.700954,1076.192742,1071.13213,1067.310064,1062.464786,1058.406015,1055.97085,1053.245599,1051.066218,1047.394022,1044.003125,1041.884275,1038.921669
Austria,1727.359935,1706.513715,1689.366588,1674.757562,1661.669509,1654.311777,1649.04299,1648.426016,1650.855789,1657.591997,1661.600232,1668.083052,1675.183079,1682.274357,1689.617726,1691.499823,1689.989978,1683.915083,1680.443262,1678.778268,1675.39851,1673.651252,1674.216364,1669.752722,1667.602813,1667.085633,1670.706611,1674.287756
Azerbaijan,1701.537245,1697.955382,1693.945965,1690.197175,1683.652763,1677.215801,1670.405111,1660.858089,1655.244673,1647.089675,1640.737782,1634.050771,1627.734796,1620.535986,1612.867847,1609.976188,1615.790328,1618.320225,1623.077763,1626.194909,1628.52924,1630.488055,1633.125124,1635.051436,1636.786362,1638.289798,1636.804765,1638.143818
Bahamas,967.898823,965.2102997,963.1616975,961.6598434,960.1702082,957.4181005,955.7110912,947.3126402,942.0993048,939.6239183,935.4589273,932.3899684,928.9833792,926.3122484,924.6304137,924.6325892,920.910503,918.4379096,917.0098155,915.559582,914.4799437,915.5251727,915.9017312,916.8986237,918.715297,920.1804701,923.1100741,927.563925
Bahrain,1093.376221,1091.958779,1091.048723,1092.077697,1089.858948,1087.458184,1084.286376,1081.216787,1077.544957,1074.279327,1068.520942,1062.290372,1053.595598,1042.782215,1033.719237,1026.73211,1022.866093,1016.630995,1012.851086,1009.155792,1006.146776,1005.916669,1005.773943,1007.952112,1009.91994,1012.263039,1014.07158,1015.009316
Bangladesh,1428.338856,1419.316424,1412.214595,1406.523773,1397.444569,1392.01771,1385.107822,1378.767657,1372.225748,1366.642221,1361.397645,1355.643265,1350.162086,1344.10965,1338.672064,1335.402944,1332.061598,1330.108679,1326.413888,1322.428343,1319.135613,1315.501332,1312.538488,1309.322105,1305.506483,1301.683762,1299.393986,1294.768052
Barbados,947.6432123,944.7782877,942.2298017,939.4096353,936.2866492,930.8647309,927.6514934,925.8305442,926.8927898,925.8121436,925.4885529,924.5772114,924.0707132,921.5341466,919.0955408,917.1081224,917.7276563,918.2440422,919.4757994,919.7732985,921.403683,921.5813698,922.8339942,922.7440591,923.8213168,924.4219504,925.2081484,924.6092677
Belarus,1573.353689,1570.547741,1566.775815,1563.969167,1560.582677,1556.037101,1550.516975,1545.206165,1538.20396,1532.08454,1526.308578,1518.952348,1512.538223,1505.076871,1498.84346,1495.791677,1494.461469,1494.995015,1494.530205,1497.133611,1497.444415,1498.16738,1498.023731,1498.803524,1500.384861,1500.470543,1500.284286,1501.096474
Belgium,1562.35191,1565.618782,1562.559199,1558.432355,1555.788876,1555.508886,1556.34503,1557.810544,1563.448701,1565.868595,1566.808279,1565.723281,1564.77873,1565.305946,1563.887244,1562.375048,1561.340698,1557.3239,1554.12781,1550.885643,1550.937981,1553.763702,1556.402607,1559.20336,1563.387877,1567.973351,1575.801104,1582.285208
