Country,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Albania,,,,,,,,14,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,,1,,,,,,,,,,,
Australia,,,,,,1,1,1,1,1.5,2,1,1,1,1,1,2,1.5,1,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,1,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,1
Bahamas,17,4,,,,,,,,,,,,,,,,,,,,,
Bangladesh,,,,,,,,,,,,,,,,,19,66,89,87,146,146,160
Belarus,,,,,,,,1,2,3,,,,,,,,,,,,,
Belgium,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,
Belize,4,,,,,,,,,,,,,,,,,,,,,,
Botswana,,,,,,,,,,,,,,,,,,,,,3,1,
Brazil,,,,5,34,13,16,16,4,2,17,30,14,,,,,,,,,,
"Burkina Faso",,,,,,,,,,,,,,,,,,,,,,,6
"Cape Verde",,,,,,,,,,,,,46,16,,,,,,,,,
Cambodia,,,,,,,,,,,,,,,9,32,3,2,6.75,11.5,16.25,21,
Cameroon,,,,,,,,,,,,,,,,,,,,,,1,
Canada,,,,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
Chile,,,14,1,1.25,1.5,1.75,2,2.25,2.5,2.75,3,,,,,,,,,,,
Colombia,,,,6,1,2,3,4,5,68.3333,131.6667,195,,,,,,,,,,,
"Costa Rica",,,,46,,,,,,,,,,,,,,,,,,,
"Czech Republic",,,,,,,,,,,,,,,1,1,,,,,,,
"Congo (Kinshasa)",,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,
Djibouti,,,,,,,,,,,,,16,5,,,,,,,,,
Egypt,,,,,,,,,,17,15.6667,14.3333,13,11.6667,10.3333,9,7.6667,6.3333,5,3.6667,2.3333,1,
Eritrea,,,,,,,9,6,3,,,,,,,,,,,,,,
Swaziland,,,,,,,,,,,,,,,,,,,,,1,,
Ethiopia,,,,,,,,,,,,,,,,,,,,7,,,
Finland,,,,,,,,,,,,,,,1,1,1,1,1,,,,
France,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,
Georgia,,,,,,,,1,1,,,,,,,,,,,,,,
Germany,,,4,7,1,1,1,2,1.5,1,1,1,2,1.6667,1.3333,1,1,,,,,,
Ghana,,,,,,,,4,4.5,5,,,,,,,,,,,,,
Greece,,,5,1,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,2,3,2,1,,,,,,,,,,,,,,
Honduras,1,1,3,5,2,1,,,,,,,,,,,,,,,,,
Hungary,,,,,,,,1,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,,25,76,,
Indonesia,,,,,,,,,,,,,,,,,,,44,174,532,188,198
Iran,,,,,,,,,,,,,49,43,37,31,25,19,13,7,1,1,
Iraq,,,,,,,,,,,,,,,1,5,9,,,,,,
Ireland,,,,,,,,1,,,,,,,,,,,,,,,
Israel,,,,1,,,,,,,,,,,,,,,,,,,
Italy,,,3,5.125,7.25,9.375,11.5,13.625,15.75,17.875,20,13,6,5.4444,4.8889,4.3333,3.7778,3.2222,2.6667,2.1111,1.5556,1,
Japan,,,,1,1,1,1,1,1.2,1.4,1.6,1.8,2,1.5,1,5,31,9,8,7,6,5,4
Jordan,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
Kazakhstan,,,,,1,1,1,1,1,1,1,1,1,,,,,,,,,,
Kuwait,,,,,,,,1,1,1,1,1,1,1,1,1,,,,,,,
Kyrgyzstan,,,,,,,,1,1,1,,,,,,,,,,,,,
Malaysia,,,,,,,,,,,,,,,,1,4,,,,,,
Mauritius,,,,,,,,,,3,2.6667,2.3333,2,1.6667,1.3333,1,1,1,2,,,,
Mexico,,,1,5,3,1,9,5,1,1,1,1,,,,,,,,,,,
Mongolia,,,,,3,,,,,,,,,,,,,,,,,,
"Burma (Myanmar)",,,,,,,,,,,,,,,,,,,,,,8,
Nauru,,,1,,,,,,,,,,,,,,,,,,,,
Nepal,,,,,,,,,,,,,,,,,,16,50,33,,,
Netherlands,,,,,,,,,4,,,,,,,,,,,,,,
Nicaragua,2,1,1,1,1,,,,,,,,,,,,,,,,,,
Oman,,,,,,,,,,1,1,1,,,,,,,,,,,
Pakistan,,,,,,,,,,,,,,,,,,,,,,29,12
Panama,,2,2,,,,,,,,,,,,,,,,,,,,
"Papua New Guinea",,,,,,,,,,,,,,,,,,,,1,,,
Paraguay,,,,,,,,1,,,,,,,,,,,,,,,
Peru,,,,3,2,1,1,1,7,12,2,,,,,,,,,,,,
Philippines,,,,,,,,,,,172,,,,,,,,,,,,
Poland,,,1,1,3,2,1.8,1.6,1.4,1.2,1,1,1,1,1.3333,1.6667,2,,,,,,
Portugal,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,,,,
