Country,2020
Afghanistan,0.44
Albania,0.45
Algeria,0.48
Angola,0.42
"Antigua and Barbuda",0.62
Argentina,0.61
Australia,0.82
Austria,0.85
Bahamas,0.61
Bangladesh,0.4
Barbados,0.63
Belarus,0.36
Belgium,0.83
Belize,0.44
Benin,0.53
Bolivia,0.36
"Bosnia and Herzegovina",0.45
Botswana,0.62
Brazil,0.53
Bulgaria,0.46
"Burkina Faso",0.56
"Burma (Myanmar)",0.45
Cambodia,0.29
Cameroon,0.37
Canada,0.84
Chile,0.72
China,0.32
Colombia,0.53
"Congo (Kinshasa)",0.39
"Costa Rica",0.76
Croatia,0.58
"Czech Republic",0.73
Denmark,0.94
Dominica,0.53
"Dominican Republic",0.47
Ecuador,0.48
Egypt,0.27
"El Salvador",0.5
Estonia,0.83
Ethiopia,0.39
Finland,0.92
France,0.73
Gambia,0.6
Georgia,0.55
Germany,0.85
Ghana,0.68
Greece,0.68
Grenada,0.58
Guatemala,0.52
Guinea,0.39
Guyana,0.56
Honduras,0.34
"Hong Kong",0.65
Hungary,0.4
India,0.61
Indonesia,0.68
Iran,0.37
Italy,0.71
"Ivory Coast",0.41
Jamaica,0.64
Japan,0.71
Jordan,0.49
Kazakhstan,0.42
Kenya,0.49
Kosovo,0.52
Kyrgyzstan,0.48
Lebanon,0.5
Liberia,0.52
"Macedonia (F.Y.R.O.M.)",0.47
Madagascar,0.46
Malawi,0.56
Malaysia,0.58
Mali,0.47
Mauritania,0.33
Mauritius,0.6
Mexico,0.46
Moldova,0.46
Mongolia,0.53
Morocco,0.51
Mozambique,0.43
Namibia,0.69
Nepal,0.6
Netherlands,0.86
"New Zealand",0.85
Nicaragua,0.26
Niger,0.4
Nigeria,0.53
Norway,0.94
Pakistan,0.49
Panama,0.54
Peru,0.6
Philippines,0.5
Poland,0.58
Portugal,0.78
Romania,0.62
Russia,0.36
Rwanda,0.6
"Saint Kitts and Nevis",0.62
"Saint Lucia",0.59
"Saint Vincent and Grenadines",0.62
Senegal,0.56
Serbia,0.39
"Sierra Leone",0.51
Singapore,0.67
Slovenia,0.65
"South Africa",0.63
"South Korea",0.72
Spain,0.74
"Sri Lanka",0.55
Suriname,0.48
Sweden,0.87
Tanzania,0.51
Thailand,0.48
Togo,0.36
"Trinidad and Tobago",0.56
Tunisia,0.61
Turkey,0.3
Uganda,0.4
Ukraine,0.46
"United Arab Emirates",0.56
"United Kingdom",0.82
"United States",0.71
Uruguay,0.76
Uzbekistan,0.33
Venezuela,0.17
Vietnam,0.45
Zambia,0.46
Zimbabwe,0.33
