Country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Albania,3.99046046,3.829092116,3.678064957,4.18993673,4.741743515,4.388777706,3.98634415,3.848688541,3.381704417,2.937143894,3.182019234
Algeria,3.598095238,3.30137623,3.349030134,3.582216173,2.820038991,2.469582054,2.9854001,3.376532331,3.376198351,3.030245963,2.866815329
Angola,,,,2.854081,2.951269194,3.0639,3.176471,3.472332917,,,
Argentina,3.494468867,3.55875563,3.787464093,3.919726593,3.915195895,3.801630865,3.862262105,3.81059105,3.379349895,3.184319885,3.200305223
Armenia,3.165627126,3.341451396,3.512824064,3.5587315,3.635962774,3.757202748,3.871073462,3.77610201,3.371640271,3.431037697,3.58204627
Australia,4.463261667,4.54609945,4.485353323,4.466443042,4.178474485,4.008182857,4.200126752,4.138430565,4.126768993,4.289629924,4.525825024
Austria,5.260291204,5.09201759,5.147506463,5.316209004,5.324827216,5.1693366,5.029050094,4.957932696,4.944852138,5.120138489,5.195939541
Azerbaijan,4.140327016,4.272323583,4.4099502,4.259940883,3.942740528,3.955068638,4.171929094,4.050472349,4.050472349,4.049118678,4.237532139
Bahrain,4.356900349,4.655741129,4.480176023,4.409808207,4.533089934,4.3927034,4.486706866,4.768869324,4.637317926,4.296511681,4.29651165
Bangladesh,3.487586957,3.312803307,3.207057408,3.5285565,3.60874781,3.753930729,3.837185496,3.553375838,3.159261539,3.142293541,3.123151779
Barbados,4.00682825,3.904947842,3.869035356,3.950358161,4.163834957,4.182211872,4.07948679,4.028400355,3.9303,3.832178505,
Belgium,4.590278499,4.634803022,4.563014397,4.395371689,4.351357714,4.382869256,4.296633072,4.367325567,4.641203698,4.799423001,4.771781921
Belize,,,,,3.766139,,,,,,
Benin,3.935679636,3.763182129,3.424545211,3.961674077,3.946509725,3.266787608,2.994717602,3.1281,3.261538506,2.943089163,2.951833487
Bhutan,,,,,,,3.432444,3.594541451,3.23511437,2.984706945,3.04526329
Bolivia,3.040417264,3.304005475,3.563359814,3.472976854,3.723089425,3.758838085,3.787490121,3.859218069,3.420134624,2.906921337,
"Bosnia and Herzegovina",3.442481461,3.112870192,3.035847695,3.143069422,3.205605,3.45284375,3.65513,3.3919,3.128712893,3.13958219,3.088313341
Botswana,3.173022232,3.22166412,3.578632433,3.600107675,3.479287196,3.654896086,3.514988199,3.191328515,3.020954069,3.221389839,3.164603949
Brazil,4.256803968,4.324716258,4.554665139,4.597062989,4.540861177,4.394687377,4.327966924,4.169872505,3.80279292,3.716000929,3.84066081
Brunei,,3.257249,3.841449332,4.014694226,3.947285081,4.291638056,4.649485333,4.2381,3.8268,3.415384531,3.161646128
Bulgaria,3.898836841,3.850705483,3.649510159,3.681660455,3.763115788,3.7300587,3.814702836,4.074427757,3.897085192,3.509168922,3.338442564
"Burkina Faso",3.685040379,3.807150081,3.254025343,2.541388,2.696636787,3.055395738,3.017921712,3.035725376,,,
Burundi,3.18096215,3.80516097,3.489415764,2.922359459,2.842464443,2.978965411,3.146227362,3.140615557,3.140615557,2.994647923,3.140125036
Cambodia,3.122455245,3.325287404,3.395008037,3.320111666,3.630003402,3.97589784,3.917696574,3.424233062,2.891707379,2.84121591,3.001679897
Cameroon,3.44983165,3.73153654,3.635792641,3.216120661,3.249368682,3.261966848,3.305351295,3.40965741,3.26655411,3.200795781,3.24793148
Canada,4.721797016,4.751482466,4.495684645,4.424929095,4.415881471,4.400776926,4.339102677,4.484223517,4.571607155,4.465007181,4.632740974
"Cape Verde",,,,2.962606,3.08504945,3.255241694,3.305814832,3.310981478,3.27253825,3.149314511,2.985295773
Chad,2.909577168,3.44594326,3.189182559,2.809040131,2.734435351,2.9033389,2.854320554,2.687376024,2.349873541,2.281901714,2.406723499
