Country,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,11.89,11.956,12.022,12.088,12.154,12.22,12.24,12.26,12.28,12.3,12.32,12.322,12.324,12.326,12.328,12.33,12.332,12.334,12.336,12.338,12.34,12.336,12.332,12.328,12.324,12.32,12.316,12.312,12.308,12.304,12.3,12.226,12.152,12.078,12.004,11.93,11.92,11.91,11.9,11.89,11.88,11.928,11.976,12.024,12.072,12.12,12.12,12.12,12.12,12.12,12.12,12.12,12.12,12.12,12.12,12.12
Albania,16.94,17.42,17.9,18.38,18.86,19.34,19.812,20.284,20.756,21.228,21.7,22.174,22.648,23.122,23.596,24.07,24.188,24.306,24.424,24.542,24.66,24.694,24.728,24.762,24.796,24.83,24.754,24.678,24.602,24.526,24.45,24.43,24.41,24.39,24.37,24.35,24.342,24.334,24.326,24.318,24.31,24.304,24.298,24.292,24.286,24.28,24.266,24.252,24.238,24.224,24.21,24.21,24.21,24.21,24.21,24.21
Algeria,2.897,2.8942,2.8914,2.8886,2.8858,2.883,2.9036,2.9242,2.9448,2.9654,2.986,3.0222,3.0584,3.0946,3.1308,3.167,3.1642,3.1614,3.1586,3.1558,3.153,3.1626,3.1722,3.1818,3.1914,3.201,3.2404,3.2798,3.3192,3.3586,3.398,3.4036,3.4092,3.4148,3.4204,3.426,3.4298,3.4336,3.4374,3.4412,3.445,3.4606,3.4762,3.4918,3.5074,3.523,3.5262,3.5294,3.5326,3.5358,3.539,3.5398,3.5406,3.5414,3.5422,3.543
Andorra,2.128,2.128,2.128,2.128,2.128,2.128,2.128,2.128,2.128,2.128,2.128,2.128,2.128,2.128,2.128,2.128,2.128,2.128,2.128,2.128,2.128,2.128,2.128,2.128,2.128,2.128,2.5534,2.9788,3.4042,3.8296,4.255,4.255,4.255,4.255,4.255,4.255,4.4678,4.6806,4.8934,5.1062,5.319,5.234,5.149,5.064,4.979,4.894,4.9364,4.9788,5.0212,5.0636,5.106,5.2762,5.4464,5.6166,5.7868,5.957
Angola,2.567,2.5878,2.6086,2.6294,2.6502,2.671,2.6822,2.6934,2.7046,2.7158,2.727,2.727,2.727,2.727,2.727,2.727,2.727,2.727,2.727,2.727,2.727,2.727,2.727,2.727,2.727,2.727,2.743,2.759,2.775,2.791,2.807,2.807,2.807,2.807,2.807,2.807,2.7894,2.7718,2.7542,2.7366,2.719,2.7672,2.8154,2.8636,2.9118,2.96,3.1686,3.3772,3.5858,3.7944,4.003,4.035,4.067,4.099,4.131,4.163
"Antigua and Barbuda",15.91,15.91,15.91,15.91,15.91,15.91,14.5462,13.1824,11.8186,10.4548,9.091,9.091,9.091,9.091,9.091,9.091,9.091,9.091,9.091,9.091,9.091,9.5448,9.9986,10.4524,10.9062,11.36,11.36,11.36,11.36,11.36,11.36,11.36,11.36,11.36,11.36,11.36,11.36,11.36,11.36,11.36,11.36,11.36,11.36,11.36,11.36,11.36,11.36,11.36,11.36,11.36,11.36,11.36,11.36,11.36,11.36,11.36
Argentina,7.215,7.4444,7.6738,7.9032,8.1326,8.362,8.6272,8.8924,9.1576,9.4228,9.688,9.69,9.692,9.694,9.696,9.698,9.7724,9.8468,9.9212,9.9956,10.07,10.058,10.046,10.034,10.022,10.01,10.008,10.006,10.004,10.002,10,10.038,10.076,10.114,10.152,10.19,10.228,10.266,10.304,10.342,10.38,10.996,11.612,12.228,12.844,13.46,13.7,13.94,14.18,14.42,14.66,14.62,14.58,14.54,14.5,14.46
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.24,16.342,16.444,16.546,16.648,16.75,16.702,16.654,16.606,16.558,16.51,16.612,16.714,16.816,16.918,17.02,17.012,17.004,16.996,16.988,16.98,16.982,16.984,16.986,16.988,16.99
Australia,4.168,4.4052,4.6424,4.8796,5.1168,5.354,5.337,5.32,5.303,5.286,5.269,5.2806,5.2922,5.3038,5.3154,5.327,5.4638,5.6006,5.7374,5.8742,6.011,6.0258,6.0406,6.0554,6.0702,6.085,6.092,6.099,6.106,6.113,6.12,5.932,5.744,5.556,5.368,5.18,5.3874,5.5948,5.8022,6.0096,6.217,6.124,6.031,5.938,5.845,5.752,5.8286,5.9052,5.9818,6.0584,6.135,6.1302,6.1254,6.1206,6.1158,6.111
Austria,20.82,20.638,20.456,20.274,20.092,19.91,19.938,19.966,19.994,20.022,20.05,19.92,19.79,19.66,19.53,19.4,19.416,19.432,19.448,19.464,19.48,19.192,18.904,18.616,18.328,18.04,18.022,18.004,17.986,17.968,17.95,17.886,17.822,17.758,17.694,17.63,17.576,17.522,17.468,17.414,17.36,17.332,17.304,17.276,17.248,17.22,17.162,17.104,17.046,16.988,16.93,16.922,16.914,16.906,16.898,16.89
