Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Albania,28.35995865,28.35995865,28.35995865,28.35995865,28.35995865,28.35995865,28.35995865,28.35995865,28.35995865,28.35995865,28.32816887,28.29942322,28.27544022,28.25124168,28.22107887,28.19080734,28.15691757,28.13373566,28.11015892,28.09281158,28.07639694,28.06827545,28.05905342,28.04384804,28.02983665,28.0092144,28.02691269,28.36904907,37.04552841,43.39577484,44.41305923,46.47827148,51.05737305,55.40684509,56.18460083,55.13729858,64.88348389,68.03739166,67.72406769,82.57598877,82.22894287,69.64268494,69.55155945,70.26493073,69.47184753,72.06506348,70.36016846,67.42681122,66.18558502
Algeria,30.29909897,29.94604492,28.53383255,29.23993874,31.00520515,32.77047348,30.29909897,29.94604492,30.29909897,29.23993874,27.84766197,27.50547218,27.15325928,25.72216415,27.14546394,26.06287193,25.334692,24.60655403,23.51068497,23.49287415,23.84145355,22.4058094,22.03510284,21.61513901,19.95470428,20.30728531,20.68361092,22.44984818,23.23902702,24.12442398,21.56511879,23.24707603,30.3047905,30.69841957,30.49617386,32.19342041,39.50317383,62.4020195,63.21911621,68.43773651,70.43952942,71.88195038,72.55297089,73.08808899,74.47151947,75.0664444,73.31761932,72.67842102,71.17189026
Andorra,71.04239655,71.04239655,71.04239655,71.04239655,71.04239655,71.04239655,71.04239655,71.04239655,71.04239655,71.04239655,71.01831818,70.99829865,70.98392487,70.97223663,70.95722961,70.94384003,70.9285202,70.91864777,70.91171265,70.90904236,70.90356445,70.89529419,70.89441681,70.88848114,70.88015747,70.86747742,70.8736496,71.20204163,70.92382813,70.9726181,71.03417206,71.36352539,72.42616272,73.1500473,74.29977417,74.40892792,75.97123718,81.93782806,82.257164,82.9516449,84.3030777,84.90350342,85.3790741,86.46092224,87.07848358,87.53349304,87.23833466,90.35231018,92.86192322
Angola,,,,,,27.26664162,27.26664162,27.26664162,27.26664162,27.26664162,27.27505112,27.29800034,27.33756828,27.4021244,27.47878456,27.57040024,27.67006302,27.74352264,27.84548187,27.94177628,28.00711632,27.99069214,28.04660034,28.09957886,28.1232872,28.15449905,32.02085495,31.97966003,33.5533638,34.50539398,34.47684097,34.93931961,36.78189468,36.61871338,36.56016922,41.0502243,44.7237854,45.532444,46.64136505,49.27300262,52.598423,57.27529907,60.52931595,61.72838593,61.8715744,61.37514114,61.37826157,60.07341385,59.81788254
"Antigua and Barbuda",,,,,,,,,,,,71.90099335,71.89978027,71.8964386,71.89261627,71.88752747,71.88207245,71.87788391,71.87129211,71.86463165,71.86051941,71.86266327,71.85871887,71.8555603,71.85480499,71.85400391,71.85821533,71.86051941,71.86595154,71.86940765,69.1187439,70.07954407,71.02268982,75.58861542,76.31085205,77.0064621,76.94942474,75.47296906,81.69113922,81.94741821,82.17297363,83.08748627,83.77142334,84.32123566,87.45157623,86.11759949,87.11062622,85.64360809,82.95051575
Argentina,48.27924728,44.3956604,47.22008896,47.22008896,46.51398087,45.45482254,44.3956604,44.74871445,44.74871445,45.10176849,45.16927338,45.57926178,44.548172,43.50336838,43.8920784,43.91833496,43.23114777,42.88972092,42.17818832,41.81625748,41.46317291,40.76241302,41.11985779,42.20982742,43.35987854,45.14713669,46.11959457,49.78966141,52.4176445,52.66297913,56.26251602,60.45574951,60.30474854,60.07324219,61.51718521,61.8273735,65.12359619,84.5816803,86.12992859,85.35811615,86.68314362,87.32584381,86.94507599,87.83603668,88.41706848,87.92479706,86.55210114,86.51057434,86.10788727
Armenia,,,,,,,,,,,,,,,,,,,,,,38.97553635,38.9796257,38.98121262,45.11587143,47.29380035,50.53765106,49.06914902,32.67277145,34.34864426,32.18657303,36.53343201,31.91435432,35.99298859,37.89860153,38.01151276,40.18321991,56.09734726,57.68499374,64.00491333,65.27887726,72.23905182,68.80144501,71.1032486,69.52293396,70.17854309,68.11737823,69.05397034,70.12256622
Aruba,,,,,,,,,,,,,,,,,77.0912323,77.08457184,77.07643127,77.06936646,77.06397247,77.06375122,77.05975342,77.05512238,77.05211639,77.04785156,77.05356598,77.06079865,77.07465363,77.09114838,77.10927582,75.27181244,74.40715027,75.36296844,75.5063324,77.08319092,78.61044312,78.70265198,80.96453094,92.47077179,92.65763855,93.49406433,94.31894684,93.88313293,93.88153839,93.46955109,93.44458771,93.92233276,93.92288208
Australia,46.04200745,45.6889534,45.33590317,45.6889534,45.33590317,45.33590317,45.33590317,44.98284912,44.98284912,44.98284912,45.10943985,45.21966171,45.30595398,45.38619232,45.48727798,45.58465576,45.69449615,45.76813889,45.83549881,50.16394806,51.15147018,52.13401794,53.11954117,54.76368713,56.09745789,61.70912552,63.36262894,65.28958893,66.90818787,68.18878174,72.08558655,73.8953476,75.34132385,75.12294769,77.21364594,77.8572464,78.2672348,92.69859314,92.92678833,94.08843994,95.14527893,95.52796173,95.93486023,95.91915894,94.16178131,94.20070648,95.11258698,95.99126434,95.99785614
Austria,75.18846893,75.18846893,75.18846893,74.83541107,74.83541107,74.48236084,74.48236084,74.48236084,74.48236084,74.12931061,73.45848846,73.48597717,72.79059601,72.44277191,72.09673309,71.74559021,71.03572083,70.67954254,69.5973587,68.87071991,67.37924957,65.94356537,65.57926941,65.2161026,65.21577454,64.8039093,64.44621277,64.08926392,63.38042068,63.34612274,68.1410675,67.85965729,70.65914917,67.21807861,70.04420471,68.84425354,74.50787354,81.78726196,84.59046173,84.73377991,84.64941406,86.36305237,87.62879181,87.7329483,86.53568268,85.49383545,84.7782135,83.53959656,81.28538513
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,23.93949127,23.93828201,23.93601036,23.93373871,23.93036842,21.7646904,22.3452301,23.23713303,22.64624405,21.66948509,21.92938614,28.57626915,33.63070297,31.72884369,31.37069702,36.40113831,54.09749222,55.98312378,61.0129509,65.09688568,66.01538849,69.43180084,71.58641815,71.75632477,70.68333435,69.38171387,68.04818726,68.11613464
Bahamas,,,,69.45730591,69.45730591,68.04508972,69.10425568,66.63288116,66.2798233,68.04508972,68.80614471,69.21057129,69.25117493,68.5772171,67.91030121,68.31489563,67.64995575,67.32566071,66.64141083,65.94764709,65.2514801,65.62140656,65.99530029,66.01688385,66.39723206,66.78795624,67.12355804,67.07627869,68.67884827,66.969841,72.89513397,73.12050629,74.32697296,75.38762665,75.12574768,64.8058548,77.00519562,66.78209686,82.42828369,82.62870026,82.79011536,83.35425568,83.23951721,84.86594391,89.52318573,89.42167664,87.03964233,88.32129669,88.27565765
Bahrain,,72.31039429,72.66345215,73.36956024,73.72261047,73.36956024,73.01650238,72.66345215,72.31039429,73.01650238,73.38101959,70.19005585,72.32463074,69.82609558,74.4677887,65.51538086,67.29341125,67.28468323,67.63512421,67.98784637,67.98197937,68.34056854,68.69705963,68.69233704,69.04995728,70.03055573,70.3449707,70.39932251,70.76553345,70.15685272,66.28382874,64.24716949,63.47150421,69.16075134,68.61721802,68.36233521,69.30514526,70.77820587,77.20079803,82.81653595,83.68225098,85.25180817,87.30402374,88.70988464,90.96640778,91.77960968,90.69994354,91.31159973,91.09501648
Bangladesh,,8.913300514,8.913300514,8.913300514,8.913300514,7.854139328,6.794979095,5.735817909,6.794979095,5.735817909,5.749432087,6.82768774,5.770577908,6.136002541,5.790110111,5.442460537,4.376974106,4.742415428,5.468070507,4.393971443,4.398318291,3.73046422,4.092576027,3.113607407,3.788201809,4.927898884,8.808289528,7.787136555,10.911479,12.59098434,14.67117405,16.12666321,16.28209877,17.003685,17.81132126,18.50807762,20.91659164,23.69494629,48.94776535,52.1195755,54.46037674,56.33432388,60.3452034,62.33021164,63.32526779,64.66719818,64.59316254,63.71617508,64.80072784
Barbados,76.86847687,76.86847687,76.86847687,76.86847687,76.51541901,75.80931091,75.10320282,72.63182831,76.86847687,78.63374329,80.04911041,79.69435883,79.33512878,78.97146606,78.96263885,79.31021118,79.65829468,79.65071106,79.99897003,80.34745026,80.34075165,80.34464264,80.69831848,81.36495209,81.36511993,81.72754669,81.73284149,81.73253632,81.7342453,81.72921753,82.07172394,82.44901276,82.18571472,82.56421661,81.86286163,82.11743927,80.06706238,82.5018692,82.20895386,84.40292358,85.1802063,85.79600525,83.69590759,84.36092377,86.11601257,87.024086,86.61235046,86.70287323,86.68096924
Belarus,,,,,,,,,,,,,,,,,,,,,,50.67678452,50.68187332,50.69601822,53.6004982,47.8447876,46.74716187,47.80153275,36.9834137,45.63217926,41.6236496,44.96181488,51.62202835,52.69961929,50.31346893,54.53794861,59.21412659,58.58187103,71.31387329,73.60434723,76.82258606,78.58049774,81.43289948,81.88069153,81.66173553,81.89170837,78.03173828,78.55213165,78.55047607
Belgium,79.90174103,79.90174103,79.90174103,79.90174103,79.5486908,79.5486908,79.5486908,79.5486908,78.8425827,78.13647461,77.80484772,77.46425629,76.75747681,76.39820862,75.6803894,74.59803009,73.86997986,71.70490265,70.60961914,69.51508331,68.78352356,68.42212677,67.69267273,69.48390961,66.950737,65.12893677,64.0604248,62.64817047,61.99094391,62.0798111,63.88125229,66.7746582,63.03065872,64.81764984,63.20214081,62.73335266,65.72669983,77.05957794,78.30303192,79.71032715,80.57826996,81.81949615,82.69315338,84.44470215,83.83552551,83.35300446,81.81832886,83.07353973,82.82118225
Belize,,,,,,,,,,,,45.42872238,45.45296478,45.47092056,45.4943161,45.51392365,45.53664398,45.55077744,45.55797195,45.55765915,45.56414795,45.5802269,45.57881165,45.58682632,45.60083389,45.93397141,46.23627853,46.20455933,46.14999771,57.54782104,45.06240845,55.95724487,55.24548721,63.34281158,54.61292648,65.82745361,75.51065063,71.33865356,71.18494415,73.58652496,82.98163605,84.54982758,85.42394257,84.05899811,84.55374908,83.14547729,84.83015442,83.93099213,82.70240784
Benin,13.2739315,13.2739315,13.2739315,13.2739315,13.2739315,13.2739315,13.2739315,13.2739315,13.2739315,13.2739315,13.26524448,13.25580788,13.24584675,13.233284,13.21797848,13.20110226,13.18246078,13.16915417,13.1528635,13.13873386,13.12794685,13.1274929,13.11949921,13.1102438,13.1042223,13.09571171,13.10714436,13.12158012,13.14931679,15.09115219,18.49175835,18.14554787,21.48858452,29.72408676,29.47469902,29.46164131,29.66243935,36.65849686,37.78959274,39.13843918,40.85686874,43.44654846,44.56656647,73.65712738,74.50799561,74.63917542,78.70359802,84.33786774,83.92288208
Bermuda,88.3972702,88.3972702,88.3972702,88.3972702,88.3972702,88.3972702,88.3972702,88.3972702,88.3972702,88.3972702,88.40052795,88.40407562,88.4078064,88.41252136,88.41825867,88.42458344,88.43157196,88.43656158,88.44268036,88.44797516,88.45201874,88.45219421,88.45519257,88.45865631,88.46091461,88.4641037,88.45981598,88.45440674,88.44400024,88.43164063,88.41803741,88.39807892,88.37785339,88.36388397,88.34809113,88.34095764,88.88311768,88.87340546,88.86051178,88.84307861,88.83559418,88.83531189,88.84052277,89.6934967,89.69476318,89.26522827,89.27770233,89.24658966,90.07711792
