Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,18.00869942,21.00837898,19.13357925,20.25845909,20.25845909,23.25813866,23.25813866,23.6330986,24.75797844,24.38301849,23.61923409,23.60569954,23.58458519,24.36919212,23.61929703,22.14220047,22.15564919,22.17144966,22.54286194,22.4538765,23.06559181,22.18250275,21.9955883,22.87440109,22.33271217,22.16288948,22.06348038,22.19618607,21.99774361,21.90718842,21.78806496,21.70270729,21.96959496,23.04196167,22.72826004,23.82318115,22.2576313,24.82756424,24.97245216,25.50845909,27.48564911,28.42173958,29.00506973,29.21111298,29.41041756,29.91259384,30.40249252,30.86259079,31.30057144
Albania,31.46871758,31.46871758,35.96823883,37.09311676,36.71815872,36.71815872,35.96823883,35.59327698,35.21831894,35.21831894,37.4476738,38.19336319,38.94787598,39.0452919,33.47217941,33.57991409,33.69906235,33.80709076,33.88557434,34.53328323,34.2806015,33.20883179,33.899086,35.63876724,52.72079086,53.40193558,53.47200775,53.63718033,54.11369705,54.78245544,54.82458115,56.59801865,55.09805298,58.07087326,58.42838669,57.7648201,58.43805695,59.04136276,59.34438705,63.43220901,63.12470245,59.58607101,41.51932907,58.60531616,60.56669617,62.23898315,45.27372742,45.36916351,45.40792847
Algeria,52.66972733,53.79460526,53.79460526,53.79460526,56.41932678,57.91916656,57.91916656,58.29412842,58.66908646,58.29412842,58.26120377,58.24790573,58.24132538,58.37460709,58.41980743,58.18186951,58.32369614,58.45608521,58.53769684,73.65280914,72.43406677,74.23390198,76.44771576,76.5160675,55.56838226,74.09620667,73.64456177,73.4839325,53.0868988,72.12094116,72.94680786,73.19802094,71.98357391,72.74967957,72.36747742,72.3919754,72.78252411,72.87476349,72.0059967,72.02095032,71.54408264,72.13467407,72.18766022,72.23205566,71.16880035,72.77168274,72.42443848,72.83081818,72.8611145
Andorra,7.270361423,7.270361423,7.270361423,7.270361423,7.270361423,7.270361423,7.270361423,7.270361423,7.270361423,7.270361423,7.267239094,7.270410061,7.280035496,7.304023266,7.319568634,7.353392124,7.392955303,7.427903175,7.456830025,7.444339275,7.386909008,7.303233624,7.204036236,7.103663921,10.60805988,10.50465298,10.46328354,10.36098194,10.28892231,10.28090382,10.2701416,10.64216042,9.938951492,10.33023739,11.39371395,11.37491226,11.41764545,11.84681702,11.87225533,11.54403019,12.34526825,12.02920151,11.380476,11.06291294,11.11691666,11.15840435,11.18324471,11.20211411,11.58646679
Angola,,,,,,34.89650345,34.89650345,34.89650345,34.89650345,34.89650345,34.87672806,34.86600876,34.85573959,34.92879486,34.94900513,36.1408577,36.20946503,36.2750473,36.3097229,36.55459976,36.31723404,35.6591301,35.29598618,35.2681427,35.65023422,35.33529282,36.24388885,35.8722229,35.56803513,35.46479797,34.98501587,35.25063324,34.17056656,34.56386185,33.553936,34.19809341,34.73363495,34.95652771,35.47264099,35.28372955,35.50590897,36.11096954,36.38674164,36.63882446,37.95653152,38.86339569,39.73594666,40.205513,40.27723694
"Antigua and Barbuda",,,,,,,,,,,,15.56033039,15.56228828,15.59948063,15.61469364,8.544652939,12.33312798,12.37427998,13.1526556,13.11756039,13.76504135,13.6367712,13.4797411,13.31571579,12.45448494,39.00476456,12.28203011,12.1600914,12.0740881,12.06433582,12.05125332,12.05801678,10.62106991,11.75205803,11.39371395,11.37491226,11.04700279,11.79413986,6.953086376,11.17102718,12.67730808,13.11651516,13.19483948,12.89094257,12.95590687,13.00643349,13.03860474,13.06267738,12.68686962
Argentina,80.78681946,81.16178131,82.28665924,82.0535202,79.80376434,80.92864227,80.55368042,80.92864227,82.0535202,80.92864227,82.04621887,81.67070007,81.67404938,81.33352661,82.09706116,82.13607025,81.80431366,81.61896515,82.09307861,82.50648499,82.24520874,83.40720367,86.76380157,87.66422272,88.22919464,87.37521362,86.92036438,86.93177032,86.94101715,87.23420715,86.94805908,88.65927887,87.23538208,87.94107056,88.25796509,88.20925903,88.54501343,88.94731903,88.9516983,88.95449829,89.23071289,89.22960663,89.60518646,88.96697998,89.34851837,88.84802246,87.72488403,88.11730957,87.6292038
Armenia,,,,,,,,,,,,,,,,,,,,,,20.72790909,20.45928192,20.18233871,23.17372322,22.93491554,23.19450378,22.95474434,24.52479362,24.4954319,24.45632553,27.55945778,26.91475105,29.03677368,29.0911293,29.0829525,29.57568741,32.2134552,32.30737686,33.54631042,34.47232056,35.37479019,54.17643356,54.0741806,57.02058411,61.65148163,61.96528625,61.66700363,62.03159332
Aruba,,,,,,,,,,,,,,,,,2.598238707,2.606975794,2.614207506,2.611084938,2.596727371,2.575808525,2.551009178,2.5259161,2.503716946,2.484284878,2.478221178,2.461751223,2.452374935,2.454973936,2.458333492,3.929007769,3.211344481,3.961506367,3.968112946,4.325875759,4.335787296,4.720960617,4.720678806,4.730028629,4.741211891,4.754431248,4.770689964,4.788163185,4.806511879,4.819540501,4.824032784,4.828072548,4.439956665
Australia,81.93624115,81.70309448,82.21987152,83.7197113,84.46963501,84.84459686,86.20261383,87.04386139,87.79377747,87.56063843,86.94876862,86.62283325,86.62687683,86.65394592,84.7957077,85.20199585,85.01199341,85.04670715,84.32564545,87.00656128,83.59255219,85.72319794,88.33738708,89.20964813,88.16101074,88.22642517,85.18788147,85.71238708,85.34790039,86.26325989,91.79222107,92.16720581,90.76979828,90.63710785,89.24770355,88.23780823,88.56443787,89.24214172,89.26777649,89.30601501,89.35229492,89.77654266,89.57310486,88.85791779,89.03359222,89.09055328,89.24803925,89.89651489,89.16941833
Austria,85.11888885,85.11888885,84.78476715,89.0006485,90.21685028,90.44999695,90.21685028,90.59181213,91.34173584,90.21685028,90.97046661,89.85085297,90.23205566,90.59611511,91.71940613,91.71445465,91.71108246,92.08125305,92.3041687,92.69886017,90.65500641,92.77039337,92.81982422,93.70323944,94.09223175,94.47410583,95.19577789,95.2149353,95.22998047,94.94405365,95.92715454,95.63387299,94.31355286,94.68144226,94.68107605,94.68212128,95.0567627,95.06360626,95.06790161,95.35025024,94.80747986,95.08731079,95.35932159,94.84454346,93.83599854,93.85735321,93.87210083,93.88292694,93.88788605
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,22.65004921,22.40198135,22.13960075,21.91305542,21.70714378,21.61467552,22.09750938,21.92253113,22.22475624,22.85167503,23.55639648,23.22917747,28.09013557,28.50679398,29.19614601,31.52370834,34.47572327,36.36166763,37.26251602,39.24712372,40.22133255,40.89382172,41.53041077,43.26958084,45.66139221,46.56254959,47.79481506,64.30925751
Bahamas,,,,15.50021076,15.50021076,15.50021076,19.24980927,19.24980927,19.24980927,19.24980927,19.24022484,19.24464989,19.26192093,19.32197762,19.35621643,19.43503189,19.5252018,19.60567093,19.66906166,19.62329102,19.47014618,19.25600052,18.99858284,18.73444748,18.50257301,44.15400696,18.22394371,18.03517532,17.91389084,17.91951752,17.9263916,18.648283,16.88654518,17.61613846,18.01101875,17.23061371,16.60664749,17.00348473,17.03290939,16.72056198,18.93216515,19.02606773,19.13921547,19.24825668,20.44039917,20.52203178,19.08623505,18.38187408,18.38544464
Bahrain,,22.18173981,22.18173981,22.55669975,23.68157959,24.05653954,24.80645943,24.80645943,25.55637932,25.55637932,25.54260445,25.54013062,25.54452515,25.6082077,25.63497162,27.95228004,28.02899742,27.72567368,28.89401436,28.80239868,28.60463333,28.35153008,29.49834442,30.60151291,30.65298462,30.36941338,30.23723984,29.92654037,29.33537674,30.65467453,29.87160683,30.19657707,28.76861763,31.92647934,33.30482101,33.28884888,32.81319427,33.35943222,33.85378647,34.76527023,35.3421936,35.55515671,36.88802719,37.13323212,38.08506393,38.2538414,38.37630463,38.0958252,38.14579773
Bangladesh,,40.34686279,40.34686279,41.09678268,41.09678268,41.09678268,49.72085953,50.09582138,51.59566116,53.09550095,52.69129181,52.30938721,53.06195831,52.81755066,51.74607849,51.88750458,52.03939056,52.17903137,67.34397888,67.56653595,66.00000763,66.97402954,70.43644714,72.62456512,72.88354492,72.53226471,71.78350067,71.09696198,70.91238403,70.93264771,72.07450867,73.54414368,72.39362335,71.88651276,72.68386841,73.68199158,73.90280914,73.83648682,74.12036896,74.02571106,73.83086395,73.80952454,73.66236877,73.26515961,73.53011322,74.539711,74.23394775,74.19384766,73.93105316
Barbados,21.60119629,23.10103607,23.10103607,23.10103607,22.35111618,24.9758358,26.10071564,24.9758358,24.22591591,24.9758358,26.08711815,24.9659462,24.23447227,24.30673027,25.09404755,25.18608665,26.41235352,26.87962341,27.32307053,27.24897766,26.30574036,26.40341759,26.07237053,25.72896385,25.06997871,50.9336319,24.70175552,24.44457626,24.26775932,24.25518799,24.2380619,25.63026619,24.24127388,23.64414787,23.67297363,23.28495789,23.37303162,23.49050522,15.88271618,23.25257683,23.73261833,23.84830475,23.98787689,23.74451447,24.2308445,24.69265366,24.75146294,24.79602051,41.6068573
Belarus,,,,,,,,,,,,,,,,,,,,,,26.95321846,26.59558678,26.22748184,32.01331329,34.18036652,34.74448013,34.38199234,37.24768066,37.18441391,37.10056686,37.44612503,37.79006577,38.9600563,39.02240753,38.6333313,39.19687653,40.45559692,42.31475449,43.20780563,43.44661713,62.42687607,62.9244194,63.40281677,63.48337173,64.55308533,64.90987396,64.90182495,65.28986359
Belgium,89.92168427,89.92168427,90.29664612,91.04656219,91.04656219,91.04656219,91.04656219,91.04656219,91.18837738,91.42152405,91.41119385,91.17580414,91.17946625,91.22945404,91.62483978,91.6812973,91.74228668,91.57406616,91.61376953,93.72209167,90.84593201,91.57209778,96.76464081,98.36197662,98.45389557,98.16915131,98.15927124,97.85330963,91.47177887,91.43830872,91.97743988,92.25801849,91.26618195,91.37311554,91.38735199,91.36698151,94.8799057,96.62653351,96.64369202,96.39025116,95.87685394,95.11296844,95.17829132,95.23923492,94.7818222,91.55984497,92.12013245,92.65774536,94.65218353
