Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,22.19139481,22.19139481,22.12587166,22.12587166,22.12587166,22.12587166,22.12587166,22.12587166,22.12587166,22.12587166,22.50198936,21.91004372,21.39230156,20.92578697,20.54970741,20.52864838,21.26467514,21.30709648,21.27367973,20.90950966,20.98238945,20.98724365,21.04854584,21.17802048,21.24844742,21.41364288,21.48151016,21.46149826,21.59119034,21.72431374,21.65650368,21.66513252,21.65036011,21.66829681,21.80783844,21.95421791,22.15826797,24.21680641,27.6447506,31.65636826,32.98759079,32.62940598,34.2673111,37.07266998,38.45350647,42.69058228,37.55718613,37.33633041,37.67964935
Albania,30.32250595,30.32250595,30.28055382,30.28055382,30.28055382,30.23860168,30.23860168,30.23860168,30.19664955,30.19664955,29.91129684,29.66592789,29.38287354,29.17529106,28.96797943,28.79463959,28.60531044,28.50683594,28.40201569,28.32366371,28.34311485,29.61604881,31.86157417,32.05199432,31.48520279,34.72721481,35.4587822,35.99055099,41.6548996,43.99475861,45.68788528,46.81500244,49.00715256,49.11037064,55.02298737,51.96528244,59.92073441,63.05812073,60.27861786,66.28926849,65.9881897,60.15004349,59.7182045,60.45003891,59.96091461,61.10235596,59.97743225,59.09288788,58.29059219
Algeria,23.13867188,22.76932526,23.06752396,22.35219765,23.03847504,23.97641373,24.06136513,22.96503448,23.3457489,22.40745735,21.98034859,21.73807144,22.84739685,21.53072739,22.01244736,22.07089233,23.07526588,22.11818314,21.05681801,21.25678253,20.95876694,19.98476028,20.20691681,20.02019501,19.6853466,20.79763031,21.02733612,21.35529327,22.24818802,22.82329369,22.01974106,22.44242477,25.27383041,26.88251114,29.19611549,30.70933914,32.28781509,39.05076981,39.75663757,41.75456238,42.48167419,44.34724808,45.21303558,48.25044632,48.21382904,46.39049911,43.71288681,42.74147034,41.53894043
Andorra,83.7424469,83.7424469,83.7424469,83.7424469,83.7424469,83.7424469,83.79173279,83.79173279,83.79173279,83.84102631,83.48031616,83.15594482,82.7844696,82.44452667,82.12217712,81.86132813,81.67321014,81.52048492,81.36580658,81.24424744,81.12400818,81.02459717,80.96115875,80.96279907,80.97312927,80.99884033,81.16719818,81.43375397,81.2698822,81.44795227,81.57847595,81.82866669,82.2960968,82.86705017,83.46585083,83.31040192,82.61541748,86.28401947,86.25531769,86.49736786,86.88040161,87.05576324,87.11405182,87.55238342,87.86279297,87.9879837,87.67329407,88.83847809,89.74716949
Angola,,,,,,24.12983131,24.25568771,24.33959198,24.46544647,24.54935074,24.36628723,24.10643578,23.84605217,23.62412453,23.41259956,23.25289917,23.7915287,22.91587448,22.57667732,22.82453537,22.90359306,22.77775764,22.98957634,23.23043442,23.54730988,23.68440437,27.73649788,24.12590027,24.86717415,24.77853966,24.62461281,25.26467323,25.69885826,25.41571045,26.47132492,28.64078903,29.74007797,30.82024193,31.83791924,33.24139786,34.35198975,38.01926804,40.34304047,39.62301254,38.87507629,40.39246368,35.34023666,34.30117416,33.63057709
"Antigua and Barbuda",,,,,,,,,,,,74.44050598,73.64061737,73.26911163,73.03595734,72.66405487,71.78365326,71.712883,71.63592529,72.08802795,71.79225922,71.45075989,71.4961853,71.68783569,71.90814972,73.33333588,72.45677185,72.19883728,71.88670349,72.04195404,71.43560028,72.08014679,72.58979797,74.17355347,74.4407196,74.6710434,74.99954224,74.89583588,76.80092621,76.51908875,75.82559204,75.87042236,76.09893036,77.50621796,79.19355774,78.56304932,78.87332916,78.30047607,77.35257721
Argentina,39.60659027,37.29146576,38.19098663,38.12108231,37.63405609,36.77767563,36.42462158,36.77587891,37.19120789,37.61236954,37.55182648,37.4234848,36.11300278,35.16792297,35.13123703,35.06558228,38.22581863,38.12262344,37.82762527,37.73903275,39.83667755,38.86386108,39.86019516,40.42238617,41.15011597,42.40086365,42.53293228,44.95031738,46.3392334,46.29623795,48.13617325,49.99414444,47.94472885,49.13143158,51.4678421,52.59143448,54.30865479,61.6175766,63.39691925,62.4136467,63.32791138,64.19103241,63.75993729,64.23705292,63.9729805,63.93054199,63.8862114,64.67449188,64.41213226
Armenia,,,,,,,,,,,,,,,,,,,,,,34.20685959,34.22512436,35.54951096,39.00088882,42.52813339,43.84757233,43.4455986,40.08441162,41.38085556,39.68299484,43.44530106,40.47048569,42.62425995,48.12194061,48.93680954,50.48307037,56.59293747,57.36009979,58.10602188,59.29792023,61.62922668,60.66989136,61.3336792,60.79875183,59.93925476,58.89437485,59.41881943,59.89559174
Aruba,,,,,,,,,,,,,,,,,78.26969147,78.24150848,78.00866699,78.0401535,78.86769867,79.00613403,78.81703949,78.8078537,78.82762146,79.28108215,78.04587555,78.31723785,78.73444366,79.3238678,79.87205505,79.14395905,79.84986115,79.26939392,80.3087616,79.75154114,81.04117584,81.49776459,81.26254272,86.50161743,87.30504608,87.18235016,86.97441101,88.51208496,88.56820679,88.52254486,88.1738739,88.13710022,88.23945618
Australia,58.32627106,60.46320724,60.4413147,60.67555618,60.65365982,63.41431427,63.86016846,63.76749039,63.79758453,64.32480621,64.35535431,64.62670898,64.76068878,64.842659,65.05063629,65.35227966,65.60020447,65.78157806,65.79000092,67.95583344,68.63301849,68.99674225,69.49436188,70.79534912,71.80471802,73.91145325,74.57772827,75.65983582,76.10002899,76.92502594,78.74694824,78.03717804,79.42466736,79.93082428,81.64228058,82.2909317,82.85845184,88.81534576,89.27761078,89.26334381,90.14917755,90.98335266,91.14502716,91.01696014,90.42018127,90.22857666,90.71700287,91.21393585,91.17482758
Austria,73.94906616,73.80925751,74.06092834,74.01313782,73.87333679,73.68574524,73.82555389,78.75823212,79.41988373,79.77693939,79.57645416,79.60710144,79.59230042,79.32765198,79.3500061,80.70741272,80.34397125,80.38196564,80.34255981,80.35964966,79.97167206,79.5517807,79.47386932,79.52842712,79.68363953,79.89743805,79.68347931,79.6423111,79.53255463,79.77919769,81.45198822,81.59056091,82.47006226,81.74172974,83.29483032,82.7151947,83.86876678,86.35568237,87.88899994,87.55189514,88.07450867,88.879776,89.37329865,89.52474976,89.30439758,88.94563293,88.81652832,88.42492676,87.82855988
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,23.98140717,24.00012779,25.00838661,25.45092392,25.88388824,25.74957466,25.58707619,27.3039875,30.89941788,30.52700806,31.61875534,34.40380859,35.99921799,36.62758255,38.94120407,40.55142593,48.40274048,50.69903183,54.94519043,57.01040268,56.97280884,58.03208923,58.69934082,57.80069733,55.60675812,52.88781738,51.95643234,52.58114624
Bahamas,,,,70.65302277,70.40135956,72.19761658,72.28929138,72.72619629,72.96884918,73.37473297,73.85919189,72.96315002,73.36203766,72.47241974,72.15769958,72.05052948,71.75685883,71.73942566,71.76190186,70.02178955,70.15893555,70.46477509,70.7077179,71.14331818,71.24274445,71.18720245,72.02658081,72.13369751,72.9278717,73.74655151,75.3965683,75.86396027,75.17793274,75.69459534,77.9372406,73.35887146,76.77645111,73.70373535,79.43582153,79.64447021,78.36722565,78.87557983,78.75270081,79.10575104,80.98835754,81.47988129,81.14865112,81.3733902,81.35206604
