Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,18.44998741,18.44998741,18.44998741,18.44998741,10.1842041,10.1842041,10.1842041,10.1842041,10.1842041,4.21447134,4.214468956,4.21766758,5.307970524,5.321083546,4.801715851,4.824412823,5.894505024,5.383329391,5.398795605,11.68002415,5.9391222,5.94408989,4.923528671,10.74312401,5.430532455,5.423042297,4.398511887,4.401749611,4.392225742,4.388669014,4.383308887,4.369517803,4.883991241,12.69731426,10.63265896,12.68079758,22.43799019,22.0703373,22.73255348,14.49658203,15.09662056,15.70968533,16.3201828,16.00049782,16.14934158,15.83654308,15.98147583,16.13054466,15.8477869
Albania,22.07334709,22.43179512,23.14869308,23.50714111,23.86558914,24.22403717,24.94093323,26.3517189,27.76250648,28.12095451,30.93730354,30.97514725,34.09403229,40.2515831,36.15637207,40.53081512,44.18581772,39.17141724,53.04616165,53.00484467,52.59616089,56.22113419,68.62084961,74.20250702,58.27969742,52.80208969,55.60321045,54.41073608,56.14338684,56.20979309,64.14413452,69.75045013,67.54573059,77.93572235,78.95144653,77.35206604,78.3588562,78.31645203,76.72034454,73.93535614,78.18975067,79.23442078,79.34746552,79.70845795,80.28661346,80.26364136,80.06872559,79.87187958,79.95281982
Algeria,11.12449932,11.4829483,11.82989216,12.17683697,12.535285,12.535285,13.24067783,13.24067783,13.94607067,13.94607067,14.28656483,14.64409924,15.01424313,15.73215675,16.46909714,17.18818855,17.56441116,18.27584267,18.98373413,20.05334854,30.25536346,31.33400726,32.40985107,23.58784866,24.66405106,21.47581482,26.12933731,26.86997604,27.92773628,34.45854187,35.14491272,35.51242065,35.84383011,35.8518219,36.22732925,36.61053467,36.99417496,37.77473831,37.8468895,38.32625198,39.0981369,39.59236908,40.39294434,41.60968781,42.37876892,43.08780289,43.72216797,44.21605301,44.7335434
Andorra,84.30527496,84.30527496,84.30527496,84.30527496,77.87634277,77.87634277,77.3355484,76.79476166,75.71318054,74.09080505,70.30528259,58.94366074,50.30796814,51.4622879,51.54162598,51.65132904,51.73516464,51.82331085,60.06891632,60.18228149,60.2999115,60.35703278,60.41372299,68.20368195,68.13859558,68.04572296,68.10110474,68.12978363,68.04543304,68.01392365,67.96645355,67.84429932,67.80123901,67.82709503,67.8612442,67.76309204,67.91110229,68.19275665,68.48182678,68.98370361,69.49920654,70.18186188,70.98513031,71.82098389,72.659935,73.32214355,74.07095337,74.84115601,75.42790985
Angola,,,,,,10.01464367,10.36158848,10.70853329,7.584033966,7.930978775,8.611895561,9.288257599,10.30083179,8.927359581,8.907784462,8.550280571,8.889351845,8.86793232,8.885214806,9.527163506,12.81608486,12.79388237,25.363657,15.54749489,11.60250664,11.60457706,15.59998989,15.65656567,16.03155518,16.03706551,16.40796661,16.76615715,17.08333588,22.87450981,22.88600922,23.21421623,23.57611465,23.89901733,24.30012131,24.06208229,23.65133286,21.76994705,22.8373127,23.57247353,24.95450211,26.87326813,20.83248138,21.23737907,27.57514572
"Antigua and Barbuda",,,,,,,,,,,,53.20100784,51.69564438,42.88975525,41.94677353,42.65383148,43.31318283,43.97330093,44.62963867,45.77116776,46.90644455,56.24522018,50.07941055,50.07615662,50.04151535,49.99208069,50.5360527,50.55085373,51.02271652,51.00696182,50.98322678,59.62390137,59.59126282,59.61086273,60.15511322,60.08229446,60.70967102,60.91409683,57.56540298,58.48659134,55.46699905,57.06748962,60.60090637,60.82049179,61.51059341,65.06732178,68.5262146,72.23214722,76.46984863
Argentina,66.07604218,63.65892792,59.16015244,59.85404205,61.75136566,53.32394028,53.32394028,50.94566345,52.92857361,51.9980011,52.70594025,51.3354187,49.95773697,59.27908707,60.67992783,69.54078674,64.88794708,74.13852692,85.12760925,82.80471039,66.51197815,62.32092667,62.37741089,62.75131607,63.12245178,63.49507141,63.50724792,68.01759338,64.1861496,69.04000854,66.44138336,73.30020142,68.8682251,68.92069244,73.81941223,74.17855072,75.82588959,77.51851654,77.23881531,76.99776459,73.89865875,74.77991486,75.4039917,77.66583252,80.58153534,81.56341553,81.29964447,82.04124451,82.10241699
Armenia,,,,,,,,,,,,,,,,,,,,,,73.69696808,72.37531281,80.99630737,77.75592041,77.4888382,78.49252319,79.76399994,80.49131012,80.49662018,77.63600159,78.68019104,75.46256256,73.19255829,76.09860992,78.11294556,79.08165741,78.71669769,78.35083771,79.12142944,78.94417572,77.95104218,77.44367218,76.97306061,76.74202728,77.18917084,76.21477509,75.0620575,73.53594208
Australia,83.84498596,83.84498596,85.24427032,86.64354706,87.33744049,84.58489227,83.19711304,83.91400909,83.5785675,83.23162079,83.25830841,82.60856628,83.01248932,82.76261902,82.52981567,86.35190582,87.43540955,88.53553009,90.24885559,90.65869904,89.72103119,89.09999084,89.13583374,89.1934433,89.51560974,89.18627167,91.14577484,93.40338898,95.37334442,96.33805084,96.98283386,97.30209351,96.97569275,96.97849274,96.28192902,95.95195007,95.33132172,94.74514771,94.48775482,92.66088867,90.69072723,90.60111237,90.68968201,91.24573517,91.75740814,93.19644928,93.77326965,93.94764709,93.61456299
Austria,74.65187073,74.65187073,76.74504089,78.49127197,80.58444214,78.86122131,78.52577972,79.23117065,78.88423157,79.93656921,80.28659058,80.64903259,80.35897827,81.09886932,81.51407623,82.290802,76.98443604,78.4421463,78.5306778,80.93796539,84.30422974,85.30093384,84.0662384,84.0641861,83.72044373,82.44836426,83.43877411,83.49852753,83.46491241,83.17169952,83.19728851,83.53376007,83.52896118,85.86659241,89.77001953,88.50474548,85.35260773,83.99038696,82.61223602,85.10834503,84.74869537,86.91307831,87.80435181,87.06275177,88.96589661,88.5763855,90.32486725,91.51570129,90.74634552
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,49.27954865,55.40785217,44.64128494,28.19450951,61.71593094,61.13087082,44.65439224,52.48460388,66.41351318,52.99999619,47.29824448,43.15467834,34.84865952,38.48163223,34.8404007,33.82437515,55.9296608,54.25072861,50.0057869,49.82286072,44.77125168,44.61577988,40.36349869,39.07971573,35.19950485,38.14662933,49.40514374,46.36474609
