Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,18.95335007,18.95335007,19.3523941,19.75143814,20.15048218,20.54952621,20.54952621,20.54952621,20.54952621,21.74666023,22.86423302,22.76294518,23.07239532,22.99818611,23.31518555,23.60978127,24.28212166,24.59905434,24.51040649,24.77821922,25.08336258,25.76139832,25.96424484,26.16734886,25.96492004,26.39501762,26.70988655,26.35086823,26.12075806,26.84323692,26.8863678,26.7962513,26.64786148,27.93210983,38.7403183,45.12404633,48.3159523,46.84709549,48.99661255,49.72514343,51.90392303,52.56756592,54.71894455,56.13975525,52.14693832,58.34334946,58.34464645,59.9068985,59.91157913
Albania,36.90305328,43.28522491,28.92533875,16.55987549,30.91976738,29.7231102,46.47631454,36.90305328,13.36878872,46.87519836,47.23671722,40.77277756,30.74288368,36.67113113,44.56378555,29.35422707,37.20925903,47.02568436,32.59118271,40.84294891,31.09010696,33.24498749,53.35331345,53.00011444,47.18996811,65.2181015,48.22463989,65.16620636,65.35781097,56.14222717,62.16168976,70.19069672,79.9021759,66.2461319,66.22835541,67.89530182,73.29987335,80.43585205,85.40761566,87.59635162,84.64582062,74.77680969,78.70846558,77.22742462,79.04244232,80.82308197,80.82534027,81.15245819,81.15049744
Algeria,46.08012009,46.47900772,52.86149979,40.09730911,48.47422791,54.45830917,60.8415947,49.2740593,47.27963257,55.65623474,57.12086105,60.51392365,57.14686966,41.45795059,41.71582031,58.61988068,53.21986771,52.67178345,51.64894485,65.32662201,65.46347046,73.14830017,61.52119446,62.43669128,68.08924866,79.63666534,76.26152802,80.42478943,75.72789001,64.22647858,76.54981232,83.36767578,76.36427307,77.03962708,75.88575745,78.74215698,81.26519775,85.14147186,87.68653107,83.34614563,90.21170807,87.67634583,83.27355957,79.28347778,85.46258545,86.55984497,86.88996887,86.89051056,86.89148712
Andorra,37.69955826,44.87950516,43.68284607,42.88507462,41.28953171,34.50847244,36.10401535,42.4861908,43.68284607,44.0817337,27.70338821,42.01325989,15.65248203,36.35161591,34.30088043,38.59981537,41.68864059,41.20289612,41.73805237,42.46864319,39.78772736,34.2429924,39.04722977,41.01885986,31.75407791,19.27329826,16.60091591,23.73997307,35.97883606,38.97164917,37.97638702,28.30583191,34.69153595,32.35850525,41.72382355,41.24601746,23.0189991,26.61091805,44.555233,47.79875946,44.15301132,27.02441406,33.82426453,29.44355392,21.67134857,32.48012543,32.47476578,32.80040359,32.79398727
Angola,,,,,,23.73649597,39.2970047,43.28633499,45.28076553,29.72422028,43.62654495,26.77365685,40.25841141,45.77093124,49.25229263,32.02195358,40.65233612,47.67087173,40.72389603,51.25354004,51.26181793,43.49365616,34.31437683,31.57169724,45.2048645,46.28865051,48.82767105,56.75090408,58.61903763,54.28733444,55.80036926,47.40207672,47.40805817,52.24899292,51.06253052,51.38147736,54.55614471,59.78982544,59.63282394,59.95495987,59.85207367,59.86340332,59.87894821,60.22014236,60.23299789,63.04471207,63.05245209,62.59606552,62.59796143
"Antigua and Barbuda",,,,,,,,,,,,15.67082119,15.62899113,17.53573418,17.87511063,17.8128891,17.74998474,25.65710831,27.60330391,27.66577721,28.89950752,30.4810276,30.52144432,30.93141365,32.80223465,34.99193954,35.00366592,35.36453247,38.37662125,38.71609116,37.97357559,39.06556702,39.42358398,42.15402222,41.7595253,41.76191711,44.60906219,44.60213852,45.67570877,45.66631317,47.10969925,49.24951935,49.24202347,50.22583008,49.81615829,51.62717438,54.11003494,54.10949707,54.10850906
Argentina,54.85846329,55.65623474,56.85321045,58.05018234,60.04540253,60.84317398,62.04014969,62.43919373,61.64173889,61.64237213,59.86406708,57.62311935,55.02775955,63.19597244,62.21924591,63.57057571,64.51403809,61.94124985,57.35868835,51.22041702,64.20165253,78.57270813,80.60774231,84.77462006,87.86327362,90.18828583,91.0925293,91.72906494,92.38192749,92.30995178,93.04325867,93.02172852,92.6583786,93.02384186,91.91104126,91.91282654,92.27639008,93.36182404,92.27552795,92.63749695,93.33239746,93.33195496,93.33056641,93.69293213,93.32848358,94.05602264,94.36444092,94,94.30887604
Armenia,,,,,,,,,,,,,,,,,,,,,,2.484506369,17.87170029,25.48755455,31.77742386,36.30969238,39.15916061,42.85508347,43.43228912,47.05757141,47.30347443,48.97102356,51.43013382,54.41781235,55.65876007,59.42571259,65.42823792,70.75252533,71.11816406,72.11349487,70.98403168,71.33047485,74.85482788,74.86758423,72.33802032,76.27890778,76.59466553,76.59606934,76.59796143
Aruba,,,,,,,,,,,,,,,,,3.381020069,3.376105785,3.359754324,3.331143856,3.278514147,3.226759672,3.202367783,3.19016099,3.183091402,3.180217743,3.185052156,3.187208652,3.183658123,4.289896965,4.300786972,4.290194988,4.280561924,4.270510674,2.814929485,4.261525154,4.618084431,4.618206024,4.984598637,4.987541199,4.626376629,4.624396801,4.62995863,4.631214619,4.636897564,4.643663883,4.644462109,4.644652843,4.646915913
Australia,45.6817131,49.67136002,52.46387863,55.25655365,58.44843674,61.64047241,64.03442383,65.63028717,65.23155975,64.83267212,64.66616821,63.63918686,63.44096375,62.87645721,63.4809227,62.85218811,62.61549759,61.64802551,68.25421906,66.10448456,67.83879089,75.07531738,79.15273285,80.42519379,81.69722748,82.37734222,81.05675507,82.38562012,83.24676514,82.08511353,82.44232178,83.43810272,82.94489288,82.91539764,83.25596619,83.88399506,84.9611969,86.03730011,86.36039734,86.71201324,87.06565094,86.69512939,87.41168213,87.76768494,87.72566986,88.44901276,88.44435883,88.44351196,88.44342804
