Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,12.19357681,12.19357681,12.19357681,12.19357681,10.32991695,10.32991695,10.32991695,10.32991695,10.36182022,8.91195488,8.905807495,9.853897095,9.956149101,10.09212399,9.951978683,9.985233307,10.23722076,10.10753155,10.25590229,11.75964546,9.604868889,9.703317642,8.984936714,10.01891994,8.747885704,8.596189499,8.369843483,8.043778419,7.955918789,7.972997665,8.210933685,8.00265789,10.27173996,17.03875923,18.27951813,23.2864666,27.36422539,28.40183067,29.33447075,30.1592617,30.19382668,31.2509079,31.62874603,32.7868309,33.21660233,32.41818237,33.37690735,33.52807617,33.52864456
Albania,32.4785347,32.21804428,32.20368958,31.68988419,31.04941368,30.15563011,30.39459419,30.99151611,31.46177864,31.58126068,32.53445053,32.69777679,33.77170181,35.86060715,34.53842163,36.04341125,37.29139709,35.65084457,40.31124115,40.33612442,40.36667252,41.59302139,45.87443924,47.71595383,46.33044434,42.64794159,44.1124115,44.74764252,48.67524338,49.72163391,52.73637009,58.32228088,60.01147079,64.58045197,67.0458374,66.84482574,70.40634918,71.6390152,71.53862,72.2150116,74.5807724,75.55957794,76.56519318,77.73175812,77.96353912,78.15863037,78.07420349,78.45394897,77.64418793
Algeria,20.94530296,21.064785,21.18043327,21.42274094,21.54222298,21.54222298,21.58021927,21.83353615,22.29389381,22.35007477,22.47437859,22.70495033,22.94024849,23.16646004,23.40104485,23.89118958,24.0147934,24.11141014,24.48330307,25.06855011,28.77637863,29.02976036,28.21142006,25.43326759,25.76892281,25.27267838,27.03617096,29.14979935,30.37363434,36.37586212,37.76027679,39.56611252,42.70375061,44.87892532,46.95456696,48.73071671,50.70025635,51.79454422,51.46813583,53.52914429,53.79103088,54.43108749,55.01198578,56.23090363,57.74168777,58.28211594,58.83385849,59.19696426,59.01037216
Andorra,72.32446289,72.5461731,72.98958588,73.21130371,71.02642822,71.2481308,71.26741028,71.28668213,71.32522583,70.9396286,69.72822571,66.15486145,63.16494751,64.04869843,64.08285522,64.35457611,64.63173676,64.90598297,67.95472717,68.23964691,68.53115082,68.80735779,69.09109497,72.18919373,72.14286804,72.54598236,72.95333099,74.19609833,75.91794586,76.54298401,77.16025543,77.31062317,77.50031281,78.89347839,79.74758911,80.71351624,81.73594666,82.95308685,83.07558441,83.74794006,84.17945099,84.43532562,84.99518585,85.82516479,86.38618469,87.35657501,87.86478424,87.98267365,88.43534851
Angola,,,,,,10.75563335,11.7864809,11.11358738,10.32540417,10.56771088,10.92700005,11.16082096,11.63973522,11.06367016,11.07051849,10.96611404,11.08694077,11.3555851,11.37229252,11.59762287,12.70247459,12.69896889,16.48233032,13.78634644,12.46166229,13.03474808,14.12984562,15.2658577,16.43963814,18.41864204,18.68115616,19.76372337,20.91911888,24.78369904,26.03753471,29.39375496,30.87870598,32.44244385,33.17288208,34.64682388,34.76309586,34.13344955,36.16733932,35.40538025,36.84182739,36.55491257,34.11103821,34.20890427,36.17598343
"Antigua and Barbuda",,,,,,,,,,,,62.9548378,62.84866333,61.12308121,61.80609131,62.50102234,63.11208344,63.71219635,64.27862549,65.05065155,65.76934814,67.6950531,66.61868286,66.53507996,67.3609314,66.2100296,66.97396851,66.88742828,67.454422,68.25237274,69.05564117,71.65911102,73.41603851,74.9888382,76.13651276,79.04844666,80.39838409,80.54577637,80.12788391,80.69519043,80.52900696,81.14833069,81.89611816,81.78862762,81.79675293,84.01145172,85.03291321,86.17540741,87.31601715
Argentina,51.45541382,50.64971542,49.27678299,49.50807953,51.22476196,48.64084625,48.44371033,47.65095139,48.21335602,48.00172806,47.67645645,46.99116516,46.53688812,49.17833328,49.60281754,52.61544418,51.36161804,54.68749619,58.36865997,57.61554718,52.5231514,51.29141235,51.6475296,53.78102112,55.17186356,56.56371307,57.03023529,59.88404846,59.77552414,63.12851334,64.57429504,68.2093277,67.43518829,67.57432556,70.244133,72.10316467,73.17230225,74.8090744,75.42144775,76.6595993,75.4798584,76.46422577,76.6574707,78.7497406,78.61152649,79.39911652,79.6803894,80.39690399,80.9500351
Armenia,,,,,,,,,,,,,,,,,,,,,,49.06729126,48.63101196,51.64033508,50.20362473,53.08226395,54.88994598,55.95532227,56.96464539,59.9586792,60.79886246,61.42193604,60.59611511,60.07620239,61.68484116,64.51274872,65.94759369,66.67493439,66.64355469,67.93280029,71.42854309,70.86789703,71.09257507,71.58247375,72.2102356,72.80123901,72.45313263,72.16202545,72.05028534
Aruba,,,,,,,,,,,,,,,,,67.6344986,67.80448914,68.17173004,68.33798981,68.50958252,68.49172974,68.47602081,68.46308899,68.43790436,69.24140167,69.85057831,70.02086639,70.38968658,71.18579865,71.04599762,73.2611084,71.74558258,70.00228119,71.30497742,72.16101837,78.55780792,77.45540619,78.62650299,80.92567444,81.04936218,79.38041687,86.92896271,81.31604004,80.74770355,81.04373932,81.22150421,81.32787323,81.38446808
Australia,72.32845306,72.45511627,72.92153931,73.51462555,74.04162598,70.49087524,70.02828217,70.39390564,70.40875244,70.41976166,70.49560547,70.45374298,70.77810669,70.75592041,70.87472534,72.22460938,72.76417542,72.99261475,73.93151855,73.93876648,74.10219574,73.58711243,74.45350647,74.48736572,75.30705261,75.54148102,76.22080994,77.70605469,79.42849731,80.64092255,81.33594513,82.04853058,82.14583588,81.95883942,81.96389008,82.55278778,82.52241516,81.60253143,81.81669617,81.66233826,84.30752563,84.49638367,84.26773071,84.96137238,83.99692535,84.47770691,85.30239105,85.01979828,85.46374512
