Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,152.9954314,153.609882,154.4906386,155.9127044,157.6707411,158.695331,159.4079421,159.9603178,160.4405889,161.2559788,162.2453342,163.5640356,163.7947861,164.5833364,165.1801506,165.247796,165.1362466,164.6626072,164.3502043,163.3344272,162.0126877,160.9719315,160.1278738,160.0506957,159.7056398,159.3231923,159.1050762
Albania,122.0448183,122.1069408,121.2414635,120.7357091,120.645556,121.5553094,122.969413,125.2942934,128.065485,130.681409,133.0278614,133.9070162,135.4134679,136.1628443,136.0010475,135.1938706,133.6816808,131.7434608,130.8392407,129.9642709,127.6401572,126.0998623,124.8792862,124.0232077,123.3678789,122.8389205,122.3428389
Algeria,82.53665442,82.97429921,81.3811213,80.48468989,79.84337011,79.8488534,77.03157832,74.84624384,72.60342513,71.42508274,70.47784527,68.94297177,68.4870723,68.52668884,68.9924934,69.85755583,69.21507652,68.62302168,68.13587488,67.81470245,67.38617284,67.32314436,67.33122154,67.28666469,67.14902852,67.36492066,67.53299998
"American Samoa",152.053466,152.238018,152.3177612,151.5059733,151.2645827,151.1320169,151.0546396,150.4399481,151.1644737,148.6280937,147.6257316,146.9127371,147.6319179,149.6599289,151.8557805,152.9977559,153.5700271,153.733906,152.076512,152.0924028,151.6312808,155.071308,155.2328724,155.2540915,155.2587236,155.0551841,153.9863796
Andorra,150.10971,150.094976,150.0103112,149.3598519,149.1094677,145.7860297,143.2360968,140.4730505,138.2916822,135.9460865,134.0921227,132.1396632,130.2428172,129.5990918,130.8809506,129.9768377,129.3395033,128.9477276,128.9029452,129.7148296,130.0161345,130.8045543,131.5759579,131.966441,132.665678,133.1480353,133.3783088
Angola,127.9293304,127.4332128,127.1539464,129.1280775,131.5155034,132.3442774,131.0562074,129.6023439,133.6187103,131.7764205,130.3879893,130.4172222,130.5749307,132.7258152,133.7362001,133.7119475,134.4050259,134.0769205,134.4088157,134.0608776,133.3358718,133.1645335,133.110619,133.2636148,133.3579409,133.5319294,133.5700711
"Antigua and Barbuda",148.9408072,147.6477736,146.6404657,144.8589925,144.6498451,143.3449637,144.0320439,141.9526386,140.6011468,141.6875984,145.0069919,141.2487077,140.3646231,138.7667814,138.0044883,135.3628834,134.5665839,131.705975,130.9427875,129.5833307,130.4272077,130.9255558,131.375778,129.5804128,131.5025795,130.5409278,130.3326611
Argentina,180.2858758,179.5466849,178.6780444,177.3800265,176.8347709,176.8919143,176.9498818,175.8523048,174.8954822,173.5961299,172.4228067,171.4142093,171.2749355,171.1581447,169.6370742,167.8776683,166.6798226,166.4694695,164.386002,162.7420209,160.7000138,158.9223703,157.8673288,156.8423672,155.2786296,154.5755165,154.1238868
Armenia,147.8153226,149.0566099,155.6240003,156.9688418,154.715028,152.7277638,153.9208693,151.223417,151.63871,151.2550005,148.0321299,149.3096098,148.3065923,151.4139393,154.8966543,161.8059443,167.9190638,167.5109813,173.1435413,173.3134789,171.329094,167.250922,162.3376063,154.9398037,150.9989622,151.8181477,147.9769502
Australia,170.1066736,169.0312389,168.8246484,168.1915312,168.1789843,166.3506734,164.7268773,162.0978075,159.0573643,156.215651,153.8572902,152.0033512,150.5861457,148.0913002,146.3816745,144.7784808,143.2709138,142.4250959,142.2039427,140.7676899,140.0437916,138.7920153,137.3796221,135.7908268,135.335937,135.6081334,136.0903547
Austria,179.5047848,178.0812672,177.1145978,175.9059765,173.7138103,171.7867652,170.0734438,168.0084573,165.3531788,162.6244103,159.6401692,156.8725249,155.2118938,153.4551336,150.7840789,148.5653255,146.3297029,144.3295258,143.0863588,142.4731417,140.6675278,140.0616908,139.4797548,137.8695437,135.8991237,134.6426601,133.7127279
Azerbaijan,128.6056622,128.4341807,133.8274817,132.8261027,134.0785354,127.8853986,125.376168,123.4214015,123.2622542,123.829039,123.2403,122.1413456,122.9557792,126.5702732,126.5106876,126.3434274,126.2544824,126.7881526,129.5427103,129.253933,129.1962252,123.8875551,122.582277,117.9972121,115.7897654,114.5477534,113.3159104
Bahamas,185.5953575,182.3504562,180.3640836,178.7557949,179.8276719,182.2064531,180.8995979,183.1761918,182.642522,178.5627525,177.324085,176.0082167,175.8940874,173.1364629,165.6937897,162.9820572,158.980532,157.9700192,158.1077478,157.4377447,159.1201477,161.4068338,164.3251409,165.8845332,164.7912633,164.1483656,165.3471031
Bahrain,152.4396386,154.3219573,153.5677394,150.7552552,148.3397622,147.7706526,146.252607,144.7124723,142.0873014,136.9951678,133.7749638,133.1011989,131.7149696,129.1094688,126.6031806,123.4218686,120.5307359,116.8248143,113.6072974,110.5719267,107.6751979,105.7876626,104.6669509,103.9448,104.2990624,104.0731517,103.7529984
Bangladesh,118.9550161,114.2172834,113.9217196,112.1535689,110.6760159,111.3576214,108.5306932,105.6354322,103.1722992,100.1686347,100.3721997,96.82856725,94.24111499,91.66992912,90.00734372,89.44911464,89.15918319,88.91314061,88.04249414,87.39966501,87.95457967,87.40360061,88.34862958,88.83270183,89.50360966,89.62604741,90.04755011
Barbados,177.94689,178.8618691,180.2652326,180.2263779,180.8897491,178.9160973,176.4826012,174.0084917,171.5072138,168.6456721,167.4898091,164.8231386,162.6127642,160.7868539,161.7397916,160.6882045,158.6870019,156.5306468,155.2767138,155.4036806,155.3376776,155.1048665,154.1472198,154.7416546,156.2022421,157.9479661,158.9990851
Belarus,159.7605063,164.7623373,170.3698062,177.7789396,179.691201,182.504691,180.4464648,179.4273713,178.0415115,177.0612064,172.4247382,172.8980244,173.2806107,169.3591696,168.7707173,167.7946203,163.6429351,158.4516218,156.8099132,156.1315677,156.1319632,154.7282938,145.7179562,141.7573109,137.0006606,135.0539151,133.8382728
Belgium,205.5733951,204.0857012,202.8219525,201.8773165,198.7337156,195.6097069,190.0270862,184.0407897,183.3257659,179.3232913,175.9404758,176.1698666,174.6364983,170.4540562,167.9281673,166.1056594,163.8981873,163.5781211,163.4997279,162.6976603,161.2253461,159.7050565,158.7399273,156.5446702,152.9549791,152.9039465,152.3139399
Belize,119.2028401,121.3663699,125.0941509,128.0878155,134.8440983,139.1505538,143.6537327,153.1711519,159.955052,161.7696321,161.9900358,166.4767956,166.7791962,165.4776546,164.1892926,161.7608733,159.5896216,157.6096252,156.2775295,153.9340022,151.3624406,151.1689984,152.8136693,154.2353662,154.8109459,154.4544582,154.2635233
Benin,122.3932023,122.7235135,122.9810881,122.6079166,123.9300638,125.4538987,127.2441871,126.4878946,126.6578971,126.264986,126.8804413,127.3094387,127.6162843,127.7183595,128.1027305,128.0683269,128.7121286,129.1697896,130.2679411,132.1506532,133.3679998,135.04047,135.9774297,136.6187947,136.974527,137.3225059,137.8570374
Bermuda,297.1598412,300.5364211,305.3916014,307.7716075,304.5832059,293.4912046,299.5675727,297.175076,296.7311418,295.6122085,298.2910078,282.5096055,276.3961038,265.645289,254.2637057,242.064199,235.8134861,227.5577577,222.8125331,218.80189,213.5490846,205.4574949,200.0562497,194.3747798,189.9757778,182.899398,181.7153649
Bhutan,96.81380921,96.11535136,95.4920576,94.78819515,94.21929002,93.30780191,90.76564636,90.85805653,89.66248117,86.56723101,86.25467999,84.83493045,83.59141736,83.12960999,82.44223874,82.46526865,81.50079057,81.08521442,80.38679443,80.27214049,80.02674589,79.73945773,79.63369759,79.63181676,79.43742502,79.11863639,78.59886711
Bolivia,191.9074837,190.5207526,189.6499444,188.5381812,185.8061339,183.2613525,179.1601057,176.6801647,172.7377701,169.2340228,165.0491992,161.6605796,160.4499409,157.9738509,156.7550133,156.2014474,154.8771822,154.9353182,154.5858823,154.2478723,153.6694076,153.1321951,152.6972771,152.1854958,152.1770858,151.8690278,151.5576898
"Bosnia and Herzegovina",163.527568,163.7030922,163.6233462,163.4120498,163.2758527,162.3425667,161.3371575,160.1509623,159.3861677,157.6230005,157.2656536,158.4362028,160.7878966,163.2702046,164.4389981,165.3036833,165.9726261,166.4001108,166.0358413,165.2079725,164.737519,164.7187531,164.2246299,164.2901143,165.4971075,163.638788,161.5231757
