Country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Albania,3.927033761,3.953659595,4.199375447,4.725562281,5.293400021,5.006355131,4.48829535,4.687387332,5.356663357,5.256825551
Algeria,3.811734057,3.295101521,3.426725763,4.014957362,3.6528768,3.049572908,3.138886042,3.626252842,3.796618119,3.732330406
Angola,,,,2.926406,2.511569669,2.4679,2.424242,2.387557071,,
Argentina,3.953736427,3.939119025,4.019475281,3.846545981,3.787834316,3.598528243,3.58000562,3.570115905,3.824988742,4.154673136
Armenia,4.016741278,3.950421243,3.637749253,3.49129185,3.923429576,4.368483679,4.622710333,4.6001691,4.715682175,4.902051928
Australia,5.504262535,5.520609027,5.485414507,5.355985254,5.284008615,5.2918174,5.072008824,4.886839552,5.349570125,5.549081042
Austria,6.143609401,6.034775242,6.053886587,6.027472728,5.908361822,5.869152706,5.79265951,5.777826605,5.88146077,5.917475206
Azerbaijan,4.583136011,4.593347067,4.5370676,4.19409138,4.524396858,4.729117463,4.717570511,4.556938871,4.556938871,4.688888963
Bahrain,4.896682428,4.972465712,5.245351208,5.251793519,5.276153618,4.963247897,4.570307846,4.763834095,5.033306899,5.067823929
Bangladesh,4.224427695,4.207801653,4.230820251,4.35817855,4.492654357,4.342754284,4.161807749,4.045910826,3.96836734,4.101000632
Barbados,4.308627547,4.435951254,4.449366741,4.213849922,4.486105692,4.643834587,4.468350922,4.272337008,4.175,4.077590051
Belgium,5.694949305,5.650463437,5.538516051,5.619932356,5.6760028,5.557607645,5.474034346,5.559486687,5.640383847,5.674379364
Belize,,,,,4.562829,,,,,
Benin,4.07775806,3.902092317,3.912381353,4.117169238,4.433220161,4.483087285,4.180430476,4.5305,4.880597115,4.658955312
Bhutan,,,,,,,3.995249,4.056773276,4.279905697,4.382923039
Bolivia,3.364218404,3.18208612,3.244906166,3.631885487,3.586382473,3.512886362,3.516517225,3.547743623,3.623327525,3.75831638
"Bosnia and Herzegovina",3.804332256,3.943008784,3.835376029,4.09687805,4.444273,4.52354285,4.5884,4.323,4.057692528,4.246052701
Botswana,3.744749097,3.561717594,3.753451099,3.966802381,3.988333565,4.238351215,3.943768048,3.543758961,3.641704533,3.880257166
Brazil,4.701153846,4.756780912,4.867640758,4.870045749,4.862062334,4.842372748,4.798966766,4.634440456,4.311117322,4.30205355
Brunei,,4.699981,4.72524502,4.798510161,4.798886537,4.904368037,5.354663467,5.1443,4.934,4.723684311
Bulgaria,4.416885105,4.442596205,4.259842582,4.310453995,4.452393447,4.59881508,4.830983179,5.016420273,4.715672393,4.58763179
"Burkina Faso",4.22954587,4.398200654,4.179680113,3.9340438,3.798167959,3.987335032,4.137986437,4.113868676,,
Burundi,3.448674323,4.501313187,4.227163474,3.443989415,3.232647661,3.596365888,3.668746911,3.257709671,3.257709671,3.891739676
"Cape Verde",,,,3.427011,3.544023834,3.595774166,3.573501787,3.560142611,3.666233865,3.84233979
Cambodia,4.484057111,4.418583022,4.543419878,4.54358996,4.659726216,4.918279602,4.634213147,4.437445099,4.487984388,4.518294176
Cameroon,3.977444389,4.133432585,4.107903095,4.322966518,4.348645195,4.114848169,4.067929207,4.18303873,4.282785171,4.309826567
Canada,5.627618503,5.568317603,5.452893372,5.518650842,5.642428263,5.482538279,5.299314983,5.41547661,5.547487169,5.515558486
Chad,3.014353836,3.171556491,3.448714897,3.357254904,3.190003378,3.08589656,2.635544113,2.836084164,3.229318977,3.025435976
Chile,4.928447694,4.959865951,4.914196737,4.868067052,4.886225936,4.609255261,4.445183913,4.336949191,4.413142951,4.500124421
China,4.388170204,4.581383389,4.528478363,4.515182148,4.536751378,4.473994697,4.494770571,4.54259407,4.576898319,4.647396436
Colombia,5.011969941,5.032549648,5.197831516,5.50478729,5.173808822,4.989558619,5.13164801,4.974769362,5.060662079,5.108161449
"Congo (Kinshasa)",,,,,,,,,,4.15625
"Costa Rica",5.028384217,5.045456676,4.929291642,5.06572005,5.220705574,5.068748225,5.026023085,5.071256671,5.020226431,4.969239328
"Ivory Coast",,3.701989,4.061220801,4.369093561,4.347721585,4.317992196,4.298397236,4.355423118,4.488999384,4.410090255
Croatia,4.41978022,4.455281531,4.299309847,4.219050554,4.24187005,4.191888688,4.455513071,4.645509199,4.719699312,4.584047497
Cyprus,5.017568723,5.0961449,5.213570357,5.253519639,4.644129256,4.54052363,5.012007544,5.109531952,4.773644966,4.681097375
"Czech Republic",4.846794861,4.824153164,4.898802103,4.776094687,4.851649042,4.724921788,4.601790075,4.651354471,4.881639705,4.989059935
Denmark,5.831998813,5.777197442,5.726738626,5.661283775,5.571955866,5.599621017,5.589457058,5.526186232,5.621839705,5.758895794
"Dominican Republic",4.23096417,4.453223187,4.42248485,4.326204103,4.37615513,4.380571214,4.470151614,4.445146934,4.388547064,4.273703698
Ecuador,3.35569488,3.416224384,3.499493399,3.657873141,3.768980669,3.771303,4.096347044,4.2637,4.431034565,4.348017072
Egypt,5.022213513,5.223854253,4.944291364,4.6684247,4.505362354,4.486732143,4.891825414,5.095458129,4.881644397,4.881644397
"El Salvador",4.643183948,4.731534763,5.070438752,5.144270337,5.063045121,5.099515342,4.906965656,4.902598656,4.878764685,4.824123156
Estonia,5.321783154,5.267454895,5.104506636,5.044172236,5.1526333,5.10401963,5.098220031,5.147359911,5.208738334,5.439921453
Ethiopia,3.790987882,3.810340278,4.138089218,4.217780926,4.236622131,3.935014487,3.403561152,3.665793214,3.729451588,3.661224088
Finland,5.734856459,5.38805179,5.244370981,5.320537399,5.463830685,5.377838265,5.2417826,5.217962112,5.328495882,5.447092259
France,5.39995756,5.258712589,5.172103876,5.10970005,4.966162995,4.692835912,4.814292774,4.994305296,5.065843872,5.25071776
Gabon,,,,,,4.234442,4.109047428,4.008281404,4,3.949776786
Gambia,4.364102244,4.685839005,4.933065217,4.953655752,4.913048031,5.145946474,5.027158438,4.741301052,4.651233029,4.69330811
Georgia,4.093788786,4.074996399,3.76299279,3.676948941,3.868978561,3.909054,3.817899969,3.752265368,3.953707782,4.144890533
Germany,5.772787746,5.582531523,5.598191275,5.566007087,5.352486285,5.438973788,5.344973203,5.342127522,5.327322128,5.446544176
Ghana,,3.869814,3.847911353,3.970754109,3.98160857,4.295608512,4.425008131,4.509115333,4.345664899,4.31850009
Greece,4.748956962,4.589752497,4.450264681,4.483876738,4.431921575,4.451847811,4.53574452,4.625421939,4.79704339,4.966897111
Guatemala,4.725655445,4.896230626,5.017545496,5.087007988,5.004917775,5.126222067,5.326882153,5.328175509,5.220298069,5.275273427
Guinea,,,,,,4.517632,4.005364279,3.37323133,3.37323133,
Guyana,3.851624839,4.128101359,4.319792991,4.418477067,4.452109035,4.52576808,4.361438584,3.933793308,3.850553142,
Haiti,,,,,3.346676,3.226821413,2.866085945,2.878876455,3.159218618,
Honduras,4.326024186,4.275917912,4.2603308,4.279919008,4.418862455,4.525585934,4.22757697,4.461146647,4.831794455,4.661062518
"Hong Kong",5.814822564,5.752851924,5.81769825,5.672432296,5.498820548,5.443044175,5.581841612,5.696393513,5.711951563,5.711951563
Hungary,4.259106757,3.891183903,4.037621565,4.282893417,4.356987003,4.279453165,4.327880296,4.366788062,4.295207863,4.595530165
Iceland,5.621141888,5.564489632,5.5941134,5.681234183,5.614321279,5.410723941,5.35641843,5.307464829,5.386846762,5.60068405
India,5.129331077,4.96613434,4.763932418,4.656946965,4.674329068,4.667734265,4.48642869,4.045373195,4.279596917,4.608922211
Indonesia,5.437963762,4.962879337,4.797358414,4.774355799,4.5176937,4.565533893,4.844260509,5.022472836,4.981542201,4.932809533
Iran,,,,3.895793,3.910123547,4.014301524,3.938792715,3.83891459,3.868575507,3.823868291
Ireland,5.436914601,5.380092591,5.312577069,5.391187452,5.480786447,5.530288405,5.379841778,5.282629062,5.4362348,5.54454741
Israel,5.240629117,4.806574342,4.781030343,4.999072297,5.134853154,4.748543319,4.204331473,4.10085775,4.458494445,4.893286679
Italy,4.845652692,4.753530192,4.679294569,4.815945431,4.808385737,4.759329735,4.868118967,4.970292683,4.95119179,4.947757832
Jamaica,4.265456907,4.171564432,4.052149045,3.851903723,3.91746211,3.857179088,3.877483029,3.840653552,3.839159958,3.916922501
Japan,6.103362626,6.201246185,6.305403153,6.370210095,6.399809836,6.366527758,6.263605029,6.260579248,6.291058171,6.231217771
Jordan,5.061517028,5.125403884,4.823544505,4.649795431,4.663407425,4.843444714,4.927975,4.875370198,4.75013321,4.871025274
Kazakhstan,4.731341317,4.554436867,4.471029912,4.136373569,3.893275,4.277451427,4.473642338,4.610428081,4.559708841,4.401914547
Kenya,5.027632389,5.125764595,4.999762066,4.903204192,4.726703027,4.647677159,4.946927381,5.107202022,4.731719237,4.835452145
"South Korea",5.943669469,5.591915412,5.512762411,5.352268634,5.3897423,5.5972262,5.504507714,5.454261348,5.329818463,5.329035115
Kuwait,5.128655368,5.028794258,4.726458944,4.84543044,4.805962825,4.648456905,4.455710186,4.434798308,4.36030622,4.287896665
Kyrgyzstan,4.155138317,4.057850041,3.744075044,3.4917948,3.750518385,4.0836888,4.249170033,4.426419048,4.334092896,4.256825887
Laos,,,,,,,4.52544,4.570040323,4.44313928,4.550911625
Latvia,4.883180706,4.694128071,4.464925382,4.483205098,4.449315462,4.624591145,5.053604959,5.034873284,5.015418869,4.915410874
Lebanon,,,,4.969583,4.955938641,4.93743286,4.618347094,4.352438731,4.84243162,5.010816688
Lesotho,3.463996238,3.580356522,3.9007923,4.349002536,3.949852992,3.763530301,3.606376632,3.499980324,3.742676496,3.475531032
Liberia,,,,,,4.546387,4.374276581,4.1049,3.83544302,4.107796928
Libya,3.756097561,3.69874393,3.754464459,3.594796478,3.7203,3.845723,3.6899806,3.356105412,,
Lithuania,5.221625033,5.362349529,5.250601081,5.13140997,5.150210463,5.18859517,5.304953532,5.154346984,5.13892574,5.226405821
Luxembourg,5.453412469,5.106592882,5.338984317,5.511945091,5.344415518,5.183432738,5.169311618,5.406797546,5.687581257,5.650227938
"Macedonia (F.Y.R.O.M.)",3.99727954,4.135290246,4.249620049,4.480124938,4.608587684,4.423691954,4.521577551,4.716365086,4.933535731,4.836417151
Madagascar,4.143780599,4.704103523,4.593543751,4.350118139,4.227311882,4.397807208,4.581451654,4.462232388,4.436195478,4.525850019
Malawi,,4.441658,4.515509361,4.759081534,4.87738542,4.532750848,4.150392948,4.049024882,4.024837568,4.029550829
Malaysia,5.479557915,5.343869441,5.244595343,5.339236115,5.47722075,5.435035848,5.355825951,5.496191961,5.621360367,5.564000177
Mali,4.096026351,4.094314544,4.133219406,3.997826567,3.795205077,4.066418232,4.272533108,4.18460613,4.039260424,4.114268969
Malta,4.513173923,4.474723124,4.399045354,4.4967176,4.611931578,4.536861345,4.68359761,4.398344231,4.072871322,4.502643801
Mauritania,4.096452145,4.170209731,4.249969069,3.792335892,3.403637545,3.690850782,3.064736235,2.844012269,3.57517429,3.127850595
Mauritius,4.888131313,4.921372045,4.978168063,5.084254234,5.000611373,4.958190168,4.883469904,4.840509952,4.932248925,5.148088103
Mexico,4.728073644,4.768496573,4.637164383,4.597969328,4.814439107,4.869062412,4.811412564,4.710172328,4.794773985,4.887304944
Moldova,,,,3.797775,3.794959238,3.816356,3.896790906,4.124799162,4.133357631,4.071400152
Mongolia,3.767483351,3.548775316,3.488019141,3.770230987,3.859078691,3.937624576,3.92118687,4.190356583,4.325308609,4.048061994
Montenegro,3.791666667,4.183291514,4.369526163,4.34946959,4.492057161,4.542888658,4.509970722,4.430195692,4.249079805,4.198631856
Morocco,4.640240899,4.985184611,4.917477215,4.799228839,4.707089,4.625876055,4.22954943,4.387327263,4.502440751,4.575596836
Mozambique,3.10863795,3.287189153,3.715974708,3.976396368,3.94402324,3.798863241,3.716644972,3.745953119,3.737538866,3.640172511
"Burma (Myanmar)",,,,,,,4.440798,4.275723803,4.092739319,
Namibia,3.574056351,3.78548782,3.905836835,3.893272363,3.840667964,3.741447065,3.559725893,3.453657035,3.593768773,3.680969787
Nepal,4.143881446,3.872818227,3.995829055,4.294974261,4.178043985,4.126494615,3.95530815,3.762782405,4.007256976,4.030060394
Netherlands,5.550463699,5.593078404,5.40582281,5.239826668,5.313316156,5.331978772,5.203150548,5.297706468,5.447310701,5.573017357
"New Zealand",5.548373968,5.319960944,5.486899339,5.6235789,5.626068411,5.650580613,5.647485765,5.719604326,5.768333219,5.714310169
Nicaragua,3.665105386,3.809777848,3.815155825,3.6976759,3.777819144,3.828135503,3.748400511,3.546706834,3.648513341,3.648513341
Nigeria,4.670343016,4.695646037,4.643652729,4.343328198,4.49398417,4.485390682,4.167236208,3.943433358,3.772740363,3.888701923
Norway,5.529096251,5.5093969,5.51756083,5.436804129,5.165891575,5.169457897,5.333192197,5.361173601,5.434747574,5.594170274
Oman,4.936305732,4.994155851,4.951220771,5.22709655,5.35102807,5.242768609,5.30572,4.869996668,4.306809112,4.415883614
Pakistan,4.123575451,3.946536733,4.243073942,4.242811961,4.23415823,4.378394487,4.197601942,4.161024516,4.069327663,4.040737144
Panama,4.449896821,4.369376659,4.28086882,4.369233111,4.48594769,4.679335186,4.552986706,4.237404606,4.299253172,4.51338398
Paraguay,3.965406291,4.289551945,4.295134746,4.248756878,4.282850566,4.486713586,4.333818174,4.130595455,4.302325615,4.366027804
