Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,33.59592832,32.34535794,28.06354826,24.90059607,24.1965425,23.27586352,22.61425567,22.12695541,21.75130507,22.07586641,22.37779812,22.70677967,21.87702783,21.17917081,21.03604921,20.37016723,20.11518085,19.86396448,19.29247027,18.85376131,18.35358833,18.08917663,17.91002411,17.78841382,17.82317871,18.04356286,18.32951959,18.19663428
Albania,2.237359627,2.431813236,2.478192472,2.49940539,2.495068176,2.635110836,2.896026119,3.111488672,3.077563652,3.270924111,3.686565231,3.857273846,4.121371184,4.329832323,4.404268255,4.275643826,4.081875358,3.728187438,3.624846809,3.54091534,3.603740523,3.80972143,3.990425874,4.189182326,4.425194304,4.597386475,4.7436357,4.880464385
Algeria,7.394335753,7.343029625,7.301988172,7.280090803,7.215168618,7.22276531,7.273367766,7.307791174,7.30077258,7.521573362,7.756871901,8.082829878,8.396675211,8.781532288,9.079484037,9.369405962,9.683958565,9.979225137,10.26812916,10.59187552,10.98841688,11.31734469,11.57718946,11.87649544,12.18834286,12.47481424,12.68905785,12.85481943
"American Samoa",30.87765956,32.02679795,33.19655786,34.2199839,35.4537366,36.64012948,37.8594413,39.33864907,40.00677627,39.97413626,43.2290692,44.93271885,47.09161416,49.79071837,51.96946592,53.38801583,53.37762736,54.48916409,54.73912609,54.81923417,54.2955205,55.00369407,54.89506996,53.72419207,53.88469403,55.83275224,58.12131385,59.76076987
Andorra,4.893568457,4.851941575,4.983168,5.107255461,5.405764583,5.549738161,5.623625468,5.673113874,5.725946683,5.807940984,5.940298116,5.99546423,6.069533294,5.849116796,5.703876975,5.621335984,5.561549829,5.63670354,5.756400229,5.990713619,6.108578384,6.135641164,6.226410313,6.35222087,6.416616498,6.4605719,6.528905536,6.590265794
Angola,15.52471862,15.40757463,15.30250819,15.36677292,15.35227953,15.10911654,14.60092281,14.3505872,14.78500628,14.42502383,14.26937473,13.91600568,13.61352753,13.54786397,13.60123338,13.16921391,13.0584327,12.77033743,12.67804113,12.62039033,12.60875816,12.61613616,12.66595068,12.63232501,12.344086,12.43326875,12.55450427,12.61651428
"Antigua and Barbuda",44.86679723,46.0180305,46.72186005,47.77839765,48.53599831,48.95465548,49.35197771,49.06672262,48.44015922,48.09621399,47.97635088,47.85287236,47.44594252,47.35842044,47.43647093,47.24507825,47.03986586,46.25440815,46.31039878,46.41842046,47.13709895,47.36590851,47.27093408,47.74491099,47.99910793,48.44729325,49.93951492,51.12843611
Argentina,16.98616571,17.3010535,18.1250586,18.56421811,18.87280795,19.49283723,20.14900254,21.20398172,22.49755599,23.84045651,23.45001184,23.80767988,24.12233756,24.49312447,23.60887567,22.79771192,22.28033576,22.59899214,21.18433723,20.94260223,20.67131726,20.60654515,20.49698863,20.48750683,20.27749509,20.57344292,21.04218998,21.11130123
Armenia,14.1316669,16.32815545,18.94192056,21.03068205,22.78308826,25.48087945,28.68977458,31.16971222,33.22969484,34.66692678,36.28290308,38.45152842,41.1572707,43.13148568,42.22074914,42.62630825,42.52680434,43.14441958,43.79237685,43.76102851,43.22330116,42.24489899,40.85239913,39.19880333,37.707331,37.63458609,36.70203842,37.72490225
Australia,12.16167637,12.45099622,13.02921352,13.32531086,14.06060196,14.1807709,14.67500116,14.67315422,14.57128455,14.49797612,14.68977678,14.86337999,15.41089551,15.65493625,15.87964208,15.91517835,16.2434376,16.88938102,17.1818768,17.06262657,16.65629092,16.46414396,15.69754215,14.87737429,14.78341501,14.93332143,15.22417376,15.68330562
Austria,19.28135629,19.52983102,19.17295483,18.98972519,18.49536214,18.56425992,18.36693857,17.57832134,17.2027396,17.50762717,18.04471526,18.99031192,20.8968528,24.19548601,26.44036926,27.95625733,27.59004184,27.2021098,26.54326935,26.35683809,25.23543131,24.61230442,24.03300726,23.57043627,23.53327432,23.82493646,23.4994625,23.41858018
Azerbaijan,7.537291701,8.647546481,10.07203094,11.23467228,12.42723838,12.79789219,13.45654688,13.92528054,14.48278074,14.83200423,15.07019793,15.69789729,16.32618042,16.8025609,16.74148031,16.64765742,16.24546257,15.42445318,15.54774976,15.54128935,15.60815804,15.69592958,15.79317046,15.73771473,15.90673785,16.23718064,16.70080041,17.13052012
Bahamas,25.95636885,26.69800461,27.59769462,28.38933287,30.09514206,30.80171903,32.5524163,30.22701534,30.02532061,30.4715048,30.037174,29.2918061,26.79151963,27.83719888,28.0093358,27.95597017,28.86946623,28.1407045,28.43369051,29.7068755,29.50902918,29.93501737,29.96889338,30.56463487,31.45765308,32.46486258,33.23748065,33.97660958
Bahrain,16.73002492,18.0268845,19.46718992,20.73837001,22.04444918,23.3288917,24.26355302,25.17510473,25.78050984,25.68168343,25.35400318,25.53205306,26.23073484,27.24897105,27.67188109,27.23116164,26.51027791,26.02166419,25.22050309,24.52904122,25.25229643,26.4928175,28.42125076,30.50651548,32.2803689,33.15511572,34.38217534,35.96477949
Bangladesh,7.714970706,7.611679737,8.053342361,8.577520386,8.89609796,9.973677002,10.67697874,11.44729303,12.33944903,12.78137133,13.4569256,14.00447844,14.49665501,15.36111182,15.71957702,15.82080177,15.76443096,16.2049449,16.96120523,17.09059203,17.5727604,17.12330521,17.26751515,18.04049516,19.60337865,20.46489908,21.06357834,22.01777607
Barbados,78.52853,80.53724548,81.93068682,84.45325518,87.57526166,87.70136275,86.09216581,87.89418686,87.08507928,85.37848455,85.10301069,80.28420943,82.65553534,83.4098346,83.74729233,83.73996337,80.77198341,79.00389244,77.36846267,73.52208326,72.20411336,73.15883368,72.03451204,73.30037607,76.63521226,78.52775054,80.06818294,81.84110221
Belarus,6.08524549,6.672408836,7.273335728,8.014338151,8.073901912,8.316696957,8.049178762,8.034093771,7.905031784,7.817227292,7.042246891,7.008047972,7.08503532,6.339292041,5.939022014,5.660594703,5.130877074,4.632314991,4.371522962,4.275511359,4.159534283,4.149384357,3.734386279,3.612635699,3.55580727,3.559929831,3.664629191,3.766933868
Belgium,16.85865493,16.32196915,16.53719608,16.71805449,16.69188834,16.78444922,16.72107635,16.94614643,17.04958646,17.4861546,16.22385084,15.71935948,15.68835466,15.52526361,14.98286939,14.79577827,14.31276895,14.50580995,14.6436494,14.4738227,13.92680512,13.76833154,13.63241888,13.2634792,12.61337386,12.71201959,12.60232168,12.68967159
Belize,19.13608098,18.86729689,18.97591478,19.05481707,19.96550371,21.67533247,23.02470675,25.05907518,26.78574505,28.6313363,29.14788047,28.95662339,29.56559836,30.02551156,30.49871252,30.73205775,31.08974983,30.09734787,29.59496506,29.95031944,30.38267904,30.14569094,29.77886977,29.9142157,30.09178259,30.47294083,31.19523062,31.78746248
Benin,9.359942581,9.424821345,9.491059777,9.540630018,9.742343949,9.945986756,10.21589391,10.35878635,10.53058373,10.66532365,10.80564114,10.91130659,10.9880846,10.98581063,10.95961576,10.87005606,10.79057443,10.69982369,10.62626796,10.61950508,10.61291491,10.6891359,10.75388263,10.74327665,10.68369108,10.58321357,10.54673289,10.49726681
Bermuda,27.35047684,27.21153504,27.55916998,28.14617977,27.84468563,27.04474667,27.95930744,27.71442894,27.54937227,27.16819436,27.68228636,27.07032484,27.69446655,28.00678148,28.04248894,27.56277346,27.22249209,26.93237075,27.08929858,27.19044276,27.38920863,27.31294851,27.6173712,27.86918659,28.17837478,28.76749376,30.00142138,30.78161958
Bhutan,7.242690522,7.621881189,8.143919854,8.373155439,8.563288226,8.639264419,8.617934377,8.755528622,8.822191577,8.841237607,9.055881477,9.228375144,9.395992949,9.661216768,9.904735122,10.19770522,10.40501115,10.60129468,10.73144766,10.87106567,10.96629039,11.05901715,11.21201224,11.45201431,11.73049216,12.05808101,12.45403212,12.60356112
Bolivia,17.44310339,17.73521442,17.90748165,18.24800579,18.35209569,18.56732046,18.82037543,19.24582542,19.40324181,19.65766387,19.71308638,19.724928,20.07280706,20.20338416,20.47228827,20.86060842,21.06157912,21.56031534,21.87990681,22.1615115,22.44505969,22.88085476,23.24934857,23.62371993,24.00720078,24.39622171,24.86747875,25.14719974
"Bosnia and Herzegovina",12.07462575,13.62618227,14.9211823,16.18354966,16.92251999,17.81305421,18.40501673,17.87122187,17.01501789,18.10166604,20.22336929,23.27871131,26.77953773,29.81075155,33.29868176,38.4563462,42.54943256,47.26692933,48.32149529,52.04105542,54.9317108,57.20154977,58.91615222,61.64301029,64.5529329,66.75651294,67.21529193,67.45924684
Botswana,18.50905346,18.60681706,18.61395913,18.44647979,18.18325639,17.87964992,17.368573,17.17702471,17.27271984,17.71870249,18.57617325,19.53666551,20.75975106,21.96237429,22.84871513,23.32271998,23.69012447,23.95456538,25.81414841,27.22537788,27.85800314,28.60407132,28.68140444,29.01478893,29.43810641,29.51539169,29.26332888,29.28936269
Brazil,15.70683165,15.8357547,16.38321007,17.1634914,17.50390559,17.72812099,17.7770209,17.76705659,18.04481172,18.55977854,18.95278885,19.25917688,19.66574297,20.11526729,20.48934617,20.53184469,20.97033643,21.44541497,21.9392092,22.45666758,22.99732494,23.59507953,23.79234475,24.07870583,24.28437197,24.78357879,25.72180651,26.66202084
Brunei,32.9266817,32.16973797,31.23684311,30.26845183,29.4356444,28.46955336,27.50481839,27.20097489,27.66707825,28.16257048,28.80766733,29.27492337,29.76007784,30.35804509,30.90994398,31.5438843,31.91831591,32.40656137,32.51601337,33.0682342,33.76097552,34.81983547,35.85234845,36.55901697,36.96707731,37.61457487,38.01796789,38.83406017
Bulgaria,18.36617681,18.80591777,20.03965799,20.62631954,22.31619143,23.922087,24.85054391,26.67917036,25.80027403,25.25316387,25.80771742,25.32308576,25.27080315,25.14165546,25.21588348,25.71755307,26.35596368,25.83701941,25.16438329,24.29352514,23.5929205,22.95736487,22.14357014,21.1712206,21.98190103,21.99744632,22.26621413,22.45584106
"Burkina Faso",12.78849487,12.64004486,12.6588146,12.72231276,12.82299311,12.96185057,12.99147224,13.16933691,13.38228524,13.31767236,13.33919919,13.23514874,13.18922658,13.24080212,13.27399726,13.19772998,13.12974975,13.05379611,12.91649044,12.81173582,12.97693399,13.01695522,13.21624251,13.31839485,13.37203631,13.38358002,13.41083007,13.33754035
"Burma (Myanmar)",41.48340389,41.89579719,42.1890055,42.43858246,42.67924529,42.9120293,43.11467527,43.28051332,43.40372711,43.67437789,43.81178955,44.32685908,44.71314781,45.18616839,45.561103,45.40222193,45.86454064,45.94149429,46.13847233,46.35887077,46.39579655,46.70900068,47.16588875,48.05784614,48.91111425,50.00285074,51.13712994,51.55191968
Burundi,20.16068656,19.7595908,20.36779399,20.27720873,19.21151976,19.63596128,20.08087712,19.71043326,18.96310053,18.23432015,17.58377399,16.6498964,16.01018987,15.45923476,15.03883592,14.64687922,14.10104164,13.63343998,13.1239577,12.6659943,12.69187363,12.74214932,12.63810097,12.49320253,12.52099991,12.6562045,12.63903942,12.64196753
Cambodia,10.93892269,10.86442536,10.82619813,10.89006791,11.00161247,11.12790511,11.22051887,11.30512332,11.41183352,11.56634911,11.81369539,12.08874409,12.3561603,12.61971855,12.88480311,13.10879013,13.31760783,13.54852533,13.77358218,14.04679437,14.36264087,14.6918285,15.01158954,15.39710291,15.82990683,16.28600388,16.76632259,17.09502035
Cameroon,10.70081355,10.85001617,11.09029213,11.38250078,11.65622466,11.97893448,12.39171704,12.88656666,13.31809068,13.68379342,14.06308616,14.26254462,14.41375143,14.5315398,14.63848135,14.75564981,14.67001491,14.52450885,14.36208943,14.2449706,14.14633842,13.97454584,13.75463637,13.54152478,13.33991697,13.17962199,13.09476922,12.95590985
Canada,14.32524288,14.85798151,15.49965013,16.44850031,17.15341134,17.96789973,18.58182845,19.15422217,19.81539902,20.65198317,21.34436249,22.06093319,22.9522477,23.32133333,23.03236226,22.87966148,21.95877929,21.62336652,21.08807496,19.99427361,18.94517269,17.87814768,17.54541028,16.938988,17.86886004,18.55834867,18.89852142,19.34079871
