Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,11963.24142,11999.16358,12248.79439,12499.99489,12625.50244,12722.91027,12857.07899,13020.98593,13172.71534,13258.44959,13190.07737,12906.53212,12479.22581,12001.19146,11569.4005,11264.47931,11035.22363,10785.4997,10545.54533,10337.33876,10176.92181,10060.90607,9972.948662,9916.398848,9891.584568,9891.347703,9919.223892,9976.062305
Albania,16206.96509,16290.53885,16356.87286,16405.33438,16434.919,16446.27002,16427.52102,16367.25509,16300.2542,16135.00931,15904.93788,15641.48476,15262.53207,14850.36443,14476.12771,14207.27135,13996.04002,13767.47958,13548.43715,13367.27273,13252.38888,13175.71229,13087.12354,13005.96215,12925.74708,12840.46162,12772.47475,12723.24381
Algeria,20750.92503,20542.5045,20302.04738,20033.58718,19740.85851,19429.53014,19082.409,18672.66266,18211.62162,17718.37207,17223.5343,16604.72314,15815.24993,14976.17665,14195.11003,13571.36776,13025.52813,12452.14387,11901.56613,11423.6527,11067.12203,10779.47487,10480.70709,10177.63701,9876.427673,9585.355845,9313.400563,9066.03831
"American Samoa",18079.07866,17845.16248,17604.85127,17367.62875,17144.34452,16949.11326,16722.12157,16428.66666,16116.16279,15825.56269,15590.84513,15387.77092,15168.57683,14955.72372,14769.11466,14624.95535,14499.33792,14350.98753,14196.5789,14059.9734,13979.49304,13944.64372,13928.70455,13929.47513,13944.68448,13975.30225,14018.34639,14073.99999
Andorra,5328.311362,5470.291633,5522.06313,5478.287325,5461.391698,5448.447696,5470.753933,5500.215686,5504.181402,5457.183135,5348.852768,5225.801929,5102.458769,5104.797956,5080.719239,5022.06091,4967.25344,4888.420087,4792.142416,4676.776469,4583.271398,4573.970722,4527.7852,4473.182051,4451.153033,4451.739576,4442.923811,4468.336743
Angola,22979.85784,22990.04307,23031.57002,23106.32001,23212.4398,23352.41954,23580.88042,23909.82611,24292.68465,24687.23439,25061.9069,25538.57569,26194.33776,26903.93075,27541.47369,27967.79712,28240.74199,28467.39699,28634.47726,28735.40285,28772.35906,28830.45825,28976.0831,29174.09983,29383.67566,29570.517,29706.69543,29777.50319
"Antigua and Barbuda",39182.04975,38923.64427,38632.74311,38334.05996,38048.87754,37795.97864,37453.29796,36952.9998,36397.27442,35881.44707,35493.57643,35187.18448,34877.22428,34590.08712,34354.68412,34199.7033,34107.28898,34029.27255,33956.33367,33881.90652,33804.35961,33718.76895,33610.47619,33479.11317,33326.31311,33153.33328,32962.44137,32752.61839
Argentina,15392.87767,15520.77459,15607.97387,15659.94443,15673.3995,15647.24379,15563.76588,15416.47344,15232.55405,15033.61936,14853.54052,14660.96834,14410.88051,14146.5622,13913.88955,13758.36989,13672.2004,13594.07998,13516.16565,13432.33419,13339.23252,13240.45223,13123.15761,12991.6628,12847.86487,12689.07768,12517.8594,12342.46668
Armenia,18087.28295,17924.84366,17810.22501,17733.23743,17697.73619,17680.83687,17733.0139,17855.93249,17999.38529,18123.63062,18165.47718,18165.75773,18199.47085,18245.00707,18272.53604,18259.52774,18178.92414,18043.22378,17890.52381,17750.82789,17650.49519,17566.58504,17449.87233,17303.97375,17134.97297,16935.44644,16714.57459,16479.22
Australia,5628.160157,5522.810791,5405.319886,5282.135354,5156.094974,5033.970715,4873.015178,4646.106505,4399.672628,4169.576793,3993.555038,3834.238973,3650.026692,3469.088027,3322.558612,3238.425904,3214.091399,3208.640195,3210.398601,3205.878939,3185.361745,3146.454006,3103.137835,3057.388367,3012.390775,2964.759146,2915.013818,2862.092652
Austria,7075.444612,6781.291053,6474.888011,6195.825328,5959.60327,5796.573526,5666.309789,5492.613935,5318.525322,5163.882719,5047.840001,4975.494673,4924.790802,4884.066773,4845.295893,4805.221727,4767.092182,4720.307092,4674.945165,4625.926113,4569.426719,4510.8097,4452.697116,4390.828188,4322.009876,4245.412333,4168.057826,4090.194694
Azerbaijan,18814.11092,18970.26022,19120.5111,19218.17128,19302.14745,19347.8887,19345.14972,19286.34378,19219.89122,19165.94011,19164.35499,19232.52552,19370.10062,19507.93853,19605.58302,19597.95133,19369.38139,18916.47133,18379.65946,17889.88836,17570.32401,17361.13456,17126.88023,16880.17468,16633.62121,16398.96882,16186.50824,16009.58127
Bahamas,13166.94675,13711.63049,14131.07923,14420.96767,14588.53849,14640.92722,14550.83656,14329.12014,14026.39024,13698.43868,13401.33708,13060.80653,12605.98045,12109.77053,11651.78918,11311.16522,11025.38961,10716.97388,10418.55064,10171.84173,10012.14657,9911.90115,9825.646941,9758.520023,9702.477178,9669.320358,9673.646227,9708.360627
Bahrain,14434.70933,14426.62825,14451.88852,14495.41821,14552.42109,14619.09981,14643.24049,14595.66183,14479.16646,14309.29331,14096.79866,13793.49243,13428.86775,13006.56553,12539.83134,12134.51079,11751.13504,11316.99934,10872.76692,10479.44755,10207.77153,10040.589,9908.192881,9789.075345,9708.127762,9671.218604,9670.76951,9636.043606
Bangladesh,28541.99322,28276.77166,27969.0792,27631.99408,27278.07007,26925.00409,26568.69468,26190.47629,25790.06365,25360.19424,24891.50997,24268.55701,23478.34131,22680.97641,22028.68765,21664.35651,21553.52358,21529.50595,21544.82839,21555.30502,21524.88544,21436.72056,21292.29797,21100.54893,20868.45057,20599.9776,20300.98434,19978.42819
Barbados,14501.95735,14496.61768,14466.45576,14423.33491,14376.83524,14332.03467,14269.67054,14172.93426,14034.63497,13855.88076,13643.91124,13299.43444,12792.75433,12240.49889,11759.79542,11466.19499,11338.82324,11257.9749,11208.40512,11174.54026,11139.02274,11106.04879,11089.27477,11091.59953,11116.07814,11165.84508,11229.78841,11310.58521
Belarus,14939.41937,14789.72188,14640.77556,14505.84224,14381.17231,14295.82028,14224.86073,14165.60018,14095.00558,14015.35503,13916.87039,13749.47294,13517.678,13258.64159,13021.25324,12838.13309,12636.87212,12349.15898,12032.01872,11742.60439,11548.14742,11416.65286,11292.09204,11182.51417,11088.45286,11009.74719,10952.51042,10917.17061
Belgium,7263.642338,7193.320545,7108.82317,7029.047005,6953.931034,6883.468052,6808.150518,6718.585774,6619.830846,6523.480214,6439.359834,6345.712178,6227.94658,6098.312332,5971.768667,5868.442538,5765.497602,5631.794349,5491.507374,5358.710509,5255.144211,5174.45059,5095.06181,5016.443221,4937.172817,4856.988299,4780.805365,4705.973346
Belize,25485.59329,25040.3205,24604.56973,24192.89596,23820.39161,23503.56929,23205.51021,22890.43271,22577.45511,22283.72065,22023.96755,21731.82234,21366.03757,20987.6224,20659.99491,20446.36625,20356.94419,20323.82079,20299.84798,20243.24977,20117.47691,19918.66889,19666.95407,19367.453,19023.03603,18634.13802,18200.61884,17720.87961
Benin,30565.04256,30032.59929,29560.27047,29176.00663,28907.23802,28777.71133,28718.50635,28651.85116,28579.78627,28510.92301,28455.69952,28494.21067,28636.28696,28785.47282,28854.27399,28753.39771,28400.76931,27863.97262,27264.38409,26728.05527,26373.57569,26151.00129,25945.93731,25765.21821,25607.86236,25478.99113,25390.28935,25344.12636
Bermuda,12289.93966,12510.73383,12707.37314,12877.20706,13014.9601,13112.97849,13197.0793,13273.20279,13324.81607,13334.20089,13282.5751,13017.62074,12506.16463,11895.0361,11329.8499,10955.09467,10726.85325,10492.47399,10280.39489,10119.31621,10037.95854,10034.95768,10069.60529,10139.39317,10243.43446,10381.89975,10545.33544,10736.92666
