Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,84.91,82.98,77.12,83.49,83.86,79.17,85.25,84.1,84.84,72.82,72.7,75.75,77.38,76.99,77.79,79.73,71.13,74.66,74.1,70.67,70.97,70.58,71.42,69.49,67.07,64.87,76.41,70.43,67.9,66.22,59.66,54.72,56.83,54.84,52.96,54.25,56.82,57.78,56.12,52.57,49.67,53.35,54.54,55.24,53.51,53.46,56,56.96,57.79,58.14,58.91,58.91,58.25
Albania,66.11,66.12,64.58,65.59,66.63,64.92,66.39,67.72,68.97,69.46,69.16,70.68,71.02,72.73,71.49,77.71,81.38,79.4,75.79,75.89,79.11,79.05,82.78,80.89,76.32,79.89,73.83,77.26,77.02,77.62,78.73,85.19,88.74,94.08,89.77,94.47,89.03,88.42,92.76,90.39,92.83,97.92,95.79,95.27,98.24,97.63,97.28,101.95,101.91,106.7,108.59,111.31,111.42
Algeria,45.01,43.54,40.26,40.11,42.1,41.61,43.13,45.04,44.87,44.03,44.67,48.71,49.59,52.21,54.88,55.88,57.32,61.14,62.16,65.68,64.96,65.62,67.28,66.13,69.6,71.27,71.79,72.58,74.39,73.67,73.84,76.48,78.04,76.24,75.7,75.26,72.98,78.69,79.07,75.87,77.35,79.91,82.16,83.44,84.11,83.73,83.21,83.45,86.53,85.94,90.09,90.18,91.96
Angola,36.61,37.47,37.65,40.16,38.93,38.98,41.13,39.33,40.49,41.37,41.37,39.19,38.19,39.43,41.03,41.7,45.01,45.78,45.31,46.11,45.74,44.47,43.69,43.04,45.41,40.98,40.74,39.8,38.25,38.46,33.85,33.94,33.38,35.64,35.13,37.02,38.58,37.22,37.7,39.47,40.25,42.98,43.28,42.96,44.62,45.88,47.9,51.32,51.49,53.54,56.04,55.59,57.26
"Antigua and Barbuda",58.69,57.68,55.32,57.46,57.62,56.54,47.4,46.41,52.9,55.88,54.78,54.66,51.15,50.49,52.2,50.71,52.27,51.41,53.6,61.95,62.63,62.41,65.52,74.31,77.96,79.23,81.51,83.2,85.71,82.43,78.96,85.77,78.14,77.14,74.65,74.78,74.6,72.5,72.2,70.88,69.09,69.11,70.19,69.84,83.4,81.77,83.69,85.29,83.44,81.53,84.8,79.05,83.71
Argentina,105.72,103.74,104.42,95.52,100.01,100.42,101.79,105.87,108.19,105.86,96.91,92.13,94.05,101.44,105.49,104.79,104.68,106.74,106.41,106.47,106.2,97.49,94.91,98.04,103.46,96.8,100.7,97.08,95.53,91.82,95.09,97.92,100.95,100.93,99.7,100.3,100.98,102.53,105.47,104.79,101.28,90.42,92.55,91.76,96.09,98.26,98.83,99.35,98.37,99.31,100.62,101.97,102.64
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.58,58.53,61.59,61.64,63.29,64.89,66.31,66.5,65.33,65.25,66.3,70.15,75.06,77.37,80.89,82.22,87.6,84.58,83.49,86,87.75,90.04
Australia,104.89,107.88,109.08,110.26,107.81,111.08,105.62,106.66,106.19,105.67,108.86,110.05,105.88,100.64,112,112.72,110.33,110.81,105.23,103.08,103.59,106.8,103.92,106.72,107.38,106.52,108.36,108.16,107.81,110,106.39,104.26,103.01,105.46,107.76,105.69,103.99,101.34,101.28,101.3,100.78,104.81,109.64,101.5,104.91,104.6,108.33,106.45,103.33,103.79,105.88,104.51,106.28
Austria,88.77,89.72,90.36,91.18,89.69,89.06,88.97,89.79,89.23,89.37,90.05,90.65,91.07,89.4,90.55,92.45,91.17,93.14,94.76,94.95,96.98,95.82,95.85,95.98,96.06,97.74,98.73,97.91,100.62,102.46,103.15,103.95,102.52,104.88,100.54,103.21,100.08,103.98,105.49,106.03,106.89,106.05,102.09,100.49,102.69,101.46,103.67,101.78,102.36,101.75,103.27,103.44,106.21
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.39,67.43,62.92,62.14,62.6,60.18,63.33,64.98,67.17,68.95,70.88,73.1,75.24,81.91,86.7,87.76,89.07,89.37,88.97,91.67,91.57,93.15
