Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,104103.0693,101240.744,90918.47036,88234.35968,92997.69411,91435.56006,89343.79354,89603.68903,92889.31104,88708.26447,88007.27077,87059.06778,81936.16307,79011.74939,78126.90177,75879.6138,75742.31917,74522.0457,71463.85366,69850.85633,67908.00819,65925.15715,64673.31627,62943.33993,62991.4233,63274.70776,62958.58709,56925.14842
Albania,31497.48946,31908.4126,31463.11258,30880.69094,30135.13401,29787.54885,29877.56615,33372.23278,28834.0673,29065.91093,29406.93154,28215.23004,27844.00412,27543.5375,27187.87038,26644.82842,26156.27478,25418.64145,25247.43335,24604.58285,24260.88184,24029.90727,23802.24995,23583.9887,23497.47708,23329.70849,23155.75266,23013.69149
Algeria,35991.60551,35134.17589,34538.39458,34046.36278,33996.2432,33671.86305,32826.86836,33136.53916,32528.41163,31783.90533,31611.74552,31018.88873,30440.1478,30212.42939,29328.88591,28867.14662,28473.31865,28163.62509,27726.30882,27332.21847,26834.74926,26439.72237,25945.05057,25709.58669,25551.36718,25247.56276,24808.55096,24307.37757
"American Samoa",33761.56172,33689.59079,33598.34869,33464.84844,33438.43175,33399.93973,33352.6022,33311.36471,33260.35945,33147.87437,33031.21888,33058.53305,33134.91248,33835.76343,33254.12151,33250.71725,33185.44113,33048.71544,32802.42285,36057.70301,32534.39174,32453.18234,32373.37014,32546.08551,32221.21793,32260.62964,32178.36062,32093.01739
Andorra,21786.74198,21625.96094,21582.9081,21328.17392,21184.34046,20877.80715,20604.93687,20265.50789,20000.70657,19697.94195,19507.12636,19304.53267,19086.60671,19001.2151,18974.66005,18894.52856,18762.70402,18693.7445,18565.74072,18516.31569,18410.66863,18335.35201,18281.47005,18210.4305,18106.10056,17963.82947,17974.82139,17946.37211
Angola,103033.7588,100628.9996,100249.2389,104775.8555,99706.26125,96409.43021,94231.55825,93719.95047,96794.87642,91687.44138,88523.69106,86052.88245,82514.63128,80312.03077,78548.84443,75616.54632,73556.81303,70034.70694,67366.28454,65122.58819,62840.88829,60846.32029,59072.10815,57311.78607,55156.79631,53706.44394,52470.81057,51390.40652
"Antigua and Barbuda",28300.05762,27951.91769,28064.84411,28226.67619,28266.79135,28436.70577,28259.9591,27903.48829,27721.28496,27592.02554,27376.90206,27100.95856,26780.17491,26455.63988,26254.58066,25948.45252,25732.65493,25399.13963,25182.11772,24965.74963,24919.9993,24839.63731,24730.24088,24626.61061,24690.19169,24558.21918,24434.41053,24391.82232
Argentina,31638.69499,31224.60844,31112.53487,30644.03898,30151.70761,30003.06042,30091.31397,29754.24329,29624.97325,29327.45342,28536.02807,28284.48458,28383.88576,28072.67935,27127.18372,26607.61044,26509.15644,26892.64945,26453.75605,26265.25333,25894.50949,25758.99937,25594.47463,25494.70869,25105.07356,24763.47182,24750.66484,24632.59041
Armenia,36927.76147,37290.88119,39312.94014,38560.08849,37692.42345,36540.16572,35433.02282,34160.83226,33048.5386,32233.96318,31497.20818,30966.13023,30470.81822,29926.96619,29329.97686,28900.89698,28425.8465,27813.14876,27892.16836,27878.98206,27681.60034,27229.63224,26575.25416,25930.52824,25669.60838,25647.55599,25616.98898,25136.06442
Australia,24714.98395,24090.84575,23926.96961,23391.69121,23348.8379,23016.83516,22900.18448,22595.43405,22319.78129,22050.31263,21715.46371,21275.05872,21022.43608,20685.36629,20382.86878,20128.98311,19891.73391,19859.57322,19753.70756,19667.48761,19446.67322,19254.18302,18929.93027,18859.46038,18911.29119,18987.83926,18967.71254,19037.62622
