Country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,23.92,23.92,23.92,23.92,23.92,23.92,23.92,23.92,24.3,22.39,22.39,22.39
Albania,40.32,30.69,40.52,40.52,40.59,40.59,45.245,49.9,54.555,59.21,63.41,67.61
Algeria,62.54,62.97,63.01,63.42,63.69,63.53,63.71,64.01,63.81,64.62,64.56,71.02
Angola,65.36,65.52,65.56,69.29,70.15,76.07,75.19,75.35,75.43,66.6,66.65,66.51
"Antigua and Barbuda",78.95,76.34,76.39,76.41,76.55,76.46,76.35,76.46,76.49,67.39,67.4,67.41
Argentina,46.37,46.65,46.93,47.25,47.49,41.02,42.42,43.79,41.77,50.24,51.34,51.17
Armenia,39.36,44.67,58.36,62.49,63.91,63.29,72.56,72.23,72.17,67.82,69.93,70.03
Australia,81.38,81.4,81.48,81.4,84.47,84.45,84.24,84.25,84.23,86.56,86.56,86.56
Austria,71.69,71.78,71.97,72.09,70.73,70.68,70.73,70.87,70.93,74.86,74.93,74.96
Azerbaijan,24.41,25.76,34.54,43.11,47.15,46.04,47.41,48.65,45.55,59.92,64.13,63.63
Bahamas,,,68.82,68.89,69.12,69.03,69.04,69.13,69.11,66.71,66.58,66.64
Bahrain,,,80.36,80.42,79.57,79.49,79.44,79.48,79.48,79.65,79.65,79.56
Bangladesh,49.26,50.49,52.69,50.53,52.23,53.78,54.6,55.8,57.56,60.37,61.25,61.6
Barbados,,,,,,,61.06,61.08,61.08,54.96,54.98,54.96
Belarus,49.1,49.75,50.41,62.6,72.16,73.16,73.3,74.08,75.09,78.27,78.31,78.32
Belgium,73.23,73.31,73.48,73.5,73.55,73.54,73.6,73.67,73.67,75.26,75.33,75.34
Belize,74.03,74.19,74.54,74.69,75.5,74.94,74.68,74.63,75.06,68.25,68.3,68.17
Benin,66.51,65.39,65.89,59.1,60.12,68.86,68.95,79.22,74.84,69.4,70.79,71.29
Bhutan,57.24,58.77,61.75,62.64,62.88,63.29,63.28,63.59,64.09,68.31,68.4,68.47
Bolivia,71.1,71.37,66.25,66.89,67.26,67.21,67.5,67.95,64.87,60.47,60.6,57.18
"Bosnia and Herzegovina",22.67,22.67,28.03,27.59,31.53,31.53,38.64,38.64,38.64,50.99,51.54,52.54
Botswana,54.5,55.57,57.57,57.76,58.96,58.63,59.46,60.1,74.8,73.65,73.7,74.81
Brazil,48.21,48.26,44.88,45.26,46.65,46.73,46.89,47.05,48.23,51.22,51.27,51.28
Brunei,,73.53,73.43,77.57,77.55,77.4,77.47,77.49,77.55,76.47,76.46,76.06
Bulgaria,63.45,65.29,63.75,68,69.3,69.19,69.3,69.9,70.38,74.44,74.84,75.06
"Burkina Faso",26.02,26.14,29.44,50.61,54.83,61.51,68.1,68.18,69.6,72.26,72.78,72.87
Burundi,36.1,36.1,36.1,36.1,36.1,36.1,36.1,53.89,60.16,53.12,53.16,52.72
"Cape Verde",65.46,65.34,65.76,66.09,66.61,66.41,67.18,67.45,67.63,67.31,67.26,67.28
Cambodia,43.97,44.45,44.88,45.12,45.38,45.37,45.51,34.49,34.91,37.49,38.12,38.64
Cameroon,62.12,63.87,66.01,65.26,58.77,61.9,62.42,63.29,63.7,60.24,59.79,61.18
Canada,70.3,71.36,71.22,71.27,71.3,71.18,67.16,67.12,67.22,73.67,73.7,73.66
"Central African Republic",66.14,66.23,66.39,66.5,66.55,66.81,66.75,64.01,64.45,56.37,57.04,56.88
Chad,57.95,60.69,61.15,60.51,60.83,61.05,61.16,56.24,56.75,62.23,62.23,62
Chile,68.18,68.39,68.45,68.91,68.97,69.03,75.79,76.01,76.1,78.77,78.78,78.83
China,9.62,16.37,18.87,21.87,24.4,35.84,25.62,35.21,43.2,47.81,48.29,48.52
Colombia,62.15,63.57,64.75,66.24,75.2,74.15,74.52,75.47,76.02,75.67,75.99,76.54
Comoros,83.17,83.17,83.26,83.25,83.4,83.53,83.54,83.47,83.66,69.13,69.07,68.88
"Congo (Kinshasa)",71.37,71.37,71.69,71.87,72.13,83.77,84.07,84.19,84.49,55.72,62.43,65.89
"Congo (Brazzaville)",62.26,63.83,63.04,63.19,65.21,64.96,61.41,66.14,67.69,64.72,64.74,64.16
"Costa Rica",59.9,60.03,60.35,60.35,60.51,60.57,60.61,68.2,74.94,74.58,74.61,74.63
"Ivory Coast",39.92,39.76,39.79,39.92,38.72,40.39,40.25,40.44,40.68,42.63,42.72,44.36
Croatia,17.81,20.82,17.55,22.36,26.96,31.88,31.82,29.06,33.35,62.74,62.73,63.41
Cyprus,,,,59.42,61.29,61.07,60.95,61.12,60.81,63.86,63.95,64.01
"Czech Republic",54.33,54.34,54.36,54.39,57.18,57.18,57.18,57.19,56.93,62.71,62.73,62.76
Denmark,91.59,91.59,91.59,91.59,91.59,91.59,91.59,91.59,89.54,84.05,84.63,84.69
Djibouti,65.55,65.97,60.81,61.01,61.31,61.97,57.26,58.32,58.65,64.32,64.66,64.87
Dominica,78.57,78.58,78.62,78.64,78.68,78.69,78.7,78.79,78.77,69.09,69.1,69.09
"Dominican Republic",64.54,65.03,65.36,66.36,67.29,67.41,68.53,68.85,69.01,74.83,75.01,75.2
Ecuador,76.25,76.48,76.57,76.68,76.84,76.89,76.98,76.67,76.82,70.98,71.03,71.03
Egypt,28.93,36.56,53.23,55.17,65,66.05,66.46,68.35,68.98,71.99,72.25,72.46
"El Salvador",58.04,53.46,53.77,54.35,60.32,59.69,58.7,58.99,58.82,55.87,56.03,56.29
"Equatorial Guinea",71.21,71.21,71.12,71.19,71.22,71.13,71.2,71.22,71.21,55.07,55.06,54.97
Estonia,86.53,86.69,86.83,85.5,85.51,85.45,85.47,85.52,85.56,82.54,82.55,82.57
Ethiopia,53.35,53.35,53.35,58.01,66.33,71.48,75.99,77.85,47.34,47.17,47.17,48.83
Fiji,77.94,78.11,78.15,74.84,74.85,74.87,74.85,74.87,74.88,67.84,67.85,67.88
Finland,79.45,79.53,79.7,79.73,80.24,80.09,80.19,80.28,80.28,75.8,75.82,75.72
France,75.72,75.83,75.98,76.09,76.94,76.87,76.84,72.96,70.66,76.88,77.13,79.23
Gabon,65.12,65.22,65.18,65.32,65.38,65.27,65.38,65.27,72.93,64.11,53.31,53.33
Gambia,71.12,71.8,72.1,71.11,72.32,72.68,73.14,75.33,74.78,63.86,63.84,64.27
Georgia,59.22,77.4,82.02,82.26,88.43,88.38,89.86,91.38,94.28,82.38,82.77,82.84
Germany,84.08,87.19,87.29,87.22,87.34,87.31,87.27,87.31,87.35,81.4,81.42,81.45
Ghana,68.54,68.54,54.19,56.97,59.2,64.51,64.69,65.52,65.9,65.07,65.48,65.34
Greece,69.89,69.9,69.93,69.98,69.96,69.96,67.45,71.57,71.53,73.63,73.63,73.63
Grenada,78.41,78.45,78.61,78.66,78.82,78.8,78.81,78.98,78.96,67.58,67.61,67.64
Guatemala,27.68,32.49,36.29,37.12,44.47,43.95,45.44,56.57,67,68.53,68.84,69.3
Guinea,45.4,44.89,51,50.87,50.72,45.21,47.65,52.86,52.99,54.09,54.21,54.26
"Guinea Bissau",51.46,51.46,51.46,51.46,53.29,53.34,54.58,59.19,55.77,50.54,53.72,56.55
Guyana,78.31,66.95,67.49,68.12,69.59,69.58,69.91,69.86,69.99,59.22,59.26,59.28
Haiti,53.54,53.54,53.54,55.53,63.47,62.67,58.34,59.48,56.15,52,52.86,53.76
