Country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,360,360,360,360,360,360,360,360,356,356,356,356
Albania,351,351,350,350,350,350,NA,NA,NA,258,NA,220
Algeria,205,205,205,205,205,205,205,205,205,205,220,130
Angola,283,283,283,273,265,203,203,203,203,203,203,203
"Antigua and Barbuda",124,110,110,110,110,110,110,110,110,110,110,110
Argentina,341,341,341,341,341,341,341,341,341,341,341,341
Armenia,192,158,158,156,144,144,84,84,84,84,84,84
Australia,142,142,142,142,112,112,112,112,112,112,112,112
Austria,222,222,222,222,222,222,222,222,222,222,222,222
Azerbaijan,216,216,216,216,216,216,217,217,225,175,203,203
Bahamas,,,180,180,180,180,180,180,180,180,180,180
Bahrain,,,137,137,146,146,146,146,146,146,146,146
Bangladesh,299,299,299,278,278,278,278,278,269,269,269,269
Barbados,,,,,,,442,442,442,442,442,442
Belarus,333,333,326,203,134,124,124,129,122,115,115,115
Belgium,212,212,212,212,212,212,212,212,212,212,212,212
Belize,109,109,109,109,109,109,109,109,109,109,109,109
Benin,238,238,238,317,317,227,227,137,120,111,88,88
Bhutan,151,151,151,151,151,151,151,151,151,151,151,151
Bolivia,211,211,269,269,269,269,269,269,274,274,274,322
"Bosnia and Herzegovina",478,463,463,294,253,253,179,179,179,179,179,179
Botswana,186,186,186,186,186,186,186,186,102,102,102,100
Brazil,337,337,431,431,430,430,430,430,425.7,425.7,425.7,425.7
Brunei,,104,105,103,103,103,103,103,103,103,103,75
Bulgaria,113,113,117,105,105,105,105,105,105,105,105,105
"Burkina Faso",206,206,206,191,131,121,121,121,121,121,121,121
Burundi,136,136,136,136,136,136,136,99,99,99,99,99
"Cape Verde",146,146,146,146,146,146,140,140,140,140,140,140
Cambodia,717,652,652,652,652,652,652,652,652,652,652,652
Cameroon,199,199,184,184,227,189,189,189,158,151,150,135
Canada,233,223,223,223,223,223,249,249,249,249,249,249
"Central African Republic",200,200,200,200,200,200,200,200,200,200,200,200
Chad,176,176,176,176,176,176,176,221,221,221,221,221
Chile,193,193,193,193,193,193,152,152,152,152,152,152
China,285,280,280,280,280,280,310,279,244.3,244.3,244.3,244.3
Colombia,127,127,127,96,74,73,73,73,73,73,73,73
Comoros,108,108,108,108,108,108,108,108,108,108,108,108
"Congo (Kinshasa)",239,239,239,239,239,119,119,119,119,150,150,122
"Congo (Brazzaville)",179,179,179,179,179,179,179,179,164,164,164,164
"Costa Rica",180,180,180,182,182,182,182,132,118,118,118,118
"Ivory Coast",598,598,598,598,599,539,539,524,407,347,347,347
Croatia,344,344,396,396,431,331,331,331,331,127,127,127
Cyprus,,,,678,677,677,677,677,677,677,617,507
"Czech Republic",276,276,276,276,247,247,247,247,247,247,247,247
Denmark,64,64,64,64,64,64,64,64,64,64,64,64
Djibouti,154,154,156,156,156,156,156,156,156,111,111,111
Dominica,175,175,175,175,175,175,175,175,175,175,175,175
"Dominican Republic",223,223,223,223,223,223,214,214,214,184,184,184
Ecuador,114,114,114,114,114,114,114,114,114,114,114,114
Egypt,209,207,207,207,146,146,161,145,145,145,145,145
"El Salvador",177,177,177,177,139,139,139,139,111,111,111,111
"Equatorial Guinea",144,144,144,144,144,144,144,144,144,144,144,144
