Country,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,28.75,28.75,28.75,28.75,28.75,28.75,28.75,28.75,28.75,29.79,33.61,31.76,31.76
Albania,59.4,59.4,59.4,59.4,59.4,59.4,59.4,60.52,60.52,58.89,56.84,53.66,53.66,53.66
Algeria,50.81,50.81,50.81,50.81,50.81,50.81,52.89,52.89,52.89,52.89,52.89,55.49,55.49,55.49
Angola,33,33,33,33,33,28.11,26.47,25.22,25.22,25.22,25.22,26.26,26.26,26.26
"Antigua and Barbuda",,,58.56,58.56,58.56,59.61,59.61,59.61,59.61,56.19,56.19,68.11,68.11,68.11
Argentina,65.38,65.38,65.38,65.38,65.38,65.38,65.38,65.38,65.38,62.72,61.97,64.81,64.81,64.81
Armenia,56.3,57.17,57.45,57.45,57.45,58.49,58.49,58.49,50.7,50.7,52.58,66,67.85,69.71
Australia,76.43,76.43,76.43,77.47,77.47,77.47,77.47,77.47,77.06,77.06,77.06,79.72,79.72,79.72
Austria,80.56,80.56,80.56,81.6,81.6,80.65,80.65,80.65,80.65,80.65,80.65,75.49,75.49,75.49
Azerbaijan,69.29,69.29,69.29,69.29,69.29,70.11,70.11,70.11,70.11,70.11,69.02,65.66,65.66,65.66
Bahamas,,,,,52.69,52.69,52.69,52.69,52.69,49.82,49.82,59.43,59.43,59.43
Bahrain,,,,,52.33,52.33,52.33,52.33,52.33,52.33,52.33,56.38,54.53,54.53
Bangladesh,20.82,20.82,20.82,20.82,20.82,20.82,20.82,20.82,20.82,20.82,20.82,22.21,22.21,22.21
Barbados,,,,,,,,,41.61,41.61,41.61,38.02,38.02,38.02
Belarus,82.67,82.67,81.1,81.1,81.1,81.1,81.1,81.1,78.7,78.7,78.7,70.36,70.36,70.36
Belgium,75.59,75.59,75.59,75.59,75.59,77.67,77.67,77.67,77.67,77.67,77.67,64.36,64.25,64.25
Belize,,,34.71,37.38,37.38,37.38,37.38,37.38,37.38,37.38,37.38,50.11,50.11,50.11
Benin,34.64,34.64,34.64,34.64,34.64,34.64,34.64,34.64,35.46,35.46,35.46,36.34,36.34,36.34
Bhutan,35.35,35.35,35.35,68.68,68.68,70.05,70.05,70.05,70.05,70.05,70.05,65.36,65.36,65.36
Bolivia,54.93,54.93,54.93,54.93,54.93,54.93,54.93,54.93,54.93,54.93,54.93,49.72,49.72,51.57
"Bosnia and Herzegovina",45.28,56.6,56.6,57.64,57.64,57.64,57.64,56.89,56.89,56.89,56.89,60.6,60.6,60.6
Botswana,53.09,53.09,53.09,53.09,53.09,53.09,61.29,62.98,64.02,64.02,64.02,50.95,50.95,50.95
Brazil,50.57,50.57,52.16,52.16,52.16,52.16,52.16,52.16,52.16,53.2,52.03,65.55,65.55,67.41
Brunei,,,,47.76,47.76,47.76,47.76,47.76,47.76,47.76,47.76,53.54,53.54,57.25
Bulgaria,61.27,61.27,61.27,61.27,61.27,62.32,62.32,62.32,62.32,62.32,62.32,65.09,65.09,65.09
"Burkina Faso",40.58,40.58,40.58,40.58,42.37,42.37,43.34,43.83,43.83,43.83,43.83,41.05,41.05,41.05
Burundi,41.56,41.56,48.82,49.64,49.64,42.15,42.15,42.15,42.15,42.15,42.15,45.74,45.74,45.74
"Cape Verde",,,66.86,66.86,66.86,66.86,66.86,66.86,67.61,67.61,67.61,65.76,65.76,65.76
Cambodia,35.03,35.03,35.03,35.03,35.03,34.51,34.51,33.69,33.69,32.79,32.79,32.67,32.67,32.67
Cameroon,41.07,41.07,41.07,41.07,41.07,41.07,41.07,41.07,41.07,42.11,42.11,41.76,41.76,41.76
Canada,63.76,63.76,63.76,63.76,63.76,63.76,63.76,63.76,63.76,63.76,63.76,60.63,56.54,54.35
"Central African Republic",31.62,31.62,31.62,31.62,31.62,31.62,31.62,31.62,31.62,31.62,31.62,30.46,30.46,30.46
Chad,45.05,45.05,45.05,45.05,45.05,45.05,45.05,45.05,45.05,45.05,45.05,44.58,44.58,44.58
Chile,63.85,63.85,63.85,63.85,63.85,63.85,63.85,63.85,63.85,63.85,63.85,62.81,62.81,62.81
China,71.39,71.39,71.39,69.89,69.89,69.89,69.89,69.89,69.89,69.89,68.21,77.98,77.98,77.98
Colombia,33.12,36.24,36.24,36.24,36.24,36.24,36.24,36.24,36.24,36.24,37.66,32.43,32.43,34.29
Comoros,,,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,32.05,32.05,32.05
"Congo (Kinshasa)",27.68,27.68,27.68,27.68,28.72,29.82,30.36,30.36,30.36,30.36,33.51,36.06,36.06,36.06
"Congo (Brazzaville)",44.11,44.11,44.11,44.11,44.11,44.11,44.11,44.11,44.11,44.11,44.11,43.99,43.99,43.99
"Costa Rica",50.45,50.45,50.45,50.45,50.45,50.45,51.13,51.13,51.13,51.13,51.13,52.41,52.41,52.41
"Ivory Coast",54.14,54.14,54.14,54.14,54.14,54.14,54.14,54.14,54.14,54.14,60.24,51.11,52.97,55.74
Croatia,65.11,65.11,65.11,65.11,65.11,65.11,65.11,65.11,65.11,63.72,63.72,75.87,75.87,75.87
Cyprus,,,,,,54.17,54.17,54.17,54.17,54.17,54.17,45.82,48.59,48.59
"Czech Republic",65.35,65.35,66.85,66.85,66.86,66.85,68,68,68,68,68,60.36,60.36,60.36
Denmark,70.17,69.13,69.61,69.61,69.61,69.61,69.61,68.79,68.79,68.79,68.79,71.23,71.23,71.23
Djibouti,,,37.31,37.31,37.31,37.31,37.31,37.31,37.31,37.31,37.31,28.39,28.39,28.39
Dominica,,,44.13,44.13,44.13,45.17,45.17,45.17,45.17,45.17,45.17,59.17,59.17,59.17
"Dominican Republic",58.59,58.59,58.59,61.87,61.87,61.87,61.87,61.87,61.87,60.64,60.64,51.03,51.03,51.03
Ecuador,58.3,58.3,58.3,58.3,58.3,58.3,58.3,58.3,58.3,58.3,58.3,56.68,56.68,56.68
Egypt,44.02,44.02,44.02,44.02,44.02,44.02,44.02,44.02,44.02,44.02,44.02,42.75,40.9,40.9
"El Salvador",63.18,63.18,63.18,63.18,63.18,63.18,63.18,63.18,60.06,60.06,60.06,55.2,55.2,55.2
"Equatorial Guinea",,,63.61,63.61,63.61,63.61,63.61,63.61,63.61,63.61,63.23,55.25,55.25,55.25
Eritrea,,65.03,65.03,65.03,65.03,65.03,65.03,64.34,63.52,62.7,62.7,52.75,52.75,52.75
Estonia,71.83,71.83,71.83,71.83,71.83,71.83,68.76,68.76,68.76,68.76,68.91,75.16,75.16,75.16
Ethiopia,60.01,60.01,60.01,60.01,60.03,60.01,65.43,65.43,65.43,65.43,65.43,59.06,59.06,59.06
Fiji,64.34,64.34,64.34,64.34,64.34,64.34,64.34,64.34,64.34,64.34,64.34,58.44,58.44,58.44
Finland,77.22,78.37,78.37,78.37,78.38,78.37,74.54,74.54,73.45,73.45,73.45,69.4,69.4,69.4
France,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.67,73.04,73.04,73.04
Gabon,,,43.51,43.51,43.51,43.51,43.51,43.51,43.51,43.51,43.51,35.29,35.29,32.84
Gambia,,,51.55,64.75,64.75,64.75,64.75,64.75,64.75,65.49,65.49,54.84,54.84,54.84
Georgia,60.96,60.96,60.96,68.69,68.69,68.69,68.69,68.69,68.69,71.82,71.82,71.36,73.21,73.21
Germany,76.49,76.49,76.74,76.74,76.74,76.74,76.74,76.74,76.74,76.74,76.74,74.26,73.72,73.17
Ghana,62.94,62.94,62.94,62.94,65.76,65.76,65.76,65.76,65.76,65.76,57.59,54,54,54
Greece,56.79,56.79,56.79,56.79,56.79,54.58,52.94,51.02,49.11,48.02,43.65,50.19,50.19,50.19
Grenada,,,44.26,44.26,44.26,45.3,46.25,46.25,46.25,46.25,46.25,59.33,59.33,59.33
Guatemala,46.35,46.35,46.35,46.35,46.35,46.35,46.35,46.35,46.35,46.35,46.35,34.55,34.55,34.55
Guinea,49.74,49.74,49.74,49.74,49.74,49.74,49.74,49.74,49.74,49.74,49.74,53.87,53.87,53.87
"Guinea Bissau",,,36.5,36.5,36.5,36.5,36.5,37.54,37.54,37.54,37.54,38.81,38.81,38.81
Guyana,,61.33,61.33,62.37,62.37,62.37,62.37,62.37,62.37,62.37,62.37,57.62,57.62,57.62
Haiti,58.28,58.28,58.28,58.28,58.28,58.28,58.28,58.28,59.32,59.32,59.32,52.49,52.49,52.49
Honduras,39.43,40.53,40.53,40.53,40.53,40.53,40.53,40.53,37.9,37.9,37.9,45.54,45.54,45.54
"Hong Kong",83.35,83.35,83.35,83.35,83.35,83.35,81.47,81.47,79.28,79.28,80.32,72.57,72.57,72.57
Hungary,75,75,75,75,75,75,73.36,73.36,73.36,73.36,73.36,72.08,73.94,75.79
Iceland,,83.44,83.44,83.44,83.44,83.4,82.75,82.3,82.3,82.3,82.3,69.1,69.1,69.1
India,25.81,25.81,25.81,25.81,25.82,25.81,25.81,25.81,25.81,25.81,25.81,32.41,32.41,35.19
Indonesia,37.59,37.59,37.59,37.59,37.59,36.55,36.55,36.55,36.55,36.55,37.28,35.37,35.37,38.15
Iran,62.94,62.94,62.94,62.94,62.94,62.94,62.94,63.35,63.35,63.35,63.35,61.85,60,60
Iraq,,45.67,45.67,45.67,45.67,45.67,47.62,47.32,47.32,47.32,47.32,50.79,48.94,48.94
Ireland,77.08,77.08,78.12,79.16,79.16,79.16,79.16,79.16,75.47,75.47,75.47,57.88,57.88,57.88
Israel,54.93,54.93,54.93,54.93,54.93,54.93,54.93,54.93,54.93,52.61,52.61,57.93,57.93,57.93
Italy,34.66,34.66,34.66,38.21,38.21,38.21,42.38,42.38,42.38,43.06,45.61,51.17,54.79,54.79
Jamaica,57.24,57.24,57.24,57.24,57.24,53.74,53.74,53.74,53.74,56.61,56.61,53.6,53.6,53.6
Japan,69.95,69.95,69.95,69.95,69.95,69.95,69.95,69.95,69.95,69.95,73.25,65.26,65.26,65.26
Jordan,54.04,54.04,54.04,54.04,54.04,54.04,54.04,54.04,54.04,54.04,54.04,54.27,52.42,52.42
Kazakhstan,63.03,63.03,67.74,67.74,67.74,67.74,67.74,67.74,68.29,68.29,68.29,72.92,75.7,75.7
Kenya,60.02,60.02,60.02,60.02,60.02,60.02,55.15,55.15,55.15,50.98,50.98,58.27,58.27,58.27
Kiribati,64.15,64.15,64.15,64.15,64.14,64.15,64.15,64.15,64.15,64.15,64.15,57.09,53.39,53.39
"South Korea",78.73,78.73,78.73,78.73,78.73,78.73,78.73,78.73,80.81,79.17,79.17,84.15,84.15,84.15
Kosovo,,,,,,,46.13,46.13,46.13,46.13,46.13,66.19,65.66,65.66
Kuwait,52.28,52.28,52.28,52.28,52.28,52.28,52.28,52.28,52.28,52.28,52.28,62.36,60.51,60.51
Kyrgyzstan,64.63,64.63,64.63,64.63,64.63,64.63,64.63,64.63,56.78,56.78,56.78,48.57,48.57,48.57
