Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Albania,,,,,5,5,5,5,5,5
Argentina,6,6,6,6,6,6,6,6,6,6
Armenia,,,,5,5,5,5,6,6,6
Australia,5,5,5,5,5,5,5,5,5,5
Austria,5,5,5,5,5,5,5,5,5,5
Azerbaijan,,,,,,5,5,5,5,5
Bahrain,,,,3,3,3,3,3,3,4
Belarus,,,,,,5,5,5,5,5
Belgium,4,4,4,4,4,4,4,4,4,4
Bhutan,,,,,,,,4,4,5
Bolivia,3,5,6,6,6,6,6,6,6,6
"Bosnia and Herzegovina",5,5,5,5,5,5,5,5,4,4
Botswana,4,4,4,4,4,4,4,4,4,4
Brazil,5,5,5,5,5,5,5,5,5,5
Brunei,,,,,,,,,,4
Bulgaria,,4,4,4,6,6,6,4,4,4
"Cape Verde",,3,3,3,3,2,2,5,5,5
Cambodia,,,,,,,,,3,4
Cameroon,,,,,,,,,1,1
Canada,6,6,6,6,6,6,6,6,6,6
Chile,5,5,5,5,5,5,5,5,4,5
China,,,4,4,4,4,4,4,4,5
Colombia,5,5,5,5,5,5,5,5,5,5
"Congo (Brazzaville)",,,,,,,,2,2,2
"Costa Rica",,,4,5,5,5,5,5,6,6
Croatia,,,,3,3,4,4,5,5,5
Cyprus,,,,,,,2,2,2,2
"Czech Republic",4,5,5,5,5,5,5,5,5,5
Denmark,4,4,4,4,4,4,4,4,4,4
"Dominican Republic",5,5,6,6,6,6,6,6,6,6
Ecuador,4,4,5,5,5,6,6,6,6,6
Egypt,,,,,,6,6,6,6,6
"El Salvador",5,5,6,6,6,6,6,6,6,6
Estonia,5,5,5,5,5,5,5,5,5,5
Fiji,3,4,4,4,4,4,4,4,4,4
Finland,4,4,4,4,4,4,4,4,4,4
France,4,4,4,4,4,4,4,4,4,4
Gabon,,,,,,,2,2,2,2
Georgia,,,,,,6,6,6,6,6
Germany,5,5,5,6,6,6,6,6,6,6
Ghana,,,,,,,,,5,5
Greece,4,4,4,4,4,5,5,5,5,5
Guatemala,5,5,5,5,5,6,6,6,6,6
Honduras,3,4,5,6,6,6,6,6,6,6
"Hong Kong",5,5,5,5,5,5,5,5,5,5
Hungary,,,5,5,5,5,5,4,4,4
Iceland,5,5,5,5,5,5,5,5,5,5
India,,,4,5,5,5,5,5,5,5
Indonesia,,,2,3,5,5,5,5,5,5
Iran,2,3,3,3,3,4,4,4,5,5
Ireland,5,5,5,5,5,5,5,5,5,5
Israel,3,5,5,5,5,5,5,5,5,5
Italy,6,6,5,5,5,5,5,5,5,5
Japan,6,6,6,6,6,6,5,5,5,5
Kazakhstan,,,4,4,5,5,5,5,5,5
"South Korea",5,5,5,5,6,6,6,6,6,6
Kosovo,,,,,,5,5,5,5,5
Kuwait,4,4,4,5,5,5,5,5,5,5
Kyrgyzstan,,,,,,4,4,4,4,4
Latvia,,,,,,5,5,5,5,5
Lebanon,,,,,5,5,5,5,5,5
Lithuania,,4,4,6,6,6,6,6,6,6
"Macedonia (F.Y.R.O.M.)",,,,,3,3,3,5,5,6
Malaysia,4,4,5,5,5,6,6,6,6,6
Maldives,,,,,,,,4,4,4
Mauritius,,,2,2,3,3,3,3,5,6
Mexico,6,6,6,6,6,6,6,6,6,6
Mongolia,,,3,3,3,3,3,4,5,5
Montenegro,,,,,3,3,3,3,4,4
Morocco,,,,,,5,5,5,5,5
Namibia,4,4,4,4,4,4,4,4,4,4
Netherlands,5,5,5,5,5,5,5,5,5,5
"New Zealand",5,5,5,5,5,5,5,5,5,5
Nicaragua,4,4,4,6,6,6,6,6,6,6
Norway,4,4,4,4,4,4,4,4,4,4
Oman,,,2,2,2,2,2,4,5,5
Pakistan,,,,,,2,2,2,2,2
Panama,6,6,6,6,6,6,6,6,6,6
Paraguay,6,6,6,6,6,6,6,6,6,6
Peru,6,6,6,6,6,6,6,6,6,6
Philippines,,,,2,2,2,2,2,2,4
Poland,4,4,5,5,5,6,6,6,6,6
Portugal,5,5,5,5,5,5,5,5,5,5
"Puerto Rico",5,5,5,5,5,5,5,5,5,5
Qatar,,,,,,,,2,4,4
Romania,,,4,4,4,5,5,5,5,5
Russia,,,,,4,5,5,5,5,5
Rwanda,,,,,,,,,6,6
