Country,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,618.2,6179.7,2917.8,2550.7,2368.5,2084,2124,2274.7
Albania,614.5,614.9,585.6,573.7,543.3,474,499.8,515.5
Algeria,1599,1777.3,1581.5,1492.1,1565.2,1320.5,1295.5,1330.4
Angola,1099.1,1278.5,890.5,754.9,689.7,660,615,1195.7
"Antigua and Barbuda",116.4,132.2,150.1,131.3,126.2,122.9,118.8,117.6
Argentina,45.7,46.3,37.6,32,37.3,41.9,24.9,32.2
Armenia,238.5,278.9,257.8,107.3,98.9,92.6,87.3,80.3
Australia,15.9,14.3,13.3,12.6,12.7,12.5,12.2,12.6
Austria,110.7,113,110.8,104.5,101.7,101.6,97.8,95.7
Azerbaijan,739.8,779.6,677.6,591.2,122.9,106.8,103.6,150.4
Bahamas,107.6,114.5,112.7,103,102.1,133.2,148.9,146.8
Bahrain,47.8,54.6,63.6,56.3,55.5,47.1,46.4,66.8
Bangladesh,6462.6,5576.1,5122.7,5193.8,4400.7,3926.7,3170,2860.9
Barbados,,,63.8,61,60.9,64,59.4,64.7
Belarus,1463.4,1383,1383.8,838.8,431.7,364.1,296.2,119.3
Belgium,91,96.7,95.3,92.6,92.5,92.3,102.4,102.4
Belize,297.1,358,383.3,388.2,346.5,309.7,304.2,319.9
Benin,13395.4,13148.1,12940.9,12207,12101.1,14654.9,14287.3,12581.5
Bhutan,1019.9,908.5,911.7,828.2,693.1,582.9,550,525.4
Bolivia,1450.8,1297.3,1181.2,1036.1,952.3,829.3,747.2,686.8
"Bosnia and Herzegovina",276.7,516.4,497.6,493.3,492.4,484.4,418.3,400.2
Botswana,465.2,495.3,408.9,353.8,389.1,340.4,297.6,323.7
Brazil,51.2,47.2,40.7,36.5,34.5,31.7,28.6,58
Brunei,35.5,49,42.9,40.6,35.9,38.6,40.1,54.2
Bulgaria,392.1,397.2,366.6,340.7,341.3,341.8,317.3,318.3
"Burkina Faso",15290.8,14901.3,13356.8,12662,10976.3,11057.1,10217.1,10028.1
Burundi,43020.5,36696.7,34477,21481.7,20509,16367.3,16315.4,16917.5
"Cape Verde",1126.5,1217.5,1121.3,981.3,888,932.2,961.5,1026.9
Cambodia,3854.2,3581.5,3062.5,2802,2636.1,2495.4,2336.1,2172.3
Cameroon,1871.1,1846,1854.5,1772.8,1831.8,1686.3,1582.9,1597.4
Canada,143.7,152,145.9,140.4,131.8,131,126.1,125.8
"Central African Republic",14390.3,13298.3,12852.1,12603.6,11674.9,17232.4,15326.1,15810.3
Chad,14057,14719.8,13123.8,11017.6,9580.1,7677.5,7660.5,8526.9
Chile,88.2,82.5,77.6,67.6,63.9,62.1,72.3,70.5
China,835.7,755.2,640.9,547,499.5,459.4,413.3,390.4
Colombia,702,689.6,636.2,577.7,541.6,504.4,475.4,581.4
Comoros,2578.1,2353.6,2383.8,2477.2,2224.9,2127.9,2206.9,2451
"Congo (Kinshasa)",42978.2,41496.6,36857.1,33956.4,28850.1,15645.5,15247.4,15264
"Congo (Brazzaville)",5724.8,6579.1,5224,4775.3,4657.6,4705.2,4677.1,5469.1
"Costa Rica",318,305,287.4,246.2,218.6,196.2,191.8,182.3
"Ivory Coast",4186.6,4137,4002.3,3685.7,3366.3,2824.4,2583.9,2589.5
Croatia,319.8,327.5,328.6,318.7,319.8,316.7,317.1,303.2
Cyprus,101.3,117.1,125.5,113.8,127.1,145.6,137,130.4
"Czech Republic",30.5,30.9,30.7,29.7,29.5,29,27.6,25
Denmark,122,128.2,120.6,119.7,118.4,114.9,112.8,109.4
Djibouti,10165.8,8816.7,8799.1,7776.4,7487,6988.8,6579.4,6386.8
Dominica,693.7,689.9,671,470.5,512.5,483,461.1,479.7
"Dominican Republic",447.6,405.3,356.7,322.3,300.9,276.9,257,267.1
Ecuador,938.1,868.9,760.7,797.5,655.8,624.5,601.1,606.3
Egypt,575.9,509.9,455.5,396,337.4,304.6,272.9,244.9
"El Salvador",496.1,546.1,544,546.2,561.9,553.8,536.1,513
"Equatorial Guinea",484.6,833.3,571.1,456.5,509.8,557.6,616.7,1085.4
Eritrea,5051.6,4156.7,4436.6,3508,3352.1,3078.5,2846.1,2553
Estonia,206.1,229.1,222.5,201.4,188,169.2,157.2,173
Ethiopia,4912.6,3673.7,3331.5,2556.5,1888,1676.6,1414.9,1238.8
Fiji,2125.1,2035.8,2147.9,1904.7,1835.3,1784.9,1692.5,1477.7
Finland,29.4,34.4,31.7,29.6,29.6,29.7,29.1,28
France,38.3,39.5,40.1,43.8,43.2,42.9,41.3,40.8
Gabon,1349.7,1664.2,1345,1133.7,981.4,995.5,1128.8,1101.7
Gambia,6973.2,6526.3,6070.8,3976.8,4526.3,4166.1,4129.8,3569.1
Georgia,801.2,861,751.3,561.8,515,503.8,461.8,354
Germany,50.6,51.9,49.9,48.3,46.9,44.4,42,40.8
Ghana,5902.4,4047.2,3459.5,2717.9,2295.3,1778,1530.6,1265.8
Greece,55.2,57.5,59.2,62.4,66.7,69.7,70,69.9
Grenada,317.6,337.2,327.4,257.9,257,236.7,219.1,191.1
Guatemala,649.4,655.5,624.9,594.8,548.8,514.6,499.3,477.6
Guinea,12484.8,13161.9,10332.2,8301,8009.1,7116.6,6766,6636.4
"Guinea Bissau",2137.1,2133.5,2049.5,1737.2,1871.3,2062.2,1772.3,1519.8
