Country,2015,2016,2017
Algeria,4,4,5
"Antigua and Barbuda",5,5,5
Argentina,5,5,5
Armenia,4,4,5
Australia,7,7,7
Austria,7,7,7
Azerbaijan,4,4,4
Bahrain,4,4,5
Barbados,6,6,6
Belarus,8,8,8
Belgium,8,8,8
Belize,4,4,4
Bhutan,5,5,5
Bolivia,5,6,6
"Bosnia and Herzegovina",5,6,6
Brazil,5.6,5,5
Brunei,3,3,6
Bulgaria,4,4,5
"Cape Verde",2,2,2
Cambodia,,3,3
Cameroon,,,3
Canada,6,6,6
Chile,6,6,6
China,6,6,6
Colombia,6,6,6
"Costa Rica",7,7,7
"Ivory Coast",5,5,5
Croatia,5,5,5
Cyprus,7,7,8
"Czech Republic",8,8,8
Denmark,7,7,7
Dominica,6,7,6
Ecuador,5,5,6
Egypt,,,4
"El Salvador",5,5,5
Estonia,8,8,8
Fiji,4,4,4
Finland,8,8,8
France,8,8,8
Gabon,2,2,2
Georgia,3,4,6
Germany,8,8,8
Greece,7,7,7
Grenada,4,5,4
Guatemala,7,6,7
Guyana,4,4,4
"Hong Kong",8,8,8
Hungary,6,6,6
Iceland,7,7,7
India,5.9,7,7
Indonesia,6,6,6
Iran,5,5,5
Ireland,8,8,8
Israel,7,7,7
Italy,7,7,7
Jamaica,8,7,6
Japan,8,8,8
Jordan,5,5,6
Kazakhstan,6,6,7
"South Korea",8,8,8
Kosovo,2,2,2
Kuwait,3,4,4
Laos,,,1
Latvia,6,6,7
Lithuania,8,8,8
Luxembourg,7,7,7
"Macedonia (F.Y.R.O.M.)",5,5,6
Malaysia,8,8,8
Malta,6,5,6
Mauritania,2,2,2
Mexico,6.2,7,6.2
Moldova,7,7,7
Mongolia,3,3,3
Morocco,7,7,7
Netherlands,8,8,8
"New Zealand",7,7,7
Nicaragua,4,4,4
Norway,7,7,8
Oman,,6,6
Panama,7,7,7
Paraguay,2,2,2
Peru,6,6,6
Philippines,5,5,6
Poland,7,7,7
Portugal,8,8,8
"Puerto Rico",4,4,4
Qatar,6,6,6
Romania,7,7,7
Russia,8,8,8
Samoa,4,4,4
"San Marino",6,6,6
"Saudi Arabia",6,6,6
Serbia,6,6,5
Seychelles,3,2,2
Singapore,7,7,7
Slovakia,8,8,8
Slovenia,8,6,8
"Solomon Islands",2,2,3
Somalia,,NA,NA
"South Sudan",,NA,NA
Spain,8,8,8
"Sri Lanka",3,5,5
"Saint Lucia",6,6,6
Sudan,4,3,3
Suriname,3,3,4
Sweden,7,7,8
Switzerland,7,7,7
Taiwan,8,8,8
Tanzania,4,4,4
Thailand,6,6,6
Tonga,4,4,4
"Trinidad and Tobago",6,6,6
Tunisia,6,6,6
Turkey,6,6,5
Uganda,4,4,4
Ukraine,5,5,6
"United Arab Emirates",7,7,8
"United Kingdom",8,8,8
"United States",7,7.6,7.6
Uruguay,6,6,6
Uzbekistan,8,8,8
Vanuatu,5,5,5
Vietnam,2,2,3
"West Bank and Gaza",4,5,5
Yemen,,NA,NA
Zambia,4,4,
