Country,2014,2015,2016,2017
Albania,8.6,9.5,14.1,14.1
Algeria,6.6,6.6,6.6,8.3
Angola,24.6,25.3,21.7,20.4
"Antigua and Barbuda",26,26,25.9,25.9
Argentina,2.7,3.1,3.5,3.9
Armenia,15,19.3,19.1,17.6
Australia,26,26.1,26,26
Austria,15,16.8,16.8,16.9
Azerbaijan,12.9,12.9,12.9,13
Bahamas,33,,,
Barbados,24.1,19.5,19.5,19.5
Belarus,20.3,11.7,11.7,12.9
Belgium,5.4,8.3,8.4,9.1
Belize,24.7,24.7,24.7,24.7
Benin,14.8,15.9,15.9,10
Bhutan,36.3,33.9,33.9,33.9
"Bosnia and Herzegovina",7.2,7.2,7.2,7.2
Botswana,21.7,21.5,21.5,21.5
Brunei,8.3,7.9,0.8,0.8
Bulgaria,4.8,5,5,5
"Burkina Faso",14.8,16.2,16.2,16.2
Burundi,40,28.9,28.9,28.9
"Cape Verde",18,18.2,18.5,18.6
Cambodia,18.9,19.5,19.5,19.5
Cameroon,29.9,30,30,38.9
Canada,8.4,3.9,3.9,3.9
Chad,31.3,31.3,31.3,31.3
Chile,21.1,21.2,22.3,23.9
Colombia,19.2,18.6,22.5,22.2
Comoros,31.4,32.1,32.1,32.1
"Congo (Kinshasa)",58.9,27.5,27.5,27.5
"Congo (Brazzaville)",15.1,,,
"Costa Rica",18.9,19.3,19.3,19.2
"Ivory Coast",9.8,8.8,8.8,8.8
Croatia,11.3,,,
Cyprus,9,9.5,9.3,9.5
"Czech Republic",7.5,9.5,9.5,9.1
Denmark,20,20.3,18.7,19
Djibouti,17.7,17.7,17.7,17.7
Dominica,25.9,26.1,26.1,24.4
"Dominican Republic",22.1,23.5,22.6,22.6
Ecuador,17.7,16.1,16.1,16.3
Egypt,13.2,16.4,16.3,14.7
"El Salvador",17,20.1,20.1,20.2
"Equatorial Guinea",,20.7,20.7,53
Eritrea,8.8,9.2,9.2,9.2
Estonia,8,8.4,8.4,7.9
Ethiopia,27,26.2,25.7,25.4
Fiji,27.3,20.6,20.6,20.3
Finland,15,14.6,11.8,11.7
France,8.2,6.2,0.5,0.4
Gabon,18.4,15.8,20.9,21.1
Gambia,6.1,6.1,6.1,6.1
Georgia,14.3,14.3,14.3,14.3
Germany,18.9,23.3,23.2,23.2
Ghana,18.5,18,18,18
Greece,11,19,19.7,22.4
Grenada,27.6,27.6,27.6,27.6
Guatemala,25.9,24.9,22.5,20.2
Guinea,23.5,,,
"Guinea Bissau",14.9,15.1,15.1,15.1
Guyana,23.8,21.3,21.3,21.3
Haiti,24.1,23.8,23.8,23.8
Honduras,26.6,28.6,31.1,31.1
"Hong Kong",17.6,17.6,17.5,17.5
Hungary,12.3,11.8,11.8,9.9
Iceland,10.4,9,9.1,8.9
Iran,17.8,17.8,17.8,17.8
Iraq,14.6,14.3,14.3,14.3
Ireland,11.9,12.4,12.4,12.4
Israel,22.1,22.3,23.6,20.8
Italy,22.9,19.9,19.5,17
Jamaica,25.7,21.4,14.8,14
Jordan,12.9,13.2,13.1,10.6
Kazakhstan,15.9,16.3,16.2,16.2
Kenya,28.1,29.8,29.8,30.1
Kiribati,23.4,24.3,24.3,24.3
"South Korea",15.2,18.2,18.2,18.2
Kosovo,9.1,9.3,9.3,9.3
Kyrgyzstan,6.2,6.4,6.4,6.4
Laos,24.8,16.5,16,15.8
Latvia,4.8,4.9,6.3,6.3
Lebanon,6.1,6.1,6.1,6.1
Lesotho,13.1,10.8,10.8,10.8
Liberia,18.3,21.2,35.4,35.4
Libya,,22,22,22.1
Lithuania,5.9,5.9,5.9,5.9
Luxembourg,4.1,4.2,4.2,4.6
"Macedonia (F.Y.R.O.M.)",6.2,6.4,10.9,11
Madagascar,14,16.3,16.3,16.3
Malawi,23.6,20.1,20.4,20.4
Malaysia,7.5,21.9,22.7,22.7
Maldives,13.5,13.1,13.1,13.1
Mali,10.9,10.1,10.1,10.1
Malta,30.3,30.1,30.1,32.4
Mauritius,11.6,11.2,11.7,10.4
Moldova,,9.3,9.2,8.9
Mongolia,10.2,10,10,10.3
Montenegro,7.1,8.1,8.1,8.2
Morocco,25.2,25.4,25.4,25.3
Mozambique,27.7,30.8,30.8,30.8
"Burma (Myanmar)",,26.4,25.3,26.2
Namibia,17.2,17.5,17.2,16.7
Nepal,17.2,17.7,17.7,17.7
Netherlands,20.6,21.1,20.4,20.6
"New Zealand",28.8,30,30,30
Nicaragua,22.9,22.2,21.9,17.6
Niger,17.3,21.3,21.2,21.2
Norway,24.4,24.5,23.6,23.6
Oman,10,11,11,10.8
Palau,65.8,65.8,65.8,65.8
Panama,12.5,12.4,12.4,12.4
"Papua New Guinea",22,23.2,23.2,23.2
Paraguay,9.6,9.6,9.6,9.6
Peru,26.7,22.7,22.7,21.4
Philippines,21.1,20.5,20.3,20.3
Poland,17.4,14.5,14.5,14.5
Portugal,14.5,15.1,13.6,12.5
"Puerto Rico",15.8,32.3,25.9,28.6
Romania,10.5,10.7,10.9,11.6
Rwanda,21.2,25.8,25.8,25.8
"Saint Thomas and Principe",22.1,20.2,20.2,19.2
Samoa,11.9,11.3,11.3,11.2
"San Marino",,10.3,10.2,5.1
"Saudi Arabia",2.1,2.2,2.2,2.2
Senegal,14.8,16.2,18.4,16.2
Serbia,11.6,16.2,16,16
Seychelles,23.3,19,18.8,18.8
"Sierra Leone",17.6,18.8,18.8,18.8
Singapore,6,2,2,1.8
Slovakia,6.8,10.7,10.5,10.5
Slovenia,14.1,12.7,12.7,12.7
"Solomon Islands",15,23.3,23.3,23.3
Somalia,,,NA,NA
"South Africa",24.3,21.7,21.7,21.7
"South Sudan",,6.9,6.9,6.9
Spain,1.2,21.6,13.3,12.4
"Sri Lanka",1.6,1.4,1.1,1.2
"Saint Kitts and Nevis",32.1,30.5,30.5,30.5
"Saint Lucia",25.8,25.8,25.8,25.8
"Saint Vincent and Grenadines",30.2,30.2,30.2,29.8
Sudan,13.8,11.5,11.5,11.5
Suriname,27.9,27.9,27.9,27.9
Swaziland,28.1,28,25.6,25.5
Sweden,15.7,13.1,13.1,13.1
Switzerland,8.9,9.3,9.3,9.3
Syria,20,23,23,23
Taiwan,12.7,12.7,12.7,12.7
Tajikistan,,17.7,17.7,17.7
Tanzania,20.2,20.7,20.8,20.8
Thailand,28.1,19.7,19.5,21.6
"Timor Leste",14.9,11.2,11.2,11.2
Togo,9.3,10,10.7,10.7
Tonga,24.3,23.8,23.8,23.8
"Trinidad and Tobago",21.6,22,21.9,21.9
Tunisia,15.2,15.4,12.8,13.1
Turkey,17.9,18.1,17.9,18.2
Uganda,25,25.2,25.2,22.1
Ukraine,11.6,9.5,9,8.7
"United Kingdom",22.2,20.6,19.2,18.3
Uruguay,23.6,23.6,23.6,23.6
Uzbekistan,0.9,12,11.4,11.5
Venezuela,6.1,10.2,9.9,9.5
Vietnam,11.6,17,14.5,14.4
"West Bank and Gaza",16.2,15,15,15
Yemen,20,20,20,20
Zambia,1.1,2,2,2
Zimbabwe,20.5,18.9,18.8,18.8
