Country,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,NA,NA,NA,25,25,25,25,25,25,25,25,25,25
Albania,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Algeria,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Angola,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antigua and Barbuda",,,7,7,7,7,7,7,7,7,7,7,7,7
Argentina,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5
Armenia,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Australia,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Austria,18,18,18,18,18,18,18,18,18,10,10,10,10,10
Azerbaijan,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Bahamas,,,,,12,12,12,12,12,12,12,12,12,12
Bahrain,,,,,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5
Bangladesh,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Barbados,,,,,,,,,15,15,15,15,15,15
Belarus,22,22,22,22,22,22,22,22,22,22,22,22,22,20
Belgium,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Belize,,,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5
Benin,14.5,14.5,14.5,14.5,14.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5
Bhutan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolivia,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5
"Bosnia and Herzegovina",8,8,9,9,9,9,9,9,9,9,9,9,9,9
Botswana,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Brazil,9,9,9,12,12,12,12,12,12,12,12,12,12,12
Brunei,,,,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Bulgaria,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Burkina Faso",21,21,21,21,21,21,21,21,21,21,21,21,21,21
Burundi,NA,NA,30,30,30,30,30,30,30,30,30,30,30,30
"Cape Verde",,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cambodia,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Cameroon,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5
Canada,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,7,7,7,7
"Central African Republic",76,76,76,76,76,76,76,76,76,76,76,76,76,76
Chad,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Chile,18,18,18,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5
China,22,22,22,22,22,22,22,22,22,22,22,22,22,22
Colombia,6,6,6,6,6,6,6,6,8.5,8.5,8.5,8.5,8.5,8.5
Comoros,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Congo (Kinshasa)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Congo (Brazzaville)",25,25,25,25,25,25,25,25,25,25,25,25,25,25
"Costa Rica",14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5
"Ivory Coast",18,18,18,18,18,18,18,18,18,18,18,18,18,18
Croatia,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5
Cyprus,,,,,,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5
"Czech Republic",18,18,14.5,14.5,14.5,14.5,14.5,17,17,17,17,17,17,17
Denmark,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Djibouti,,,11,11,11,11,11,11,11,11,11,11,11,11
Dominica,,,10,10,10,10,10,10,10,10,10,10,10,10
"Dominican Republic",38,38,38,38,38,38,38,38,38,38,38,38,38,38
Ecuador,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Egypt,22,22,22,22,22,22,22,22,22,22,22,22,22,22
"El Salvador",9,9,9,9,9,9,9,12,12,12,12,12,12,12
"Equatorial Guinea",,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eritrea,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Estonia,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Ethiopia,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5
Fiji,38,38,10,10,10,10,10,10,10,10,10,10,10,10
Finland,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
France,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Gabon,,,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5
Gambia,,,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5
Georgia,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,10,10,10,10,10
Germany,1,1,8,8,8,8,8,8,8,8,8,8,8,8
Ghana,22,22,22,22,22,22,22,22,22,22,22,22,22,22
Greece,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Grenada,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guatemala,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5
Guinea,8,8,8,8,8,8,8,8,8,8,8,8,8,8
"Guinea Bissau",,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guyana,,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5
Haiti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Honduras,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5
"Hong Kong",9,9,9,9,9,9,9,9,9,9,9,5,5,5
Hungary,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5
Iceland,,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
India,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Indonesia,18,18,18,18,22,22,22,22,22,22,21.6,21.6,21.6,21.6
Iran,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Iraq,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ireland,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Israel,23,23,23,23,23,23,23,23,23,23,23,23,23,23
Italy,22,22,22,22,22,22,22,22,22,22,22,22,22,22
Jamaica,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Japan,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4.2,4.2
Jordan,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Kazakhstan,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Kenya,22,22,22,22,22,22,22,22,22,22,22,22,22,22
Kiribati,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Korea",3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Kosovo,,,,,,,15.3,15,15,15,15,15,15,15
Kuwait,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Kyrgyzstan,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Laos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Latvia,13,13,13,13,13,13,13,13,10,10,10,10,10,10
Lebanon,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Lesotho,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Liberia,,,,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5
Libya,,,,,,,,,,NA,NA,NA,NA,NA
Lithuania,21.5,7,7,7,7,7,7,7,7,7,7,10,10,10
Luxembourg,,,,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5
"Macedonia (F.Y.R.O.M.)",10,10,10,10,10,10,10,10,10,10,10,10,10,10
Madagascar,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5
Malawi,29.5,29.5,29.5,29.5,29.5,29.5,25,25,25,25,25,25,25,25
Malaysia,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,10,10,10,10,10,10
Maldives,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Mali,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Malta,,,,,,,,,10,10,10,10,10,10
"Marshall Islands",38,38,38,38,38,38,38,38,38,38,38,38,38,38
Mauritania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mauritius,,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5
Mexico,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Micronesia,38,38,38,38,38,38,38,38,38,38,38,38,38,38
Moldova,9,9,9,9,9,9,9,9,9,9,9,15,15,15
Mongolia,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Montenegro,,,,8,8,8,8,8,8,8,8,8,8,8
Morocco,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Mozambique,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5
"Burma (Myanmar)",,,,,,,,,,18,18,18,18,18
Namibia,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5
Nepal,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Netherlands,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
"New Zealand",3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Nicaragua,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5
Niger,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Nigeria,22,22,22,22,22,22,22,22,22,22,22,22,22,22
Norway,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Oman,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Pakistan,4,4,4,4,4,4,4,4,4,4,4,4,4,4
