Country,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,72,75.2,67.4,84.6,59.5,30.2,26.7,25.8,22.5,14.4,15.1,19,19.9
Albania,57.1,32.3,31.3,22.5,46.1,42.5,32.2,31.8,29.3,22.4,21.2,10.1,10.3,10.1
Algeria,16.3,14.6,12.4,13.4,13.2,10.8,12.1,12.9,12.1,12.1,12.4,11,10.9,11.1
Angola,1316.4,910,653.8,498.2,343.7,196.8,151.1,226.6,163.1,143.1,130.1,118.8,22.5,27.5
"Antigua and Barbuda",,,12.5,12,11.3,11.1,9.2,10.5,12,10.5,10,9.8,9.5,9.4
Argentina,12.4,14.7,12.5,11.6,9.4,8.8,13.7,16.7,14,12.2,19.9,15.1,9.7,9.3
Armenia,8.4,7,6.1,5.1,4.8,3.6,2.6,3.1,2.9,2.5,1.1,1,1,0.9
Australia,2,2.1,1.9,1.8,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7
Austria,6.1,6,5.7,5.6,5.4,5.1,5.1,5.2,5.2,4.9,4.8,0.3,0.3,0.3
Azerbaijan,16.8,14.4,12.3,9.3,6.9,4.3,2.9,3.1,2.7,2.3,1,3.1,1.2,1.3
Bahamas,,,,,10.3,9.8,8.5,10.7,10.6,10.3,10.4,10.2,10.8,13.8
Bahrain,,,,,0.7,0.6,0.5,0.6,0.9,0.8,1,0.8,0.8,1.2
Bangladesh,63.9,62.9,56.1,52.1,46.2,25.5,28.6,21.2,19.5,19.6,18.8,16.8,13.9,13.8
Barbados,,,,,,,,,7.6,7.2,7.2,7.6,7.1,7.7
Belarus,20.6,26.6,32.9,26.8,9.5,8.3,2.1,2,1.6,2.5,0.9,0.9,0.9,0.6
Belgium,11.1,11.3,11.1,5.8,5.6,5.5,5.6,5.7,5.5,5.3,5.3,5.2,5,5
Belize,,,38.4,38,37,36.5,35.3,35.8,36.5,36.7,35.4,34.3,34.2,34.6
Benin,148.1,173.6,168.2,211.1,197.2,198.2,157.4,154.4,149.9,126.9,122.8,55.9,45.4,3.8
Bhutan,21,17.6,16.9,14.1,8.8,7.2,6.8,6.1,6.1,6,4.8,4.2,4,3.8
Bolivia,175.8,174.1,154.9,145.5,130,107.4,94.8,96.3,86.4,70.8,68.3,61.5,55.6,54.1
"Bosnia and Herzegovina",47.3,45.3,41.2,37.4,30.9,31.6,16.3,18.3,17.6,15.4,15.4,15.2,14.1,13.5
Botswana,10.4,10.2,10,9.7,9.3,1.7,1.4,1.5,1.1,0.8,0.9,0.8,0.7,0.8
Brazil,13.1,11.7,10.1,9.9,10.4,8.2,6.9,7.3,5.4,4.8,5.9,5.5,4.8,5.2
Brunei,,,,8.9,9.1,9.3,9.9,13.7,12,10.8,10,10.5,1.3,1.6
Bulgaria,10.4,10.3,9.6,7.9,7.6,3,2.6,2.5,2.3,1.9,1.8,1.5,1.4,1.3
"Burkina Faso",145.7,139.7,137.4,112.6,82.1,62.3,50.5,49.9,47.7,46.8,44.5,44.7,43.5,43.4
Burundi,240.2,181.4,190.2,213.8,241.2,206.7,145.7,124.3,116.8,18.3,17.5,13.4,13.4,13.9
"Cape Verde",,,44,45.6,40.1,35.7,17,18.5,17,14.9,13.5,14.3,14.8,14.7
Cambodia,534.8,480.1,276.1,236.4,190.3,150.7,137.6,127.5,109.1,77.7,129.9,120.5,60.7,57.2
