Country,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,9,9,9,9,9,7,7,7,7,5,7,7,7
Albania,41,40,41,39,37,10,6,6,6,5,5,5,5,5
Algeria,25,24,24,24,24,24,24,24,24,24,24,22,20,20
Angola,83,83,83,83,83,68,68,66,66,66,66,66,36,36
"Antigua and Barbuda",,,26,22,22,22,22,22,22,22,22,22,22,22
Argentina,66,30,30,30,30,30.5,25.5,25,25,25,25,25,25,25
Armenia,18,18,18,17,17,17,14,14,8,8,4,4,4,4
Australia,3,3,3,3,3,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Austria,25,25,25,25,25,25,25,25,25,25,25,22,22,21
Azerbaijan,105,121,113,51,36,10,10,8,8,8,7,5,3,3
Bahamas,,,,,30.5,30.5,30.5,23.5,23.5,23.5,23.5,23.5,28.5,21.5
Bahrain,,,,,9,9,9,9,9,9,9,9,9,9
Bangladesh,58,51.5,51.5,43.5,67.5,66.5,43.5,26.5,26.5,26.5,21.8,19.5,19.5,19.5
Barbados,,,,,,,,,18,18,18,18,18,15
Belarus,80,80,80,70,49,32,11,11,11,11,10,10,5,5
Belgium,56,34,34,27,4,4,4,4,4,4,4,4,4,4
Belize,,,57,44,43,43,43,43,43,43,43,43,43,43
Benin,35,34,34,34,34,34,34,34,32,29,18,12,12,8
Bhutan,62,62,62,62,48,46,46,46,35,35,30,15,15,15
Bolivia,59,59,49,49,49,49,49,49,49,49,49,49,49,45
"Bosnia and Herzegovina",68,63,93,93,93,99,99,94,70,67,67,67,67,65
Botswana,125,125,125,105,105,74,59,59,40,40,41,48,48,48
Brazil,156,156,156,151,152,147,122,122,122,122,86.6,83.6,83,79.5
Brunei,,,,121,121,121,121,108,104,104,104,104,14,14
Bulgaria,39,39,39,39,45,56,25,25,25,25,25,25,25,23
"Burkina Faso",40,40,40,34,18,16,14,14,13,13,13,13,13,13
Burundi,13,13,13,13,13,13,13,13,13,7,5,5,4,4
"Cape Verde",,,60,52,52,52,24,11,11,11,11,11,11,11
Cambodia,95,95,87,86,86,102,102,102,102,102,101,101,87,99
Cameroon,45,45,45,45,38,38,35,19,15,15,15,15,15,15
Canada,3.5,3.5,3.5,3.5,3.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,1.5,1.5
