Country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,2100,2100,2100,2600,3000,3830,3830,3830,5180,5680
Albania,820,820,750,775,710,710,730,730,730,730
Algeria,1776,1776,1268,1318,1318,1318,1318,1330,1330,1330
Angola,1950,1950,1950,2950,2865,2865,2715,2715,2725,2725
"Antigua and Barbuda",2204,2204,1561,1520,1520,1520,1520,1520,1520,1520
Argentina,1825,1825,1825,1810,1810,1810,1810,2260,2260,2320
Armenia,1860,1860,1445,2091,2076,2025,2175,2175,2175,2175
Australia,1120,1120,1120,1239,1119,1119,1119,1120,1170,1220
Austria,913,913,913,1195,1195,1195,1195,1155,1155,1215
Azerbaijan,2945,2945,2945,3420,3480,3480,3405,3490,3560,3450
Bahamas,,,1470,1470,1470,1470,1495,1495,1770,1770
Bahrain,,,720,720,870,870,870,870,870,870
Bangladesh,1287,1287,1148,1290,1290,1305,1370,1430,1437,1515
Barbados,,,,,,,1615,1615,1615,1615
Belarus,2067,2067,2067,2115,2115,2115,2565,2265,2265,2265
Belgium,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400
Belize,1615,1615,1615,1630,1630,1630,1630,1580,1580,1580
Benin,1222,1222,1222,1413,1420,1420,1516,1569,1520,1487
Bhutan,1780,1780,1780,1840,1840,2505,2505,2330,2330,2330
Bolivia,1452,1452,1452,1747,1747,1747,1747,1747,1745,1745
"Bosnia and Herzegovina",1150,1150,985,1035,1090,1200,1200,1200,1200,1200
Botswana,2595,2595,2595,3064,3264,3390,3420,3445,3610,3710
Brazil,1090,1090,1185,1220,1185,1775,2075,2075,2414.3,2322.8
Brunei,,590,590,708,708,708,745,745,770,770
Bulgaria,1121,1121,1297,1696,1586,1586,1586,1546,1365,1365
"Burkina Faso",3822,3822,3822,3930,3930,4130,4130,4130,4530,4330
Burundi,4035,4035,4035,4035,3950,3950,4520,4670,4420,4420
"Cape Verde",1070,1070,820,925,925,925,925,925,925,925
Cambodia,816,852,852,872,872,872,872,900,930,930
Cameroon,2018,2018,2018,2161,2291,2267,2267,2267,2267,2267
Canada,1425,1425,1425,1785,1660,1660,1660,1660,1680,1680
"Central African Republic",4534,4534,4534,5074,5554,5734,5734,5734,5735,6335
Chad,5715,5715,5715,6215,6345,8525,8525,8525,9025,9025
Chile,600,600,600,710,710,710,760,930,930,860
China,430,430,430,545,545,545,545,615,800,800
Colombia,1773,1773,1440,1640,1750,1700,2650,2650,2470,2470
Comoros,1108,1108,1108,1191,1191,1191,1191,1295,1295,1295
"Congo (Kinshasa)",2688,3088,3088,3388,3388,3740,3740,3890,3890,4290
"Congo (Brazzaville)",2201,2201,2201,2959,2959,7709,7709,7709,7590,7590
"Costa Rica",1100,1100,1100,1190,1190,1190,1190,1020,1070,1070
"Ivory Coast",2107,2107,2107,2087,2227,2227,2227,2360,2360,1960
Croatia,1200,1200,1200,1141,1141,1141,1180,1180,1185,1185
Cyprus,,,,955,955,955,1010,1010,1010,1010
"Czech Republic",860,860,860,1087,1165,1165,1165,1180,1190,1215
Denmark,603,603,603,744,744,744,744,744,745,745
Djibouti,831,831,831,849,911,911,911,911,910,910
Dominica,2112,2112,1357,1560,1560,1560,1600,1600,1600,1600
"Dominican Republic",990,990,1015,1150,1150,1150,1150,1150,1145,1145
Ecuador,1160,1160,1160,1402,1402,1402,1432,1530,1520,1520
Egypt,1106,1106,786,880,880,755,755,755,790,790
"El Salvador",585,585,585,865,865,890,890,1025,1015,1035
"Equatorial Guinea",1631,1631,1631,1639,1639,1639,1639,1600,1600,1600
Eritrea,1981,1981,1981,1981,1981,1981,1981,2000,2000,2000
Estonia,675,675,675,740,740,725,725,795,795,795
Ethiopia,2790,2790,2790,2560,2660,2660,2660,2660,2760,2960
Fiji,563,563,563,623,623,623,628,628,753,753
Finland,420,420,420,575,620,620,620,620,625,625
France,1295,1295,1295,1395,1395,1395,1445,1445,1445,1445
Gabon,1600,1600,1600,1955,1955,1955,1955,1955,2175,2275
Gambia,859,859,779,832,682,735,735,735,745,745
Georgia,1570,1305,1305,1340,1250,1316,1715,1595,1595,1595
Germany,765,765,765,887,937,937,937,937,940,1050
Ghana,842,842,895,1130,1203,1203,1315,1315,1360,1360
Greece,1245,1245,1245,1265,1265,1265,1265,1135,1135,1135
Grenada,2078,2078,2078,2378,2378,2028,2028,2235,2235,2170
Guatemala,1985,1985,1177,1302,1302,1302,1302,1425,1500,1445
Guinea,1285,1285,1285,1481,1481,1481,1481,1481,1480,1480
"Guinea Bissau",1749,1749,1749,2349,2349,2349,2006,2006,2006,2006
Guyana,505,505,505,705,705,720,720,720,720,720
Haiti,1860,1860,1560,1560,1545,1545,1545,1545,1555,1555
Honduras,975,975,975,1190,1190,1205,1420,1510,1500,1630
"Hong Kong",425,525,525,633,583,600,565,565,565,565
Hungary,945,945,945,1080,1055,1055,1055,845,845,845
Iceland,1343,1343,1343,1183,1674,1674,1674,1620,1620,1620
India,1324,1324,990,1040,1040,1105,1150,1200,1462,1462
Indonesia,675,675,623,660,660,660,660,660,646.8,646.8
Iran,1330,1330,1330,1656,1706,1735,1885,2100,2100,1555
Iraq,3400,3400,3400,3900,3900,3650,3650,3650,3650,3650
Ireland,1139,1139,1139,1121,1121,1121,1121,1121,1121,1121
Israel,560,560,560,605,605,605,545,565,565,565
Italy,1217,1217,1217,1231,1231,1245,1245,1145,1145,1145
Jamaica,1920,1920,1920,1990,1990,1990,1990,2130,2130,2180
Japan,1094,1094,1094,1094,1094,1107,1107,1107,1021.3,1021.3
Jordan,955,1065,1065,1290,1290,1335,1335,1335,1235,1235
Kazakhstan,2780,2780,2780,3055,3055,3055,3290,4665,4865,5265
Kenya,2325,1995,1995,2190,2190,2190,2190,2350,2350,2350
Kiribati,1550,1550,1300,820,820,820,870,870,870,910
"South Korea",1040,1040,745,747,742,790,695,695,695,695
Kosovo,,,,,2330,2280,2280,1810,1810,1730
Kuwait,935,935,935,1152,1217,1217,1242,1242,1250,1250
Kyrgyzstan,2450,2450,2450,3250,3250,3280,3450,4700,5150,6000
Laos,1690,1690,1930,2040,2040,2040,2035,2125,1910,1910
Latvia,916,916,751,801,801,801,801,801,801,801
Lebanon,752,752,810,1073,1203,1200,1250,1365,1365,1365
Lesotho,1210,1210,1210,1715,1715,1610,1665,1945,1945,2045
Liberia,,1152,1152,1332,1332,1332,1320,1320,1320,1320
Libya,,,,,,,,1255,1255,1255
Lithuania,980,980,980,980,980,980,980,980,800,800
Luxembourg,,1250,1250,1420,1420,1420,1420,1420,1420,1420
"Macedonia (F.Y.R.O.M.)",1130,1130,1130,1325,1420,1380,1380,1380,1380,1380
Madagascar,1282,1282,1282,1660,1660,1555,1555,1555,1555,1555
Malawi,2500,2500,2500,2550,2570,2570,2595,2895,2895,2895
Malaysia,385,385,385,450,450,450,435,420,485,560
Maldives,1200,1200,1200,1348,1348,1526,1526,1526,1610,1610
Mali,2875,2875,2875,3097,3150,3262,3262,3262,4540,4540
Malta,,,,,,,950,970,970,970
"Marshall Islands",900,900,900,900,720,720,720,720,720,720
Mauritania,1363,1363,1363,1523,1523,1523,1523,1523,1523,1523
Mauritius,683,683,673,677,689,689,689,695,710,710
Mexico,1761,1761,1761,2050,2050,1880,1780,1780,1804.6,1887.6
Micronesia,1255,1255,1005,1005,1045,1045,1045,1045,1045,1045
Moldova,1740,1740,1740,2090,2090,2090,1870,1870,1870,1870
Mongolia,2274,2274,2274,2274,2274,2274,2400,2710,2950,2950
Montenegro,,865,865,995,995,995,985,985,985,985
Morocco,1500,1500,800,1000,1000,1000,950,950,970,970
Mozambique,1185,1185,1185,1475,1475,1475,1545,1545,1600,1600
"Burma (Myanmar)",,,,,,,,660,660,610
Namibia,1550,1550,1550,1813,1813,1813,1905,1905,1905,1805
Nepal,1725,1725,1725,1900,1825,2095,2095,2095,2400,2650
Netherlands,1005,1005,1005,1020,942,942,975,975,975,975
"New Zealand",800,800,800,850,850,825,825,825,825,825
Nicaragua,1020,1054,1054,1420,1420,1220,1220,1245,1245,1245
Niger,2946,2946,2946,3333,3333,3333,3333,3499,4500,4500
Nigeria,1460,1047,1047,1306,1440,1440,1440,1540,1959.5,1959.5
Norway,488,488,488,929,929,929,929,1100,1100,1140
Oman,417,417,417,630,630,660,680,680,680,700
Pakistan,317,648,648,680,680,680,705,705,1005,1005
Palau,1010,1010,760,782,782,672,680,680,680,680
Panama,850,850,850,879,879,915,965,965,965,1030
"Papua New Guinea",1048,1048,1048,1128,1128,1128,1128,1250,1250,1350
Paraguay,1400,1400,1400,1700,1750,1750,1750,1750,2275,2275
Peru,670,670,670,895,895,880,880,880,1010,1010
Philippines,800,800,800,819,819,730,730,660,660,915
Poland,834,834,834,884,884,884,1000,1025,1025,1025
Portugal,894,894,894,899,899,899,899,899,925,925
"Puerto Rico",1225,1225,1225,1250,1250,1250,1300,1350,1350,1350
Qatar,,,977,977,977,977,1050,1050,1050,1050
Romania,1200,1075,1075,1175,1175,1175,1495,1495,1495,1495
Russia,1685,1685,1685,2165,2165,2545,2495,2780,2484.5,2594.5
Rwanda,4000,4000,4890,4990,4990,4990,4990,4990,4990,4990
"Saint Thomas and Principe",577,577,577,577,577,577,577,577,577,577
Samoa,815,815,615,615,615,615,615,615,615,615
"San Marino",,,,,,,,1890,1890,1890
"Saudi Arabia",604,604,758,678,928,936,936,1054,1229,1309
Senegal,1920,1920,1920,2120,2140,2140,1940,1940,1940,1940
Serbia,1540,1540,1540,1659,1659,1659,1709,1760,1760,1910
Seychelles,876,876,876,876,876,876,876,876,675,675
"Sierra Leone",1022,1022,1022,1315,1419,1419,1419,1560,1575,1575
Singapore,367,367,367,439,439,439,439,439,440,440
Slovakia,1050,1050,1050,1445,1445,1505,1540,1540,1480,1505
Slovenia,1019,1019,1019,1130,1130,765,765,830,830,830
"Solomon Islands",1238,1238,986,942,985,985,985,785,785,785
"South Africa",1195,1195,1195,1721,1807,1807,1795,1940,1980,2080
"South Sudan",,,,,,,,9285,9285,9285
Spain,1129,1129,1129,1250,1350,1350,1350,1350,1350,1400
"Sri Lanka",589,589,644,695,695,695,695,725,725,690
"Saint Kitts and Nevis",2333,2333,2333,2515,2515,2515,2515,2615,2615,2615
"Saint Lucia",2470,2470,2170,2220,2220,2320,2320,2250,2280,2280
"Saint Vincent and Grenadines",1605,1605,1455,1455,1455,1455,1455,1425,1425,1425
Sudan,1970,1970,2300,2900,2900,2900,2900,2900,2900,3400
Suriname,815,815,815,885,885,945,1065,1165,1165,1190
Swaziland,1820,1820,1820,2249,2249,1849,2030,2085,2145,2245
Sweden,619,619,619,735,735,735,735,735,735,735
Switzerland,1333,1333,1333,1505,1540,1540,1540,1440,1440,1440
Syria,1822,1760,1760,1625,1625,1625,1625,1625,2075,2410
Taiwan,747,747,747,769,732,700,720,720,720,720
Tajikistan,4500,4500,4500,4550,4550,4550,4550,9800,10250,10650
Tanzania,917,1425,1425,1475,1475,1475,1430,1565,1615,1615
Thailand,1042,1042,786,795,795,795,750,750,760,760
"Timor Leste",735,735,395,415,415,415,415,415,415,415
Togo,841,1040,1040,1109,1109,1109,1109,1109,1190,1190
Tonga,725,725,475,475,475,475,525,490,490,500
"Trinidad and Tobago",1100,1100,1100,1100,1100,1250,1260,1260,1260,1260
Tunisia,600,600,810,858,858,858,858,858,860,910
Turkey,935,935,1013,1063,1063,1063,1063,1235,1235,1235
Uganda,2945,2945,2990,3290,3390,2940,3015,3215,3375,3375
Ukraine,1695,1695,1695,1880,1880,1880,2455,2455,2505,2455
"United Arab Emirates",462,462,462,587,579,542,635,590,615,625
"United Kingdom",1267,1267,1267,1350,1160,1045,1045,1045,1050,1050
"United States",1160,1160,1160,1245,1315,1315,1315,1315,1289,1289
Uruguay,1180,1180,1180,1330,1330,1330,1330,1440,1440,1440
Uzbekistan,4167,4167,4167,4717,4717,4767,4767,4867,5352,6452
Vanuatu,2170,2170,1920,1087,1087,1160,1440,1440,1440,1440
Venezuela,900,900,2400,2868,2868,2868,2868,2868,3695,3695
Vietnam,586,586,586,606,645,645,670,600,600,600
"West Bank and Gaza",995,995,995,1225,1225,1225,1295,1295,1390,1425
Yemen,1475,1475,1475,1475,1475,1475,1475,1490,1490,1560
Zambia,2840,2840,2840,3335,3335,6115,6115,6360,6360,7060
Zimbabwe,2420,2420,2420,3999,5101,5101,5101,5200,5660,6160
