Country,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,24250,245000,104000,470000,205664,43145,140861,
Albania,,,,,,,4145254,
Algeria,5973758,12022798,16879342,19706542.6667,22533743.3333,25360944,,
Angola,,,,,2932213,3292607,,
"Antigua and Barbuda",297612,355037,381207,407377,433547,459717,,
Argentina,501424814,606762407,712100000,804660000,625340000,,,
Armenia,1090732,1072918,1823256,1884471.5,1945687,2180390,2523378.5,2866367
Azerbaijan,,13390123,14215892,,,,,
Bangladesh,984252,3470437,2871845,2623453,2310475,311024,6142305,
Barbados,6207005,5478563,,,,,,
Belarus,12471166,11712470,15975774,14422443.5,12869113,16302125,,
Belize,832345,,,,,,,
Benin,11709193,3211305,3936233,4432696,3028372,6423375,1822497,3152090
Bolivia,4786726,,,,,,,
Botswana,,,88763366,106686459,98266465,100590814,,
Brazil,685482920,744924429.5,804365939,793546964,782727989,771909014,699139356,676781247
Bulgaria,6759210,8731855,9919896,9865382,,,,
"Burkina Faso",28122266,7780061,10342019.25,12903977.5,15465935.75,18027894,13598542,9169190
Burundi,2132874,1841735,289800,,,,,
"Cape Verde",17194,1814407,2343480,,,,,
Cambodia,5212931,6194320,7175709,8157098,,,,
Cameroon,15726635,14805716,,,,,,
Chad,6343779,4622591,,,,,,
Chile,136781489,132690812,128600135,124509458,118838480,176222581,207644768,205742308
China,554007385,714079592,977788274,1006821590.5,1035854907,1117064160.5,1198273414,1307000000
Colombia,99335154,84674170,,,,,,
Comoros,174303,230686,271568,155540,39512,148975,160037,135705
"Costa Rica",18402940,15319506,12236072,21678191.5,31120311,40562430.5,50004550,
Croatia,11248515,14362023,,,,,,
Cuba,62992629,63807290,,,,,,
"Ivory Coast",13804950,8334163,,,,,,
"Congo (Kinshasa)",2710269,18701115,30383681,23387661,12470267,18662067,,
Djibouti,867075,570750.5,274426,,,,,
Dominica,176411,159826.4,143241.8,126657.2,110072.6,93488,1053244,2013000
"Dominican Republic",9262504,3972430,5671243,10422341,12235681,14743318,37153479,40931323
Ecuador,,,6645825,12732132,18818439,24904746,14807266,15959367
"El Salvador",41243741,46595135,45120439,54199144,51175986,48152828,36850429,33288506
"Equatorial Guinea",1686984,7844051,,,,,,
Swaziland,26452555,33155127,,,,,,
Ethiopia,,,,,54369431,32481016,10592601,7718534
Fiji,,191953,150833,330108.5,509384,,,
Gabon,12280214,10121784,4808085,4993867.75,5179650.5,5365433.25,5551216,
Gambia,,,3850001,3283995.8,2717990.6,2151985.4,1585980.2,1019975
Georgia,4716172,5361536,8166782,8753885,11099356,13444827,13802347.5,14159868
Ghana,4524557,6830808,2817175,4679195,6606220,,,
Grenada,,155431,,,,,,
Guatemala,27225416,32797020,34354767,22191446,10028125,12072635,11328677,19830959
Guinea,2302175,2579555,3339108,2805401.5,2271695,689891,8791210,6918742
Guyana,3347064,,,,,,,
Haiti,884655,352174,2662292,2664832,3968260,,,
Honduras,16466390,15784431,,,,,,
India,205808366,144554317,164330065,233055428,301780791,370506154,275000000,421039738
Indonesia,36851913,43018000.3333,49184087.6667,55350175,103052033,75153476,74322845,
Iran,69420049,,,,,,,
Jamaica,3115403,4191600,4324205,8456178,2750285,,,
Jordan,1000000,1000000,,,,,,
Kazakhstan,30352251,30876471,40667500,32728769,27221762,30975563,31104180,33438803
Kenya,140901567,189582565,234216720,247309308.5,260401897,342351186,258807035,175262884
Kiribati,,,292161,186260.5,80360,18966,103413,165150
Kuwait,59515455,59520035,22365503,27374588.5,32383674,,,
Kyrgyzstan,3886526,4192877,6940808,4376844.5,1812881,2238849,2456267,1970121
Laos,,,,,2099088,569221,562887,556553
Latvia,619656,9452207,8686036,9504777,10323518,,,
Lebanon,,3154875,3732395.8333,4309916.6667,4887437.5,5464958.3333,6042479.1667,6620000
Lesotho,,,48634655,29662753,22470651,20847761,,
Liberia,,,42253,,,,,
Lithuania,2496551,,,,,,,
Madagascar,4250295,4051157,3037786,2005899,365827,289872,146677,
Malawi,11827301,14829459.6667,17831618.3333,20833777,20833777,5594173,5106586.5,4619000
Malaysia,54088511,55220508,49775178,44872056.3333,39968934.6667,35065813,19993923,23214913
Mali,6136480,6125910,6115340,6104770,6094200,6094200,6094200,6094200
"Marshall Islands",75000,85000,85000,,,,,
Mauritania,616666,706269.3333,795872.6667,885476,975079.3333,1064682.6667,1154286,
Mauritius,,,,,,,5628025,
Mexico,,630186133,748623559.5,867060986,,,,
Mongolia,,1329438,1619212,2325856,3032500,2329053.3333,1625606.6667,922160
Morocco,8021984,9943419,10176619.5,10409820,10293925,18244377,,
Mozambique,8635144,16870748,12217622,12672580,8501812,13531818.6667,18561825.3333,23591832
"Burma (Myanmar)",726157,4131753,6443305,8754857,11066409,20212929,,
Namibia,111050386,136620606,111050386,103595639.5,96140893,124497810,,
Nepal,,2080859,1983775,1602167.5,1220560,1779040,2335783,18430
Niger,4786972,3935866,4322818,8031919,7570715,245636,,
Nigeria,122964880,106409652.333,89854424.6667,73299197,79543467,66045257,91477781,
Oman,5318814,3833134,4313471,,,,,
Pakistan,3457681,3631968,3285243.5,2938519,2591794.5,2245070,1898345.5,1551621
Palau,,35400,,,,,,
Panama,19286886,21449390.3333,23611894.6667,25774399,27936903.3333,30099407.6667,32261912,
"Papua New Guinea",6385677,,,,,,,
Paraguay,9521067,10841743,9113069.8,7384396.6,5655723.4,3927050.2,2198377,2599263
Peru,,70356265,78148248,,,,,
Philippines,4654505,4522803,,,,,,
Poland,83243881,90199774,83684559,,,,,
Portugal,10356197,274577668,,,,,,
Moldova,2381695,2335773,2332485,2387532,2861324,3296185,4167839,5129168
Romania,34383944,66459572.5,98535201,,,,,
Russia,,546296296,512676056,573449385.333,634222714.667,694996044,,
Rwanda,19946470,18600197,17253924,19877495,,,,
"Saint Kitts and Nevis",82440,85110,107450.75,129791.5,152132.25,174473,188950,140517
"Saint Lucia",,,,,111111,145833,191558.5,237284
"Saint Vincent and Grenadines",615427,,,,,,,
Samoa,,60000,47685.5,35371,23056.5,10742,34632,12115
"Saint Thomas and Principe",15664,60573,30800,,,,,
Senegal,4453112,4819017,2033864,1920965,,,,
Serbia,9071059,11468548,,,,,,
Seychelles,4278262,2847408,3497367,6716313,9935259,6808698,3682137,1864625
Singapore,23746298,23739323,23202747,25082728,26962709,52093243,,
"Solomon Islands",,,,,,,1232877,
"South Africa",,,1344843914,1526353209.33,1707862504.67,1889371800,1917857763,
"South Sudan",2302076,4708655.3333,7115234.6667,9521814,14476269,10172578,3417066,
Spain,8339679,918865057,,,,,,
"Sri Lanka",,671143,1016546.3333,1361949.6667,1707353,2052756.3333,2398159.6667,2743563
Sudan,4698522,3717832,,,,,,
Switzerland,3411878,5691635.5,7971393,7239334,7179990,,,
Tajikistan,2569872,3363876,2758979,2154082,1549185,944288,823242,
Thailand,253666819,256685666,251242449.4,245799232.8,240356016.2,234912799.6,229469583,271162577
"Macedonia (F.Y.R.O.M.)",,,,,,,,2177200
Togo,6300102,3757204,2197218,1395383,2014854,4799019,4321083,3843147
Tonga,,,55676,,,,,
Turkey,12291905,,,,,,,
Tuvalu,,10000,,,,,,
Ukraine,71777759,57652336.3333,43526913.6667,29401491,24018249,46225262,,
"United Arab Emirates",32476417,32896988.4,33317559.8,33738131.2,34158702.6,34579274,26551977.5,18524681
Uzbekistan,13334449,11919410,11631595,9784573.4,7937551.8,6090530.2,4243508.6,2396487
Vanuatu,,61703,,,,,,
Venezuela,65915889,71785912,50734736,29683560,8632384,329374,2159241,6420000
Vietnam,30327094,,,,,,,
Zambia,15829478,20001552.2,24173626.4,28345700.6,32517774.8,36689849,,
Zimbabwe,34570495,34347820,38758437.6667,43169055.3333,47579673,49632062,47431927.5,45231793
